,Concept_ID,no,kk
0,Auge::N,øye,көз
1,Ohr::N,øre,құлақ
2,Nase::N,nese,мұрын
3,Mund::N,munn,ауыз
4,Zahn::N,tann,тіс
5,Zunge::N,tunge,тіл
6,Lippe::N,leppe,ерін
7,Wange::N,kinn,ұрт
8,Gesicht::N,fjes,бет-аузы
9,Gesicht::N,ansikt,бет-аузы
10,Stirn::N,panne,маңдай
11,Haar::N,hår,қыл
12,Schnurrbart::N,bart,мұрт
13,Bart::N,skjegg,сақал
14,Kinn::N,hake,иек
15,Kiefer[Anatomie]::N,kjeve,жақ
16,Kehle::N,strupe,алқым
17,Hals::N,hals,мойын
18,Genick::N,nakke,желке
19,Kopf::N,hode,кәллә
20,Rücken::N,rygg,арқа
21,Bauch::N,buk,қарын
22,Bauch::N,mage,қарын
23,Nabel::N,navle,кіндік
24,Busen::N,barm,омырау
25,Brust::N,bryst,кеуде
26,Schulter::N,skulder,иық
27,Arm::N,arm,қол
28,Ellenbogen::N,albue,шынтақ
29,Hand::N,hånd,қол
30,Handfläche::N,håndflate,алақан
31,Finger::N,finger,саусақ
32,Fingernagel::N,fingernegl,тырнақ
33,Nagel[Anatomie]::N,negl,тырнақ
34,Zeh::N,tå,тырнақ
35,Zeh::N,tå,тұяқ
36,Fuß::N,fot,аяқ-басы
37,Ferse::N,hæl,өкше
38,Ferse::N,hæl,өкшелік
39,Knie::N,kne,тізе
40,Oberschenkel::N,lår,жамбас
41,Bein::N,bein,аяқ
42,Körper::N,kropp,дене
43,Körper::N,legeme,дене
44,Haut::N,hud,тері
45,Haut::N,skinn,тері
46,Blut::N,blod,қан
47,Ader::N,åre,көктамыр
48,Ader::N,åre,күретамыр
49,Sehne::N,sene,сіңір
50,Knochen::N,bein,жілік
51,Knochen::N,knokkel,жілік
52,Gehirn::N,hjerne,ми
53,Herz::N,hjerte,жүрек
54,Magen::N,mage,асқазан
55,Leber::N,lever,бауыр
56,Atem::N,pust,леп
57,Hunger::N,sult,ашаршылық
58,Träne::N,tåre,жас
59,Geschmack::N,smak,дәм
60,Geschmack::N,smak,татым
61,Geschmack::N,smak,талғам
62,Geruch::N,lukt,иіс
63,Schlaf::N,søvn,ұйқы
64,Schlaf::N,søvn,ұйықтау
65,Traum::N,drøm,түс
66,Himmel::N,himmel,аспан
67,Himmel::N,himmel,көқ
68,Himmel::N,himmel,таңдай
69,Sonne::N,sol,күн
70,Mond::N,måne,ай
71,Stern::N,stjerne,жұлдыз
72,Luft::N,luft,әуе
73,Wind::N,vind,жел
74,Welle::N,bølge,толқын
75,Wasser::N,vann,су
76,Stein::N,stein,тас
77,Boden::N,bakke,қыртыс
78,Erde::N,jord,топырақ
79,Staub::N,støv,шаң
80,Rauch::N,røyk,түтін
81,Funke::N,gnist,ұшқын
82,Feuer::N,ild,алау
83,Licht::N,lys,шұғыла
84,Schatten::N,skygge,көлеңке
85,Wetter::N,vær,ауа райы
86,Nebel::N,tåke,тұман
87,Wolke::N,sky,бұлт
88,Regen::N,regn,жаңбыр
89,Schnee::N,snø,қар
90,Eis::N,is,мұз
91,Frost::N,frost,суық
92,Kälte::N,kulde,ызғар
93,Kälte::N,kulde,суықтық
94,Hitze::N,hete,аптап
95,Raureif::N,rimfrost,қырау
96,Regenbogen::N,regnbue,кемпірқосақ
97,Donner::N,torden,күн күркіреу
98,Strömung::N,strømning,ағын
99,Tropfen::N,dråpe,тамшы
100,Schaum::N,skum,көбік
101,Schmutz::N,søl,кір
102,Schmutz::N,skitt,кір
103,See::N,sjø,көл
104,Sumpf::N,sump,саз
105,Sumpf::N,myrlende,саз
106,Moor::N,myr,саз
107,Moor::N,myrhei,саз
108,Wiese::N,eng,шалғын
109,Wald::N,skog,орман
110,Hügel::N,haug,төбе
111,Hügel::N,haug,белес
112,Hügel::N,haug,белес-белес
113,Hügel::N,bakke,төбе
114,Hügel::N,bakke,белес
115,Hügel::N,bakke,белес-белес
116,Anhöhe::N,haug,дөң
117,Anhöhe::N,haug,адыр
118,Anhöhe::N,haug,қырат
119,Anhöhe::N,bakke,дөң
120,Anhöhe::N,bakke,адыр
121,Anhöhe::N,bakke,қырат
122,Berg::N,berg,тау
123,Berg::N,fjell,тау
124,Gipfel::N,topp,төбе
125,Höhle::N,hule,үңгір
126,Abhang::N,li,бауыр
127,Abhang::N,skråning,бауыр
128,Quelle::N,kilde,қайнар
129,Bach::N,bekk,жылға
130,Fluss::N,elv,өзен
131,Ufer::N,bredd,жиек
132,Küste::N,kyst,жиегі
133,Küste::N,kyst,жағалау
134,Festland::N,fastland,құрылық
135,Meer::N,hav,теңіз
136,Bucht::N,bukt,шығанақ
137,Insel::N,øy,арал
138,Blume::N,blomst,гүл
139,Gras::N,gress,от
140,Wurzel::N,rot,түбір
141,Baum::N,tre,ағаш
142,Baum::N,tre,дарақ
143,Stamm::N,stamme,сояу
144,Stamm::N,stamme,оқпан
145,Rinde::N,bark,қабық
146,Ast::N,gren,бұтақ
147,Zweig::N,kvist,шыбық
148,Blatt::N,blad,жапырақ
149,Birke::N,bjørk,қайың
150,Kiefer[Baum]::N,furu,қарағай
151,Weide[Baum]::N,selje,тал
152,Weide[Baum]::N,piletre,тал
153,Tanne::N,gran,шырша
154,Horn::N,horn,мүйіз
155,Feder::N,fjær,қаламұш
156,Fell::N,skinn,тері
157,Flügel::N,vinge,қанат
