,Concept_ID,he,ar
0,Auge::N,עין,عين
1,Ohr::N,אזן,أذن
2,Nase::N,אף,أنف
3,Nase::N,חטם,أنف
4,Mund::N,פה,فم
5,Zahn::N,שן,سن
6,Zunge::N,לשון,لسان
7,Lippe::N,שפה,شفة
8,Wange::N,לחי,خد
9,Wange::N,לחי,وجنة
10,Gesicht::N,פנים,وجه
11,Stirn::N,מצח,جبين
12,Haar::N,שערה,شعر
13,Schnurrbart::N,שפם,شارب
14,Bart::N,זקן,لحية
15,Kinn::N,סנטר,ذقن
16,Kiefer[Anatomie]::N,לסת,فك
17,Kehle::N,גרון,حلق
18,Hals::N,צואר,عنق
19,Hals::N,צואר,رقبة
20,Genick::N,ערף,قفا
21,Kopf::N,ראש,رأس
22,Rücken::N,גב,ظهر
23,Bauch::N,בטן,بطن
24,Nabel::N,טבור,سرة
25,Busen::N,שד,ثدي
26,Brust::N,חזה,صدر
27,Schulter::N,כתף,كتف
28,Arm::N,זרוע,ذراع
29,Ellenbogen::N,מרפק,كوع
30,Hand::N,יד,يد
31,Handfläche::N,כף יד,كف
32,Finger::N,אצבע,إصبع
33,Fingernagel::N,צפרן,ظفر
34,Nagel[Anatomie]::N,צפרן,ظفر
35,Zeh::N,אצבע,إصبع القدم
36,Fuß::N,רגל,قدم
37,Ferse::N,עקב,كعب
38,Knie::N,ברך,ركبة
39,Oberschenkel::N,ירך,فخذ
40,Bein::N,רגל,ساق
41,Körper::N,גוף,جسم
42,Haut::N,עור,بشرة
43,Blut::N,דם,دم
44,Ader::N,וריד,عرق
45,Sehne::N,גיד,طنب
46,Knochen::N,עצם,عظم
47,Gehirn::N,מוח,دماغ
48,Herz::N,לב,قلب
49,Magen::N,קבה,معدة
50,Leber::N,כבד,كبد
51,Atem::N,נשימה,نفس
52,Hunger::N,רעב,جوع
53,Träne::N,דמעה,دمعة
54,Geschmack::N,טעם,طعم
55,Geschmack::N,טעם,مذاق
56,Geruch::N,ריח,رائحة
57,Schlaf::N,שנה,نوم
58,Schlaf::N,שנה,منام
59,Traum::N,חלום,حلم
60,Himmel::N,שמים,سماء
61,Sonne::N,שמש,شمس
62,Mond::N,ירח,قمر
63,Stern::N,כוכב,نجم
64,Stern::N,כוכב,كوكب
65,Luft::N,אויר,هواء
66,Wind::N,רוח,ريح
67,Welle::N,גל,موجة
68,Wasser::N,מים,ماء
69,Stein::N,אבן,حجر
70,Boden::N,קרקע,تراب
71,Erde::N,אדמה,أرض
72,Staub::N,אבק,غبار
73,Rauch::N,עשן,دخان
74,Funke::N,ניצוץ,شرارة
75,Feuer::N,אש,نار
76,Licht::N,אור,نور
77,Licht::N,אור,ضوء
78,Schatten::N,צל,ظل
79,Schatten::N,צל,فيء
80,Wetter::N,מזג אויר,جو
81,Wetter::N,מזג אויר,طقس
82,Nebel::N,ערפל,ضباب
83,Wolke::N,ענן,غيمة
84,Wolke::N,ענן,سحابة
85,Regen::N,גשם,مطر
86,Schnee::N,שלג,ثلج
87,Eis::N,קרח,جليد
88,Frost::N,צנה,صقيع
89,Kälte::N,קר,برد
90,Hitze::N,חם,حر
91,Hitze::N,חם,حرارة
92,Raureif::N,כפור,صقيع
93,Regenbogen::N,קשת,قوس قزح
94,Donner::N,רעם,رعد
95,Strömung::N,זרימה,تيار
96,Tropfen::N,טפה,قطرة
97,Schaum::N,קצף,زبد
98,Schaum::N,קצף,رغوة
99,Schmutz::N,לכלוך,وسخ
100,See::N,אגם,بحيرة
101,Sumpf::N,בצה,مستنقع
102,Moor::N,בצה,مستنقع
103,Wiese::N,מרעה,مرج
104,Wald::N,יער,غابة
105,Hügel::N,תל,تل
106,Anhöhe::N,מעלה,تل
107,Berg::N,הר,جبل
108,Gipfel::N,פסגה,قمة
109,Höhle::N,מערה,كهف
110,Abhang::N,מדרון,منحدر
111,Abhang::N,שפוע,منحدر
112,Quelle::N,מעין,منبع
113,Bach::N,נחל,مجرى
114,Fluss::N,נהר,نهر
115,Ufer::N,גדה,ضفة
116,Küste::N,חוף,ساحل
117,Festland::N,יבשה,بر
118,Meer::N,ים,بحر
119,Bucht::N,מפרץ,خليج
120,Insel::N,אי,جزيرة
121,Blume::N,פרח,زهرة
122,Gras::N,דשא,حشيش
123,Wurzel::N,שרש,أصل
124,Baum::N,עץ,شجرة
125,Stamm::N,גזע,جذع
126,Rinde::N,קלפת עץ,قشرة
127,Ast::N,ענף,فرع
128,Zweig::N,ענף,غصن
129,Blatt::N,עלה,ورقة
130,Birke::N,שדר,قضبان
131,Kiefer[Baum]::N,ארן,صنوبرة
132,Weide[Baum]::N,ערבה,صفصاف
133,Tanne::N,אשוח,شوح
134,Tanne::N,אשוח,تبوب
135,Horn::N,קרן,قرن
136,Feder::N,נוצה,ريشة
137,Fell::N,פרוה,فرو
138,Flügel::N,כנף,جناح
139,Klaue::N,טלף,مخلب
140,Kralle::N,טפר,مخلب
141,Schwanz::N,זנב,ذيل
142,Ei::N,ביצה,بيض
143,Nest::N,קן,عش
144,Bau::N,מחלה,جحر
145,Tier::N,חיה,حيوان
146,Herde::N,עדר,قطيع
147,Kuh::N,פרה,بقرة
148,Bulle::N,פר,ثور
149,Pferd::N,סוס,خيل
150,Schaf::N,כבשה,شاة
151,Schwein::N,חזיר,خنزير
152,Hund::N,כלב,كلب
153,Katze::N,חתול,قطة
154,Bär::N,דב,دب
155,Eichhörnchen::N,סנאי,سنجاب
156,Elch::N,דישון,موظ
157,Fuchs::N,שועל,ثعلب
158,Hase::N,ארנב,أرنب
159,Maus::N,עכבר,فأرة
160,Wolf::N,זאב,ذئب
161,Vogel::N,צפור,طير
162,Schwarm::N,נחיל,سرب
163,Schwarm::N,להקה,سرب
164,Huhn::N,תרנגלת,دجاجة
165,Hahn::N,תרנגול,ديك
166,Gans::N,אוז,وزة
167,Adler::N,עיט,نسر
168,Ente::N,ברוז,بطة
169,Eule::N,ינשוף,بوم
170,Kranich::N,עגור,كركي
171,Kranich::N,כרוכיה,كركي
172,Krähe::N,עורב,غراب
173,Kuckuck::N,קוקיה,وقواق
174,Schwan::N,ברבור,إوز عراقي
175,Fisch::N,דג,سمك
176,Barsch::N,אוקונוס,فرخ أوربي
177,Hecht::N,זאב הים,سمك الكراكي
178,Schlange[Tier]::N,נחש,حية
179,Schlange[Tier]::N,נחש,ثعبان
180,Wurm::N,תולעת,دودة
181,Spinne::N,עכביש,عنكبوت
182,Ameise::N,נמלה,نملة
183,Laus::N,כנה,قملة
184,Mücke::N,יתוש,ناموسة
185,Fliege::N,זבוב,ذبابة
186,Schmetterling::N,פרפר,فراشة
187,Beere::N,ענבה,حبة
188,Apfel::N,תפוח,تفاح
189,Pilz::N,פטריה,فطر
190,Zwiebel::N,בצל,بصل
191,Saat::N,זרעים,زرع
192,Korn::N,גרעין,حبة
193,Heu::N,חציר,دريس
194,Schale::N,קלפה,قشرة
195,Grube::N,בור,نقرة
196,Grube::N,שוחה,نقرة
197,Falle::N,מלכדת,فخ
198,Falle::N,מלכדת,مصيدة
199,Schlinge::N,לולאה,عروة
200,Spur::N,עקבה,أثر
201,Asche::N,אפר,رماد
202,Dreck::N,זהמה,قذر
203,Eisen::N,ברזל,حديد
204,Gold::N,זהב,ذهب
205,Silber::N,כסף,فضة
206,Kohle::N,פחם,فحم
207,Glas::N,זכוכית,زجاج
208,Lehm::N,חרסית,طين
209,Sand::N,חול,رمل
210,Mensch::N,אדם,إنسان
211,Mann::N,איש,رجل
212,Mann::N,גבר,رجل
213,Frau::N,אשה,امرأة
214,Frau::N,גברת,امرأة
215,Kind::N,ילד,طفل
216,Junge::N,ילד,ولد
217,Mädchen::N,נערה,بنت
218,Familie::N,משפחה,عائلة
