,Concept_ID,hi,ta
0,Auge::N,आँख,கண்
1,Auge::N,चक्षु,கண்
2,Ohr::N,कान,காது
3,Ohr::N,कर्ण,காது
4,Nase::N,नाक,மூக்கு
5,Nase::N,नासा,மூக்கு
6,Mund::N,मुख,வாய்
7,Mund::N,मुँह,வாய்
8,Zahn::N,दंत,பல்
9,Zahn::N,दाँत,பல்
10,Zunge::N,जीभ,நாக்கு
11,Zunge::N,ज़बान,நாக்கு
12,Zunge::N,जिह्वा,நாக்கு
13,Lippe::N,ओंठ,உதடு
14,Lippe::N,होंठ,உதடு
15,Wange::N,गाल,கன்னம்
16,Wange::N,कपोल,கன்னம்
17,Gesicht::N,मुँह,முகம்
18,Gesicht::N,चेहरा,முகம்
19,Stirn::N,माथा,முன்னெற்றி
20,Stirn::N,मस्तक,முன்னெற்றி
21,Haar::N,बाल,முடி
22,Schnurrbart::N,मूँछें,மீசை
23,Bart::N,दाढ़ी,தாடி
24,Kinn::N,चिबुक,கீழதாடை
25,Kiefer[Anatomie]::N,जबड़ा,தாடை
26,Kehle::N,गला,தொண்டை
27,Hals::N,गला,கழுத்து
28,Hals::N,गरदन,கழுத்து
29,Genick::N,गरदन,கழுத்து
30,Genick::N,ग्रीवा,கழுத்து
31,Kopf::N,सिर,தலை
32,Kopf::N,शीर्ष,தலை
33,Rücken::N,पीठ,முதுகு
34,Bauch::N,उदर,வயிறு
35,Nabel::N,नाभि,தொப்புள்
36,Nabel::N,ढोंढी,தொப்புள்
37,Busen::N,कुच,மார்பகம்
38,Busen::N,स्तन,மார்பகம்
39,Brust::N,वक्ष, மார்பு
40,Schulter::N,कंधा,தோள்பட்டை
41,Schulter::N,स्कंध,தோள்பட்டை
42,Arm::N,बाँह,கரம்
43,Arm::N,बाज़ू,கரம்
44,Ellenbogen::N,कुहनी,முழங்கை
45,Hand::N,हाथ,கை
46,Hand::N,हस्त,கை
47,Handfläche::N,हथेली,உள்ளங்கை
48,Finger::N,उँगली,விரல்
49,Finger::N,अँगुली,விரல்
50,Fingernagel::N,नख,விரல் நகம்
51,Fingernagel::N,नाख़ून,விரல் நகம்
52,Nagel[Anatomie]::N,नख,நகம்
53,Nagel[Anatomie]::N,नाख़ून,நகம்
54,Zeh::N,उँगली,கால்விரல்
55,Zeh::N,पाँव की उँगली,கால்விரல்
56,Fuß::N,चरण,கால்
57,Fuß::N,पाँव,கால்
58,Ferse::N,एड़ी,குதிகால்
59,Knie::N,जानु,முழங்கால்
60,Knie::N,घुटना,முழங்கால்
61,Oberschenkel::N,उरु,தொடை
62,Bein::N,टाँग,கால்
63,Körper::N,तन,உடல்
64,Körper::N,देह,உடல்
65,Körper::N,शरीर,உடல்
66,Haut::N,चर्म,சருமம்
67,Haut::N,त्वचा,சருமம்
68,Blut::N,लहू,இரத்தம்
69,Blut::N,ख़ून,இரத்தம்
70,Ader::N,रग,நாளம்
71,Ader::N,शिरा,நாளம்
72,Sehne::N,कंडरा,தசைநார்
73,Sehne::N,स्नायु,தசைநார்
74,Knochen::N,अस्थि,எலுமபு
75,Gehirn::N,दिमाग़,மூனை
76,Gehirn::N,मस्तिष्क,மூனை
77,Herz::N,दिल,இதயம
78,Herz::N,हृदय,இதயம
79,Magen::N,मेदा,வயிறு
80,Magen::N,अमाशय,வயிறு
81,Leber::N,जिगर,கல்லீரல்
82,Leber::N,यकृत्,கல்லீரல்
83,Atem::N,दम,மூச்சு
84,Atem::N,साँस,மூச்சு
85,Atem::N,श्वास,மூச்சு
86,Hunger::N,भूख,பசி
87,Hunger::N,क्षुधा,பசி
88,Träne::N,आँसू,கண்ணீர்
89,Träne::N,अश्रु,கண்ணீர்
90,Geschmack::N,स्वाद,நறுமணம்
91,Geschmack::N,ज़ायक़ा,நறுமணம்
92,Geruch::N,बू,துர்நாற்றம்
93,Geruch::N,गंध,துர்நாற்றம்
94,Schlaf::N,नींद,தூக்கம்
95,Schlaf::N,निद्रा,தூக்கம்
96,Traum::N,सपना,கனவு
97,Traum::N,स्वप्न,கனவு
98,Himmel::N,आकाश,வானம்
99,Himmel::N,आसमान,வானம்
100,Sonne::N,रवि,சூரியன்
101,Sonne::N,सूरज,சூரியன்
102,Sonne::N,सूर्य,சூரியன்
103,Mond::N,चाँद,சந்திரன்
104,Mond::N,चंद्र,சந்திரன்
105,Stern::N,तारा,நட்சத்திரம்
106,Stern::N,सितारा,நட்சத்திரம்
107,Luft::N,हवा,காறறு
108,Luft::N,वायु,காறறு
109,Wind::N,पाद,காற்று
110,Welle::N,लहर,அலை
111,Welle::N,तरंग,அலை
112,Wasser::N,जल,நீர்
113,Wasser::N,पानी,நீர்
114,Stein::N,पत्थर,கல்
115,Boden::N,मिट्टी,தரை
116,Erde::N,भूमि,மண்
117,Erde::N,ज़मीन,மண்
118,Staub::N,धूल,தூசி
119,Rauch::N,धूआँ,புகை
120,Rauch::N,धुम्र,புகை
121,Funke::N,चिनगारी,தீப்பொறி
122,Funke::N,स्फुलिंग,தீப்பொறி
123,Feuer::N,आग,தீ
124,Feuer::N,आतिश,தீ
125,Feuer::N,अग्नि,தீ
126,Licht::N,रोशनी,வெளிச்சம்
127,Licht::N,प्रकाश,வெளிச்சம்
128,Schatten::N,छाया,நிழல்
129,Schatten::N,परछाई,நிழல்
130,Wetter::N,ऋतु,வானிலை
131,Wetter::N,मौसम,வானிலை
132,Nebel::N,धुँध,பனிமூட்டம்
133,Nebel::N,कुहरा,பனிமூட்டம்
134,Wolke::N,मेघ,மேகம்
135,Wolke::N,अभ्र,மேகம்
136,Regen::N,मेंह,மழை
137,Regen::N,बारिश,மழை
138,Schnee::N,हिम,உறைபனி
139,Schnee::N,बर्फ़,உறைபனி
140,Eis::N,हिम,பனிக்கட்டி
141,Eis::N,बर्फ़,பனிக்கட்டி
142,Frost::N,ठंड,உறைபனி
143,Kälte::N,सर्दी,குளிர்ந்த
144,Kälte::N,शीतलता,குளிர்ந்த
145,Hitze::N,ताप,சூடு
146,Hitze::N,गरमी,சூடு
147,Raureif::N,पाला,உறைபனி வெண்திரை
148,Regenbogen::N,इंद्र-धनुष,வானவில்
149,Donner::N,गरज,இடி
