,Concept_ID,sah,lt
0,Auge::N,харах,akis
1,Ohr::N,кулгаах,ausis
2,Nase::N,мурун,nosis
3,Mund::N,айах,burna
4,Zahn::N,тиис,dantis
5,Zunge::N,тыл,liežuvis
6,Lippe::N,уос,lūpa
7,Wange::N,иэдэс,žandas
8,Wange::N,иэдэс,skruostas
9,Gesicht::N,сирэй,veidas
10,Stirn::N,сүүс,kakta
11,Haar::N,баттах,plaukai
12,Schnurrbart::N,уос бытыга,ūsai
13,Bart::N,сэҥийэ бытыга,barzda
14,Kinn::N,сэҥийэ,smakras
15,Kiefer[Anatomie]::N,сыҥаах,žandikaulis
16,Kehle::N,тамах,gerklė
17,Kehle::N,күөмэй,gerklė
18,Hals::N,моой,kaklas
19,Genick::N,кэтэх,sprandas
20,Kopf::N,бас,galva
21,Rücken::N,көҕүс,nugara
22,Bauch::N,ис,pilvas
23,Nabel::N,киин,bamba
24,Busen::N,эмиий,krūtinė
25,Brust::N,түөс,krūtis
26,Schulter::N,сарын,petys
27,Arm::N,илии,ranka
28,Ellenbogen::N,тоҕонох,alkūnė
29,Hand::N,илии,ranka
30,Hand::N,илии,plaštaka
31,Handfläche::N,ытыс,delnas
32,Handfläche::N,ытыс,plaštaka
33,Finger::N,тарбах,pirštas
34,Fingernagel::N,тыҥырах,nagas
35,Nagel[Anatomie]::N,тыҥырах,nagas
36,Zeh::N,тарбах,pirštas
37,Fuß::N,уллуҥах,pėda
38,Ferse::N,тилэх,kulnas
39,Knie::N,тобук,kelis
40,Knie::N,дьилбэк,kelis
41,Oberschenkel::N,уллук,kulšis
42,Oberschenkel::N,уллук,šlaunis
43,Oberschenkel::N,өттүк,kulšis
44,Oberschenkel::N,өттүк,šlaunis
45,Bein::N,атах,koja
46,Körper::N,бэйэ,kūnas
47,Haut::N,тирии,oda
48,Blut::N,хаан,kraujas
49,Ader::N,вена,kraujagyslė
50,Ader::N,күөх_тымыр,kraujagyslė
51,Sehne::N,иҥиир,sausgyslė
52,Knochen::N,уҥуох,kaulas
53,Knochen::N,уҥгуох,kaulas
54,Gehirn::N,мэйии,smegenys
55,Herz::N,сүрэх,širdis
56,Magen::N,куртах,skrandis
57,Leber::N,быар,kepenys
58,Atem::N,тыын,kvapas
59,Hunger::N,аас,badas
60,Hunger::N,аас,alkis
61,Träne::N,харах уута,ašara
62,Geschmack::N,амтан,skonis
63,Geruch::N,сыт,kvapas
64,Schlaf::N,утуйуу,miegas
65,Traum::N,түүл,sapnas
66,Himmel::N,халлаан,dangus
67,Sonne::N,күн,saulė
68,Mond::N,ый,mėnulis
69,Stern::N,сулус,žvaigždė
70,Luft::N,салгын,oras
71,Wind::N,тыал,vėjas
72,Welle::N,долгун,banga
73,Welle::N,долгун,vilnis
74,Welle::N,балхаан,banga
75,Welle::N,балхаан,vilnis
76,Wasser::N,уу,vanduo
77,Stein::N,таас,akmuo
78,Boden::N,сир,žemė
79,Boden::N,сир,dugnas
80,Erde::N,буор,žemė
81,Staub::N,быыл,dulkės
82,Rauch::N,буруо,dūmai
83,Funke::N,кыым,kibirkštis
84,Feuer::N,уот,ugnis
85,Licht::N,уот,šviesa
86,Schatten::N,күлүк,paūksmė
87,Wetter::N,күн-дьыл,oras
88,Nebel::N,туман,migla
89,Nebel::N,туман,rūkas
90,Wolke::N,былыт,debesis
91,Regen::N,самыыр,lietus
92,Schnee::N,хаар,sniegas
93,Eis::N,муус,ledas
94,Frost::N,тымныы,šalna
95,Kälte::N,тымныы,šaltis
96,Hitze::N,куйаас,karštis
97,Raureif::N,кырыа,šerkšnas
98,Regenbogen::N,кустук,vaivorykštė
99,Donner::N,этиҥ,perkūnas
100,Donner::N,этиҥ,griaustinis
101,Strömung::N,сүүрүк,tėkmė
102,Tropfen::N,таммах,lašas
103,Tropfen::N,хааппыла,lašas
104,Schaum::N,күүгэн,putos
105,Schmutz::N,кир,purvas
106,See::N,күөл,ežeras
107,Sumpf::N,бадараан,klampynė
108,Sumpf::N,бадараан,liūnas
109,Moor::N,дьэбэрэ,pelkė
110,Wiese::N,ходуһа,pieva
111,Wald::N,ойуур,miškas
112,Hügel::N,булгунньах,kalva
113,Anhöhe::N,үрдэл,kauburys
114,Berg::N,хайа,kalnas
115,Gipfel::N,чыпчаал,viršūnė
116,Höhle::N,хайа_хаспаҕа,ola
117,Höhle::N,көҥүс,ola
118,Abhang::N,эниэ,šlaitas
119,Abhang::N,эниэ,nuokalnė
120,Quelle::N,дьүүктэ,versmė
121,Quelle::N,дьүүктэ,šaltinis
122,Bach::N,үрүйэ,upelis
123,Fluss::N,өрүс,upė
124,Ufer::N,биэрэк,krantas
125,Küste::N,кытыл,pajūris
126,Festland::N,кураанах сир,sausuma
127,Meer::N,муора,jūra
128,Bucht::N,хомо,įlanka
129,Bucht::N,хомо,užutekis
130,Bucht::N,бухта,įlanka
131,Bucht::N,бухта,užutekis
132,Insel::N,арыы,sala
133,Blume::N,сибэкки,gėlė
134,Gras::N,от,žolė
135,Wurzel::N,силис,šaknis
136,Baum::N,мас,medis
137,Stamm::N,умнас,kamienas
138,Rinde::N,хатырык,žievė
139,Ast::N,мутук,šaka
140,Zweig::N,лабаа,šakelė
141,Blatt::N,сэбирдэх,lapas
142,Birke::N,хатыҥ,beržas
143,Kiefer[Baum]::N,бэс,pušis
144,Weide[Baum]::N,үөт,karklas
145,Weide[Baum]::N,талах,karklas
146,Tanne::N,харыйа,eglė
147,Tanne::N,харыйа,kėnis
148,Horn::N,муос,ragas
149,Feder::N,куорсун,plunksna
150,Fell::N,тирии,kailis
151,Flügel::N,кынат,sparnas
152,Klaue::N,тыҥырах,kanopa
153,Kralle::N,баппаҕай,nagas
154,Schwanz::N,кутурук,uodega
155,Ei::N,сымыыт,kiaušinis
156,Nest::N,уйа,gūžta
157,Nest::N,уйа,lizdas
158,Bau::N,хороон,ola
159,Tier::N,кыыл,gyvūnas
160,Tier::N,харамай,gyvūnas
161,Herde::N,үөр,banda
162,Herde::N,үөр,kaimenė
163,Kuh::N,ынах,karvė
164,Bulle::N,оҕус,bulius
165,Pferd::N,сылгы,arklys
166,Schaf::N,овца,avis
167,Schwein::N,сибиинньэ,kiaulė
168,Hund::N,ыт,šuo
169,Katze::N,куоска,katė
170,Bär::N,эһэ,lokys
171,Eichhörnchen::N,тииҥ,voveraitė
172,Elch::N,тайах,briedis
173,Fuchs::N,саһыл,lapė
174,Hase::N,куобах,kiškas
175,Maus::N,кутуйах,pelė
176,Wolf::N,бөрө,vilkas
177,Vogel::N,көтөр,paukštis
178,Schwarm::N,бөлөх,spiečius
179,Huhn::N,куурусса,višta
180,Hahn::N,бөтүүк,gaidys
181,Gans::N,хаас,žąsis
182,Adler::N,хотой,erelis
183,Ente::N,кус,antis
184,Eule::N,мэкчиргэ,pelėda
185,Kranich::N,туруйа,gervė
186,Krähe::N,тураах,varna
187,Kuckuck::N,кэҕэ,gegužė
188,Schwan::N,куба,gulbė
189,Fisch::N,балык,žuvis
190,Barsch::N,алыһар,ešerys
191,Hecht::N,сордон,lydeka
192,Schlange[Tier]::N,моҕой,gyvatė
193,Schlange[Tier]::N,эриэн үөн,gyvatė
194,Wurm::N,үөн,kirmėlė
195,Spinne::N,ооҕуй,voras
196,Ameise::N,кымырдаҕас,skruzdė
197,Laus::N,быт,utėlė
198,Mücke::N,кумаар,uodas
199,Fliege::N,сахсырҕа,musė
200,Schmetterling::N,лыах,drugys
201,Schmetterling::N,лыах,peteliškė
202,Schmetterling::N,үрүмэччи,drugys
203,Schmetterling::N,үрүмэччи,peteliškė
204,Beere::N,отон,uoga
205,Apfel::N,яблоко,obuolys
206,Pilz::N,тэллэй,grybas
207,Zwiebel::N,луук,svogūnas
208,Saat::N,сиэмэ,sėkla
209,Korn::N,сиэмэ,grūdai
210,Heu::N,от,šienas
211,Schale::N,хах,žievelė
212,Grube::N,дьаама,duobė
213,Falle::N,сохсо,pinklės
214,Falle::N,сохсо,žabangai
215,Schlinge::N,уктаа,kilpa
216,Spur::N,суол,vėžė
217,Spur::N,суол,pėdos
218,Spur::N,суол,pėdsakas
219,Asche::N,күл,pelenai
220,Dreck::N,бадараан,purvas
221,Eisen::N,тимир,geležis
222,Gold::N,көмүс,auksas
223,Gold::N,кыһыл көмүс,auksas
224,Silber::N,көмүс,sidabras
225,Silber::N,үрүҥ көмүс,sidabras
226,Kohle::N,чох,anglis
227,Glas::N,өстүөкүлэ,stiklas
228,Lehm::N,туой,molis
229,Sand::N,кумах,smėlis
230,Mensch::N,киһи,žmogus
231,Mann::N,эр,vyras
232,Mann::N,эр,vyriškis
233,Frau::N,дьахтар,moteris
234,Kind::N,оҕо,vaikas
235,Junge::N,уол,vaikinas
236,Junge::N,уол,berniukas
237,Mädchen::N,кыыс оҕо,mergytė
238,Mädchen::N,кыыс оҕо,mergaitė
239,Familie::N,кэргэн,šeima
240,Großvater::N,эһэ,senelis
241,Großmutter::N,эбэ,senelė
242,Eltern::N,аҕа-ийэ,tėvai
243,Vater::N,аҕа,tėvas
244,Mutter::N,ийэ,motina
245,Sohn::N,уол,sūnus
246,Tochter::N,кыыс,duktė
247,Bruder::N,убай,brolis
248,Bruder::N,быраат,brolis
249,Schwester::N,аҕас,sesuo
250,Schwester::N,балыс,sesuo
251,Onkel::N,таай,dėdė
252,Onkel::N,абаҕа,dėdė
253,Tante::N,эдьиий,teta
254,Ehemann::N,эр,vyras
255,Ehefrau::N,ойох,žmona
256,Freude::N,үөрүү,džiaugsmas
257,Gelächter::N,күлүү,juokas
258,Glück::N,дьол,laimė
259,Glück::N,соргу,laimė
260,Kummer::N,кутурҕан,vargas
261,Kummer::N,кутурҕан,rūpestis
262,Wunsch::N,баҕарыы,troškimas
263,Wunsch::N,баҕарыы,pageidavimas
264,Lust::N,баҕа,noras
265,Lust::N,баҕа,geidulys
266,Geist::N,тыын,dvasia
267,Gedanke::N,санаа,mintis
268,Gedächtnis::N,өй,atmintis
269,Verstand::N,өй,protas
270,Sinn::N,суолта,prasmė
271,Grund::N,төрүөт,priežastis
272,Wahrheit::N,кырдьык,tiesa
273,Wahrheit::N,кырдьык,teisybė
274,Gespräch::N,бэсиэдэ,pokalbis
275,Gespräch::N,кэпсэтии,pokalbis
276,Märchen::N,остуоруйа,pasaka
277,Erzählung::N,кэпсээн,apsakymas
278,Erzählung::N,кэпсээн,pasakojimas
279,Nachricht::N,биллэриллии,žinia
280,Neuigkeit::N,сонун,naujiena
281,Name::N,аат,vardas
282,Rätsel::N,таабырын,mįslė
283,Rede::N,этии,kalba
284,Sprache::N,тыл,kalba
285,Stimme::N,куолас,balsas
286,Wort::N,тыл,žodis
287,Zeichen::N,бэлиэ,žymė
288,Zeichen::N,бэлиэ,ženklas
289,Ruf::N,ыҥырыы,šauksmas
290,Lärm::N,айдаан,triukšmas
291,Laut::N,тыас,garsas
292,Ton::N,дорҕоон,tonas
293,Ton::N,дорҕоон,garsas
294,Lied::N,ырыа,daina
295,Lied::N,ырыа,giesmė
296,Ruhe::N,уу чуумпу,ramybė
297,Ruhe::N,уу чуумпу,ramumas
298,Leute::N,дьон,žmonės
299,Volk::N,дьон,tauta
300,Volk::N,норуот,tauta
301,Arbeit::N,үлэ,darbas
302,Arbeit::N,үлэ,triūsas
303,Gast::N,ыалдьыт,svečias
304,Geschenk::N,бэлэх,dovana
305,Spiel::N,оонньуу,žaismas
306,Spiel::N,оонньуу,žaidimas
307,Gesellschaft::N,общество,draugija
308,Gesellschaft::N,общество,kompanija
309,Hilfe::N,көмө,pagalba
310,Freund::N,доҕор,draugas
311,Freund::N,доҕор,bičiulis
312,Kamerad::N,атас,draugas
313,Angelegenheit::N,дьыала,dalykas
314,Angelegenheit::N,дьыала,reikalas
315,Anzahl::N,ахсаан,kiekis
316,Anzahl::N,ахсаан,skaičius
317,Art::N,биис,rūšis
318,Stück::N,кырбас,gabalas
319,Teil::N,ирээт,dalis
320,Hälfte::N,аҥар,pusė
321,Kreis::N,төгүрүк,ratas
322,Kreis::N,төгүрүк,apskritis
323,Kreis::N,төгүрүк,apskritimas
324,Kreis::N,төгүрүмтэ,ratas
325,Kreis::N,төгүрүмтэ,apskritis
326,Kreis::N,төгүрүмтэ,apskritimas
327,Kreuz::N,кириэс,kryžius
328,Linie::N,сурааһын,linija
329,Strich::N,сурааһын,brėžis
330,Strich::N,сурааһын,brūkšnys
331,Abstand::N,арыт,atstumas
332,Entfernung::N,ыраах,atstumas
333,Gegend::N,сир,vietovė
334,Platz::N,арыт,vieta
335,Ort::N,сир,vieta
336,Ort::N,сир,vietovė
337,Seite::N,өрүт,pusė
338,Seite::N,өрүт,šonas
339,Seite::N,сирэй,pusė
340,Seite::N,сирэй,šonas
341,Mitte::N,орто,vidurys
342,Gegenstand::N,предмет,dalykas
343,Sache::N,мал,daiktas
344,Rand::N,кытыы,kraštas
345,Rand::N,кытыы,pakraštys
346,Rand::N,ойоҕос,kraštas
347,Rand::N,ойоҕос,pakraštys
348,Kante::N,кырыы,kraštas
349,Ecke::N,муннук,kertė
350,Ecke::N,муннук,kampas
351,Spitze::N,чыпчаал,priekis
352,Spitze::N,чыпчаал,priešakys
353,Ende::N,төбө,galas
354,Loch::N,тэһэҕэс,skylė
355,Loch::N,дьөлөҕөс,skylė
356,Winkel::N,муннук,kampas
357,Winkel::N,муннук,kampelis
358,Muster::N,оһуор,raštas
359,Größe::N,кээмэй,dydis
360,Größe::N,кээмэй,didumas
361,Länge::N,уста,ilgis
362,Länge::N,уста,ilgumas
363,Höhe::N,үрдүк,aukštis
364,Höhe::N,үрдүк,aukštuma
365,Gewicht::N,ыйааһын,svoris
366,Gewicht::N,ыйааһын,svarstis
367,Menge::N,ахсаан,kiekis
368,Menge::N,ахсаан,daugybė
369,Haufen::N,чөмчөх,krūva
370,Haufen::N,чөмчөх,šūsnis
371,Reihe::N,кэккэ,greta
372,Boot::N,оҥочо,valtis
373,Boot::N,оҥочо,laivelis
374,Ruder::N,эрдии,irklas
375,Schlitten::N,сыарҕа,rogės
376,Schlitten::N,сыарҕа,rogutės
377,Ski::N,хайыһар,slidė
378,Lagerfeuer::N,кутаа,laužas
379,Last::N,ыарахан,našta
380,Last::N,ыарахан,nešulys
381,Gang::N,хаамыы,eisena
382,Schritt::N,хардыы,žingsnis
383,Norden::N,хоту,šiaurė
384,Norden::N,хоту,žiemiai
385,Süden::N,соҕуруу,pietūs
386,Westen::N,арҕаа,vakarai
387,Osten::N,илин,rytai
388,Holz::N,мас,mediena
389,Brett::N,дуоска,lenta
390,Brett::N,хаптаһын,lenta
391,Platte::N,билиитэ,plokštė
392,Stütze::N,тулааһын,atrama
393,Stütze::N,тулааһын,atspara
394,Stange::N,ураҕас,lazda
395,Stange::N,ураҕас,kartis
396,Stock::N,мас,lazda
397,Stock::N,баалкы,lazda
398,Stab::N,ураҕас,kartis
399,Rohr::N,турба,vamzdis
400,Haus::N,дьиэ,namas
401,Heim::N,дьиэ,namai
402,Ofen::N,оһох,krosnis
403,Fußboden::N,муоста,grindys
404,Tisch::N,остуол,stalas
405,Stuhl::N,устуул,kėdė
406,Wiege::N,биһик,lopšys
407,Bett::N,кырабаат,lova
408,Bett::N,кырабаат,patalai
409,Regal::N,долбуур,lentyna
410,Kiste::N,дьааһык,dėžė
