,Concept_ID,os,hi
0,Auge::N,цӕст,आँख
1,Auge::N,цӕст,चक्षु
2,Ohr::N,хъус,कान
3,Ohr::N,хъус,कर्ण
4,Nase::N,фындз,नाक
5,Nase::N,фындз,नासा
6,Mund::N,дзых,मुख
7,Mund::N,дзых,मुँह
8,Zahn::N,дӕндаг,दंत
9,Zahn::N,дӕндаг,दाँत
10,Zunge::N,ӕвзаг,जीभ
11,Zunge::N,ӕвзаг,ज़बान
12,Zunge::N,ӕвзаг,जिह्वा
13,Lippe::N,был,ओंठ
14,Lippe::N,был,होंठ
15,Wange::N,рус,गाल
16,Wange::N,рус,कपोल
17,Wange::N,уадул,गाल
18,Wange::N,уадул,कपोल
19,Wange::N,ӕхсӕрфарс,गाल
20,Wange::N,ӕхсӕрфарс,कपोल
21,Gesicht::N,цӕсгом,मुँह
22,Gesicht::N,цӕсгом,चेहरा
23,Stirn::N,ных,माथा
24,Stirn::N,ных,मस्तक
25,Haar::N,хил,बाल
26,Schnurrbart::N,рихи,मूँछें
27,Bart::N,зачъе,दाढ़ी
28,Kinn::N,роцъо,चिबुक
29,Kiefer[Anatomie]::N,ӕфсӕр,जबड़ा
30,Kehle::N,хъуыр,गला
31,Hals::N,къубал,गला
32,Hals::N,къубал,गरदन
33,Genick::N,къӕбут,गरदन
34,Genick::N,къӕбут,ग्रीवा
35,Kopf::N,сӕр,सिर
36,Kopf::N,сӕр,शीर्ष
37,Rücken::N,фӕсонтӕ,पीठ
38,Bauch::N,гуыбын,उदर
39,Nabel::N,бикъ,नाभि
40,Nabel::N,бикъ,ढोंढी
41,Busen::N,дзидзи,कुच
42,Busen::N,дзидзи,स्तन
43,Brust::N,риу,वक्ष
44,Schulter::N,уӕхск,कंधा
45,Schulter::N,уӕхск,स्कंध
46,Arm::N,цонг,बाँह
47,Arm::N,цонг,बाज़ू
48,Ellenbogen::N,рæмбын,कुहनी
49,Hand::N,къух,हाथ
50,Hand::N,къух,हस्त
51,Handfläche::N,армытъӕпӕн,हथेली
52,Finger::N,ӕнруылдз,उँगली
53,Finger::N,ӕнруылдз,अँगुली
54,Fingernagel::N,ных,नख
55,Fingernagel::N,ных,नाख़ून
56,Nagel[Anatomie]::N,ных,नख
57,Nagel[Anatomie]::N,ных,नाख़ून
58,Zeh::N,къух,उँगली
59,Zeh::N,къух,पाँव की उँगली
60,Fuß::N,фад,चरण
61,Fuß::N,фад,पाँव
62,Ferse::N,зӕвӕт,एड़ी
63,Knie::N,уӕраг,जानु
64,Knie::N,уӕраг,घुटना
65,Oberschenkel::N,агъд,उरु
66,Bein::N,зӕнг,टाँग
67,Körper::N,буар,तन
68,Körper::N,буар,देह
69,Körper::N,буар,शरीर
70,Haut::N,царм,चर्म
71,Haut::N,царм,त्वचा
72,Blut::N,туг,लहू
73,Blut::N,туг,ख़ून
74,Ader::N,дадзин,रग
75,Ader::N,дадзин,शिरा
76,Ader::N,тугдадзин,रग
77,Ader::N,тугдадзин,शिरा
78,Sehne::N,хъиутæ,कंडरा
79,Sehne::N,хъиутæ,स्नायु
80,Sehne::N,нуар,कंडरा
81,Sehne::N,нуар,स्नायु
82,Knochen::N,стӕг,अस्थि
83,Gehirn::N,магъз,दिमाग़
84,Gehirn::N,магъз,मस्तिष्क
85,Herz::N,зӕрдӕ,दिल
86,Herz::N,зӕрдӕ,हृदय
87,Magen::N,ахсӕн,मेदा
88,Magen::N,ахсӕн,अमाशय
89,Leber::N,игæр,जिगर
90,Leber::N,игæр,यकृत्
91,Atem::N,улӕфт,दम
92,Atem::N,улӕфт,साँस
93,Atem::N,улӕфт,श्वास
94,Hunger::N,стонг,भूख
95,Hunger::N,стонг,क्षुधा
96,Träne::N,цæссыг,आँसू
