,Concept_ID,mrj,hu
0,Auge::N,сӹнзӓ,szem
1,Ohr::N,пӹлӹш,fül
2,Nase::N,нер,orr
3,Mund::N,ышма,száj
4,Zahn::N,пӱ,fog
5,Zunge::N,йӹлмӹ,nyelv
6,Lippe::N,тӹрвӹ,ajak
7,Wange::N,шӹргӹ,orca
8,Gesicht::N,лицӓ,arc
9,Stirn::N,лепкӓ,homlok
10,Haar::N,ӱп,haj
11,Schnurrbart::N,öрш,bajusz
12,Bart::N,пандаш,szakáll
13,Kinn::N,онгылаш,áll
14,Kiefer[Anatomie]::N,пӱ арата,állkapocs
15,Kehle::N,логер,gége
16,Kehle::N,логер,torok
17,Hals::N,шӱ,nyak
18,Genick::N,ланга,tarkó
19,Kopf::N,вуй,fő
20,Kopf::N,вуй,fej
21,Rücken::N,туп,hát
22,Bauch::N,мӹшкӹр,has
23,Nabel::N,кӹлӹмдӹ,köldök
24,Busen::N,цӹзӹ,mell
25,Busen::N,цӹзӹ,kebel
26,Brust::N,мел,mell
27,Schulter::N,ӹнгӹжӓ,váll
28,Arm::N,кид,kar
29,Ellenbogen::N,кӹнервуй,könyök
30,Hand::N,лапа,kéz
31,Handfläche::N,кид лапа,tenyér
32,Finger::N,парня,ujj
33,Fingernagel::N,кӹч,köröm
34,Nagel[Anatomie]::N,кӹч,köröm
35,Zeh::N,парня,lábujj
36,Fuß::N,ял лапа,láb
37,Ferse::N,ялгавал,sarok
38,Ferse::N,ял кавал,sarok
39,Knie::N,пылвуй,térd
40,Oberschenkel::N,ӓрдӹ,comb
41,Bein::N,ял,láb
42,Bein::N,ял,lábszár
43,Körper::N,монгыр,test
44,Haut::N,кавашты,bőr
45,Blut::N,вӹр,vér
46,Ader::N,вӹршӓр,ér
47,Sehne::N,кукшышӱн,ín
48,Knochen::N,лу,csont
49,Gehirn::N,вим,agy
50,Gehirn::N,вим,agyvelő
51,Herz::N,шӱм,szív
52,Magen::N,шӱм,gyomor
53,Leber::N,мокш,máj
54,Atem::N,шӱлӹш,lehelet
55,Atem::N,шӱлӹш,lélegzet
56,Hunger::N,шужымаш,éhség
57,Träne::N,сӹнзӓвӹд,könny
58,Geschmack::N,тот,íz
59,Geruch::N,пыш,szag
60,Schlaf::N,ом,álom
61,Schlaf::N,ом,alvás
62,Traum::N,ом,álom
63,Himmel::N,пӹлгом,ég
64,Himmel::N,пӹлгом,menny
65,Sonne::N,кечӹ,nap
66,Mond::N,тӹлзӹ,hold
67,Stern::N,шӹдӹр,csillag
68,Luft::N,юж,levegő
69,Luft::N,воздух,levegő
70,Wind::N,мардеж,szél
71,Welle::N,ко,hullám
72,Welle::N,коэ,hullám
73,Wasser::N,вӹд,víz
74,Stein::N,кӱ,kő
75,Boden::N,рок,föld
76,Boden::N,рок,talaj
77,Erde::N,свет,föld
78,Staub::N,пырак,por
79,Rauch::N,шӹкш,füst
80,Funke::N,ип,szikra
81,Funke::N,тылип,szikra
82,Feuer::N,тыл,tűz
83,Licht::N,соты,fény
84,Licht::N,валгыды,fény
85,Schatten::N,ӹмӹл,árnyék
86,Wetter::N,игечӹ,idő
87,Wetter::N,игечӹ,időjárás
88,Nebel::N,тӹтӹрӓ,köd
89,Wolke::N,пӹл,felhő
90,Regen::N,юр,eső
91,Schnee::N,лым,hó
92,Eis::N,и,jég
93,Frost::N,ӱштӹ,fagy
94,Kälte::N,ӱштӹ,hideg
95,Hitze::N,шокшы,hő
96,Hitze::N,шокшы,hőség
97,Raureif::N,пöрш,zúzmara
98,Regenbogen::N,шанавӹл,szivárvány
99,Donner::N,хӹдӹртӹш,dörgés
100,Donner::N,хӹдӹртӹш,mennydörgés
101,Strömung::N,йогы,áramlat
102,Tropfen::N,капльы,csepp
103,Tropfen::N,капльык,csepp
104,Schaum::N,шонг,hab
105,Schaum::N,шонг,tajték
