,Concept_ID,hr,hi
0,Auge::N,oko,आँख
1,Auge::N,oko,चक्षु
2,Ohr::N,uho,कान
3,Ohr::N,uho,कर्ण
4,Nase::N,nos,नाक
5,Nase::N,nos,नासा
6,Mund::N,usta,मुख
7,Mund::N,usta,मुँह
8,Zahn::N,zub,दंत
9,Zahn::N,zub,दाँत
10,Zunge::N,jezik,जीभ
11,Zunge::N,jezik,ज़बान
12,Zunge::N,jezik,जिह्वा
13,Lippe::N,usna,ओंठ
14,Lippe::N,usna,होंठ
15,Wange::N,obraz,गाल
16,Wange::N,obraz,कपोल
17,Gesicht::N,lice,मुँह
18,Gesicht::N,lice,चेहरा
19,Stirn::N,čelo,माथा
20,Stirn::N,čelo,मस्तक
21,Haar::N,kosa,बाल
22,Schnurrbart::N,brkovi,मूँछें
23,Bart::N,brada,दाढ़ी
24,Kinn::N,brada,चिबुक
25,Kinn::N,podbradak,चिबुक
26,Kiefer[Anatomie]::N,čeljust,जबड़ा
27,Kehle::N,grlo,गला
28,Hals::N,vrat,गला
29,Hals::N,vrat,गरदन
30,Genick::N,zatiljak,गरदन
31,Genick::N,zatiljak,ग्रीवा
32,Kopf::N,glava,सिर
33,Kopf::N,glava,शीर्ष
34,Rücken::N,leđa,पीठ
35,Rücken::N,hrbat,पीठ
36,Bauch::N,trbuh,उदर
37,Nabel::N,pupak,नाभि
38,Nabel::N,pupak,ढोंढी
39,Busen::N,sisa,कुच
40,Busen::N,sisa,स्तन
41,Busen::N,njedra,कुच
42,Busen::N,njedra,स्तन
43,Brust::N,prsa,वक्ष
44,Schulter::N,rame,कंधा
45,Schulter::N,rame,स्कंध
46,Schulter::N,pleći,कंधा
47,Schulter::N,pleći,स्कंध
48,Arm::N,ruka,बाँह
49,Arm::N,ruka,बाज़ू
50,Ellenbogen::N,lakat,कुहनी
51,Hand::N,ruka,हाथ
52,Hand::N,ruka,हस्त
53,Handfläche::N,dlan,हथेली
54,Finger::N,prst,उँगली
55,Finger::N,prst,अँगुली
56,Fingernagel::N,nokat,नख
57,Fingernagel::N,nokat,नाख़ून
58,Nagel[Anatomie]::N,nokat,नख
59,Nagel[Anatomie]::N,nokat,नाख़ून
60,Zeh::N,nozni prst,उँगली
61,Zeh::N,nozni prst,पाँव की उँगली
62,Fuß::N,noga,चरण
63,Fuß::N,noga,पाँव
64,Fuß::N,stopalo,चरण
65,Fuß::N,stopalo,पाँव
66,Ferse::N,peta,एड़ी
67,Knie::N,koljeno,जानु
68,Knie::N,koljeno,घुटना
69,Oberschenkel::N,bedro,उरु
70,Bein::N,noga,टाँग
71,Körper::N,tijelo,तन
72,Körper::N,tijelo,देह
73,Körper::N,tijelo,शरीर
74,Haut::N,put,चर्म
75,Haut::N,put,त्वचा
76,Haut::N,koža,चर्म
77,Haut::N,koža,त्वचा
78,Blut::N,krv,लहू
79,Blut::N,krv,ख़ून
80,Ader::N,žila,रग
81,Ader::N,žila,शिरा
82,Sehne::N,tetiva,कंडरा
83,Sehne::N,tetiva,स्नायु
84,Knochen::N,kost,अस्थि
85,Herz::N,srce,दिल
86,Herz::N,srce,हृदय
87,Magen::N,stomak,मेदा
88,Magen::N,stomak,अमाशय
89,Magen::N,želudac,मेदा
90,Magen::N,želudac,अमाशय
91,Leber::N,jetra,जिगर
92,Leber::N,jetra,यकृत्
93,Atem::N,dah,दम
94,Atem::N,dah,साँस
95,Atem::N,dah,श्वास
96,Hunger::N,glad,भूख
97,Hunger::N,glad,क्षुधा
98,Träne::N,suza,आँसू
99,Träne::N,suza,अश्रु
100,Geschmack::N,ukus,स्वाद
101,Geschmack::N,ukus,ज़ायक़ा
102,Geruch::N,njuh,बू
103,Geruch::N,njuh,गंध
