,Concept_ID,fr,sk
0,Auge::N,œil,oko
1,Ohr::N,oreille,ucho
2,Nase::N,nez,nos
3,Mund::N,bouche,ústa
4,Zahn::N,dent,zub
5,Zunge::N,langue,jazyk
6,Lippe::N,lèvre,pera
7,Wange::N,joue,líce
8,Gesicht::N,face,tvár
9,Gesicht::N,face,obličaj
10,Gesicht::N,visage,tvár
11,Gesicht::N,visage,obličaj
12,Stirn::N,front,čelo
13,Haar::N,cheveu,vlas
14,Schnurrbart::N,moustache,fúzy
15,Bart::N,barbe,brada
16,Kinn::N,menton,brada
17,Kiefer[Anatomie]::N,mâchoire,čeľusť
18,Kehle::N,gorge,hrdlo
19,Hals::N,cou,krk
20,Genick::N,nuque,väzy
21,Kopf::N,tête,hlava
22,Rücken::N,dos,chrbát
23,Bauch::N,ventre,brucho
24,Nabel::N,nombril,pupok
25,Busen::N,sein,prsia
26,Brust::N,poitrine,hruď
27,Schulter::N,épaule,plece
28,Arm::N,bras,rameno
29,Ellenbogen::N,coude,lakeť
30,Hand::N,main,ruka
31,Handfläche::N,paume,dlaň
32,Finger::N,doigt,prst
33,Fingernagel::N,ongle,necht
34,Nagel[Anatomie]::N,ongle,necht
35,Zeh::N,orteil,prst na nohe
36,Zeh::N,doigt de pied,prst na nohe
37,Fuß::N,pied,noha
38,Ferse::N,talon,päta
39,Knie::N,genou,koleno
40,Oberschenkel::N,cuisse,stehno
41,Bein::N,jambe,noha
42,Körper::N,corps,telo
43,Haut::N,peau,koža
44,Blut::N,sang,krv
45,Ader::N,veine,žila
46,Sehne::N,tendon,šľacha
47,Knochen::N,os,kosť
48,Gehirn::N,cerveau,mozog
49,Herz::N,cœur,srdce
50,Magen::N,estomac,žalúdok
51,Leber::N,foie,pečeň
52,Atem::N,haleine,dych
53,Hunger::N,faim,hlad
54,Träne::N,larme,slza
55,Geschmack::N,goût,chuť
56,Geschmack::N,saveur,chuť
57,Geruch::N,odeur,pach
58,Schlaf::N,sommeil,spánok
59,Traum::N,songe,sen
60,Himmel::N,ciel,nebo
61,Sonne::N,soleil,slnko
62,Mond::N,lune,mesiac
63,Stern::N,étoile,hviezda
64,Luft::N,air,vzduch
65,Wind::N,vent,vietor
66,Welle::N,vague,vlna
67,Wasser::N,eau,voda
68,Stein::N,pierre,kameň
69,Boden::N,sol,zem
70,Boden::N,sol,pôda
71,Boden::N,terrain,zem
