,Concept_ID,vep,mn
0,Auge::N,sil'm,нүд
1,Ohr::N,korv,чих
2,Nase::N,nena,хамар
3,Mund::N,su,ам
4,Zahn::N,pi,шүд
5,Zahn::N,hambaz,шүд
6,Zunge::N,kel',хэл
7,Lippe::N,hul',уруул
8,Wange::N,modpolišk,хацар
9,Gesicht::N,mod,царай
10,Gesicht::N,mod,нүүр
11,Stirn::N,oc,дух
12,Haar::N,tuk,үс
13,Haar::N,hibuz,үс
14,Schnurrbart::N,habinod,дээд сахал
15,Schnurrbart::N,habinod,живэр сахал
16,Bart::N,bard,сахал
17,Kinn::N,löug,эрүү
18,Kiefer[Anatomie]::N,hambazlu,эрүү
19,Kehle::N,kurk,хоолой
20,Hals::N,kagl,хүзүү
21,Genick::N,tagarai,шил
22,Genick::N,tagarai,хүзүү
23,Kopf::N,pä,толгой
24,Rücken::N,sel'g,ар
25,Rücken::N,sel'g,нуруу
26,Bauch::N,vac,хэвлий
27,Bauch::N,vac,гэдэс
28,Bauch::N,koht,хэвлий
29,Bauch::N,koht,гэдэс
30,Nabel::N,naba,хүйс
31,Busen::N,niža,хөх
32,Brust::N,rind,цээж
33,Schulter::N,oug,мөр
34,Schulter::N,oug,бугалга
35,Arm::N,käzi,гар
36,Ellenbogen::N,künambruz,тохой
37,Hand::N,käzi,гар
38,Hand::N,käzi,алга
39,Hand::N,käzitera,гар
40,Hand::N,käzitera,алга
41,Handfläche::N,kämen,алга
42,Finger::N,sor'm,хуруу
43,Fingernagel::N,künz',хурууны хумс
44,Nagel[Anatomie]::N,künz',хумс
45,Zeh::N,barbaz,хуруу
46,Fuß::N,jaug,хөл
47,Ferse::N,kand,өсгий
48,Knie::N,komb,өвдөг
49,Knie::N,pol'v,өвдөг
50,Oberschenkel::N,riiže,гуя
51,Bein::N,jaug,хөл
52,Körper::N,hibj,бие
53,Haut::N,nahk,арьс
54,Blut::N,čak,цус
55,Blut::N,veri,цус
56,Ader::N,son',судас
57,Sehne::N,jände,бүлх
58,Sehne::N,jände,шандас
59,Knochen::N,lu,яс
60,Gehirn::N,aivod,тархи
61,Herz::N,südäin,зүрх
62,Magen::N,südäikoht,ходоод
63,Leber::N,maks,элэг
64,Atem::N,hengaiduz,амьсгаа
65,Hunger::N,näl'g,өлсгөлөн
66,Träne::N,kündal',нулимс
67,Geschmack::N,magu,амт
68,Geruch::N,haju,үнэр
69,Schlaf::N,uni,нойр
70,Traum::N,unikuva,зүүд
71,Himmel::N,taivaz,тэнгэр
72,Himmel::N,taivaz,огторгуй
73,Sonne::N,päiväine,нар
74,Mond::N,kudmaine,сар
75,Stern::N,tähtaz,од
76,Luft::N,il'm,агаар
77,Wind::N,döl,салхи
78,Wind::N,tullei,салхи
79,Welle::N,ald,долгио
80,Welle::N,ald,давалгаа
81,Welle::N,laineh,долгио
82,Welle::N,laineh,давалгаа
83,Wasser::N,vezi,ус
84,Stein::N,kivi,чулуу
85,Boden::N,ma,хөрс
86,Boden::N,pohj,хөрс
87,Erde::N,ma,газар
88,Erde::N,ma,шороо
89,Staub::N,pölü,тоос
90,Rauch::N,savu,утаа
91,Funke::N,kibin,оч
92,Feuer::N,lämoi,гал
93,Licht::N,vauktuz,гэрэл
94,Licht::N,vauktuz,гэгээ
95,Schatten::N,pil'vez,сүүдэр
96,Schatten::N,kuvahaine,сүүдэр
97,Wetter::N,sä,тэнгэр
98,Wetter::N,sä,цаг уур
99,Nebel::N,sumeg,будан
100,Wolke::N,pil'v,үүл
101,Regen::N,vihm,бороо
102,Schnee::N,lumi,цас
103,Eis::N,jä,мөс
104,Frost::N,hala,хүйт
