,Concept_ID,mn,bg
0,Auge::N,нүд,око
1,Ohr::N,чих,ухо
2,Nase::N,хамар,нос
3,Mund::N,ам,уста
4,Zahn::N,шүд,зъб
5,Zunge::N,хэл,език
6,Lippe::N,уруул,устна
7,Wange::N,хацар,буза
8,Gesicht::N,царай,лице
9,Gesicht::N,царай,образ
10,Gesicht::N,нүүр,лице
11,Gesicht::N,нүүр,образ
12,Stirn::N,дух,чело
13,Haar::N,үс,коса
14,Haar::N,үс,косъм
15,Schnurrbart::N,дээд сахал,мустаци
16,Schnurrbart::N,живэр сахал,мустаци
17,Bart::N,сахал,брада
18,Kinn::N,эрүү,брада
19,Kinn::N,эрүү,брадичка
20,Kiefer[Anatomie]::N,эрүү,челюст
21,Kehle::N,хоолой,гърло
22,Hals::N,хүзүү,врат
23,Genick::N,шил,тил
24,Genick::N,хүзүү,тил
25,Kopf::N,толгой,глава
26,Rücken::N,ар,гръб
27,Rücken::N,нуруу,гръб
28,Bauch::N,хэвлий,корем
29,Bauch::N,гэдэс,корем
30,Nabel::N,хүйс,пъп
31,Busen::N,хөх,бозка
32,Brust::N,цээж,гръд
33,Schulter::N,мөр,рамо
34,Schulter::N,мөр,плещи
35,Schulter::N,бугалга,рамо
36,Schulter::N,бугалга,плещи
37,Arm::N,гар,ръка
38,Ellenbogen::N,тохой,лакът
39,Hand::N,гар,ръка
40,Hand::N,гар,китка
41,Hand::N,алга,ръка
42,Hand::N,алга,китка
43,Handfläche::N,алга,длан
44,Finger::N,хуруу,пръст
45,Fingernagel::N,хурууны хумс,нокът
46,Nagel[Anatomie]::N,хумс,нокът
47,Zeh::N,хуруу,пръст на крак
48,Fuß::N,хөл,крак
49,Fuß::N,хөл,нога
50,Ferse::N,өсгий,пета
51,Knie::N,өвдөг,коляно
52,Oberschenkel::N,гуя,бедро
53,Bein::N,хөл,крак
54,Bein::N,хөл,нога
55,Körper::N,бие,тяло
56,Haut::N,арьс,кожа
57,Blut::N,цус,кръв
58,Ader::N,судас,вена
59,Ader::N,судас,артерия
60,Sehne::N,бүлх,жила
61,Sehne::N,бүлх,сухожилие
62,Sehne::N,шандас,жила
63,Sehne::N,шандас,сухожилие
64,Knochen::N,яс,кост
65,Gehirn::N,тархи,мозък
66,Herz::N,зүрх,сърце
67,Magen::N,ходоод,стомах
68,Leber::N,элэг,черен дроб
69,Atem::N,амьсгаа,дишане
70,Hunger::N,өлсгөлөн,глад
71,Träne::N,нулимс,сълза
72,Geschmack::N,амт,вкус
73,Geruch::N,үнэр,миризма
74,Schlaf::N,нойр,сън
75,Traum::N,зүүд,сън
76,Himmel::N,тэнгэр,небе
77,Himmel::N,огторгуй,небе
78,Sonne::N,нар,слънце
79,Mond::N,сар,луна
80,Mond::N,сар,месец
81,Stern::N,од,звезда
82,Luft::N,агаар,въздух
83,Wind::N,салхи,вятър
84,Welle::N,долгио,вълна
85,Welle::N,давалгаа,вълна
86,Wasser::N,ус,вода
87,Stein::N,чулуу,камък
88,Boden::N,хөрс,земя
89,Boden::N,хөрс,почва
90,Erde::N,газар,земя
91,Erde::N,газар,почва
92,Erde::N,шороо,земя
93,Erde::N,шороо,почва
94,Staub::N,тоос,прах
95,Rauch::N,утаа,дим
96,Rauch::N,утаа,пушек
97,Funke::N,оч,искра
98,Feuer::N,гал,огън
99,Licht::N,гэрэл,светлина
100,Licht::N,гэгээ,светлина
101,Schatten::N,сүүдэр,сянка
102,Wetter::N,тэнгэр,време
103,Wetter::N,цаг уур,време
104,Nebel::N,будан,мъгла
105,Wolke::N,үүл,облак
106,Regen::N,бороо,дъжд
107,Schnee::N,цас,сняг
108,Eis::N,мөс,лед
109,Frost::N,хүйт,мраз
110,Kälte::N,хүйт,студ
111,Hitze::N,халуун,жега
112,Hitze::N,халуун,горещина
113,Raureif::N,цан,скреж
114,Raureif::N,цан,слана
115,Raureif::N,хяруу,скреж
116,Raureif::N,хяруу,слана
117,Regenbogen::N,солонго,дъга
118,Donner::N,тэнгэрийн дуу,гръм
119,Strömung::N,урсгал,течение
120,Tropfen::N,дусал,капка
121,Schaum::N,хөөс,пяна
122,Schmutz::N,хир,кал
123,Schmutz::N,хир,мръсотия
124,Schmutz::N,шавхай,кал
125,Schmutz::N,шавхай,мръсотия
126,See::N,нуур,езеро
127,Sumpf::N,намаг,блато
128,Sumpf::N,балчиг,блато
129,Moor::N,хүлрийн намаг,мочурище
130,Wiese::N,нуга,ливада
131,Wald::N,ой,гора
132,Hügel::N,болдог,рид
133,Hügel::N,болдог,хълм
134,Anhöhe::N,гүвээ,могила
135,Anhöhe::N,гүвээ,възвишение
136,Berg::N,уул,планина
137,Gipfel::N,орой,връх
138,Gipfel::N,оргил,връх
139,Höhle::N,агуй,пещера
140,Abhang::N,хүр,склон
141,Abhang::N,хүр,стръмнина
142,Quelle::N,булаг,извор
143,Bach::N,горхи,поток
144,Fluss::N,гол,река
145,Fluss::N,мөрөн,река
146,Ufer::N,эрэг,бряг
147,Küste::N,эрэг,бряг
148,Küste::N,эрэг,крайбрежие
149,Festland::N,хуурай газар,суша
150,Meer::N,далай,море
151,Meer::N,тэнгис,море
152,Bucht::N,булан,залив
153,Bucht::N,далайн тохой,залив
154,Insel::N,арал,остров
155,Blume::N,цэцэг,цвете
156,Gras::N,өвс,трева
157,Gras::N,ногоо,трева
158,Wurzel::N,үндэс,корен
159,Baum::N,мод,дърво
160,Stamm::N,иш,стъбло
161,Stamm::N,гуалин,стъбло
162,Rinde::N,холтос,кора
163,Ast::N,гишүү,клон
164,Zweig::N,салаа,клон
165,Blatt::N,навч,лист
166,Birke::N,хус,бреза
167,Kiefer[Baum]::N,нарс,бор
168,Weide[Baum]::N,уд,върба
169,Weide[Baum]::N,бургас,върба
170,Tanne::N,гачуур,ела
171,Horn::N,эвэр,рог
172,Feder::N,өд,перо
173,Fell::N,арьс,кожа
174,Flügel::N,жигүүр,крило
175,Flügel::N,далавч,крило
176,Klaue::N,савар,нокът
177,Klaue::N,хумс,нокът
178,Kralle::N,савар,нокът
179,Schwanz::N,сүүл,опашка
180,Ei::N,өндөг,яйце
181,Nest::N,үүр,гнездо
182,Bau::N,нүх,дупка
183,Bau::N,элүү,дупка
184,Tier::N,амьтан,животно
185,Tier::N,адгуус,животно
186,Herde::N,сүрэг,стадо
187,Kuh::N,үнээ,крава
188,Bulle::N,бух,бик
189,Pferd::N,морь,кон
190,Pferd::N,адуу,кон
191,Schaf::N,хонь,овца
192,Schwein::N,гахай,свиня
193,Hund::N,нохой,куче
194,Katze::N,муур,котка
195,Katze::N,мигуй,котка
