,Concept_ID,fa,en
0,Auge::N,چشم,eye
1,Ohr::N,گوش,ear
2,Nase::N,بینی,nose
3,Mund::N,دهان,mouth
4,Zahn::N,دندان,tooth
5,Zunge::N,زبان,tongue
6,Lippe::N,لب,lip
7,Wange::N,لپ,cheek
8,Gesicht::N,رو,face
9,Gesicht::N,چهره,face
10,Stirn::N,پیشانی,forehead
11,Haar::N,مو,hair
12,Schnurrbart::N,سبیل,moustache
13,Bart::N,ریش,beard
14,Kinn::N,چانه,chin
15,Kiefer[Anatomie]::N,فک,jaw
16,Kiefer[Anatomie]::N,آرواره,jaw
17,Kehle::N,حلق,throat
18,Hals::N,گردن,neck
19,Genick::N,پشت گردن,nape
20,Kopf::N,سر,head
21,Kopf::N,کله,head
22,Rücken::N,پشت,back
23,Rücken::N,پشت,spine
24,Bauch::N,شکم,belly
25,Nabel::N,ناف,navel
26,Busen::N,پستان,bosom
27,Brust::N,سینه,chest
28,Brust::N,سینه,breast
29,Schulter::N,دوش,shoulder
30,Schulter::N,شانه,shoulder
31,Arm::N,بازو,arm
32,Ellenbogen::N,آرنج,elbow
33,Hand::N,دست,hand
34,Handfläche::N,کف دست,palm
35,Finger::N,انگشت,finger
36,Fingernagel::N,ناخن دست,fingernail
37,Nagel[Anatomie]::N,ناخن,nail
38,Zeh::N,انگشت پا,toe
39,Fuß::N,پا,foot
40,Ferse::N,پاشنه,heel
41,Knie::N,زانو,knee
42,Oberschenkel::N,ران,thigh
43,Bein::N,پا,leg
44,Bein::N,لنگ,leg
45,Körper::N,تن,body
46,Körper::N,بدن,body
47,Haut::N,پوست,skin
48,Blut::N,خون,blood
49,Ader::N,رگ,vein
50,Sehne::N,زردپی,sinew
51,Knochen::N,استخوان,bone
52,Gehirn::N,مخ,brain
53,Gehirn::N,مغز,brain
54,Herz::N,دل,heart
55,Herz::N,قلب,heart
56,Magen::N,معده,stomach
57,Leber::N,کبد,liver
58,Atem::N,نفس,breath
59,Hunger::N,گرسنگی,hunger
60,Träne::N,اشک,tear
61,Geschmack::N,مزه,flavour
62,Geschmack::N,مزه,flavor
63,Geruch::N,بو,odour
64,Geruch::N,بو,odor
65,Schlaf::N,خواب,sleep
66,Traum::N,رؤیا,dream
67,Himmel::N,فلک,sky
68,Himmel::N,آسمان,sky
69,Sonne::N,آفتاب,sun
70,Sonne::N,خورشید,sun
71,Mond::N,ماه,moon
72,Stern::N,ستاره,star
73,Luft::N,هوا,air
74,Wind::N,باد,wind
75,Welle::N,موج,wave
76,Wasser::N,آب,water
77,Stein::N,سنگ,stone
78,Boden::N,زمین,soil
79,Boden::N,زمین,ground
80,Erde::N,خاک,earth
81,Erde::N,زمین,earth
82,Staub::N,گرد,dust
83,Staub::N,غبار,dust
84,Rauch::N,دود,smoke
85,Funke::N,جرقه,spark
86,Feuer::N,آتش,fire
