,Concept_ID,pt,es
0,Auge::N,olho,ojo
1,Ohr::N,orelha,oreja
2,Nase::N,nariz,nariz
3,Mund::N,boca,boca
4,Zahn::N,dente,diente
5,Zunge::N,língua,lengua
6,Lippe::N,lábio,labio
7,Wange::N,face,mejilla
8,Gesicht::N,cara,cara
9,Gesicht::N,rosto,cara
10,Stirn::N,testa,frente
11,Haar::N,cabelo,cabello
12,Schnurrbart::N,bigode,bigote
13,Bart::N,barba,barba
14,Kinn::N,queixo,barbilla
15,Kiefer[Anatomie]::N,maxila,mandíbula
16,Kiefer[Anatomie]::N,mandíbula,mandíbula
17,Kehle::N,garganta,garganta
18,Hals::N,colo,cuello
19,Hals::N,pescoço,cuello
20,Genick::N,nuca,nuca
21,Genick::N,nuca,cerviz
22,Kopf::N,cabeça,cabeza
23,Rücken::N,dorso,espalda
24,Rücken::N,costas,espalda
25,Bauch::N,ventre,vientre
26,Bauch::N,barriga,vientre
27,Nabel::N,umbigo,ombligo
28,Busen::N,seio,pecho
29,Brust::N,peito,pecho
30,Schulter::N,ombro,hombro
31,Arm::N,braço,brazo
32,Ellenbogen::N,cotovelo,codo
33,Hand::N,mão,mano
34,Handfläche::N,palma,palma
35,Handfläche::N,palma da mão,palma
36,Finger::N,dedo,dedo
37,Fingernagel::N,unha,uña
38,Nagel[Anatomie]::N,unha,uña
39,Zeh::N,dedo do pé,dedo del pie
40,Fuß::N,pé,pie
41,Ferse::N,calcanhar,talón
42,Knie::N,joelho,rodilla
43,Oberschenkel::N,coxa,muslo
44,Bein::N,perna,pierna
45,Körper::N,corpo,cuerpo
46,Haut::N,pele,piel
47,Blut::N,sangue,sangre
48,Ader::N,veia,vena
49,Sehne::N,tendão,tendón
50,Knochen::N,osso,hueso
51,Gehirn::N,cérebro,cerebro
52,Gehirn::N,cérebro,encéfalo
53,Herz::N,coração,corazón
54,Magen::N,estômago,estómago
55,Leber::N,fígado,hígado
56,Atem::N,fôlego,aliento
57,Hunger::N,fome,hambre
58,Träne::N,lágrima,lágrima
59,Geschmack::N,gosto,gusto
60,Geruch::N,odor,olor
61,Geruch::N,cheiro,olor
62,Schlaf::N,sono,sueño
63,Traum::N,sonho,sueño
64,Traum::N,sonho,ensueño
65,Himmel::N,céu,cielo
66,Sonne::N,sol,sol
67,Mond::N,lua,luna
68,Stern::N,estrela,estrella
69,Luft::N,ar,aire
70,Wind::N,vento,viento
71,Welle::N,onda,ola
