,Concept_ID,fa,ku
0,Auge::N,چشم,çav
1,Ohr::N,گوش,guh
2,Nase::N,بینی,bêvil
3,Mund::N,دهان,dev
4,Zahn::N,دندان,didan
5,Zunge::N,زبان,ziman
6,Lippe::N,لب,lêv
7,Wange::N,لپ,dêm
8,Wange::N,لپ,hinarik
9,Gesicht::N,رو,rû
10,Gesicht::N,چهره,rû
11,Stirn::N,پیشانی,enî
12,Haar::N,مو,por
13,Schnurrbart::N,سبیل,simbêl
14,Bart::N,ریش,rih
15,Kinn::N,چانه,zenî
16,Kiefer[Anatomie]::N,فک,arguşk
17,Kiefer[Anatomie]::N,آرواره,arguşk
18,Kehle::N,حلق,qirik
19,Hals::N,گردن,stû
20,Hals::N,گردن,qirik
21,Genick::N,پشت گردن,stû
22,Kopf::N,سر,serî
23,Kopf::N,کله,serî
24,Rücken::N,پشت,pişt
25,Bauch::N,شکم,ûr
26,Bauch::N,شکم,zik
27,Nabel::N,ناف,navik
28,Busen::N,پستان,sîng
29,Brust::N,سینه,sîng
30,Schulter::N,دوش,mil
31,Schulter::N,شانه,mil
32,Arm::N,بازو,çepil
33,Ellenbogen::N,آرنج,enîşk
34,Hand::N,دست,dest
35,Handfläche::N,کف دست,kefadest
36,Finger::N,انگشت,tilî
37,Fingernagel::N,ناخن دست,neynuk
38,Nagel[Anatomie]::N,ناخن,bizmar
39,Zeh::N,انگشت پا,tilî linga
40,Fuß::N,پا,ling
41,Ferse::N,پاشنه,pahnî
42,Knie::N,زانو,kabok
43,Oberschenkel::N,ران,rahn
44,Bein::N,پا,çip
45,Bein::N,لنگ,çip
46,Körper::N,تن,laş
47,Körper::N,تن,gowde
48,Körper::N,بدن,laş
49,Körper::N,بدن,gowde
50,Haut::N,پوست,çerm
51,Blut::N,خون,xwîn
52,Ader::N,رگ,reh
53,Sehne::N,زردپی,reh
54,Knochen::N,استخوان,hestî
55,Gehirn::N,مخ,mêjî
56,Gehirn::N,مغز,mêjî
57,Herz::N,دل,dil
58,Herz::N,قلب,dil
59,Magen::N,معده,navêş
60,Leber::N,کبد,kezeb
61,Atem::N,نفس,hilm
62,Hunger::N,گرسنگی,birçîtî
63,Träne::N,اشک,hêstir
64,Geschmack::N,مزه,tam
65,Geruch::N,بو,bêhn
66,Schlaf::N,خواب,xew
67,Traum::N,رؤیا,xewn
68,Himmel::N,فلک,ezman
69,Himmel::N,آسمان,ezman
70,Sonne::N,آفتاب,roj
71,Sonne::N,خورشید,roj
72,Mond::N,ماه,heyv
73,Stern::N,ستاره,stêrk
74,Luft::N,هوا,ba
75,Wind::N,باد,ba
76,Welle::N,موج,şewl
77,Wasser::N,آب,av
78,Stein::N,سنگ,kevir
79,Boden::N,زمین,herd
80,Erde::N,خاک,ax
81,Erde::N,زمین,ax
82,Staub::N,گرد,toz
83,Staub::N,غبار,toz
84,Rauch::N,دود,dû
85,Funke::N,جرقه,çirûşk
86,Feuer::N,آتش,agir
87,Licht::N,نور,ronahî
88,Licht::N,روشنی,ronahî
89,Schatten::N,سایه,sî
90,Wetter::N,هوا,hewa
91,Nebel::N,مه,mij
92,Wolke::N,ابر,ewr
93,Regen::N,باران,baran
94,Schnee::N,برف,berf
95,Eis::N,یخ,qeşa
96,Frost::N,یخبندان,xûsik
97,Kälte::N,سرما,serma
98,Hitze::N,گرما,germayî
99,Hitze::N,حرارت,germayî
100,Raureif::N,برف ریزه,şext
101,Regenbogen::N,رنگین‌کمان,heftreng
102,Donner::N,رعد,gire-gir
103,Strömung::N,جریان,şewl
104,Tropfen::N,قطره,dilop
105,Schaum::N,کف,kef
106,Schmutz::N,گل,gemar
107,Schmutz::N,کثافت,gemar
108,See::N,دریاچه,gol
109,Sumpf::N,مرداب,hezek
110,Sumpf::N,باتلاق,hezek
111,Moor::N,باتلاق,mafêl
112,Wiese::N,چمن,sûrik
113,Wald::N,جنگل,çiya
114,Wald::N,جنگل,daristan
115,Hügel::N,تل,gir
116,Hügel::N,تپه,gir
117,Anhöhe::N,بلندی,sere gir
118,Berg::N,کوه,kaş
119,Gipfel::N,قله,sere gir
120,Höhle::N,غار,şikeft
121,Abhang::N,سرازیری,kaş
122,Quelle::N,چشمه,kanî
123,Bach::N,نهر,çem
124,Fluss::N,رود,çem
125,Fluss::N,رود,rûbar
126,Ufer::N,ساحل,kevî
127,Ufer::N,کرانه,kevî
128,Küste::N,ساحل,berav
129,Festland::N,خشکی,bejahî
130,Meer::N,دریا,behr
131,Bucht::N,خلیج,derav
132,Insel::N,جزیره,girav
133,Blume::N,گل,kulînk
134,Gras::N,علف,giha
135,Wurzel::N,ریشه,reh
136,Baum::N,درخت,dar
137,Stamm::N,تنه,bavik
138,Rinde::N,توژ,qaqil
139,Rinde::N,پوست,qaqil
140,Ast::N,شاخه,gulî
141,Zweig::N,شاخه,şax
142,Blatt::N,برگ,pel
143,Birke::N,غان,dara sipî
144,Kiefer[Baum]::N,کاج,dara bî
145,Weide[Baum]::N,بید,dara belalûk
146,Tanne::N,صنوبر,merx
147,Horn::N,شاخ,strô
148,Feder::N,پر,pîrtîk
149,Fell::N,خز,heyar
150,Flügel::N,پر,per
151,Flügel::N,بال,per
152,Klaue::N,چنگ,napîk
153,Klaue::N,پنجه,napîk
154,Kralle::N,پنجه,dinik
155,Kralle::N,پنجه,dirnax
156,Schwanz::N,دم,dûv
157,Ei::N,تخم,hêk
158,Nest::N,لانه,hêlîn
159,Bau::N,بنا,avahî
160,Bau::N,ساختمان,avahî
161,Tier::N,هیوان,heywan
162,Herde::N,رمه,hoz
163,Kuh::N,گاو,çêlek
164,Bulle::N,گاو نر,ga
165,Pferd::N,اسب,hesp
166,Schaf::N,گوسفند,mîh
167,Schwein::N,خوک,beraz
168,Hund::N,سگ,seh
169,Katze::N,گربه,pişîk
170,Bär::N,خرس,hirç
171,Eichhörnchen::N,سنجاب,pilûr
172,Elch::N,گوزن شمالی,pazkovî
173,Fuchs::N,روباه,rovî
174,Hase::N,خرگوش,kîroşk
175,Maus::N,موش,mişk
176,Wolf::N,گرگ,gur
177,Vogel::N,پرنده,çûk
178,Schwarm::N,دسته,lufik
179,Huhn::N,مرغ,mirîşk
180,Hahn::N,خروس,dîk
181,Gans::N,غاز,qaz
182,Adler::N,عقاب,eylo
183,Ente::N,اردک,werdek
184,Ente::N,مرغابی,werdek
185,Eule::N,جغد,bûm
186,Eule::N,جغد,kund
187,Kranich::N,درنا,quling
188,Krähe::N,زاغ,qijik
189,Krähe::N,کلاغ,qijik
190,Kuckuck::N,فاخته,pepûk
191,Schwan::N,قو,qû
192,Fisch::N,ماهی,masî
193,Barsch::N,ماهی خاردار,okûn
194,Hecht::N,اردک ماهی,mesîyê lûf
195,Schlange[Tier]::N,مار,mar
196,Wurm::N,کرم,kurm
197,Spinne::N,عنکبوت,pîrê
198,Ameise::N,مورچه,mîro
199,Ameise::N,مورچه,gêrîk
200,Laus::N,شپش,spi
201,Mücke::N,پشه,mêş
202,Fliege::N,مگس,mêş
203,Schmetterling::N,پروانه,perperîk
204,Beere::N,گیله,hirç
205,Apfel::N,سیب,sêv
206,Pilz::N,قارچ,bîrov
207,Zwiebel::N,پیاز,pîvaz
208,Saat::N,بذر,tov
209,Korn::N,تخم,dexl
210,Korn::N,دانه,dexl
211,Heu::N,علف خشک,sap
212,Schale::N,پوست,qaşik
213,Grube::N,گودال,çahl
214,Falle::N,دام,dafik
215,Schlinge::N,حلقه,dahf
216,Spur::N,رد,rêç
217,Asche::N,خاکستر,xweli
218,Dreck::N,کثافت,gemarî
219,Eisen::N,آهن,hesing
220,Gold::N,زر,zêr
221,Gold::N,طلا,zêr
222,Silber::N,نقره,zîv
223,Kohle::N,زغال,komir
224,Glas::N,شیشه,qedeh
225,Lehm::N,گل,kelpîç
226,Sand::N,شن,qûm
227,Sand::N,ماسه,qûm
228,Mensch::N,آدم,mirov
229,Mensch::N,انسان,mirov
230,Mann::N,مرد,mêr
231,Frau::N,زن,jin
232,Kind::N,بچه,zarok
233,Kind::N,کودک,zarok
234,Junge::N,پسر,kur
235,Mädchen::N,دختر,keç
236,Mädchen::N,دختر,keçik
237,Familie::N,فامیل,malbat
238,Familie::N,خانواده,malbat
239,Großvater::N,پدربزرگ,bapîr
240,Großmutter::N,مادر‌بزرگ,pîrik
241,Eltern::N,والدین,bavudê
242,Eltern::N,پدر‌و‌مادر,bavudê
243,Vater::N,پدر,bav
244,Mutter::N,مادر,dê
245,Mutter::N,مادر,dayik
246,Sohn::N,پسر,kur
247,Tochter::N,دختر,keç
248,Bruder::N,برادر,bira
249,Schwester::N,خواهر,xweh
250,Onkel::N,عمو,am
251,Onkel::N,عمو,xal
252,Onkel::N,دایی,am
253,Onkel::N,دایی,xal
254,Tante::N,عمه,metik
255,Tante::N,عمه,xaltîk
256,Tante::N,خاله,metik
257,Tante::N,خاله,xaltîk
258,Ehemann::N,همسر,mêr
259,Ehefrau::N,همسر,kulfet
260,Freude::N,شادی,kêfxweşî
261,Gelächter::N,خنده,pîrqînî
262,Gelächter::N,قاه‌قاه,pîrqînî
263,Glück::N,اقبال,bext
264,Kummer::N,غم,derd
265,Kummer::N,غصه,derd
266,Wunsch::N,آرزو,daxwaz
267,Wunsch::N,آرزو,xwestek
268,Lust::N,هوس,şewq
269,Geist::N,روح,aqil
270,Gedanke::N,فکر,fikir
271,Gedächtnis::N,حافظه,aqil
272,Verstand::N,هوش,fêm
273,Sinn::N,معنا,aqil
274,Sinn::N,مفهوم,aqil
275,Grund::N,سبب,asas
276,Grund::N,دلیل,asas
277,Wahrheit::N,حقیقت,rastî
278,Gespräch::N,صحبت,guftûgo
279,Gespräch::N,گفتگو,guftûgo
280,Märchen::N,قصه,çirok
281,Märchen::N,افسانه,çirok
282,Erzählung::N,داستان,çirok
283,Erzählung::N,داستان,vegotin
284,Nachricht::N,خبر,nûçe
285,Neuigkeit::N,خبر تازه,hewal
286,Name::N,اسم,nav
287,Name::N,اسم,paşnav
288,Rätsel::N,معما,tiştonek
289,Rede::N,سخن,gotar
290,Rede::N,سخن,axavtin
291,Sprache::N,زبان,ziman
292,Stimme::N,صدا,pejn
293,Wort::N,کلمه,gotin
294,Zeichen::N,نشان,şanek
295,Zeichen::N,علامت,şanek
296,Ruf::N,صدا,hawar
297,Lärm::N,هیاهو,xarbalix
298,Laut::N,صدا,deng
299,Laut::N,صدا,hês
300,Ton::N,آهنگ,awaz
301,Lied::N,آواز,sitran
302,Lied::N,ترانه,sitran
303,Ruhe::N,آرامش,rihetî
304,Leute::N,مردم,xelk
305,Volk::N,خلق,xelk
306,Arbeit::N,کار,xebat
307,Gast::N,مهمان,mêvan
308,Geschenk::N,هدیه,diyarî
309,Spiel::N,بازی,lîstik
310,Gesellschaft::N,جمعیت,komal
311,Hilfe::N,کمک,alîkarî
312,Freund::N,دوست,heval
313,Kamerad::N,رفیق,heval
314,Angelegenheit::N,امر,pirsgirêk
315,Angelegenheit::N,قضیه,pirsgirêk
316,Anzahl::N,عده,çend
317,Anzahl::N,شمار,çend
318,Art::N,نوع,çeh
319,Stück::N,تکه,lib
320,Stück::N,تکه,parçe
321,Stück::N,قطعه,lib
322,Stück::N,قطعه,parçe
323,Teil::N,بخش,parçe
324,Teil::N,قسمت,parçe
325,Hälfte::N,نیم,nîvî
326,Kreis::N,حلقه,çemil
327,Kreis::N,دایره,çemil
328,Kreuz::N,صلیب,xaç
329,Linie::N,خط,xezik
330,Linie::N,سطر,xezik
331,Strich::N,خط,xezik
332,Abstand::N,فاصله,dûrahî
333,Entfernung::N,مسافت,dûrahî
334,Gegend::N,منطقه,dever
335,Platz::N,گنجایش,çih
336,Ort::N,جا,dever
337,Ort::N,محل,dever
338,Ort::N,مکان,dever
339,Seite::N,طرف,rûpel
340,Mitte::N,وسط,nav
341,Mitte::N,وسط,nabênê
342,Mitte::N,میان,nav
343,Mitte::N,میان,nabênê
344,Gegenstand::N,چیز,tişt
345,Sache::N,چیز,tişt
346,Rand::N,کنار,kevî
347,Rand::N,حاشیه,kevî
348,Kante::N,لبه,kevî
349,Ecke::N,گوشه,qunç
350,Spitze::N,سر,derzî
351,Spitze::N,نوک,derzî
352,Ende::N,ته,talî
353,Ende::N,آخر,talî
354,Loch::N,سوراخ,qul
355,Winkel::N,کنج,kurnîşk
356,Muster::N,نقش,desen
357,Größe::N,قد,mezinî
358,Größe::N,بزرگی,mezinî
359,Länge::N,طول,dirêjahî
360,Höhe::N,بلندی,bilindayî
361,Gewicht::N,وزن,giranî
362,Menge::N,مقدار,qas
