,Concept_ID,is,la
0,Auge::N,auga,oculus
1,Ohr::N,eyra,auris
2,Nase::N,nef,nasus
3,Mund::N,munnur,os
4,Zahn::N,tönn,dens
5,Zunge::N,tunga,lingua
6,Lippe::N,vör,labrum
7,Wange::N,kinn,gena
8,Wange::N,vangi,gena
9,Gesicht::N,andlit,vultus
10,Stirn::N,enni,frons
11,Haar::N,hár,capillus
12,Schnurrbart::N,yfirskegg,barba labri superioris
13,Bart::N,skegg,barba
14,Kinn::N,haka,mentum
15,Kiefer[Anatomie]::N,kjálki,mala
16,Kiefer[Anatomie]::N,skoltur,mala
17,Kehle::N,kverk,iugulums
18,Hals::N,háls,collum
19,Genick::N,hnakki,cervices
20,Kopf::N,höfuð,caput
21,Rücken::N,hryggur,tergum
22,Bauch::N,kviður,venter
23,Nabel::N,nafli,umbilicus
24,Busen::N,barmur,sinus
25,Brust::N,brjóst,pectus
26,Schulter::N,öxl,umerus
27,Arm::N,armur,bracchium
28,Ellenbogen::N,olnbogi,cubitum
29,Hand::N,hönd,manus
30,Handfläche::N,lófi,palma
31,Finger::N,fingur,digitus
32,Fingernagel::N,fingurnögl,unguiculus
33,Nagel[Anatomie]::N,nögl,unguis
34,Zeh::N,tá,digitus
35,Fuß::N,fótur,pes
36,Ferse::N,hæll,calx
37,Knie::N,kné,genu
38,Oberschenkel::N,læri,femur
39,Bein::N,fótleggur,crus
40,Körper::N,búkur,corpus
41,Körper::N,líkami,corpus
42,Haut::N,húð,cutis
43,Haut::N,húð,pellis
44,Haut::N,skinn,cutis
45,Haut::N,skinn,pellis
46,Blut::N,blóð,sanguis
47,Ader::N,æð,vena
48,Sehne::N,sin,nervus
49,Knochen::N,bein,os
50,Gehirn::N,heili,cerebrum
51,Herz::N,hjarta,cor
52,Herz::N,hjarta,animus
53,Magen::N,magi,stomachus
54,Leber::N,lifur,iecur
55,Atem::N,andi,spiritus
56,Atem::N,andardráttur,spiritus
57,Hunger::N,hungur,fames
58,Träne::N,tár,lacrima
59,Geschmack::N,smekkur,sapor
60,Geschmack::N,smekkur,gustus
61,Geruch::N,lykt,odor
62,Schlaf::N,svefn,somnus
63,Traum::N,draumur,somnium
64,Himmel::N,himinn,caelum
65,Sonne::N,sól,sol
66,Mond::N,tungl,luna
67,Stern::N,stjarna,sidus
68,Stern::N,stjarna,stella
69,Luft::N,loft,aer
70,Wind::N,vindur,ventus
71,Welle::N,alda,unda
72,Welle::N,bylgja,unda
73,Wasser::N,vatn,aqua
74,Stein::N,steinn,lapis
75,Boden::N,botn,solum
76,Erde::N,jörð,terra
77,Staub::N,ryk,pulvis
78,Staub::N,duft,pulvis
79,Rauch::N,reykur,fumus
80,Funke::N,neisti,scintilla
81,Feuer::N,eldur,ignis
82,Licht::N,ljós,lux
83,Licht::N,ljós,lumen
84,Schatten::N,skuggi,umbra
85,Wetter::N,veður,caelum
86,Wetter::N,veður,tempestas
87,Nebel::N,þoka,nebula
88,Wolke::N,ský,nubes
89,Regen::N,regn,imber
90,Regen::N,regn,pluvia
91,Schnee::N,snjór,nix
92,Eis::N,ís,glacies
93,Frost::N,frost,gelu
94,Kälte::N,kuldi,frigus
95,Hitze::N,hiti,calor
96,Hitze::N,hiti,aestus
97,Raureif::N,hrím,pruina
98,Regenbogen::N,regnbogi,arcus
99,Donner::N,þruma,tonitrus
100,Strömung::N,straumur,fluctus
101,Tropfen::N,dropi,gutta
102,Schaum::N,froða,spuma
103,Schmutz::N,óhreinindi,sordes
104,Schmutz::N,óhreinindi,squalor
105,See::N,stöðuvatn,lacus
106,Sumpf::N,fen,palus
107,Moor::N,mýri,palus
108,Wiese::N,engi,pratum
109,Wald::N,skógur,silva
110,Hügel::N,hæð,collis
111,Hügel::N,hóll,collis
112,Anhöhe::N,hæð,specula
113,Anhöhe::N,hóll,specula
114,Berg::N,fell,mons
115,Berg::N,fjall,mons
116,Gipfel::N,tindur,vertex
117,Höhle::N,hellir,caverna
118,Höhle::N,hellir,spelunca
119,Abhang::N,hlíð,declivum
120,Abhang::N,brekka,declivum
121,Quelle::N,lind,fons
122,Quelle::N,uppspretta,fons
123,Bach::N,lækur,rivus
124,Fluss::N,á,flumen
125,Fluss::N,fljót,flumen
126,Ufer::N,árbakki,ripa
127,Ufer::N,sjávarbakki,ripa
128,Küste::N,strönd,litus
129,Festland::N,meginland,continens
130,Meer::N,haf,mare
131,Meer::N,sjór,mare
132,Bucht::N,vík,sinus
133,Insel::N,eyja,insula
134,Blume::N,blóm,flos
135,Gras::N,gras,herba
136,Gras::N,gras,gramen
137,Wurzel::N,rót,radix
138,Baum::N,tré,arbor
139,Stamm::N,stofn,truncus
140,Rinde::N,börkur,cortex
141,Ast::N,grein,ramus
142,Zweig::N,angi,ramus
143,Zweig::N,kvistur,ramus
144,Blatt::N,blað,folium
145,Birke::N,birki,betulla
146,Kiefer[Baum]::N,fura,pinus
147,Weide[Baum]::N,víðir,salix
148,Tanne::N,greni,abies
149,Horn::N,horn,cornu
150,Feder::N,fjöður,penna
151,Fell::N,skinn,pellis
152,Flügel::N,vængur,ala
153,Klaue::N,kló,unguis
154,Kralle::N,kló,unguis
155,Schwanz::N,rófa,cauda
156,Schwanz::N,skott,cauda
157,Ei::N,egg,ovum
158,Nest::N,hreiður,nidus
159,Bau::N,greni,cavum
160,Bau::N,greni,latibulum
161,Bau::N,bæli,cavum
162,Bau::N,bæli,latibulum
163,Tier::N,dýr,bestia
164,Herde::N,hjörð,grex
165,Kuh::N,kýr,vacca
166,Bulle::N,boli,taurus
167,Pferd::N,hestur,equus
168,Schaf::N,kind,ovis
169,Schwein::N,svín,sus
170,Schwein::N,svín,porcus
171,Hund::N,hundur,canis
172,Katze::N,köttur,felis
173,Bär::N,björn,ursus
174,Eichhörnchen::N,íkorni,sciurus
175,Elch::N,elgur,alces
176,Fuchs::N,refur,vulpes
177,Hase::N,héri,lepus
178,Maus::N,mús,mus
179,Wolf::N,úlfur,lupus
180,Vogel::N,fugl,avis
181,Schwarm::N,sægur,examen
182,Huhn::N,hæna,gallina
183,Hahn::N,hani,gallus
184,Gans::N,gæs,anser
185,Adler::N,örn,aquila
186,Ente::N,önd,anas
187,Eule::N,uggla,ulula
188,Eule::N,uggla,noctua
189,Kranich::N,trana,grus
190,Krähe::N,kráka,cornix
191,Kuckuck::N,gaukur,cuculus
192,Schwan::N,svanur,olor
193,Schwan::N,svanur,cycnus
194,Fisch::N,fiskur,piscis
195,Barsch::N,aborri,perca
196,Hecht::N,gedda,esox
197,Schlange[Tier]::N,naðra,serpens
198,Wurm::N,ormur,vermis
