,Concept_ID,mdf,ba
0,Auge::N,сельме,күҙ
1,Ohr::N,пиле,ҡолаҡ
2,Nase::N,шалхка,танау
3,Mund::N,курга,ауыҙ
4,Zahn::N,пей,теш
5,Zunge::N,кяль,тел
6,Lippe::N,търва́,ирен
7,Wange::N,щёка,яцаҡтар
8,Gesicht::N,шама,бит
9,Stirn::N,коня,маңлай
10,Haar::N,шя́ярь,сәс
11,Schnurrbart::N,уса́,мылтыҡ
12,Bart::N,сакал,һаҡал
13,Kinn::N,ула,эйэк
14,Kiefer[Anatomie]::N,саласка,яңаҡ һөйәге
15,Kehle::N,кълдома,тамаҡ
16,Kehle::N,кърга́парь,тамаҡ
17,Hals::N,сялдаз,муйын
18,Genick::N,шовонь,соңҡа
19,Kopf::N,пря,баш
20,Rücken::N,копорь,арҡа
21,Bauch::N,пеке,ҡорһаҡ
22,Nabel::N,по́кон,кендек
23,Busen::N,потя,күкрәк
24,Brust::N,мяште,түш
25,Schulter::N,лафту,яурын
26,Arm::N,кядь,ҡул
27,Ellenbogen::N,кенерьба́карь,терһәк
28,Hand::N,кядь,ҡул
29,Hand::N,кядь,ҡул суғы
30,Handfläche::N,кядьлапш,ус төбө
31,Finger::N,сур,бармаҡ
32,Fingernagel::N,кенже,тырнаҡ
33,Nagel[Anatomie]::N,кенже,тырнаҡ
34,Zeh::N,пильгосу́р,бармаҡ
35,Fuß::N,пильге,табан
36,Fuß::N,пильгелапа,табан
37,Ferse::N,кочкяря,үксә
38,Knie::N,эль,тубыҡ
39,Knie::N,пълма́нжа,тубыҡ
40,Oberschenkel::N,пильгепукша,сандыр
41,Bein::N,пильге,аяҡ
42,Körper::N,ро́нга,тән
43,Körper::N,по́нда,тән
44,Haut::N,киське,тире
45,Blut::N,вер,ҡан
46,Ader::N,сан,тамыр
47,Ader::N,верза́н,тамыр
48,Sehne::N,коське сан,һеңер
49,Sehne::N,коське сан,тарамыш
50,Knochen::N,пакарь,һойәк
51,Gehirn::N,уй,мейе
52,Herz::N,седи,йорәк
53,Magen::N,коткърдазь,ашҡаҙан
54,Leber::N,макса,бауыр
55,Atem::N,лекома,һулыш
