,Concept_ID,uz,br
0,Auge::N,ko'z,lagad
1,Ohr::N,quloq,skouarn
2,Nase::N,burun,fri
3,Mund::N,og'iz,genoù
4,Zahn::N,tish,dant
5,Zunge::N,til,teod
6,Lippe::N,dudoq,muzell
7,Wange::N,bet,chot
8,Gesicht::N,yuz,dremm
9,Stirn::N,manglay,tal
10,Haar::N,soch,blev
11,Schnurrbart::N,mo'ylov,mourenn
12,Bart::N,soqol,barv
13,Kinn::N,ängak,groñj
14,Kiefer[Anatomie]::N,iyak,javed
15,Kehle::N,bo'g'iz,gouzoug
16,Hals::N,bo'yin,gouzoug
17,Genick::N,gardan,choug
18,Kopf::N,bosh,penn
19,Rücken::N,orqa,kein
20,Bauch::N,qorin,kof
21,Nabel::N,kindik,begel
22,Busen::N,ämchak,bronn
23,Brust::N,ko'krak,bruched
24,Schulter::N,elka,skoaz
25,Arm::N,bilak,brec'h
26,Ellenbogen::N,tirsak,ilin
27,Hand::N,qo'l,dorn
28,Handfläche::N,kaft,palv
29,Finger::N,barmoq,biz
30,Fingernagel::N,tirnoq,ivin
31,Nagel[Anatomie]::N,tirnoq,ivin
32,Zeh::N,oyoq barmog'i,biz-troad
33,Fuß::N,oyoq,troad
34,Ferse::N,tovon,seul
35,Knie::N,tiz,glin
36,Oberschenkel::N,son,morzhed
37,Bein::N,oyoq,gar
38,Körper::N,badna,korf
39,Haut::N,teri,kroc'hen
40,Blut::N,qon,gwad
41,Ader::N,qon tomir,gwazhi
42,Sehne::N,tomir,stir
43,Knochen::N,suyak,askorn
44,Gehirn::N,miya,empenn
45,Herz::N,qalb,kalon
46,Magen::N,oshqozon,stomog
47,Leber::N,bag'ir,avu
48,Atem::N,dam,anal
49,Hunger::N,ochlik,naon
50,Träne::N,yosh,daer
51,Geschmack::N,tam,blaz
52,Geruch::N,jid,c'hwezh
53,Schlaf::N,uyqu,kousked
54,Traum::N,tush,hune
55,Himmel::N,osmon,oabl
56,Sonne::N,quyosh,heol
57,Mond::N,oy,loar
58,Stern::N,yulduz,steredenn
59,Luft::N,havo,aer
60,Wind::N,el,avel
61,Welle::N,to'lqin,houlenn
62,Wasser::N,suv,dour
63,Stein::N,tosh,maen
64,Boden::N,tuproq,tachenn
65,Erde::N,er,douar
66,Staub::N,chang,poultr
67,Rauch::N,tutun,moged
68,Funke::N,yalt,ful
69,Feuer::N,o't,tan
70,Licht::N,yorug',gouloù
71,Schatten::N,soya,disheol
72,Wetter::N,havo,amzer
73,Nebel::N,tuman,brumenn
74,Wolke::N,bulut,koumoulenn
75,Regen::N,yomg'ir,glav
76,Schnee::N,qor,erc'h
77,Eis::N,muz,skorn
78,Frost::N,ajoz,rev
79,Kälte::N,ajoz,yen
80,Hitze::N,issiq,tommder
81,Raureif::N,qirov,frim
82,Regenbogen::N,kamalak,gwareg-ar-glav
83,Donner::N,guldur,kurun
84,Strömung::N,oqim,red
85,Tropfen::N,tomchi,bannac'h
86,Tropfen::N,tomchi,takenn
87,Schaum::N,ko'pik,spoum
88,Schmutz::N,gard,fank
89,See::N,ko'l,lenn
90,Sumpf::N,botqoq,gwern
91,Moor::N,qir-adir,taouarc'heg
92,Wiese::N,o'tzor,prad
93,Wald::N,o'rmon,koad
94,Hügel::N,tepa,torgenn
95,Anhöhe::N,adir,run
96,Berg::N,tog',menez
97,Gipfel::N,cho'qqi,barr
98,Höhle::N,kavak,kav
99,Abhang::N,to'sh,naou
100,Quelle::N,buloq,feunteun
101,Bach::N,o'zan,gwazh
102,Fluss::N,daryo,stêr
103,Ufer::N,sohil,ribl
104,Küste::N,qirg'oq,aod
105,Festland::N,materik,douar
106,Meer::N,dengiz,mor
107,Bucht::N,qo'ltiq,mor-bihan
108,Insel::N,orol,enez
109,Blume::N,gul,bleunienn
110,Gras::N,sabza,geot
111,Wurzel::N,tub,gwrizienn
112,Wurzel::N,tomir,gwrizienn
113,Baum::N,daraxt,gwezenn
114,Stamm::N,o'simta,kef
115,Rinde::N,qobiq,rusk
116,Ast::N,shox,barr
117,Zweig::N,butoq,bod
118,Blatt::N,barg,delienn
119,Birke::N,qayin,bezvenn
120,Kiefer[Baum]::N,qarag'ay,pinenn
121,Weide[Baum]::N,shum,halegenn
122,Tanne::N,archa,sapenn
123,Horn::N,mugiz,korn
124,Feder::N,par,pluñv
125,Fell::N,mo'yna,kreoñ
126,Flügel::N,qanot,askell
127,Klaue::N,tirnoq,skilf
128,Kralle::N,tirnoq,skilf
129,Schwanz::N,quyruq,lost
130,Ei::N,tuxum,vi
131,Nest::N,oshyon,neizh
132,Bau::N,o'pqon,douarenn
133,Tier::N,hayvon,loen
134,Herde::N,gala,tropell
135,Kuh::N,inak,buoc'h
136,Bulle::N,ho'kiz,tarv
137,Pferd::N,ot,marc'h
138,Schaf::N,qo'y,dañvad
139,Schwein::N,cho'chqa,pemoc'h
140,Hund::N,it,ki
141,Katze::N,mushuk,kazh
142,Bär::N,ayiq,arzh
143,Eichhörnchen::N,tiyin,gwiñver
144,Elch::N,los,karv-dour
145,Fuchs::N,tulki,louarn
146,Hase::N,kuyon,gad
147,Maus::N,sichqon,logodenn
148,Wolf::N,bo'ri,bleiz
149,Vogel::N,qush,labous
150,Schwarm::N,to'da,nijad
151,Huhn::N,tovuq,yar
152,Hahn::N,xo'roz,kilhog
153,Gans::N,g'oz,gwazenn
154,Adler::N,burgut,erer
155,Ente::N,o'rdak,houad
156,Eule::N,boyo'g'li,toud
157,Kranich::N,turna,garan
158,Krähe::N,qarg'a,bran
159,Kuckuck::N,kakku,koukoug
160,Schwan::N,oqkush,alarc'h
161,Fisch::N,baliq,pesk
162,Barsch::N,olabug'a,brell
163,Hecht::N,cho'rtan,beked
164,Schlange[Tier]::N,ilon,naer
165,Wurm::N,qurt,preñv
166,Spinne::N,o'rgimchak,kevnidenn
167,Ameise::N,chumoli,merion
168,Laus::N,bit,laouenn
169,Mücke::N,chivin,moustik
170,Fliege::N,pashsha,kelienenn
171,Schmetterling::N,kapalak,balafenn
172,Beere::N,meva,hog
173,Apfel::N,olma,aval
174,Pilz::N,qo'ziqorin,kabell-touseg
175,Zwiebel::N,piyoz,ognonenn
176,Saat::N,äkin,had
177,Korn::N,zarra,ed
178,Heu::N,xashak,foenn
179,Schale::N,po'choq,peliadur
180,Grube::N,co'ra,
181,Falle::N,qopqon,pech
182,Schlinge::N,sirtmoq,krouglas
183,Spur::N,iz,
184,Asche::N,kul,ludu
185,Dreck::N,kir,fank
186,Eisen::N,temir,houarn
187,Gold::N,tilla,aour
188,Silber::N,kumush,arc'hant
189,Kohle::N,ko'mir,glaou
190,Glas::N,oyna,gwer
191,Lehm::N,loy,
192,Sand::N,qum,traezh
193,Mensch::N,odam,den
194,Mann::N,ärkak,den
195,Frau::N,ayol,maouez
196,Kind::N,bola,bugel
197,Kind::N,kichkintoy,bugel
198,Junge::N,bola,paotr
199,Mädchen::N,qiz,plac'h
200,Familie::N,oila,familh
201,Großvater::N,buva,tad-kozh
202,Großvater::N,katta ota,tad-kozh
203,Großmutter::N,buvi,mamm-gozh
204,Großmutter::N,katta oyi,mamm-gozh
205,Eltern::N,ota-ona,kerent
206,Vater::N,ota,tad
207,Mutter::N,ona,mamm
208,Sohn::N,o'g'il,mab
209,Tochter::N,qiz,merc'h
