,Concept_ID,ko,te
0,Auge::N,눈,కన్ను
1,Ohr::N,귀,చెవి
2,Nase::N,코,ముక్కు
3,Mund::N,입,నోరు
4,Zahn::N,이,పల్లు
5,Zunge::N,혀,నాలుక
6,Lippe::N,입술,పెదవి
7,Wange::N,뺨,చెంప
8,Gesicht::N,얼굴,ముఖము
9,Stirn::N,이마,నుదురు
10,Haar::N,털,వెండ్రుక
11,Schnurrbart::N,윗수몀,మీసము
12,Schnurrbart::N,코밑수염,మీసము
13,Bart::N,수엄,గడ్డము
14,Kinn::N,아래턱,గడ్డము
15,Kiefer[Anatomie]::N,턱,దౌడ
16,Kehle::N,인후,గొంతు
17,Hals::N,목,మెడ
18,Genick::N,먹덜이,మూపు
19,Kopf::N,머리,తల
20,Rücken::N,든,వెన్ను
21,Bauch::N,배,కడుపు
22,Nabel::N,배꼽,బొడ్డు
23,Busen::N,가슴속,స్తనము
24,Brust::N,가슴,ఱొమ్ము
25,Schulter::N,어깨,భుజము
26,Arm::N,팔,చేయి
27,Ellenbogen::N,팔쿰치,మోచేయి
28,Hand::N,손,చేయి
29,Handfläche::N,손바닥,అరచేయు
30,Finger::N,속가락,చేతిప్రేలు
31,Fingernagel::N,손톱,గోరు
32,Nagel[Anatomie]::N,손톱,గోరు
33,Zeh::N,발가락,కాలిప్రేలు
34,Fuß::N,발,అడుగు
35,Ferse::N,발꿈치,మడమ
36,Knie::N,무릎,మోకాలు
37,Oberschenkel::N,허벅다리,తొడ
38,Bein::N,다리,కాలు
39,Körper::N,구간,కాయము
40,Haut::N,살갗,చర్మము
41,Blut::N,피,రక్తము
42,Ader::N,정맥,సిర
43,Sehne::N,현,స్నాయువు
44,Knochen::N,뼈,ఎముక
45,Gehirn::N,뇌,మెదడు
46,Gehirn::N,뇌수,మెదడు
47,Herz::N,염통,హృదయము
48,Magen::N,위,కడుపు
49,Leber::N,간,కాలేయము
50,Atem::N,기식,ఉపిరి
51,Hunger::N,공복,ఆకలి
52,Träne::N,눈물,కన్నీటిచుక్క
53,Geschmack::N,기호,రుచి
54,Geruch::N,냄새,వాసన
55,Schlaf::N,수면,నిద్ర
56,Traum::N,쿰,కల
57,Himmel::N,하늘,ఆకాశము
58,Sonne::N,해,సూర్యుడు
59,Mond::N,달,చంద్రుడు
60,Stern::N,별,నక్షత్రము
61,Luft::N,동준,గాలి
62,Luft::N,가스채,గాలి
63,Wind::N,바람,వీచుచున్నగాలి
64,Welle::N,물결,అల
65,Wasser::N,물,నీరు
66,Stein::N,돌,ఱాయి
67,Boden::N,바닥,నేల
68,Erde::N,흙,మన్ను
69,Staub::N,먼지,దుమ్ము
70,Rauch::N,연기,పొగ
71,Funke::N,불티,అగ్నికణము
72,Feuer::N,불,అగ్ని
73,Licht::N,불,కాంతి
74,Schatten::N,어스레함,నీడ
75,Wetter::N,기상,వాతావరణ స్థితి
76,Nebel::N,안개,పొగమంచు
77,Wolke::N,구름,మేఘము
78,Regen::N,비,వాన
79,Schnee::N,눈,హిమము
80,Eis::N,얼음,మంచుగడ్డ
81,Frost::N,혹한,పేరిన మంచు
82,Kälte::N,추위,చలి
83,Kälte::N,차가움,చలి
84,Hitze::N,고온,వేడిమి
85,Hitze::N,더위,వేడిమి
86,Regenbogen::N,무지개,ఇంద్రధనుస్సు
87,Donner::N,뇌명,ఉరుము
88,Strömung::N,유동,ప్రవాహము
89,Tropfen::N,물방울,చుక్క
90,Schaum::N,포말,నురుగు
91,Schmutz::N,때,మైల
92,See::N,호수,సరస్సు
93,Sumpf::N,습지,చిత్తడినేల
94,Moor::N,저습지,చిత్తడినేల
95,Wiese::N,목초지,పచ్చిక బయలు
96,Wald::N,숲,అడవి
97,Hügel::N,언덕,చివ్నకొండ
98,Anhöhe::N,언덕,కొండ
99,Berg::N,산,పర్వతము
100,Gipfel::N,졀졍,శిఖరము
101,Höhle::N,공동,గుహ
102,Abhang::N,몰매,ఏటవాలు
103,Quelle::N,근원,మూలము
104,Bach::N,내,కాలువ
105,Fluss::N,강,నది
106,Ufer::N,강변,తీరము
107,Ufer::N,바닷가,తీరము
108,Küste::N,해변,తీరము
109,Küste::N,해변가,తీరము
110,Festland::N,본토,భూమి
111,Meer::N,바다,సముద్రము
112,Bucht::N,협만,మరుగు
113,Insel::N,섬,దీవి
114,Blume::N,꽃,పుష్పము
115,Gras::N,풀,పచ్చగడ్డి
116,Wurzel::N,뿌리,వేరు
117,Baum::N,나무,చెట్టు
118,Stamm::N,대,చెట్టుబోదె
119,Rinde::N,나무껍질,చెట్టుపట్ట
120,Ast::N,가지,కొమ్మ
121,Zweig::N,가지,చివుకు
122,Blatt::N,잎,ఆకు
123,Birke::N,자작나무,తరహా చెట్టు
124,Kiefer[Baum]::N,소나무,దేవదారు చెట్టు
125,Weide[Baum]::N,쉬양버들,జాతిచెట్టు
126,Tanne::N,전나무,దేవదారుచెట్టు
127,Horn::N,뿔,కొమ్ము
128,Feder::N,깃털,ఈక
129,Fell::N,피혁모피,తోలు
130,Flügel::N,날개,ఱెక్క
131,Klaue::N,갈고리 발톺,వంకరగోరు
132,Kralle::N,발툭,వంకరగోరు
133,Schwanz::N,꼬리,తోక
134,Ei::N,알,గ్రుడ్డు
135,Nest::N,보금자리,పక్షిగూడు
136,Bau::N,굴,గుహ
137,Tier::N,짐승,జంతువు
138,Herde::N,가축의떼,మంద
139,Kuh::N,암소,ఆవు
140,Bulle::N,황소,గిత్త
141,Pferd::N,말,గుఱ్ఱము
142,Schaf::N,양,గొఱ్ఱె
143,Schwein::N,돼지,పంది
144,Hund::N,개,కుక్క
145,Katze::N,고양이,పిల్లి
146,Bär::N,콤,ఎలుగుబంటి
147,Eichhörnchen::N,다람쥐,ఉడుత
148,Elch::N,고라니,కణంజు
149,Fuchs::N,여우,గుంటనక్క
150,Hase::N,토끼,కుందేలు
151,Maus::N,쥐,చిట్టెలుక
152,Wolf::N,늑대,తోడేలు
153,Vogel::N,새,పక్షి
154,Schwarm::N,뗴,గుంపు
155,Huhn::N,암탉,కోడిపిల్ల
156,Hahn::N,수탉,కోడివుంజు
157,Gans::N,거위,ఆడుబాతు
158,Adler::N,수리,గ్రద్ద
159,Ente::N,오리,పాట్టిబాతు
160,Eule::N,부엉이,గ్రుడ్లగూబ
161,Kranich::N,두루미,కొంగ
162,Krähe::N,까마귀,కాకి
163,Kuckuck::N,뻐꾸기,కోయల
164,Schwan::N,배조,హంస
165,Fisch::N,물고기,చేప
166,Barsch::N,농어,ఒకచేఁప
167,Hecht::N,에속스,గండుమీను
168,Schlange[Tier]::N,뱀,పాము
169,Wurm::N,벌레,పురుగు
170,Spinne::N,거미,సాలె పురుగు
171,Ameise::N,개미,చీమ
172,Laus::N,이,పేను
173,Mücke::N,모기,చీకటీగ
174,Fliege::N,날기,ఈగ
175,Schmetterling::N,나비,సీతాకోకచిలుక
176,Beere::N,장과,కాయ
177,Apfel::N,사과,ఆపిల్ పండు
178,Pilz::N,고방이,కుక్కగొడుగు
179,Zwiebel::N,양파,నీరుల్లి
180,Saat::N,씨,విత్తనము
181,Korn::N,알맹이,గింజ
182,Heu::N,건초,ఎండుగడ్డి
183,Schale::N,피상,పొట్టు
184,Falle::N,함정,బోను
185,Schlinge::N,올가미,ఉరి
186,Schlinge::N,멜빵붕대,ఉరి
187,Spur::N,발지국,జాడ
188,Asche::N,재,బూడిద
189,Dreck::N,똥,ముఱికి
190,Dreck::N,오물,ముఱికి
191,Eisen::N,쇠,ఇనుము
192,Eisen::N,철,ఇనుము
193,Gold::N,항금,బంగారము
194,Silber::N,은,వెండి
195,Kohle::N,슻,నేలబొగ్గు
196,Glas::N,유리,గాజు
197,Lehm::N,찰흙,బంకమన్ను
198,Sand::N,모래,ఇసుక
199,Mensch::N,사람,నరుడు
200,Mann::N,남자,పురుమడు
201,Frau::N,여자,ఆడుది
202,Kind::N,아이,బిడ్డ
203,Junge::N,소녁,బాలుడు
204,Mädchen::N,소녀,బాలిక
205,Familie::N,가족,కుటుంబము
206,Großvater::N,할아버지,తాత
207,Großmutter::N,할머니,అయ్యమ్మ
208,Eltern::N,어버오,తల్లితండ్రులు
209,Vater::N,아버지,తండ్రి
210,Mutter::N,어머니,తల్లి
211,Sohn::N,아들,కొడుకు
212,Tochter::N,딸기,కూతురు
213,Bruder::N,형제,పోదరుడు
214,Schwester::N,누이,సోదరి
215,Onkel::N,백부,మేనమామ
216,Tante::N,아주머니,మేనత్త
217,Tante::N,아주머니,పినతల్లి
218,Ehemann::N,남편,భర్త
219,Ehefrau::N,아내,భార్య
220,Freude::N,기쁨,సంతోషము
221,Gelächter::N,웃음,నవ్వు
222,Glück::N,즐거움,సంతోషము
223,Kummer::N,슬픔,దుఃఖము
224,Wunsch::N,소망,కోరిక
225,Geist::N,할기,ఆత్మ
226,Gedanke::N,상념,ఆలోచన
227,Gedächtnis::N,기억,జ్ఞాపకము
228,Verstand::N,분별,మనస్సు
229,Verstand::N,지능,మనస్సు
230,Sinn::N,센스,అర్థము
231,Grund::N,까닭,కారణము
232,Wahrheit::N,참,సత్యము
233,Wahrheit::N,진실,సత్యము
234,Gespräch::N,대화,పంభాషణ
235,Märchen::N,동화,అద్భుతకథ
236,Erzählung::N,이야기,కథ
237,Neuigkeit::N,뉴스,వార్త
238,Name::N,이름,పేరు
239,Rätsel::N,수수께끼,చిక్కు
240,Rede::N,연설,ఉపన్యాసము
241,Sprache::N,말,భాష
242,Stimme::N,목소리,కంరథ్సని
243,Wort::N,낱말,మాట
244,Zeichen::N,신호,గుర్తు
245,Ruf::N,부름,పిలువు
246,Lärm::N,소동,సందడి
247,Laut::N,음성,ధ్వని
248,Ton::N,목소리,స్వరము
249,Lied::N,노래,పాట
250,Ruhe::N,쉼,గాలిలేమి
251,Leute::N,사람들,జనులు
252,Volk::N,국중,జాతి
253,Arbeit::N,근로,పని
254,Arbeit::N,너무,పని
255,Gast::N,손님,అతిధి
256,Geschenk::N,행하,దానము
257,Spiel::N,무리,ఆట
258,Gesellschaft::N,교제,జట్టు
259,Hilfe::N,거들음,సాహాయ్యము
260,Hilfe::N,보좌,సాహాయ్యము
261,Freund::N,친구,స్నేహితుడు
262,Kamerad::N,동실자,చెలికాడు
263,Angelegenheit::N,용무,విషయము
264,Anzahl::N,어떤,లెక్క
265,Anzahl::N,수,లెక్క
266,Art::N,정류,జాతి
267,Stück::N,일부분,తునుక
268,Teil::N,몱,భాగము
269,Teil::N,구훠,భాగము
270,Hälfte::N,2분의,సగము
