,Concept_ID,da,xal
0,Auge::N,øje,нүдн
1,Ohr::N,øre,чикн
2,Nase::N,næse,хамр
3,Mund::N,mund,амн
4,Zahn::N,tand,шүдн
5,Zunge::N,tunge,келн
6,Lippe::N,læbe,урл
7,Wange::N,kind,халх
8,Gesicht::N,ansigt,нүр
9,Stirn::N,pande,маңна
10,Haar::N,hår,үсн
11,Schnurrbart::N,overskæg,сахл
12,Bart::N,skæg,сахл
13,Bart::N,skæg,өргнә сахл
14,Kinn::N,hage,өргн
15,Kiefer[Anatomie]::N,kæbe,өргн
16,Kehle::N,strube,хол
17,Hals::N,hals,күзүн
18,Genick::N,nakke,гиҗг
19,Kopf::N,hoved,толһа
20,Rücken::N,ryg,нурһн
21,Bauch::N,mave,гесн
22,Nabel::N,navle,киисн
23,Busen::N,barm,көкн
24,Brust::N,bryst,чееҗ
25,Schulter::N,skulder,ээм
26,Arm::N,arm,һар
27,Ellenbogen::N,albue,тоха
28,Hand::N,hånd,баһлцг
29,Handfläche::N,håndflade,альхн
30,Finger::N,finger,хурһн
31,Finger::N,finger,һарин хурһн
32,Fingernagel::N,fingernegl,хумсн
33,Nagel[Anatomie]::N,negl,хумсн
34,Zeh::N,tå,хурһн
35,Zeh::N,tå,көлин хурһн
36,Fuß::N,fod,тавг
37,Ferse::N,hæl,өскә
38,Knie::N,knæ,өвдг
39,Oberschenkel::N,lår,һуй
40,Bein::N,ben,көл
41,Körper::N,krop,махмуд
42,Körper::N,legeme,махмуд
43,Haut::N,hud,арсн
44,Blut::N,blod,цусн
45,Ader::N,åre,судцн
46,Sehne::N,sene,шүрүсн
47,Knochen::N,ben,ясн
48,Gehirn::N,hjerne,экн
49,Herz::N,hjerte,зүркн
50,Magen::N,mave,гесн
51,Leber::N,lever,элкн
52,Atem::N,ånde,әмсхл
53,Hunger::N,sult,харһнлһн
54,Träne::N,tåre,нульмсн
55,Geschmack::N,smag,амтн
56,Geruch::N,lugt,үнр
57,Schlaf::N,søvn,нөр
58,Traum::N,drøm,зүүдн
59,Himmel::N,himmel,теңгр
60,Sonne::N,sol,нарн
61,Mond::N,måne,сар
62,Stern::N,stjerne,одн
63,Luft::N,luft,аһар
64,Wind::N,vind,салькн
65,Welle::N,bølge,дольган
66,Wasser::N,vand,усн
67,Stein::N,sten,чолун
68,Boden::N,jord,Һазр
69,Erde::N,jord,Һазр
70,Staub::N,støv,тоосн
71,Rauch::N,røg,утан
72,Funke::N,gnist,очн
73,Feuer::N,ild,һал
74,Licht::N,lys,герл
75,Schatten::N,skygge,сүүдр
76,Wetter::N,vejr,теңгр
77,Nebel::N,tåge,будн
78,Wolke::N,sky,үүлн
79,Regen::N,regn,хур
80,Schnee::N,sne,цасн
81,Eis::N,is,мөсн
82,Frost::N,frost,киитн
83,Kälte::N,kulde,киитн
84,Hitze::N,hede,халун
85,Raureif::N,rimfrost,цаң
86,Raureif::N,rimfrost,кирү
87,Regenbogen::N,regnbue,солңһ
88,Donner::N,torden,оһтрһун дун
89,Strömung::N,strømning,урсхл
90,Tropfen::N,dråbe,дусал
91,Schaum::N,skum,көөсн
92,Schmutz::N,snavs,кир
93,See::N,sø,нур
94,Sumpf::N,sump,унул
95,Moor::N,mose,улм
96,Wiese::N,eng,хадлһн
97,Wald::N,skov,ө-модн
98,Hügel::N,høj,толһа
99,Hügel::N,bakke,толһа
100,Anhöhe::N,høj,хамр
101,Anhöhe::N,bakke,хамр
102,Berg::N,bjerg,уул
103,Gipfel::N,top,ора
104,Höhle::N,hule,хадин көндә
105,Abhang::N,skrænt,ташу
106,Abhang::N,skråning,ташу
107,Quelle::N,kilde,булг
108,Bach::N,bæk,һооҗур
109,Fluss::N,flod,һол
110,Ufer::N,bred,көвә
111,Küste::N,kyst,көвә
112,Küste::N,kyst,теңгсин көвә
113,Festland::N,fastland,хүүрә һазр
114,Meer::N,hav,теңгс
115,Bucht::N,bugt,цекә
116,Bucht::N,bugt,теңгсин цекә
117,Insel::N,ø,арл
118,Blume::N,blomst,цецг
119,Gras::N,græs,ноһан
120,Wurzel::N,rod,уңг
121,Baum::N,træ,модн
122,Stamm::N,stamme,шилв
123,Stamm::N,stamme,һол модн
124,Rinde::N,bark,көрсн
125,Ast::N,gren,ац
126,Zweig::N,kvist,ац
127,Blatt::N,blad,хамтхасн
128,Birke::N,birk,хусм модн
129,Kiefer[Baum]::N,fyrretræ,шар харһа
130,Weide[Baum]::N,piletræ,удн
131,Tanne::N,gran,җөөлн цаһан модн
132,Horn::N,horn,өвр
133,Feder::N,fjer,өрвлг
134,Fell::N,skind,арсн
135,Flügel::N,vinge,җивр
136,Klaue::N,klov,хумсн
137,Kralle::N,klo,тавг
138,Schwanz::N,hale,сүл
139,Ei::N,æg,өндгн
140,Nest::N,rede,үр
141,Bau::N,bo,нүкн
142,Tier::N,dyr,мал
143,Herde::N,flok,сүрг мал
144,Kuh::N,ko,үкр
145,Bulle::N,tyr,бух
146,Pferd::N,hest,мөрн
147,Schaf::N,får,хөн
148,Schwein::N,gris,һаха
149,Hund::N,hund,ноха
150,Katze::N,kat,мис
151,Bär::N,bjørn,аю
152,Eichhörnchen::N,egern,кермн
153,Elch::N,elg,хандһа
154,Fuchs::N,ræv,арат
155,Hase::N,hare,туула
156,Maus::N,mus,хулһн
157,Wolf::N,ulv,чон
158,Vogel::N,fugl,шовун
159,Schwarm::N,sværm,зел
160,Huhn::N,høne,така
161,Hahn::N,hane,эр така
162,Gans::N,gås,һалун
163,Adler::N,ørn,һәрд
164,Ente::N,and,нуһсн
165,Eule::N,ugle,һурвлһ
166,Kranich::N,trane,тоһрун
167,Krähe::N,krage,шаазһа
168,Kuckuck::N,gøg,эргин хуцдг
169,Schwan::N,svane,хун
170,Fisch::N,fisk,заһсн
171,Barsch::N,aborre,шүрг
172,Hecht::N,gedde,цурх
173,Schlange[Tier]::N,slange,моһа
174,Wurm::N,orm,өтн
175,Spinne::N,edderkop,аралҗн
176,Ameise::N,myre,шорһлҗн
177,Laus::N,lus,бөөсн
178,Mücke::N,myg,бөкүн
