,Concept_ID,tt,mn
0,Auge::N,күз,нүд
1,Ohr::N,колак,чих
2,Nase::N,борын,хамар
3,Mund::N,авыз,ам
4,Mund::N,тамак,ам
5,Zahn::N,теш,шүд
6,Zunge::N,тел,хэл
7,Lippe::N,ирен,уруул
8,Wange::N,яңак,хацар
9,Gesicht::N,йөз,царай
10,Gesicht::N,йөз,нүүр
11,Stirn::N,маңгай,дух
12,Haar::N,чәч,үс
13,Schnurrbart::N,мыек,дээд сахал
14,Schnurrbart::N,мыек,живэр сахал
15,Bart::N,сакал,сахал
16,Kinn::N,ияк,эрүү
17,Kiefer[Anatomie]::N,казналык,эрүү
18,Kehle::N,тамак,хоолой
19,Hals::N,бугаз,хүзүү
20,Genick::N,җилкә,шил
21,Genick::N,җилкә,хүзүү
22,Kopf::N,баш,толгой
23,Rücken::N,сырт,ар
24,Rücken::N,сырт,нуруу
25,Bauch::N,корсак,хэвлий
26,Bauch::N,корсак,гэдэс
27,Nabel::N,кендек,хүйс
28,Busen::N,түш,хөх
29,Brust::N,имчәк,цээж
30,Brust::N,күкрәк,цээж
31,Schulter::N,иңбаш,мөр
32,Schulter::N,иңбаш,бугалга
33,Schulter::N,кулбаш,мөр
34,Schulter::N,кулбаш,бугалга
35,Arm::N,кул,гар
36,Ellenbogen::N,терсәк,тохой
37,Hand::N,кул,гар
38,Hand::N,кул,алга
39,Handfläche::N,уч,алга
40,Finger::N,бармак,хуруу
41,Fingernagel::N,тырнак,хурууны хумс
42,Nagel[Anatomie]::N,тырнак,хумс
43,Zeh::N,бармак,хуруу
44,Fuß::N,табан,хөл
45,Ferse::N,үкчә,өсгий
46,Knie::N,тез,өвдөг
47,Oberschenkel::N,бот,гуя
48,Bein::N,аяк,хөл
49,Körper::N,тән,бие
50,Körper::N,җисем,бие
51,Haut::N,тире,арьс
52,Blut::N,кан,цус
53,Ader::N,тамыр,судас
54,Sehne::N,сеңер,бүлх
55,Sehne::N,сеңер,шандас
56,Knochen::N,сөяк,яс
57,Gehirn::N,ми,тархи
58,Herz::N,йөрәк,зүрх
59,Magen::N,ашказаны,ходоод
60,Leber::N,бавыр,элэг
61,Atem::N,сулыш,амьсгаа
62,Hunger::N,ачлык,өлсгөлөн
63,Träne::N,яшь,нулимс
64,Geschmack::N,тәм,амт
65,Geschmack::N,зәвык,амт
66,Geruch::N,ис,үнэр
67,Schlaf::N,йокы,нойр
68,Traum::N,төш,зүүд
69,Himmel::N,күк,тэнгэр
70,Himmel::N,күк,огторгуй
71,Sonne::N,кояш,нар
72,Mond::N,ай,сар
73,Stern::N,йолдыз,од
74,Luft::N,һава,агаар
75,Wind::N,җил,салхи
76,Welle::N,дулкын,долгио
77,Welle::N,дулкын,давалгаа
78,Wasser::N,су,ус
79,Stein::N,таш,чулуу
80,Boden::N,туфрак,хөрс
81,Erde::N,җир,газар
82,Erde::N,җир,шороо
83,Staub::N,тузан,тоос
84,Rauch::N,төтен,утаа
85,Funke::N,очкын,оч
86,Feuer::N,ут,гал
87,Licht::N,якты,гэрэл
88,Licht::N,якты,гэгээ
89,Schatten::N,күләгә,сүүдэр
90,Wetter::N,һава,тэнгэр
91,Wetter::N,һава,цаг уур
92,Nebel::N,томан,будан
93,Wolke::N,болыт,үүл
94,Regen::N,яңгыр,бороо
95,Schnee::N,кар,цас
96,Eis::N,боз,мөс
97,Frost::N,суык,хүйт
98,Frost::N,салкын,хүйт
99,Kälte::N,суык,хүйт
100,Kälte::N,салкын,хүйт
101,Hitze::N,эсселек,халуун
102,Raureif::N,бәс,цан
103,Raureif::N,бәс,хяруу
104,Raureif::N,сыкы,цан
105,Raureif::N,сыкы,хяруу
106,Regenbogen::N,салават күпере,солонго
107,Donner::N,күкрәү,тэнгэрийн дуу
108,Strömung::N,агыш'агым,урсгал
109,Tropfen::N,тамчы,дусал
110,Schaum::N,күбек,хөөс
111,Schmutz::N,пычрак,хир
112,Schmutz::N,пычрак,шавхай
113,See::N,күл,нуур
114,Sumpf::N,саз,намаг
115,Sumpf::N,саз,балчиг
116,Moor::N,торфлык,хүлрийн намаг
117,Wiese::N,болын,нуга
118,Wald::N,урман,ой
119,Hügel::N,калку,болдог
120,Anhöhe::N,үр,гүвээ
121,Berg::N,тау,уул
122,Gipfel::N,оч,орой
123,Gipfel::N,оч,оргил
124,Höhle::N,мәгарә,агуй
125,Abhang::N,кабырга,хүр
126,Quelle::N,чишмә,булаг
127,Bach::N,елга,горхи
128,Fluss::N,дәрья,гол
129,Fluss::N,дәрья,мөрөн
130,Ufer::N,су кырые,эрэг
131,Küste::N,яр буе,эрэг
132,Festland::N,коры җир,хуурай газар
133,Meer::N,диңгез,далай
134,Meer::N,диңгез,тэнгис
135,Bucht::N,бухта,булан
136,Bucht::N,бухта,далайн тохой
137,Bucht::N,култык,булан
138,Bucht::N,култык,далайн тохой
139,Insel::N,атау,арал
140,Insel::N,утрау,арал
141,Blume::N,чәчкә,цэцэг
142,Gras::N,үлән,өвс
143,Gras::N,үлән,ногоо
144,Wurzel::N,тамыр,үндэс
145,Baum::N,агач,мод
146,Stamm::N,кәүсә,иш
147,Stamm::N,кәүсә,гуалин
148,Rinde::N,кабык,холтос
149,Ast::N,ботак,гишүү
