,Concept_ID,ku,zh
0,Auge::N,çav,眼睛
1,Ohr::N,guh,耳朵
2,Nase::N,bêvil,鼻子
3,Mund::N,dev,嘴
4,Zahn::N,didan,牙齿
5,Zunge::N,ziman,舌头
6,Lippe::N,lêv,嘴唇
7,Wange::N,dêm,面颊
8,Wange::N,hinarik,面颊
9,Gesicht::N,rû,脸
10,Stirn::N,enî,额
11,Haar::N,por,头发
12,Schnurrbart::N,simbêl,髭须
13,Bart::N,rih,胡子
14,Kinn::N,zenî,下巴
15,Kiefer[Anatomie]::N,arguşk,颌
16,Kehle::N,qirik,嗓子
17,Hals::N,stû,颈
18,Hals::N,qirik,颈
19,Genick::N,stû,后颈
20,Kopf::N,serî,头
21,Rücken::N,pişt,背
22,Bauch::N,ûr,肚子
23,Bauch::N,zik,肚子
24,Nabel::N,navik,肚脐
25,Busen::N,sîng,胸脯
26,Brust::N,sîng,胸
27,Schulter::N,mil,肩膀
28,Arm::N,çepil,臂膀
29,Ellenbogen::N,enîşk,肘
30,Hand::N,dest,手
31,Handfläche::N,kefadest,手掌
32,Finger::N,tilî,手指
33,Fingernagel::N,neynuk,指甲
34,Nagel[Anatomie]::N,bizmar,指甲
35,Zeh::N,tilî linga,脚趾
36,Fuß::N,ling,脚
37,Ferse::N,pahnî,后跟
38,Knie::N,kabok,膝
39,Oberschenkel::N,rahn,大腿
40,Bein::N,çip,腿
41,Körper::N,laş,身体
42,Körper::N,gowde,身体
43,Haut::N,çerm,皮肤
44,Blut::N,xwîn,血
45,Ader::N,reh,血管
46,Sehne::N,reh,腱
47,Knochen::N,hestî,骨
48,Gehirn::N,mêjî,脑
49,Herz::N,dil,心
50,Magen::N,navêş,胃
51,Leber::N,kezeb,肝
52,Atem::N,hilm,呼吸
53,Hunger::N,birçîtî,饿
54,Träne::N,hêstir,眼泪
55,Geschmack::N,tam,味道
56,Geruch::N,bêhn,气味
57,Schlaf::N,xew,睡眠
58,Traum::N,xewn,梦
59,Himmel::N,ezman,天空
60,Sonne::N,roj,太阳
61,Mond::N,heyv,月亮
62,Stern::N,stêrk,星
63,Luft::N,ba,空气
64,Wind::N,ba,风
65,Welle::N,şewl,波
66,Wasser::N,av,水
67,Stein::N,kevir,石头
68,Boden::N,herd,地面
69,Erde::N,ax,地
70,Staub::N,toz,灰尘
71,Rauch::N,dû,烟
72,Funke::N,çirûşk,火花
73,Feuer::N,agir,火
74,Licht::N,ronahî,光
75,Schatten::N,sî,影子
76,Wetter::N,hewa,天气
77,Nebel::N,mij,雾
78,Wolke::N,ewr,云
79,Regen::N,baran,雨
80,Schnee::N,berf,雪
81,Eis::N,qeşa,冰
82,Frost::N,xûsik,霜冻
83,Kälte::N,serma,寒冷
84,Hitze::N,germayî,炎热
85,Raureif::N,şext,霜
86,Regenbogen::N,heftreng,虹
87,Donner::N,gire-gir,雷
88,Strömung::N,şewl,水流
89,Tropfen::N,dilop,滴
90,Schaum::N,kef,泡沫
91,Schmutz::N,gemar,赃物
92,See::N,gol,湖
93,Sumpf::N,hezek,沼泽
94,Moor::N,mafêl,沼泽
95,Wiese::N,sûrik,草地
96,Wald::N,çiya,森林
97,Wald::N,daristan,森林
98,Hügel::N,gir,丘陵
99,Anhöhe::N,sere gir,山丘
100,Berg::N,kaş,山
101,Gipfel::N,sere gir,峰
102,Höhle::N,şikeft,洞穴
103,Abhang::N,kaş,斜坡
104,Quelle::N,kanî,泉
105,Bach::N,çem,溪
106,Fluss::N,çem,河流
107,Fluss::N,rûbar,河流
108,Ufer::N,kevî,岸
109,Küste::N,berav,海岸
110,Festland::N,bejahî,大陆
111,Meer::N,behr,海
112,Bucht::N,derav,海湾
113,Insel::N,girav,岛
114,Blume::N,kulînk,花
115,Gras::N,giha,草
116,Wurzel::N,reh,根
117,Baum::N,dar,树
118,Stamm::N,bavik,树干
119,Rinde::N,qaqil,树皮
120,Ast::N,gulî,树枝
121,Zweig::N,şax,树枝
122,Blatt::N,pel,叶子
123,Birke::N,dara sipî,桦木
124,Kiefer[Baum]::N,dara bî,松树
125,Weide[Baum]::N,dara belalûk,柳树
126,Tanne::N,merx,冷杉
127,Horn::N,strô,角
128,Feder::N,pîrtîk,羽毛
129,Fell::N,heyar,皮毛
130,Flügel::N,per,翅膀
131,Klaue::N,napîk,爪子
132,Kralle::N,dinik,爪子
133,Kralle::N,dirnax,爪子
134,Schwanz::N,dûv,尾巴
135,Ei::N,hêk,蛋
136,Nest::N,hêlîn,巢
137,Bau::N,avahî,穴
138,Tier::N,heywan,动物
139,Herde::N,hoz,群
140,Kuh::N,çêlek,母牛
141,Bulle::N,ga,公牛
142,Pferd::N,hesp,马
143,Schaf::N,mîh,羊
144,Schwein::N,beraz,猪
145,Hund::N,seh,狗
146,Katze::N,pişîk,猫
147,Bär::N,hirç,熊
148,Eichhörnchen::N,pilûr,松鼠
149,Elch::N,pazkovî,麋鹿
150,Fuchs::N,rovî,狐狸
151,Hase::N,kîroşk,兔子
152,Maus::N,mişk,老鼠
153,Wolf::N,gur,狼
154,Vogel::N,çûk,鸟
155,Schwarm::N,lufik,群
156,Huhn::N,mirîşk,鸡
157,Hahn::N,dîk,公鸡
158,Gans::N,qaz,鹅
159,Adler::N,eylo,鹰
160,Ente::N,werdek,鸭
161,Eule::N,bûm,猫头鹰
162,Eule::N,kund,猫头鹰
163,Kranich::N,quling,鹤
164,Krähe::N,qijik,乌鸦
165,Kuckuck::N,pepûk,布谷鸟
166,Schwan::N,qû,天鹅
167,Fisch::N,masî,鱼
168,Barsch::N,okûn,鲈鱼
169,Hecht::N,mesîyê lûf,狗鱼
170,Schlange[Tier]::N,mar,蛇
171,Wurm::N,kurm,蠕虫
172,Spinne::N,pîrê,蜘蛛
173,Ameise::N,mîro,蚂蚁
174,Ameise::N,gêrîk,蚂蚁
175,Laus::N,spi,虱子
176,Mücke::N,mêş,蚊子
177,Fliege::N,mêş,苍蝇
178,Schmetterling::N,perperîk,蝴蝶
179,Beere::N,hirç,将果
180,Apfel::N,sêv,苹果
181,Pilz::N,bîrov,蘑菇
182,Zwiebel::N,pîvaz,洋葱
183,Saat::N,tov,种子
184,Korn::N,dexl,谷粒
185,Heu::N,sap,干草
186,Schale::N,qaşik,壳
187,Grube::N,çahl,坑
188,Falle::N,dafik,圈套
189,Schlinge::N,dahf,活扣
190,Spur::N,rêç,踪迹
191,Asche::N,xweli,灰烬
192,Dreck::N,gemarî,污垢
193,Eisen::N,hesing,铁
194,Gold::N,zêr,金子
195,Silber::N,zîv,银
196,Kohle::N,komir,煤
197,Glas::N,qedeh,玻璃
198,Lehm::N,kelpîç,粘土
199,Sand::N,qûm,沙
200,Mensch::N,mirov,人
201,Mann::N,mêr,男子
202,Frau::N,jin,妇女
203,Kind::N,zarok,小孩
204,Junge::N,kur,男孩
205,Mädchen::N,keç,女孩
206,Mädchen::N,keçik,女孩
207,Familie::N,malbat,家庭
208,Großvater::N,bapîr,祖父
209,Großmutter::N,pîrik,祖母
210,Eltern::N,bavudê,父母
211,Vater::N,bav,父亲
212,Mutter::N,dê,母亲
213,Mutter::N,dayik,母亲
214,Sohn::N,kur,儿子
215,Tochter::N,keç,女儿
216,Bruder::N,bira,兄弟
217,Schwester::N,xweh,姐妹
218,Onkel::N,am,伯父
219,Onkel::N,xal,伯父
220,Tante::N,metik,阿姨
221,Tante::N,xaltîk,阿姨
222,Ehemann::N,mêr,丈夫
223,Ehefrau::N,kulfet,妻子
224,Freude::N,kêfxweşî,愉快
225,Gelächter::N,pîrqînî,大笑
226,Glück::N,bext,运气
227,Kummer::N,derd,苦恼
228,Wunsch::N,daxwaz,愿望
229,Wunsch::N,xwestek,愿望
230,Lust::N,şewq,乐趣
231,Geist::N,aqil,精神
232,Gedanke::N,fikir,思想
233,Gedächtnis::N,aqil,记性
234,Verstand::N,fêm,理智
235,Sinn::N,aqil,感觉
236,Grund::N,asas,理由
237,Wahrheit::N,rastî,真理
238,Gespräch::N,guftûgo,谈话
239,Märchen::N,çirok,童话
240,Erzählung::N,çirok,故事
241,Erzählung::N,vegotin,故事
242,Nachricht::N,nûçe,消息
243,Neuigkeit::N,hewal,新闻
244,Name::N,nav,名字
245,Name::N,paşnav,名字
246,Rätsel::N,tiştonek,谜语
247,Rede::N,gotar,讲话
248,Rede::N,axavtin,讲话
249,Sprache::N,ziman,语言
250,Stimme::N,pejn,声音
251,Wort::N,gotin,词
252,Zeichen::N,şanek,标记
253,Ruf::N,hawar,呼喊
254,Lärm::N,xarbalix,噪音
255,Laut::N,deng,响声
256,Laut::N,hês,响声
257,Ton::N,awaz,声音
258,Lied::N,sitran,歌曲
259,Ruhe::N,rihetî,安静
260,Leute::N,xelk,人们
261,Volk::N,xelk,人民
262,Arbeit::N,xebat,劳动
263,Gast::N,mêvan,客人
264,Geschenk::N,diyarî,礼物
265,Spiel::N,lîstik,游戏
266,Gesellschaft::N,komal,陪同
267,Hilfe::N,alîkarî,帮助
268,Freund::N,heval,朋友
269,Kamerad::N,heval,同志
270,Angelegenheit::N,pirsgirêk,事情
271,Anzahl::N,çend,数目
272,Art::N,çeh,种类
273,Stück::N,lib,块
274,Stück::N,parçe,块
275,Teil::N,parçe,部分
276,Hälfte::N,nîvî,一半
277,Kreis::N,çemil,圆
278,Kreuz::N,xaç,十字架
279,Linie::N,xezik,线条
280,Strich::N,xezik,划
281,Abstand::N,dûrahî,距离
282,Entfernung::N,dûrahî,距离
283,Gegend::N,dever,地区
284,Platz::N,çih,场所
285,Ort::N,dever,地点
286,Seite::N,rûpel,面
287,Mitte::N,nav,中间
288,Mitte::N,nabênê,中间
289,Gegenstand::N,tişt,物品
290,Sache::N,tişt,物
291,Rand::N,kevî,边
292,Kante::N,kevî,棱
293,Ecke::N,qunç,角
294,Spitze::N,derzî,尖
295,Ende::N,talî,结尾
296,Loch::N,qul,洞
297,Winkel::N,kurnîşk,角度
298,Muster::N,desen,模型
299,Größe::N,mezinî,大小
300,Länge::N,dirêjahî,长度
301,Höhe::N,bilindayî,高度
302,Gewicht::N,giranî,重量
303,Menge::N,qas,数量
304,Haufen::N,lod,堆
305,Reihe::N,rêz,行
306,Boot::N,kelek,小船
307,Ruder::N,bêrik,奖
308,Schlitten::N,xîjik,雪橇
309,Ski::N,lakan,雪板
310,Lagerfeuer::N,agir,营火
311,Last::N,bar,负担
312,Gang::N,fîtêz,行走
313,Schritt::N,gav,步伐
314,Norden::N,bakur,北
315,Süden::N,başur,南
316,Westen::N,rojava,西
317,Osten::N,rojhilat,东
318,Holz::N,dep,木材
319,Brett::N,dep,木板
320,Platte::N,dep,平板
321,Stütze::N,destek,支架
322,Stange::N,sing,杆
323,Stock::N,çam,棒
324,Stab::N,qat,棍
325,Rohr::N,borî,管子
326,Haus::N,mal,房屋
327,Haus::N,xanî,房屋
328,Heim::N,mal,家
329,Ofen::N,sobe,炉子
330,Fußboden::N,binpê,地板
331,Tisch::N,mase,桌子
332,Stuhl::N,kursî,椅子
333,Wiege::N,derguş,摇蓝
334,Bett::N,qerewêle,床
335,Regal::N,rêbaz,架子
336,Kiste::N,sindoq,箱子
337,Fenster::N,çam,窗户
338,Fenster::N,şibeke,窗户
339,Tür::N,derî,门
340,Tor::N,derge,大门
341,Zaun::N,hejik,篱笆
342,Dach::N,sere xanî,屋顶
343,Leiter::N,pêling,梯子
344,Besen::N,melkes,扫帚
345,Spaten::N,mer,铁锹
346,Schaufel::N,bêr,铁锹
347,Gabel::N,çetel,叉
348,Löffel::N,kevçî,食匙
349,Messer::N,kêr,刀
350,Nagel::N,bizmar,钉子
351,Netz::N,tor,网
352,Haken::N,çenqel,钩子
353,Griff::N,destî,把柄
354,Schloss::N,qonax,锁
355,Bild::N,dimen,图画
356,Figur::N,figûr,人像
357,Puppe::N,bûk,娃娃
358,Beutel::N,kîsik,袋子
359,Bündel::N,pêçek,捆
360,Tasche::N,bêrîk,手提包
361,Eimer::N,dewl,桶
362,Deckel::N,devik,盖子
363,Geschirr::N,ferax,餐具
364,Sack::N,tûr,袋子
365,Tasse::N,kada,杯子
366,Topf::N,beroş,锅
367,Kessel::N,şîril,水壶
368,Essen::N,xwarin,进餐
369,Nahrung::N,xwarin,食物
370,Speise::N,xwarin,菜肴
371,Fleisch::N,goşt,肉
372,Getreide::N,zad,谷物
373,Brei::N,hewdêl,粥
374,Brot::N,,面包
375,Scheibe::N,parçe,片
376,Fett::N,rûn,脂肪
377,Butter::N,rûn,黄油
378,Öl::N,rûn,油
379,Salz::N,xwe,盐
380,Suppe::N,şorbe,汤
381,Honig::N,hingiv,蜂蜜
382,Milch::N,şîr,奶
383,Tee::N,çay,茶
384,Leder::N,çerm,皮革
385,Wolle::N,herî,毛线
386,Stoff::N,paç,织物
387,Nadel::N,derzî,针
388,Faden::N,ta,线
389,Knopf::N,bişkok,纽扣
390,Knoten::N,girêk,结
391,Farbe::N,boyax,颜色
392,Kleidung::N,çil,衣服
393,Hemd::N,qutik,衬衫
394,Hemd::N,miltan,衬衫
395,Kragen::N,stûvang,领子
396,Ärmel::N,hûçik,袖子
397,Hose::N,şewel,裤子
398,Gürtel::N,qayiş,腰带
399,Mütze::N,fîno,帽子
400,Schuh::N,şêkal,鞋
401,Stiefel::N,gizme,靴子
402,Stiefel::N,çizme,靴子
403,Ring::N,xelek,戒指
404,Band::N,band,带子
405,Kamm::N,şeh,梳子
406,Spiegel::N,eynik,镜子
407,Riemen::N,qayiş,皮带
408,Schnur::N,doxin,绳子
409,Leine::N,şirît,皮带
410,Decke::N,bataniye,被子
411,Kissen::N,balgî,软垫
412,Tuch::N,şar,巾
413,Handtuch::N,dezmal,手巾
414,Kraft::N,hêz,力
415,Kraft::N,qewet,力
416,Stärke::N,xurtî,力量
417,Gesundheit::N,nojdarî,健康
418,Krankheit::N,nexweşî,病
419,Schmerz::N,êş,痛
420,Wunde::N,kul,伤口
421,Fieber::N,ta,发烧
422,Arznei::N,derman,药
423,Brücke::N,kopî,桥
424,Brunnen::N,çal,井
425,Brunnen::N,kani,井
426,Weide::N,beyar,牧场
427,Pfad::N,xaçirek,小路
428,Weg::N,rê,路
429,Straße::N,rê,街
430,Dorf::N,gund,村庄
431,Stadt::N,baçar,城市
432,Brief::N,name,信
433,Buch::N,kitêb,书
434,Buch::N,pirtûk,书
435,Buchstabe::N,herf,字母
436,Zeitung::N,rojname,报纸
437,Leben::N,jiyan,生命
