,Concept_ID,te,vep
0,Auge::N,కన్ను,sil'm
1,Ohr::N,చెవి,korv
2,Nase::N,ముక్కు,nena
3,Mund::N,నోరు,su
4,Zahn::N,పల్లు,pi
5,Zahn::N,పల్లు,hambaz
6,Zunge::N,నాలుక,kel'
7,Lippe::N,పెదవి,hul'
8,Wange::N,చెంప,modpolišk
9,Gesicht::N,ముఖము,mod
10,Stirn::N,నుదురు,oc
11,Haar::N,వెండ్రుక,tuk
12,Haar::N,వెండ్రుక,hibuz
13,Schnurrbart::N,మీసము,habinod
14,Bart::N,గడ్డము,bard
15,Kinn::N,గడ్డము,löug
16,Kiefer[Anatomie]::N,దౌడ,hambazlu
17,Kehle::N,గొంతు,kurk
18,Hals::N,మెడ,kagl
19,Genick::N,మూపు,tagarai
20,Kopf::N,తల,pä
21,Rücken::N,వెన్ను,sel'g
22,Bauch::N,కడుపు,vac
23,Bauch::N,కడుపు,koht
24,Nabel::N,బొడ్డు,naba
25,Busen::N,స్తనము,niža
26,Brust::N,ఱొమ్ము,rind
27,Schulter::N,భుజము,oug
28,Arm::N,చేయి,käzi
29,Ellenbogen::N,మోచేయి,künambruz
30,Hand::N,చేయి,käzi
31,Hand::N,చేయి,käzitera
32,Handfläche::N,అరచేయు,kämen
33,Finger::N,చేతిప్రేలు,sor'm
34,Fingernagel::N,గోరు,künz'
35,Nagel[Anatomie]::N,గోరు,künz'
36,Zeh::N,కాలిప్రేలు,barbaz
37,Fuß::N,అడుగు,jaug
38,Ferse::N,మడమ,kand
39,Knie::N,మోకాలు,komb
40,Knie::N,మోకాలు,pol'v
41,Oberschenkel::N,తొడ,riiže
42,Bein::N,కాలు,jaug
43,Körper::N,కాయము,hibj
44,Haut::N,చర్మము,nahk
45,Blut::N,రక్తము,čak
46,Blut::N,రక్తము,veri
47,Ader::N,సిర,son'
48,Sehne::N,స్నాయువు,jände
49,Knochen::N,ఎముక,lu
50,Gehirn::N,మెదడు,aivod
51,Herz::N,హృదయము,südäin
52,Magen::N,కడుపు,südäikoht
53,Leber::N,కాలేయము,maks
54,Atem::N,ఉపిరి,hengaiduz
55,Hunger::N,ఆకలి,näl'g
56,Träne::N,కన్నీటిచుక్క,kündal'
57,Geschmack::N,రుచి,magu
58,Geruch::N,వాసన,haju
59,Schlaf::N,నిద్ర,uni
60,Traum::N,కల,unikuva
61,Himmel::N,ఆకాశము,taivaz
62,Sonne::N,సూర్యుడు,päiväine
63,Mond::N,చంద్రుడు,kudmaine
64,Stern::N,నక్షత్రము,tähtaz
65,Luft::N,గాలి,il'm
66,Wind::N,వీచుచున్నగాలి,döl
67,Wind::N,వీచుచున్నగాలి,tullei
68,Welle::N,అల,ald
69,Welle::N,అల,laineh
70,Wasser::N,నీరు,vezi
71,Stein::N,ఱాయి,kivi
72,Boden::N,నేల,ma
73,Boden::N,నేల,pohj
74,Erde::N,మన్ను,ma
75,Staub::N,దుమ్ము,pölü
76,Rauch::N,పొగ,savu
77,Funke::N,అగ్నికణము,kibin
78,Feuer::N,అగ్ని,lämoi
79,Licht::N,కాంతి,vauktuz
80,Schatten::N,నీడ,pil'vez
81,Schatten::N,నీడ,kuvahaine
82,Wetter::N,వాతావరణ స్థితి,sä
83,Nebel::N,పొగమంచు,sumeg
84,Wolke::N,మేఘము,pil'v
85,Regen::N,వాన,vihm
86,Schnee::N,హిమము,lumi
87,Eis::N,మంచుగడ్డ,jä
88,Frost::N,పేరిన మంచు,hala
89,Frost::N,పేరిన మంచు,pakaine
90,Kälte::N,చలి,vilu
91,Hitze::N,వేడిమి,räk
92,Raureif::N,మంచు,hüde
93,Regenbogen::N,ఇంద్రధనుస్సు,jumalanbembel'
94,Donner::N,ఉరుము,juru
95,Donner::N,ఉరుము,jumalanjuru
96,Strömung::N,ప్రవాహము,joksmuz
97,Tropfen::N,చుక్క,tilkuine
98,Schaum::N,నురుగు,vaht
