,Concept_ID,is,pl
69,Mond::N,tungl,księżyc
70,Stern::N,stjarna,gwiazda
71,Luft::N,loft,powietrze
72,Wind::N,vindur,wiatr
73,Welle::N,alda,fala
74,Welle::N,bylgja,fala
75,Wasser::N,vatn,woda
76,Stein::N,steinn,kamień
77,Boden::N,botn,grunt
78,Erde::N,jörð,ziemia
79,Staub::N,ryk,pył
80,Staub::N,ryk,kurz
81,Staub::N,duft,pył
82,Staub::N,duft,kurz
83,Rauch::N,reykur,dym
84,Funke::N,neisti,iskra
85,Feuer::N,eldur,ogień
86,Licht::N,ljós,światło
87,Schatten::N,skuggi,cień
88,Wetter::N,veður,pogoda
89,Nebel::N,þoka,mgła
90,Wolke::N,ský,obłok
91,Wolke::N,ský,chmura
92,Regen::N,regn,deszcz
93,Schnee::N,snjór,śnieg
94,Eis::N,ís,lód
95,Frost::N,frost,mróz
96,Kälte::N,kuldi,chłód
97,Hitze::N,hiti,gorąco
98,Raureif::N,hrím,szron
99,Regenbogen::N,regnbogi,tęcza
100,Donner::N,þruma,grzmot
101,Strömung::N,straumur,nurt
102,Tropfen::N,dropi,kropla
103,Schaum::N,froða,piana
104,Schmutz::N,óhreinindi,brud
105,See::N,stöðuvatn,jezioro
106,Sumpf::N,fen,bagno
107,Moor::N,mýri,bagno
108,Wiese::N,engi,łąka
109,Wald::N,skógur,las
110,Hügel::N,hæð,pagórek
111,Hügel::N,hóll,pagórek
112,Anhöhe::N,hæð,wzgórze
113,Anhöhe::N,hóll,wzgórze
114,Berg::N,fell,góra
115,Berg::N,fjall,góra
116,Gipfel::N,tindur,szczyt
117,Gipfel::N,tindur,wierzchołek
118,Höhle::N,hellir,pieczara
119,Abhang::N,hlíð,stok
120,Abhang::N,hlíð,zbocze
121,Abhang::N,brekka,stok
122,Abhang::N,brekka,zbocze
123,Quelle::N,lind,zdrój
124,Quelle::N,lind,źródło
125,Quelle::N,uppspretta,zdrój
126,Quelle::N,uppspretta,źródło
127,Bach::N,lækur,potok
128,Bach::N,lækur,strumień
129,Fluss::N,á,rzeka
130,Fluss::N,fljót,rzeka
131,Ufer::N,árbakki,brzeg
132,Ufer::N,sjávarbakki,brzeg
133,Küste::N,strönd,wybrzeże
134,Festland::N,meginland,ląd
135,Meer::N,haf,morze
136,Meer::N,sjór,morze
137,Bucht::N,vík,zatoka
138,Insel::N,eyja,wyspa
139,Blume::N,blóm,kwiat
140,Gras::N,gras,trawa
141,Wurzel::N,rót,korzeń
142,Baum::N,tré,drzewo
143,Stamm::N,stofn,pień
144,Rinde::N,börkur,kora
145,Ast::N,grein,gałąź
146,Zweig::N,angi,gałąź
147,Zweig::N,kvistur,gałąź
148,Blatt::N,blað,liść
149,Birke::N,birki,brzoza
150,Kiefer[Baum]::N,fura,sosna
151,Weide[Baum]::N,víðir,wierzba
152,Tanne::N,greni,jodła
153,Horn::N,horn,róg
154,Feder::N,fjöður,pióro
155,Fell::N,skinn,futro
156,Flügel::N,vængur,skrzydło
157,Klaue::N,kló,szpon
158,Kralle::N,kló,pazur
159,Schwanz::N,rófa,ogon
160,Schwanz::N,skott,ogon
161,Ei::N,egg,jajko
162,Nest::N,hreiður,gniazdo
163,Bau::N,greni,nora
164,Bau::N,bæli,nora
165,Tier::N,dýr,zwierzę
166,Herde::N,hjörð,stado
167,Herde::N,hjörð,trzoda
168,Kuh::N,kýr,krowa
169,Bulle::N,boli,byk
170,Pferd::N,hestur,koń
171,Schaf::N,kind,owca
172,Schwein::N,svín,świnia
173,Hund::N,hundur,pies
174,Katze::N,köttur,kot
