,Concept_ID,uz,bn
0,Auge::N,ko'z,চক্ষু
1,Ohr::N,quloq,কর্ণ
2,Nase::N,burun,নাক
3,Mund::N,og'iz,মুখ
4,Zahn::N,tish,দাঁত
5,Zunge::N,til,জিহবা
6,Lippe::N,dudoq,অধর
7,Wange::N,bet,গণ্ড
8,Gesicht::N,yuz,মুখমণ্ডল
9,Stirn::N,manglay,কপাল
10,Haar::N,soch,চুল
11,Schnurrbart::N,mo'ylov,গোঁফ
12,Bart::N,soqol,শ্মশ্রু
13,Kinn::N,ängak,চিবুক
14,Kiefer[Anatomie]::N,iyak,চোয়াল
15,Kehle::N,bo'g'iz,কণ্ঠ
16,Hals::N,bo'yin,গল
17,Genick::N,gardan,ঘাড়
18,Kopf::N,bosh,মাথা
19,Rücken::N,orqa,পৃষ্ঠ
20,Bauch::N,qorin,উদর
21,Nabel::N,kindik,নাভি
22,Busen::N,ämchak,স্তন
23,Brust::N,ko'krak,বুক
24,Schulter::N,elka,স্কন্ধ
25,Arm::N,bilak,বাহু
26,Ellenbogen::N,tirsak,কনুই
27,Hand::N,qo'l,হাত
28,Handfläche::N,kaft,করতল
29,Finger::N,barmoq,আঙ্গুল
30,Fingernagel::N,tirnoq,হাতের নখ
31,Nagel[Anatomie]::N,tirnoq,নখ
32,Zeh::N,oyoq barmog'i,আঙ্গুল
33,Fuß::N,oyoq,পা
34,Ferse::N,tovon,গোড়ালি
35,Knie::N,tiz,হাঁটু
36,Oberschenkel::N,son,ঊরু
37,Bein::N,oyoq,পা
38,Körper::N,badna,দেহ
39,Haut::N,teri,ত্বক
40,Blut::N,qon,রক্ত
41,Ader::N,qon tomir,শিরা
42,Sehne::N,tomir,কণ্ডরা
43,Knochen::N,suyak,অস্থি
44,Gehirn::N,miya,মস্তিষ্ক
45,Herz::N,qalb,হৃৎপিণ্ড
46,Magen::N,oshqozon,পাকস্থলী
47,Leber::N,bag'ir,যকৃৎ
48,Atem::N,dam,শ্বাস
49,Hunger::N,ochlik,ক্ষুধা
50,Träne::N,yosh,অশ্রু
51,Geschmack::N,tam,স্বাদ
52,Geruch::N,jid,গন্ধ
53,Schlaf::N,uyqu,ঘুম
54,Traum::N,tush,স্বপ্ন
55,Himmel::N,osmon,আকাশ
56,Sonne::N,quyosh,সূর্য
57,Mond::N,oy,চন্দ্র
58,Stern::N,yulduz,নক্ষত্র
59,Luft::N,havo,বায়ু
60,Wind::N,el,বাতাস
61,Welle::N,to'lqin,ঢেউ
62,Welle::N,to'lqin,তরঙ্গ
63,Wasser::N,suv,জল
64,Stein::N,tosh,ঢিল
65,Stein::N,tosh,প্রস্তর
66,Boden::N,tuproq,ভূতল
67,Erde::N,er,ভূমি
68,Staub::N,chang,ধুলা
69,Rauch::N,tutun,ধোঁয়া
70,Funke::N,yalt,স্ফুলিঙ্গ
71,Feuer::N,o't,অগ্নি
72,Licht::N,yorug',আলো
73,Schatten::N,soya,ছায়া
74,Wetter::N,havo,আবহাওয়া
75,Nebel::N,tuman,কুহেলিকা
76,Wolke::N,bulut,মেঘ
77,Regen::N,yomg'ir,বৃষ্টি
78,Schnee::N,qor,তুষার
79,Eis::N,muz,বরফ
80,Frost::N,ajoz,তুষার
81,Kälte::N,ajoz,শৈত্য
82,Hitze::N,issiq,তাপ
83,Raureif::N,qirov,তুহিন
84,Regenbogen::N,kamalak,রামধনু
85,Donner::N,guldur,বজ্রধ্বনি
86,Strömung::N,oqim,স্রোত
87,Tropfen::N,tomchi,ফোঁটা
88,Schaum::N,ko'pik,ফেনা
