,Concept_ID,kn,kl
0,Auge::N,ಕಣ್ಣು,isi
1,Ohr::N,ಕಿವಿ,siut
2,Nase::N,ಮೂಗು,
3,Mund::N,ಬಾಯಿ,paaq
4,Mund::N,ಬಾಯಿ,qaneq
5,Zahn::N,ಹಲ್ಲು,kigut
6,Zunge::N,ನಾಲಿಗೆ,oqaq
7,Lippe::N,ತುಟಿ,qarloq
8,Wange::N,ಗಲ್ಲ,ersaq
9,Gesicht::N,ಮುಖ,kiinaq
10,Stirn::N,ಹಣೆ,qaaq
11,Haar::N,ಕೂದಲು,meqqoq
12,Schnurrbart::N,ಮೀಸೆ,
13,Bart::N,ಗಡ್ಡ,umik
14,Kinn::N,ಗದ್ದ,talloq
15,Kiefer[Anatomie]::N,ದವಡೆ,alleroq
16,Kehle::N,ಗಂಟಲು,malaq
17,Hals::N,ಕೊರಳು,qungaseq
18,Genick::N,ಹಿಂಗತ್ತು,pukusuk
19,Kopf::N,ತಲೆ,niaqoq
20,Rücken::N,ಬೆನ್ನು,qimerlut
21,Bauch::N,ಹೊಟ್ಟೆ,naaq
22,Nabel::N,ಹೊಕ್ಕುಳು,qalaseq
23,Busen::N,ಸ್ತನ,iviangeq
24,Brust::N,ಎದೆ,iviangeq
25,Schulter::N,ಭುಜ,ersik
26,Schulter::N,ಭುಜ,assaqqoq
27,Arm::N,ತೋಳು,taleq
28,Ellenbogen::N,ಮೊಣಕೈ,ikusik
29,Hand::N,ಕೈ,assak
30,Handfläche::N,ಅಂಗೈ,itumak
31,Finger::N,ಕೈಬೆರಳು,inuak
32,Fingernagel::N,ಉಗುರು,kikiak
33,Nagel[Anatomie]::N,ಉಗುರು,kukik
34,Zeh::N,ಕಾಲ್ಬೆರಳು,isigak
35,Fuß::N,ಪಾದ,
36,Ferse::N,ಹಿಮ್ಮಡಿ,kimmik
37,Knie::N,ಮಂಡಿ,seeqqoq
38,Oberschenkel::N,ತೊಡೆ,uppat
39,Oberschenkel::N,ತೊಡೆ,quttoraq
40,Bein::N,ಕಾಲು,isigak
41,Körper::N,ದೇಹ,timi
42,Haut::N,ಚರ್ಮ,mattak
43,Blut::N,ರಕ್ತ,aak
44,Ader::N,ನರ,taqaq
