,Concept_ID,kn,kl
45,Sehne::N,ನರ,ujalu
46,Sehne::N,ನರ,ujaloq
47,Knochen::N,ಮೂಳೆ,saanikut
48,Gehirn::N,ಮಿದುಳು,qarasaq
49,Herz::N,ಹೃದಯ,uummat
50,Magen::N,ಉದರ,aqajaroq
51,Leber::N,ಯಕೃತ್ತು,tinguk
52,Atem::N,ಉಸಿರು,anerneq
53,Hunger::N,ಹಸಿವು,kaanneq
54,Träne::N,ಕಣ್ಣೀರು,qia
55,Träne::N,ಕಣ್ಣೀರು,qiak
56,Geschmack::N,ರುಚಿ,qilanaartuut
57,Geruch::N,ವಾಸನೆ,tipi
58,Geruch::N,ವಾಸನೆ,tipik
59,Schlaf::N,ನಿದ್ರೆ,
60,Traum::N,ಕನಸು,sinnattoq
61,Traum::N,ಕನಸು,sinnattugaq
62,Himmel::N,ಬಾನು,qilak
63,Sonne::N,ಸೂರ್ಯ,seqineq
64,Mond::N,ಚಂದ್ರ,qaammat
65,Stern::N,ಚುಕ್ಕಿ,ulloriaq
66,Luft::N,ವಾಯು,silaannaq
67,Wind::N,ಗಾಳಿ,anori
68,Wind::N,ಗಾಳಿ,anorsarik
69,Welle::N,ಅಲೆ,aalappaa
70,Wasser::N,ನೀರು,imeq
71,Stein::N,ಕಲ್ಲು,ujarak
72,Boden::N,ನೆಲ,nateq
73,Erde::N,ಭೂಮಿ,issoq
74,Staub::N,ದೂಳು,pujualanerit
75,Staub::N,ದೂಳು,pujoralanerit
76,Rauch::N,ಹೊಗೆ,iseq
77,Rauch::N,ಹೊಗೆ,pujoq
78,Funke::N,ಕಿಡಿ,illoorneq
79,Feuer::N,ಬೆಂಕಿ,inneq
80,Licht::N,ಬೆಳಕು,qaamaneq
81,Schatten::N,ನೆರಳು,tarraq
82,Wetter::N,ಹವ,sila
83,Nebel::N,ಮಂಜು,pujoq
84,Wolke::N,ಮೋಡ,nuia
85,Regen::N,ಮಳೆ,sialuk
86,Schnee::N,ಹಿಮ,aput
87,Eis::N,ಮಂಜುಗಡ್ಡೆ,siku
88,Frost::N,ಮಂಜು,issi
89,Frost::N,ಮಂಜು,issik
90,Kälte::N,ಹಿಮ,issi
91,Hitze::N,ಉಷ್ಣ,kianneq
92,Hitze::N,ಉಷ್ಣ,kiassuseq
93,Raureif::N,ಇಬ್ಬನಿ,kaneq
94,Regenbogen::N,ಇಂದ್ರಚಾಪ,neriusaaq
95,Donner::N,ಗುಡುಗು,kalleq
96,Strömung::N,ಪ್ರವಾಹ,
97,Tropfen::N,ತೊಟ್ಟು,kuseriarneq
98,Schaum::N,ನೊರೆ,qapuk
99,Schmutz::N,ಕಸ,minguk
100,See::N,ಸರೋವರ,taseq
101,Sumpf::N,ಜೌಗುಸ್ಥಳ,maqulluk
102,Moor::N,ಬಂಜರು ಭೂಮಿ,
103,Wiese::N,ಹುಲ್ಲುಗಾವಲು,masarsuk
104,Wald::N,ಕಾಡು,
105,Hügel::N,ಗುಡ್ಡೆ,qattuneq
106,Hügel::N,ಗುಡ್ಡೆ,majuariaq
107,Hügel::N,ಗುಡ್ಡೆ,majorajaaq
108,Hügel::N,ಗುಡ್ಡೆ,qaqqannguaq
109,Anhöhe::N,ದಿಬ್ಬ,
110,Berg::N,ಮಲೆ,qaqqaq
111,Berg::N,ಪರ್ವತ,qaqqaq
112,Gipfel::N,ಶೃಂಗ,
113,Höhle::N,ಗುಹೆ,qaarusuk
114,Abhang::N,ಇಳಿಜಾರು,ippik
115,Abhang::N,ಇಳಿಜಾರು,sivinganeq
116,Abhang::N,ಇಳಿಜಾರು,sivingajaaq
117,Abhang::N,ಇಳಿಜಾರು,kussangajaaq
118,Quelle::N,ಮೂಲ,
119,Bach::N,ತೊರೆ,kuunnguaq
120,Fluss::N,ನದಿ,kuuk
121,Ufer::N,ತೀರ,sissap sinaa
122,Küste::N,ದಂಡೆ,sineriak
123,Festland::N,ಭೂಮಿ,
124,Meer::N,ಕಡಲು,imaq
125,Bucht::N,ಖಾರಿ,ikeq
126,Bucht::N,ಖಾರಿ,kangerluk
127,Bucht::N,ಖಾರಿ,kangerliumaneq
128,Insel::N,ದ್ವೀಪ,qeqertaq
129,Blume::N,ಸುಮ,naasoq
130,Gras::N,ಹುಲ್ಲು,ivigaq
131,Wurzel::N,ಬೇರು,niulutaq
132,Baum::N,ಮರ,orpik
133,Stamm::N,ಕಾಂಡ,kanaartaq
134,Rinde::N,ತೂಗಟಿ,ameraq
135,Ast::N,ಶಾಖೆ,avalequt
136,Zweig::N,ರೆಂಬೆ,avalequt
137,Blatt::N,ಎಲೆ,pilutaq
138,Birke::N,ಬರ್ಚ್ ಮರ,patitsit
139,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,
140,Weide[Baum]::N,ವಿಲೋಮರ,palleq
141,Tanne::N,ಭದ್ರದಾರು,orsuerneq
142,Horn::N,ಕೊಂಬು,nassuk
143,Feder::N,ಪುಕ್ಕ,suluk
144,Fell::N,ರೋಮ,ameq
145,Flügel::N,ರೆಕ್ಕೆ,suluk
146,Flügel::N,ರೆಕ್ಕೆ,isaroq
147,Klaue::N,ಪಂಜ,kukik
148,Kralle::N,ಉಗುರು,kukik
149,Schwanz::N,ಬಾಲ,pamioq
150,Schwanz::N,ಬಾಲ,paperuusaq
151,Ei::N,ಮೊಟ್ಟೆ,mannik
152,Nest::N,ಗೂಡು,ullut
153,Bau::N,ಅಡಗುದಾಣ,ini
154,Tier::N,ಪ್ರಾಣಿ,uumasoq
155,Herde::N,ಗುಂಪು,unguukkat
156,Kuh::N,ಹಸು,ussik
157,Bulle::N,ಗೂಳಿ,angukulak
158,Bulle::N,ಗೂಳಿ,anguteralak
159,Bulle::N,ಗೂಳಿ,angutikulooq
160,Pferd::N,ಕುದುರೆ,
161,Schaf::N,ಕುರಿ,sava
162,Schwein::N,ಹಂದಿ,puuluki
163,Hund::N,ನಾಯಿ,qimmeq
164,Katze::N,ಬೆಕ್ಕು,puisaaq
165,Bär::N,ಕರಡಿ,allaq
166,Eichhörnchen::N,ಉಡುತೆ,sissinnguaq
167,Elch::N,ಕಡವೆ,
168,Fuchs::N,ನರಿ,terianniaq
169,Hase::N,ಮೊಲ,ukaleq
170,Maus::N,ಇಲಿ,teriannguaq
171,Wolf::N,ತೋಳ,amaroq
172,Vogel::N,ಪಕ್ಷಿ,timmiaq
173,Schwarm::N,ಗುಂಪು,
174,Huhn::N,ಚಿಕ್,kukkukooq
175,Huhn::N,ಚಿಕ್,marloraaqaaq
176,Hahn::N,ಹುಂಜ,kiasiusaq
177,Gans::N,ವರಟೆ,nerleq
178,Adler::N,ಗರುಡ,nattoralik
179,Ente::N,ಬಾತು,
180,Eule::N,ಗೂಬೆ,uppik
181,Kranich::N,ಕೊಕ್ಕರ,qorlorfik
182,Krähe::N,ಕಾಗೆ,tuluatsiaq
183,Kuckuck::N,ಕೋಗಿಲೆ,kukkooq
184,Schwan::N,ಹಂಸಪಕ್ಷಿ,qussuk
185,Fisch::N,ಮೀನು,aalisagaq
186,Barsch::N,ಪರ್ಚ್ ಮೀನು,
187,Hecht::N,ಪೈಕ್ ಮೀನು,
188,Schlange[Tier]::N,ಹಾವು,pulateriarsuk
189,Schlange[Tier]::N,ಹಾವು,pulateriaarsuk
190,Wurm::N,ಹುಳು,
191,Spinne::N,ಊರ್ಣನಾಭ,aasiaq
192,Spinne::N,ಊರ್ಣನಾಭ,nissavaarsuk
193,Ameise::N,ಇರುವೆ,uniaaluk
194,Laus::N,ಹೇನು,kumak
195,Mücke::N,ಸೊಳ್ಳೆ,ippernaq
196,Fliege::N,ನೊಣ,ippernaq
197,Schmetterling::N,ಪತಂಗ,paluaq
198,Schmetterling::N,ಪತಂಗ,pakkaluaq
199,Schmetterling::N,ಪತಂಗ,utsuppaluaq
200,Schmetterling::N,ಪತಂಗ,taqaleqisaaq
201,Beere::N,ನಯವಣ್ಣು,paarmaq
202,Beere::N,ನಯವಣ್ಣು,paarngaq
203,Apfel::N,ಸೇಬು,iipili
204,Pilz::N,ಅಣಬೆ,anngiusaq
205,Zwiebel::N,ನೀರುಳ್ಳಿ,uanitsoq
206,Saat::N,ಬಿತ್ತ,naatsiiassaq
207,Korn::N,ಬೀಜ,maannineq
208,Heu::N,ಕರಡ,
209,Schale::N,ಹೊಟ್ಟು,niutsivik
210,Schale::N,ಹೊಟ್ಟು,ilulissaq qaartussaq
211,Grube::N,ಗುಂಡಿ,itersaq
212,Falle::N,ಬೋನು,pualavoq
213,Schlinge::N,ಉರುಲು,orseq
214,Schlinge::N,ಉರುಲು,norloq
215,Spur::N,ಜಾಡು,tumaa
216,Asche::N,ಬೂದಿ,arsat
217,Dreck::N,ಹೊಲಸು,minguk
218,Eisen::N,ಕಬ್ಬಿಣ,savimineq
219,Eisen::N,ಕಬ್ಬಿಣ,saffiugassaq
220,Gold::N,ಚಿನ್ನ,kuulti
221,Silber::N,ಬೆಳ್ಳಿ,siilviuvoq
222,Kohle::N,ಕಲ್ಲಿದ್ದಲು,aamarsuit aamaruutissat
223,Glas::N,ಗಾಜು,igalaaq
224,Glas::N,ಗಾಜು,imertarfik
225,Glas::N,ಗಾಜು,igalaamineq
226,Lehm::N,ಜೇಡಿಮಣ್ಣು,marraq
227,Sand::N,ಮರಳು,sioqqat
228,Mensch::N,ಪುರುಷ,inuk
229,Mensch::N,ಪುರುಷ,silamiu
230,Mann::N,ಆಳು,angut
231,Frau::N,ಹೆಣ್ಣು,arnaq
232,Kind::N,ಮಗು,meeraq
233,Junge::N,ಹುಡುಗ,nukappiaraq
234,Mädchen::N,ಹುಡುಗಿ,arnannguaq
235,Familie::N,ಕುಟುಂಬ,ilaqutakka
236,Familie::N,ಕುಟುಂಬ,ilaqutariit
237,Großvater::N,ಅಜ್ಜ,aatak
238,Großmutter::N,ಅಮ್ಮ,aanaq
239,Eltern::N,ಹೆತ್ತವರು,angajoqqaat
240,Vater::N,ತಂದೆ,ataata
241,Vater::N,ತಂದೆ,ataataq
242,Mutter::N,ಅಮ್ಮ,anaana
243,Sohn::N,ಮಗ ,erneq
244,Tochter::N,ಮಗಳು,panik
245,Bruder::N,ತಮ್ಮ,ani
246,Bruder::N,ತಮ್ಮ,aqqaluk
247,Bruder::N,ತಮ್ಮ,qatanngut
248,Schwester::N,ತಂಗಿ,naja
249,Schwester::N,ತಂಗಿ,aleqa
250,Schwester::N,ತಂಗಿ,qatanngut
251,Onkel::N,ಸೋದರಮಾವ,akkak
252,Onkel::N,ದೊಡ್ಡಪ್ಪ,akkak
253,Tante::N,ಚಿಕ್ಕಮ್ಮ,aja
254,Tante::N,ಚಿಕ್ಕಮ್ಮ,ajak
255,Tante::N,ಚಿಕ್ಕಮ್ಮ,atsak
256,Ehemann::N,ಗಂಡ,ui
257,Ehefrau::N,ಹೆಂಡತಿ,nuliaq
258,Freude::N,ನಲಿವು,tipaatsussuseq
259,Gelächter::N,ನಗೆ,illaq
260,Glück::N,ಆನಂದ,usornaat
261,Glück::N,ಆನಂದ,usornarsuseq
262,Kummer::N,ದುಃಖ,
263,Wunsch::N,ಬಯಕೆ,kissaat
264,Lust::N,ಇಷ್ಟ,illigussuseq
265,Lust::N,ಇಷ್ಟ,piummaseq
266,Geist::N,ಆತ್ಮ,anerneq
267,Geist::N,ಆತ್ಮ,toornaq
268,Gedanke::N,ಯೋಚನೆ,isumassaq
269,Gedächtnis::N,ಸ್ಮರಣೆ,eqqaamannissuseq
270,Verstand::N,ಮನಸ್ಸು,isuma
271,Verstand::N,ಮನಸ್ಸು,sianissut
272,Verstand::N,ಮನಸ್ಸು,misigissut
273,Verstand::N,ಮನಸ್ಸು,sianissuseq
274,Verstand::N,ಮನಸ್ಸು,silaqassuseq
275,Sinn::N,ಅರ್ಥ,isuma
276,Grund::N,ಕಾರಣ,patsit
277,Wahrheit::N,ಸತ್ಯ,sallusuissut
278,Gespräch::N,ಸಂಭಾಷಣೆ,
279,Märchen::N,ಸುಳ್ಳು ಕಥೆ,oqalualaarut
280,Märchen::N,ಸುಳ್ಳು ಕಥೆ,oqaluasaaq
281,Erzählung::N,ಕಥೆ,oqaluttuaq
282,Nachricht::N,ಸಂದೇಶ,oqaassut
283,Nachricht::N,ಸಂದೇಶ,oqqersuut
284,Neuigkeit::N,ಸುದ್ದಿ,tusarnartaq
285,Name::N,ಹೆಸರು,ateq
286,Rätsel::N,ಒಗಟು,nalorsitsaarut
287,Rede::N,ಮಾತು,oqaluuseq
288,Sprache::N,ಭಾಷೆ,oqaatsit
289,Stimme::N,ಧ್ವನಿ,erinaq
290,Stimme::N,ಧ್ವನಿ,qarluuseq
291,Wort::N,ಮಾತು,oqaasii
292,Zeichen::N,ಗುರುತು,nalunaaqqut
293,Ruf::N,ಕೂಗು,qaaqqussut
294,Lärm::N,ಸದ್ದು,perpaluk
295,Laut::N,ಶಬ್ದ,torsukattak
296,Ton::N,ನಾದ,erinaq
297,Lied::N,ಗಾನ,taalliaq
298,Lied::N,ಗಾನ,erinarsuut
299,Ruhe::N,ಶಾಂತಿ,qatsunganeq
300,Leute::N,ಮಂದಿ,inuiak
301,Leute::N,ಮಂದಿ,inuiaqatigiit
302,Volk::N,ಜನಾಂಗ,inuiaat
303,Arbeit::N,ಕೆಲಸ,suliaq
304,Gast::N,ಅತಿಥಿ,qaaqqusaq
305,Geschenk::N,ಕಾಣಿಕೆ,pajugut
306,Spiel::N,ಆಟ,
307,Gesellschaft::N,ಸಂಗ,
308,Hilfe::N,ಸಹಾಯ,annertoqqut
309,Freund::N,ಸ್ನೇಹಿತ,tiliaq
310,Freund::N,ಸ್ನೇಹಿತ,ikinngut
311,Kamerad::N,ಜೊತೆಗಾರ,tiliaq
312,Kamerad::N,ಜೊತೆಗಾರ,ikinngut
313,Angelegenheit::N,ವಿಚಾರ,
314,Anzahl::N,ಎಣಿಕೆ,
315,Art::N,ತರ,ileqquuseq
316,Stück::N,ತುಂಡು,nakkaalaniku
317,Teil::N,ಭಾಗ,tassiaasat
318,Hälfte::N,ಅರ್ಧ,affaq
319,Kreis::N,ವೃತ್ತ,kaajaluinneq or kaajaluitsoq
320,Kreuz::N,ಶಿಲುಬೆ,sanningasulik
321,Linie::N,ರೀಖೆ,tittaq
322,Linie::N,ರೀಖೆ,titarneq
323,Strich::N,ಗೀಟು,
324,Abstand::N,ಅಂತರ,aku
325,Abstand::N,ಅಂತರ,ikiaq
326,Entfernung::N,ದೂರ,asi
327,Gegend::N,ವಿಸ್ತೀರ್ಣ,nuna
328,Platz::N,ಅಂತರ,ini
329,Platz::N,ಅಂತರ,inissaq
330,Ort::N,ಸ್ಥಳ,sumiiffik
331,Seite::N,ಪಕ್ಷ,saneraq
332,Mitte::N,ನಡು,qiteq
333,Gegenstand::N,ವಸ್ತು,
334,Sache::N,ವಸ್ತು,pigisaq
335,Rand::N,ಅಂಚು,sini
336,Rand::N,ಅಂಚು,akerfineq
337,Kante::N,ಅಂಚು,akerfineq
338,Ecke::N,ಮೂಲೆ,teqeqqoq
339,Ecke::N,ಮೂಲೆ,tikeqqoq
340,Spitze::N,ತುದಿ,inngik
341,Ende::N,ಕೊನೆ,isu
342,Loch::N,ತೂತು,putu
343,Winkel::N,ಕೋನ,teqeqqorissaat
344,Muster::N,ನಮೂನೆ,ilisserut
345,Größe::N,ಪ್ರಮಾಣ,angissuseq
346,Länge::N,ಉದ್ದ,takissuseq
347,Höhe::N,ಎತ್ತರ,
348,Gewicht::N,ತೂಕ,oqimaalutaq
349,Menge::N,ಮೊತ್ತ,amerlassuseq
350,Haufen::N,ರಾಶಿ,eqimattat
351,Reihe::N,ಸಾಲು,allunaasaq
352,Boot::N,ದೋಣಿ,qajaq
353,Boot::N,ದೋಣಿ,angallat
354,Boot::N,ದೋಣಿ,umiatsiaq
355,Ruder::N,ಹುಟ್ಟು,iput
356,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,qamutit
357,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,qimusseq
358,Ski::N,ಜಾರುಪಟ್ಟಿ,ataarut
359,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,
360,Last::N,ಹೊರೆ,nammagaq
361,Gang::N,ತಿರುಗಾಟ,
362,Schritt::N,ಹೆಜ್ಜೆ,allorneq
363,Norden::N,ಉತ್ತರ,avannaq
364,Süden::N,ದಕ್ಷಿಣ,qava
365,Süden::N,ದಕ್ಷಿಣ,kujat
366,Süden::N,ದಕ್ಷಿಣ,kujataa
367,Westen::N,ಪಶ್ಚಿಮ,kitaa
368,Osten::N,ಮೂಡಲು,kangi
369,Holz::N,ಚೌಬೀನೆ,qisuk
370,Brett::N,ಹಲಗೆ,salliligaq
371,Platte::N,ಹಲಗೆ,qaateq
372,Stütze::N,ಆಸರೆ,ajagutaq
373,Stütze::N,ಆಸರೆ,ajaagutaq
374,Stange::N,ಕಂಬ,kaaviffik
375,Stock::N,ಕೋಲು,ajaappissat
376,Stab::N,ದೊಣ್ಣೆ,ajaappissat
377,Rohr::N,ನಳಿಕೆ,sullulik
378,Haus::N,ಮನೆ,illu
379,Heim::N,ಗೃಹ,
380,Ofen::N,ಒಲೆ,kissarsuut
381,Fußboden::N,ನೆಲ,nateq
382,Tisch::N,ಮೇಜು,allattarfik
383,Stuhl::N,ಕುರ್ಚಿ,issiavik
384,Stuhl::N,ಕುರ್ಚಿ,issiaffik
385,Wiege::N,ತೊಟ್ಟಿಲು,uaasoq
386,Bett::N,ಹಾಸಿಗೆ,nallavik
387,Regal::N,ಬೀರು,ilisivik
388,Kiste::N,ಪಟ್ಟಿಗೆ,sakissat
389,Kiste::N,ಪಟ್ಟಿಗೆ,illerfiusaq
390,Fenster::N,ಕಿಟಕಿ,aki
391,Fenster::N,ಕಿಟಕಿ,igalaaq
392,Tür::N,ಬಾಗಿಲು,matu
393,Tor::N,ಹೆಬ್ಬಾಗಿಲು,isaaffik
394,Zaun::N,ಬೇಲಿ,saputit
395,Dach::N,ಮಾಳಿಗೆ,qaliaq
396,Leiter::N,ಏಣಿ,tummeqqat
397,Leiter::N,ಏಣಿ,majuartarfiit
398,Besen::N,ಪೊರಕೆ,saligutit
399,Spaten::N,ಗುದ್ದಲಿ,nivaataq
400,Schaufel::N,ಸನಿಕೆ,nivaataq
401,Gabel::N,ಕವಲು,qilluaq
402,Gabel::N,ಕವಲು,ajassaatit
403,Löffel::N,ಚಮಚ,alussaat
404,Messer::N,ಚಾಕು,savik
405,Nagel::N,ಆಣಿ,kukik
406,Netz::N,ಬಲೆ,anguffaseq
407,Haken::N,ಕೊಂಡಿ,nissik
408,Haken::N,ಕೊಂಡಿ,qarsorsaq
409,Haken::N,ಕೊಂಡಿ,qarsorsartoq
410,Griff::N,ಹಿಡಿ,ipi
411,Schloss::N,ವೀಗ,illussaarsuaq
412,Bild::N,ಚಿತ್ರ,assiliaq
413,Figur::N,ಆಕಾರ,kisitsit
414,Puppe::N,ಗೊಂಬೆ,inuusaq
415,Beutel::N,ಸಂಚಿ,
416,Bündel::N,ಕಟ್ಟು,qilertaq
417,Tasche::N,ಚೀಲ,pooqattaq
418,Eimer::N,ಬಾನೆ,
419,Deckel::N,ಮುಚ್ಚಳ,matu
420,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,anut
421,Sack::N,ಮೂಟೆ,
422,Tasse::N,ಬಟ್ಟಲು,tiitorfik
423,Tasse::N,ಬಟ್ಟಲು,tiitorfiup ilorlia
424,Topf::N,ಮಡಕೆ,qoqqoq
425,Kessel::N,ಕೆಟಲ್,uunnaavik
426,Essen::N,ಊಟ,igaaq
427,Nahrung::N,ಆಹಾರ,neqissaq
428,Speise::N,ಊಟ,nerisassat
429,Fleisch::N,ಮಾಂಸ,neqi
430,Getreide::N,ಧಾನ್ಯ,maannineq
431,Brei::N,ಗಂಜಿ,
432,Brot::N,ರೊಟ್ಟಿ,iffit
433,Brot::N,ರೊಟ್ಟಿ,iffiaq
434,Scheibe::N,ಹೋಳು,igalaassiaq
435,Fett::N,ಕೊಬ್ಬು,tarnutissaq
436,Fett::N,ಕೊಬ್ಬು,tarnutissiaq
437,Butter::N,ಬೆಣ್ಣೆ,punneq
438,Öl::N,ಎಣ್ಣೆ,uulia
439,Salz::N,ಉಪ್ಪು,taratsut
440,Suppe::N,ಎಸರು,qajoq
441,Honig::N,ಮಧು,tungusunnitsuut
442,Milch::N,ಹಾಲು,immuk
443,Tee::N,ಚಹ,tii
444,Tee::N,ಚಹ,teeq
445,Leder::N,ಚಕ್ಕಳ,
446,Wolle::N,ಉಣ್ಣೆ,nuersagassiaq
447,Stoff::N,ಬಟ್ಟೆ,milliaq
448,Stoff::N,ಬಟ್ಟೆ,qarlissiaq
449,Nadel::N,ಸೂಜಿ,meqqut
450,Faden::N,ದಾರ,ujalussiaq
451,Knopf::N,ಗುಂಡು,attat
452,Knoten::N,ಗಂಟು,akeroq
453,Knoten::N,ಗಂಟು,qilerneq
454,Farbe::N,ಬಣ್ಣ,qalipaat
455,Kleidung::N,ಅರಿವೆ,atisat
456,Kleidung::N,ಅರಿವೆ,annoraaq
457,Hemd::N,ಅಂಗಿ,ilupaaq
458,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,qungasiinnaq
459,Ärmel::N,ತೋಳು,aaq
460,Hose::N,ಇಜಾರ,qarliit
461,Gürtel::N,ಬೆಲ್ಟು,qiterut
462,Gürtel::N,ಬೆಲ್ಟು,unngersaq
463,Mütze::N,ಟೋಪಿ,nasaq
464,Schuh::N,ಪಾದರಕ್ಷೆ,skuu
465,Schuh::N,ಪಾದರಕ್ಷೆ,ikernuk
466,Schuh::N,ಪಾದರಕ್ಷೆ,ateraasaq
467,Stiefel::N,ಬೂಟು,kamik
468,Ring::N,ಉಂಗುರ,assammiu
469,Band::N,ರಿಬ್ಬನ್,qilerutissiaq
470,Kamm::N,ಹಣಿಗೆ,illaagutit
471,Kamm::N,ಹಣಿಗೆ,illaajaatit pl.
472,Spiegel::N,ಕನ್ನಡಿ,tarrarsuut
473,Riemen::N,ಬಾರು,allunaaq
474,Schnur::N,ಹುರಿ,kujaaq
475,Schnur::N,ಹುರಿ,allunaasaq
476,Leine::N,ಹಗ್ಗ,aleq
477,Decke::N,ಕಂಬಳಿ,qipik
478,Kissen::N,ದಿಂಬು,akit
479,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,qarlissiaq
480,Handtuch::N,ಚೌಕ,allarut
481,Handtuch::N,ಚೌಕ,allarterut
482,Kraft::N,ಬಲ,pissak
483,Stärke::N,ಶಕ್ತಿ,qerattarsaat
484,Gesundheit::N,ಆರೋಗ್ಯ,peqqisusseq
485,Krankheit::N,ರೋಗ,nappaat
486,Schmerz::N,ನೋವು,anniaat
487,Wunde::N,ಗಾಯ,iki
488,Fieber::N,ಜ್ವರ,nappaat qanimanartoq
489,Arznei::N,ಔಷಧ,imigassaq
490,Brücke::N,ಸೇತುವೆ,ikaartarfik
491,Brunnen::N,ಬಾವಿ,tissaluttuliaq
492,Weide::N,ಗೋಮಾಳ,masarsuk
493,Pfad::N,ದಾರಿ,aqqut
494,Weg::N,ಹಾದಿ,aggerfik
495,Straße::N,ರಸ್ತೆ,aqqusineq
496,Dorf::N,ಹಳ್ಳಿ,nunaqarfik
497,Stadt::N,ಪಟ್ಟಣ,illorpaat
498,Stadt::N,ಪಟ್ಟಣ,illorpalik
499,Brief::N,ಕಾಗದ,allagarsiaq
500,Buch::N,ಪುಸ್ತಕ,atuakkat
501,Buch::N,ಪುಸ್ತಕ,mappersagaq
502,Buchstabe::N,ಅಕ್ಷರ,naqinneq
503,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,aviisi
504,Leben::N,ಜೀವನ,inuussuseq
505,Tod::N,ಮರಣ,toqu
506,Tod::N,ಮರಣ,toquneq
507,Grab::N,ಗೋರಿ,iliveq
508,Grab::N,ಗೋರಿ,illissat
509,Kirche::N,ಚರ್ಚು,oqaluffik
510,Sünde::N,ಪಾಪ,ajorti
511,Gott::N,ದೇವರು,
512,Arbeiter::N,ಕೆಲಸಗಾರ,sulisoq
513,Chef::N,ದಣಿ,ittoqut
514,Meister::N,ಶಿಕ್ಷಕ,naalagaq
515,Arzt::N,ವೈದ್ಯ,katsorsaasoq
516,Lehrer::N,ಉಪಾಧ್ಯಾಯ,ilinniartitsisoq
517,Geld::N,ಹಣ,aningaasat
518,Geschäft::N,ವಾಣಿಜ್ಯ,niuertarfik
519,Laden::N,ಅಂಗಡಿ,niuertarfik
520,Preis::N,ಬೆಲೆ,aki
521,Ware::N,ಸರಕು,qaliata pii
522,Ware::N,ಸರಕು,nioqqutissaq
523,Nutzen::N,ಲಾಭ,iluaqut
524,Reichtum::N,ಸಂಪತ್ತು,
525,Welt::N,ಭೂಲೋಕ,nunarsuaq
526,Land::N,ದೇಶ,nuna
527,Staat::N,ರಾಜ್ಯ,
528,König::N,ರಾಜ,kunngi
529,Macht::N,ಅಧಿಕಾರ,pissaassuseq
530,Grenze::N,ಗಡಿ,killik
531,Krieg::N,ಯುದ್ಧ,sorsunneq
532,Feind::N,ಶತ್ರು,akeraq
533,Feind::N,ಶತ್ರು,akerartorti
534,Feind::N,ಶತ್ರು,qinngarsuisoq
535,Gewalt::N,ಹಿಂಸೆ,
536,Kampf::N,ಹೋರಾಟ,sorsunneq
537,Bogen[Waffe]::N,ಬಿಲ್ಲು,
538,Pfeil::N,ಅಂಬು,qalugiusaq
539,Gewehr::N,ಬಂದೂಕು,aallaat
