,Concept_ID,ps,zh
0,Auge::N,سترګه,眼睛
1,Ohr::N,غوږ,耳朵
2,Nase::N,پوزه,鼻子
3,Mund::N,خوله,嘴
4,Zahn::N,غاښ,牙齿
5,Zunge::N,جبه,舌头
6,Lippe::N,شونډه,嘴唇
7,Wange::N,باړخو,面颊
8,Gesicht::N,مخ,脸
9,Stirn::N,تندی,额
10,Stirn::N,وچولی,额
11,Haar::N,وېښته,头发
12,Schnurrbart::N,برېت,髭须
13,Bart::N,ږیره,胡子
14,Kinn::N,زنه,下巴
15,Kiefer[Anatomie]::N,جامه,颌
16,Kehle::N,غاړه,嗓子
17,Hals::N,غاړه,颈
18,Genick::N,ورمېږ,后颈
19,Kopf::N,سر,头
20,Rücken::N,شا,背
21,Bauch::N,نس,肚子
22,Bauch::N,ګېډه,肚子
23,Nabel::N,نوم,肚脐
24,Busen::N,تی,胸脯
25,Brust::N,سینه,胸
26,Schulter::N,اوږه,肩膀
27,Arm::N,لاس,臂膀
28,Ellenbogen::N,څنګل,肘
29,Hand::N,لاس,手
30,Handfläche::N,ورغوی,手掌
31,Finger::N,ګوته,手指
32,Fingernagel::N,نوک,指甲
33,Nagel[Anatomie]::N,نوک,指甲
34,Zeh::N,ګوته,脚趾
35,Fuß::N,پښه,脚
36,Ferse::N,پونده,后跟
37,Knie::N,زنګون,膝
38,Oberschenkel::N,پتون,大腿
39,Bein::N,پښه,腿
40,Körper::N,ځان,身体
41,Haut::N,پوټکی,皮肤
42,Blut::N,وینه,血
43,Ader::N,رګ,血管
44,Sehne::N,پله,腱
45,Knochen::N,هډوکی,骨
46,Gehirn::N,ماغزه,脑
47,Herz::N,زړه,心
48,Magen::N,معده,胃
49,Leber::N,ينه,肝
50,Leber::N,ځیګر,肝
51,Atem::N,نفس,呼吸
52,Hunger::N,ولږه,饿
53,Träne::N,اوښکه,眼泪
54,Geschmack::N,مزه,味道
55,Geschmack::N,خوند,味道
56,Geruch::N,بوی,气味
57,Schlaf::N,خوب,睡眠
58,Traum::N,خوب,梦
59,Himmel::N,اسمان,天空
60,Sonne::N,لمر,太阳
61,Mond::N,سپوږمۍ,月亮
62,Stern::N,ستوری,星
63,Luft::N,هوا,空气
64,Wind::N,ورښ,风
65,Welle::N,موج,波
66,Wasser::N,اوبه,水
67,Stein::N,ډبره,石头
68,Boden::N,مځکه,地面
69,Erde::N,خاوره,地
70,Staub::N,ګرد,灰尘
71,Staub::N,خاوره,灰尘
72,Rauch::N,دود,烟
73,Rauch::N,لوګی,烟
74,Funke::N,سپرغۍ,火花
75,Feuer::N,اور,火
76,Licht::N,رڼا,光
77,Schatten::N,سیوری,影子
78,Wetter::N,هوا,天气
79,Nebel::N,لړه,雾
80,Wolke::N,ورېځ,云
81,Regen::N,وریا,雨
82,Regen::N,باران,雨
83,Schnee::N,واوره,雪
84,Eis::N,یخ,冰
85,Eis::N,کنګل,冰
86,Frost::N,یخ,霜冻
87,Kälte::N,ساړه,寒冷
88,Hitze::N,تودوخي,炎热
89,Raureif::N,سپینه پرخه,霜
90,Regenbogen::N,بوډۍ ټال,虹
91,Regenbogen::N,سره زرغونه,虹
92,Donner::N,تالنده,雷
93,Strömung::N,بهېدنه,水流
94,Tropfen::N,قطره,滴
95,Tropfen::N,څاڅکی,滴
96,Schaum::N,ځګ,泡沫
97,Schmutz::N,ناپاکي,赃物
98,See::N,جهیل,湖
99,Sumpf::N,جبه,沼泽
100,Moor::N,جبه,沼泽
101,Wiese::N,چمن,草地
102,Wiese::N,شنېلی,草地
103,Wald::N,ځنګل,森林
104,Hügel::N,تپه,丘陵
105,Anhöhe::N,غونډۍ,山丘
106,Berg::N,غ‍‍‍‍‍ر,山
107,Gipfel::N,څوکه,峰
108,Höhle::N,کاز,洞穴
109,Abhang::N,لمن,斜坡
110,Quelle::N,چینه,泉
111,Bach::N,واله,溪
112,Fluss::N,سیند,河流
113,Ufer::N,غاړه,岸
114,Küste::N,ساحل,海岸
115,Festland::N,وچه,大陆
116,Meer::N,بحر,海
117,Meer::N,سمندر,海
118,Bucht::N,کارۍ,海湾
119,Insel::N,ټاپو,岛
120,Insel::N,جزيره,岛
121,Blume::N,ګل,花
122,Gras::N,واښه,草
123,Wurzel::N,ریښه,根
124,Baum::N,ونه,树
125,Stamm::N,ډډ,树干
126,Rinde::N,پوستکی,树皮
127,Ast::N,ښاخ,树枝
128,Zweig::N,څانګه,树枝
129,Blatt::N,پاڼه,叶子
130,Birke::N,توس,桦木
131,Kiefer[Baum]::N,نښتر,松树
132,Weide[Baum]::N,وله,柳树
133,Tanne::N,ناجو,冷杉
134,Horn::N,ښکر,角
135,Feder::N,بڼکه,羽毛
136,Fell::N,پوستکی,皮毛
137,Flügel::N,وزر,翅膀
138,Klaue::N,پنجه,爪子
139,Klaue::N,منګول,爪子
140,Kralle::N,پنجه,爪子
141,Kralle::N,منګول,爪子
142,Schwanz::N,لکۍ,尾巴
143,Ei::N,وۍ,蛋
144,Ei::N,هګۍ,蛋
145,Nest::N,جاله,巢
146,Bau::N,کاز,穴
147,Tier::N,ژوی,动物
148,Tier::N,حیوان,动物
149,Herde::N,رمه,群
150,Herde::N,غېله,群
151,Kuh::N,غوا,母牛
152,Bulle::N,غوئی,公牛
153,Pferd::N,آس,马
154,Schaf::N,پسه,羊
155,Schwein::N,سرکوزی,猪
156,Hund::N,سپی,狗
157,Katze::N,پشه,猫
158,Bär::N,خرس,熊
159,Eichhörnchen::N,خړ لمی,松鼠
160,Elch::N,ګوزن,麋鹿
161,Fuchs::N,سپلم,狐狸
162,Hase::N,سوی,兔子
163,Maus::N,مږک,老鼠
164,Wolf::N,لېوه,狼
165,Vogel::N,مرغه,鸟
166,Schwarm::N,سېل,群
167,Huhn::N,چرګه,鸡
168,Hahn::N,چرګ,公鸡
169,Gans::N,بته,鹅
170,Adler::N,عقاب,鹰
171,Ente::N,ایلۍ,鸭
172,Eule::N,ګونګی,猫头鹰
173,Kranich::N,کلنګ,鹤
