,Concept_ID,ko,de
0,Auge::N,눈,Auge
1,Ohr::N,귀,Ohr
2,Nase::N,코,Nase
3,Mund::N,입,Mund
4,Zahn::N,이,Zahn
5,Zunge::N,혀,Zunge
6,Lippe::N,입술,Lippe
7,Wange::N,뺨,Wange
8,Gesicht::N,얼굴,Gesicht
9,Stirn::N,이마,Stirn
10,Haar::N,털,Haar
11,Schnurrbart::N,윗수몀,Schnurrbart
12,Schnurrbart::N,코밑수염,Schnurrbart
13,Bart::N,수엄,Bart
14,Kinn::N,아래턱,Kinn
15,Kiefer[Anatomie]::N,턱,Kiefer
16,Kehle::N,인후,Kehle
17,Hals::N,목,Hals
18,Genick::N,먹덜이,Genick
19,Kopf::N,머리,Kopf
20,Rücken::N,든,Rücken
21,Bauch::N,배,Bauch
22,Nabel::N,배꼽,Nabel
23,Busen::N,가슴속,Busen
24,Brust::N,가슴,Brust
25,Schulter::N,어깨,Schulter
26,Arm::N,팔,Arm
27,Ellenbogen::N,팔쿰치,Ellenbogen
28,Hand::N,손,Hand
29,Handfläche::N,손바닥,Handfläche
30,Finger::N,속가락,Finger
31,Fingernagel::N,손톱,Fingernagel
32,Nagel[Anatomie]::N,손톱,Nagel
33,Zeh::N,발가락,Zeh
34,Fuß::N,발,Fuß
35,Ferse::N,발꿈치,Ferse
36,Knie::N,무릎,Knie
37,Oberschenkel::N,허벅다리,Oberschenkel
38,Bein::N,다리,Bein
39,Körper::N,구간,Körper
40,Haut::N,살갗,Haut
41,Blut::N,피,Blut
42,Ader::N,정맥,Ader
43,Sehne::N,현,Sehne
44,Knochen::N,뼈,Knochen
45,Gehirn::N,뇌,Gehirn
46,Gehirn::N,뇌수,Gehirn
47,Herz::N,염통,Herz
48,Magen::N,위,Magen
49,Leber::N,간,Leber
50,Atem::N,기식,Atem
51,Hunger::N,공복,Hunger
52,Träne::N,눈물,Träne
53,Geschmack::N,기호,Geschmack
54,Geruch::N,냄새,Geruch
55,Schlaf::N,수면,Schlaf
56,Traum::N,쿰,Traum
57,Himmel::N,하늘,Himmel
58,Sonne::N,해,Sonne
59,Mond::N,달,Mond
60,Stern::N,별,Stern
61,Luft::N,동준,Luft
62,Luft::N,가스채,Luft
63,Wind::N,바람,Wind
64,Welle::N,물결,Welle
65,Wasser::N,물,Wasser
66,Stein::N,돌,Stein
67,Boden::N,바닥,Boden
68,Erde::N,흙,Erde
69,Staub::N,먼지,Staub
70,Rauch::N,연기,Rauch
71,Funke::N,불티,Funke
72,Feuer::N,불,Feuer
73,Licht::N,불,Licht
74,Schatten::N,어스레함,Schatten
75,Wetter::N,기상,Wetter
76,Nebel::N,안개,Nebel
77,Wolke::N,구름,Wolke
78,Regen::N,비,Regen
79,Schnee::N,눈,Schnee
80,Eis::N,얼음,Eis
81,Frost::N,혹한,Frost
82,Kälte::N,추위,Kälte
83,Kälte::N,차가움,Kälte
84,Hitze::N,고온,Hitze
85,Hitze::N,더위,Hitze
86,Regenbogen::N,무지개,Regenbogen
87,Donner::N,뇌명,Donner
88,Strömung::N,유동,Strömung
89,Tropfen::N,물방울,Tropfen
90,Schaum::N,포말,Schaum
91,Schmutz::N,때,Schmutz
92,See::N,호수,See
93,Sumpf::N,습지,Sumpf
94,Moor::N,저습지,Moor
95,Wiese::N,목초지,Wiese
96,Wald::N,숲,Wald
97,Hügel::N,언덕,Hügel
98,Anhöhe::N,언덕,Anhöhe
99,Berg::N,산,Berg
