,Concept_ID,et,uz
0,Auge::N,silm,ko'z
1,Ohr::N,kõrv,quloq
2,Nase::N,nina,burun
3,Mund::N,suu,og'iz
4,Zahn::N,hammas,tish
5,Zunge::N,keel,til
6,Lippe::N,huul,dudoq
7,Wange::N,põsk,bet
8,Gesicht::N,nägu,yuz
9,Stirn::N,otsmik,manglay
10,Haar::N,juus,soch
11,Schnurrbart::N,vurrud,mo'ylov
12,Schnurrbart::N,vuntsid,mo'ylov
13,Bart::N,habe,soqol
14,Kinn::N,lõug,ängak
15,Kiefer[Anatomie]::N,lõualuu,iyak
16,Kehle::N,kõri,bo'g'iz
17,Hals::N,kael,bo'yin
18,Genick::N,kukal,gardan
19,Kopf::N,pea,bosh
20,Rücken::N,selg,orqa
21,Bauch::N,kõht,qorin
22,Nabel::N,naba,kindik
23,Busen::N,rind,ämchak
24,Brust::N,rind,ko'krak
25,Schulter::N,õlg,elka
26,Arm::N,käsivars,bilak
27,Ellenbogen::N,küünarnukk,tirsak
28,Hand::N,käsi,qo'l
29,Handfläche::N,pihk,kaft
30,Finger::N,sõrm,barmoq
31,Fingernagel::N,küüs,tirnoq
32,Nagel[Anatomie]::N,küüs,tirnoq
33,Zeh::N,varvas,oyoq barmog'i
34,Fuß::N,jalg,oyoq
35,Ferse::N,kand,tovon
36,Knie::N,põlv,tiz
37,Oberschenkel::N,reis,son
38,Bein::N,jalg,oyoq
39,Körper::N,ihu,badna
40,Körper::N,keha,badna
41,Haut::N,nahk,teri
42,Blut::N,veri,qon
43,Ader::N,veen,qon tomir
44,Sehne::N,kõõlus,tomir
45,Knochen::N,luu,suyak
46,Gehirn::N,aju,miya
47,Herz::N,süda,qalb
48,Magen::N,magu,oshqozon
49,Leber::N,maks,bag'ir
50,Atem::N,hingeõhk,dam
51,Atem::N,hingamine,dam
52,Hunger::N,nälg,ochlik
53,Träne::N,pisar,yosh
54,Geschmack::N,maitse,tam
55,Geruch::N,lõhn,jid
56,Schlaf::N,uni,uyqu
57,Traum::N,unenägu,tush
58,Himmel::N,taevas,osmon
59,Sonne::N,päike,quyosh
60,Mond::N,kuu,oy
61,Stern::N,täht,yulduz
62,Luft::N,õhk,havo
63,Wind::N,tuul,el
64,Welle::N,laine,to'lqin
65,Wasser::N,vesi,suv
66,Stein::N,kivi,tosh
67,Boden::N,maa,tuproq
68,Boden::N,pinnas,tuproq
69,Erde::N,maa,er
70,Staub::N,põrm,chang
71,Rauch::N,suits,tutun
72,Funke::N,säde,yalt
73,Feuer::N,tuli,o't
74,Licht::N,valgus,yorug'
75,Schatten::N,vari,soya
76,Wetter::N,ilm,havo
77,Nebel::N,udu,tuman
78,Wolke::N,pilv,bulut
79,Regen::N,sadu,yomg'ir
80,Schnee::N,lumi,qor
81,Eis::N,jää,muz
82,Frost::N,pakane,ajoz
83,Kälte::N,külm,ajoz
84,Kälte::N,külmus,ajoz
85,Hitze::N,kuumus,issiq
86,Hitze::N,palavus,issiq
87,Raureif::N,härmatis,qirov
88,Regenbogen::N,vikerkaar,kamalak
89,Donner::N,kõu,guldur
90,Donner::N,müristamine,guldur
91,Strömung::N,voolus,oqim
92,Strömung::N,jõevool,oqim
93,Tropfen::N,tilk,tomchi
94,Schaum::N,vaht,ko'pik
95,Schmutz::N,pori,gard
96,Schmutz::N,mustus,gard
97,See::N,järv,ko'l
98,Sumpf::N,soo,botqoq
99,Moor::N,raba,qir-adir
100,Wiese::N,aas,o'tzor
101,Wiese::N,nurm,o'tzor
102,Wald::N,mets,o'rmon
103,Hügel::N,küngas,tepa
104,Anhöhe::N,küngas,adir
105,Berg::N,mägi,tog'
106,Gipfel::N,mäetipp,cho'qqi
107,Höhle::N,koobas,kavak
108,Abhang::N,nõlvak,to'sh
109,Quelle::N,allikas,buloq
110,Bach::N,oja,o'zan
111,Fluss::N,jõgi,daryo
112,Ufer::N,kallas,sohil
113,Küste::N,rannik,qirg'oq
114,Festland::N,mander,materik
115,Festland::N,maismaa,materik
116,Meer::N,meri,dengiz
117,Bucht::N,laht,qo'ltiq
118,Insel::N,saar,orol
119,Blume::N,lill,gul
120,Gras::N,rohi,sabza
121,Wurzel::N,juur,tub
122,Wurzel::N,juur,tomir
123,Baum::N,puu,daraxt
124,Stamm::N,tüvi,o'simta
125,Rinde::N,koor,qobiq
126,Ast::N,oks,shox
127,Zweig::N,oks,butoq
128,Blatt::N,leht,barg
129,Birke::N,kask,qayin
130,Kiefer[Baum]::N,mänd,qarag'ay
131,Weide[Baum]::N,paju,shum
132,Tanne::N,nulg,archa
133,Horn::N,sarv,mugiz
134,Feder::N,sulg,par
135,Fell::N,karvkate,mo'yna
136,Fell::N,karusnahk,mo'yna
137,Flügel::N,tiib,qanot
138,Flügel::N,tiivik,qanot
139,Klaue::N,küüs,tirnoq
140,Kralle::N,küünis,tirnoq
141,Schwanz::N,saba,quyruq
142,Ei::N,muna,tuxum
143,Nest::N,pesa,oshyon
144,Bau::N,urg,o'pqon
145,Tier::N,loom,hayvon
146,Herde::N,kari,gala
147,Kuh::N,lehm,inak
148,Bulle::N,pull,ho'kiz
149,Pferd::N,hobune,ot
150,Schaf::N,lammas,qo'y
151,Schwein::N,siga,cho'chqa
152,Hund::N,koer,it
153,Katze::N,kass,mushuk
154,Bär::N,karu,ayiq
155,Eichhörnchen::N,orav,tiyin
156,Elch::N,põder,los
157,Fuchs::N,rebane,tulki
158,Hase::N,jänes,kuyon
159,Maus::N,hiir,sichqon
160,Wolf::N,hunt,bo'ri
161,Vogel::N,lind,qush
162,Schwarm::N,parv,to'da
163,Huhn::N,kana,tovuq
164,Hahn::N,kukk,xo'roz
165,Gans::N,hani,g'oz
166,Adler::N,kotkas,burgut
167,Ente::N,part,o'rdak
168,Eule::N,kakk,boyo'g'li
169,Eule::N,öökull,boyo'g'li
170,Kranich::N,kurg,turna
171,Krähe::N,vares,qarg'a
172,Kuckuck::N,kägu,kakku
173,Schwan::N,luik,oqkush
174,Fisch::N,kala,baliq
175,Barsch::N,ahven,olabug'a
176,Hecht::N,haug,cho'rtan
177,Schlange[Tier]::N,uss,ilon
178,Wurm::N,uss,qurt
179,Wurm::N,vagel,qurt
180,Spinne::N,ämblik,o'rgimchak
181,Ameise::N,sipelgas,chumoli
182,Laus::N,täi,bit
183,Mücke::N,sääsk,chivin
184,Fliege::N,kärbes,pashsha
185,Schmetterling::N,liblikas,kapalak
186,Beere::N,mari,meva
187,Apfel::N,õun,olma
188,Pilz::N,seen,qo'ziqorin
189,Zwiebel::N,sibul,piyoz
190,Saat::N,seeme,äkin
191,Korn::N,iva,zarra
192,Korn::N,tera,zarra
193,Heu::N,hein,xashak
194,Schale::N,koor,po'choq
195,Grube::N,kaevand,co'ra
196,Falle::N,lõks,qopqon
197,Falle::N,püünis,qopqon
198,Schlinge::N,aas,sirtmoq
199,Spur::N,jälg,iz
200,Asche::N,tuhk,kul
201,Dreck::N,saast,kir
202,Dreck::N,mustus,kir
203,Eisen::N,raud,temir
204,Gold::N,kuld,tilla
205,Silber::N,hõbe,kumush
206,Kohle::N,süsi,ko'mir
207,Glas::N,klaas,oyna
208,Lehm::N,savi,loy
209,Sand::N,liiv,qum
210,Mensch::N,inimene,odam
211,Mann::N,mees,ärkak
212,Frau::N,naine,ayol
213,Kind::N,laps,bola
214,Kind::N,laps,kichkintoy
215,Junge::N,poiss,bola
216,Mädchen::N,tüdruk,qiz
217,Familie::N,perekond,oila
218,Großvater::N,vanaisa,buva
219,Großvater::N,vanaisa,katta ota
220,Großmutter::N,vanaema,buvi
221,Großmutter::N,vanaema,katta oyi
222,Eltern::N,vanemad,ota-ona
223,Vater::N,isa,ota
224,Mutter::N,ema,ona
225,Sohn::N,poeg,o'g'il
226,Tochter::N,tütar,qiz
227,Bruder::N,vend,og'a
228,Bruder::N,vend,uka
229,Schwester::N,õde,opa
230,Schwester::N,õde,singil
231,Onkel::N,onu,amaki
232,Tante::N,tädi,amma
233,Tante::N,tädi,xola
234,Ehemann::N,mees,är
235,Ehemann::N,abikaasa,är
236,Ehefrau::N,naine,rafiqa
237,Ehefrau::N,abikaasa,rafiqa
238,Freude::N,rõõm,ayish
239,Gelächter::N,naer,kulgi
240,Glück::N,õnn,saodat
241,Kummer::N,mure,g'am
242,Kummer::N,kurbus,g'am
243,Wunsch::N,soov,orzu
244,Lust::N,himu,rag'bat
245,Geist::N,vaim,ruh
246,Gedanke::N,mõte,fikr
247,Gedächtnis::N,mälu,äs
248,Verstand::N,aru,aql
249,Verstand::N,mõistus,aql
250,Sinn::N,tähendus,ma'ni
251,Grund::N,põhjus,sabab
252,Wahrheit::N,tõde,haq
253,Gespräch::N,kõne,gap
254,Gespräch::N,vestlus,gap
255,Märchen::N,muinasjutt,ärtak
256,Erzählung::N,jutustus,rivoyat
257,Nachricht::N,teade,xabar
258,Neuigkeit::N,uudis,yangilik
259,Name::N,nimi,ot
260,Rätsel::N,mõistatus,topishmoq
261,Rede::N,kõne,nutq
262,Sprache::N,keel,til
263,Stimme::N,hääl,ovoz
264,Wort::N,sõna,so'z
265,Zeichen::N,märk,alomat
266,Ruf::N,hüüe,chaqiriq
267,Lärm::N,müra,taraq
268,Laut::N,hääl,tovush
269,Ton::N,toon,un
270,Lied::N,laul,ashula
271,Ruhe::N,rahu,tinchlik
272,Ruhe::N,vaikus,tinchlik
273,Leute::N,inimesed,xaloyiq
274,Volk::N,rahvas,xalq
275,Arbeit::N,töö,ish
276,Gast::N,külaline,mehmon
277,Geschenk::N,kingitus,hadya
278,Spiel::N,mäng,o'yin
279,Gesellschaft::N,selts,jamiyat
280,Hilfe::N,abi,yordam
281,Freund::N,sõber,do'st
282,Kamerad::N,sõber,yo'ldosh
283,Angelegenheit::N,asi,daxl
284,Anzahl::N,arv,son
285,Anzahl::N,hulk,son
286,Art::N,liik,tur
287,Stück::N,tükk,parcha
288,Teil::N,osa,bo'lak
289,Hälfte::N,pool,yarim
290,Kreis::N,ring,aylana
291,Kreuz::N,rist,xoch
292,Linie::N,joon,liniya
293,Strich::N,joon,chiziq
294,Abstand::N,vahe,oralik
295,Entfernung::N,kaugus,uzoqlik
296,Entfernung::N,vahemaa,uzoqlik
297,Gegend::N,ümbrus,yer
298,Platz::N,ruum,oralig
299,Ort::N,paik,joy
300,Seite::N,pool,yon
301,Mitte::N,keskpaik,o'rta
302,Gegenstand::N,ese,ashyo
303,Sache::N,ese,buyum
304,Rand::N,äär,chek
305,Rand::N,serv,chek
306,Kante::N,kant,tig'
307,Ecke::N,nurk,burchak
308,Spitze::N,teravik,uch
309,Ende::N,ots,oxir
310,Ende::N,jupp,oxir
311,Loch::N,auk,teshik
312,Winkel::N,nurk,go'sha
313,Muster::N,muster,nusha
