,Concept_ID,av,sv
0,Ohr::N,гӏин,öra
1,Nase::N,мегӏер,näsa
2,Mund::N,кӏал,mun
3,Zahn::N,гӏус,tand
4,Zunge::N,мацӏ,tunga
5,Lippe::N,кӏветӏ,läpp
6,Wange::N,гӏоно,kind
7,Gesicht::N,гьумер,syn
8,Gesicht::N,гьумер,ansikte
9,Stirn::N,нодо,panna
10,Haar::N,рас,hår
11,Schnurrbart::N,михъ,mustasch
12,Bart::N,мегеж,skägg
13,Kinn::N,нилъу,haka
14,Kiefer[Anatomie]::N,чанагъ,käke
15,Kehle::N,щекъер,strupe
16,Hals::N,габур,hals
17,Genick::N,гъванща,nacke
18,Kopf::N,бетӏер,huvud
19,Rücken::N,мугъ,rygg
20,Bauch::N,чехь,buk
21,Bauch::N,чехь,mage
22,Nabel::N,цӏину,navel
23,Busen::N,керен,barm
24,Brust::N,керен,bröst
25,Schulter::N,гъажазубетӏер,skuldra
26,Arm::N,гъеж,arm
27,Ellenbogen::N,гӏункӏрукь,armbåge
28,Hand::N,квер,hand
29,Handfläche::N,огъохъат,handflata
30,Handfläche::N,жанисахъат,handflata
31,Finger::N,килищ,finger
32,Fingernagel::N,малъ,fingernagel
33,Nagel[Anatomie]::N,малъ,nagel
34,Zeh::N,килищ,tå
35,Fuß::N,хӏетӏ,fot
36,Fuß::N,хӏетӏе,fot
37,Ferse::N,эгъе,häl
38,Knie::N,наку,knä
39,Oberschenkel::N,мачӏ,lår
40,Bein::N,бох,ben
41,Körper::N,къаркъала,kropp
42,Haut::N,тӏом,hud
43,Haut::N,тӏом,skinn
44,Blut::N,би,blod
45,Ader::N,бидурихь,åder
46,Knochen::N,ракьа,ben
47,Gehirn::N,гӏадалнах,hjärna
48,Herz::N,ракӏ,hjärta
49,Magen::N,кванирукъ,mage
50,Leber::N,тӏул,lever
51,Atem::N,хӏухь,anda
52,Atem::N,хӏухь,andedräkt
53,Hunger::N,ракъи,svält
54,Hunger::N,ракъи,hunger
55,Träne::N,магӏу,tår
56,Geschmack::N,тату,smak
57,Geruch::N,махӏ,lukt
58,Schlaf::N,макьу,sömn
59,Traum::N,макьу,dröm
60,Himmel::N,зоб,himmel
61,Sonne::N,бакъ,sol
62,Mond::N,моцӏ,måne
63,Stern::N,цӏва,stjärna
64,Luft::N,гьава,luft
65,Wind::N,гьури,vind
66,Welle::N,карачел,våg
67,Welle::N,карачел,bölja
68,Wasser::N,лъим,vatten
69,Stein::N,гьецӏо,sten
70,Boden::N,ракь,mark
71,Erde::N,ракь,jord
72,Erde::N,дуниял,jord
73,Staub::N,хӏур,damm
74,Rauch::N,кӏкӏуй,rök
75,Feuer::N,цӏа,eld
76,Licht::N,канлъи,ljus
77,Schatten::N,рагӏад,skugga
78,Wetter::N,гьава-бакъ,väder
79,Nebel::N,гӏодобнакӏкӏ,dimma
80,Nebel::N,гӏодобнакӏкӏ,töcken
81,Wolke::N,накӏкӏ,sky
82,Wolke::N,накӏкӏ,moln
83,Regen::N,цӏад,regn
84,Schnee::N,гӏазу,snö
85,Eis::N,цӏер,is
86,Frost::N,замгьари,frost
87,Kälte::N,квач,köld
88,Hitze::N,багӏари,hetta
89,Raureif::N,мартӏ,rimfrost
90,Regenbogen::N,нур,regnbåge
91,Regenbogen::N,чамбара,regnbåge
92,Donner::N,гъугъай,åska
93,Donner::N,гъугъай,dunder
94,Donner::N,гъугъади,åska
95,Donner::N,гъугъади,dunder
