,Concept_ID,av,nl
0,Ohr::N,гӏин,oor
1,Nase::N,мегӏер,neus
2,Mund::N,кӏал,mond
3,Zahn::N,гӏус,tand
4,Zunge::N,мацӏ,tong
5,Lippe::N,кӏветӏ,lip
6,Wange::N,гӏоно,wang
7,Gesicht::N,гьумер,gelaat
8,Gesicht::N,гьумер,gezicht
9,Stirn::N,нодо,voorhoofd
10,Haar::N,рас,haar
11,Schnurrbart::N,михъ,snor
12,Bart::N,мегеж,baard
13,Kinn::N,нилъу,kin
14,Kiefer[Anatomie]::N,чанагъ,kaak
15,Kehle::N,щекъер,keel
16,Kehle::N,щекъер,strot
17,Hals::N,габур,hals
18,Genick::N,гъванща,nek
19,Kopf::N,бетӏер,hoofd
20,Rücken::N,мугъ,rug
21,Bauch::N,чехь,buik
22,Nabel::N,цӏину,navel
23,Busen::N,керен,boezem
24,Brust::N,керен,borst
25,Schulter::N,гъажазубетӏер,schouder
26,Arm::N,гъеж,arm
27,Ellenbogen::N,гӏункӏрукь,elleboog
28,Hand::N,квер,hand
29,Handfläche::N,огъохъат,handpalm
30,Handfläche::N,жанисахъат,handpalm
31,Finger::N,килищ,vinger
32,Fingernagel::N,малъ,nagel
33,Nagel[Anatomie]::N,малъ,nagel
34,Zeh::N,килищ,teen
35,Fuß::N,хӏетӏ,voet
36,Fuß::N,хӏетӏе,voet
37,Ferse::N,эгъе,hak
38,Ferse::N,эгъе,hiel
39,Knie::N,наку,knie
40,Oberschenkel::N,мачӏ,dij
41,Bein::N,бох,been
42,Körper::N,къаркъала,lichaam
43,Haut::N,тӏом,huid
44,Blut::N,би,bloed
45,Ader::N,бидурихь,ader
46,Knochen::N,ракьа,bot
47,Knochen::N,ракьа,been
48,Knochen::N,ракьа,knook
49,Gehirn::N,гӏадалнах,hersenen
50,Herz::N,ракӏ,hart
51,Magen::N,кванирукъ,maag
52,Leber::N,тӏул,lever
53,Atem::N,хӏухь,adem
54,Hunger::N,ракъи,honger
55,Träne::N,магӏу,traan
56,Geschmack::N,тату,smaak
57,Geruch::N,махӏ,geur
58,Schlaf::N,макьу,slaap
59,Traum::N,макьу,droom
60,Himmel::N,зоб,hemel
61,Sonne::N,бакъ,zon
62,Mond::N,моцӏ,maan
63,Stern::N,цӏва,ster
64,Luft::N,гьава,lucht
65,Wind::N,гьури,wind
66,Welle::N,карачел,golf
67,Wasser::N,лъим,water
68,Stein::N,гьецӏо,steen
69,Boden::N,ракь,grond
70,Erde::N,ракь,aarde
71,Erde::N,дуниял,aarde
72,Staub::N,хӏур,stof
73,Rauch::N,кӏкӏуй,rook
74,Feuer::N,цӏа,vuur
75,Licht::N,канлъи,licht
76,Schatten::N,рагӏад,schaduw
77,Wetter::N,гьава-бакъ,weer
78,Nebel::N,гӏодобнакӏкӏ,mist
79,Nebel::N,гӏодобнакӏкӏ,nevel
80,Wolke::N,накӏкӏ,wolk
81,Regen::N,цӏад,regen
82,Schnee::N,гӏазу,sneeuw
83,Eis::N,цӏер,ijs
84,Frost::N,замгьари,vorst
85,Kälte::N,квач,kou
86,Kälte::N,квач,koude
87,Hitze::N,багӏари,hitte
88,Raureif::N,мартӏ,rijp
89,Regenbogen::N,нур,regenboog
90,Regenbogen::N,чамбара,regenboog
91,Donner::N,гъугъай,donder
92,Donner::N,гъугъади,donder
93,Strömung::N,чвахи,stroming
94,Tropfen::N,резел,druppel
95,Tropfen::N,тӏинкӏ,druppel
96,Tropfen::N,къатӏра,druppel
97,Tropfen::N,тӏенкӏел,druppel
98,Schaum::N,полоп,schuim
99,Schmutz::N,чороклъи,vuil
100,See::N,хӏор,meer
101,Sumpf::N,хьуцӏ,moeras
102,Wiese::N,мегъ,wei
103,Wiese::N,мегъ,weide
104,Wiese::N,гӏурдаллъи,wei
105,Wiese::N,гӏурдаллъи,weide
106,Wald::N,рохь,bos
107,Hügel::N,гохӏ,heuvel
108,Anhöhe::N,сийитма,hoogte
109,Berg::N,мегӏер,berg
110,Gipfel::N,тӏогь,top
111,Höhle::N,нохъо,hol
112,Abhang::N,лабаллъи,helling
113,Quelle::N,ицц,bron
114,Bach::N,лъар,beek
115,Fluss::N,гӏор,stroom
116,Ufer::N,рагӏал,wal
117,Ufer::N,рагӏал,oever
118,Küste::N,рагӏал,kust
119,Festland::N,ракь,vasteland
120,Festland::N,ракъдаллъи,vasteland
121,Meer::N,ралъад,zee
122,Bucht::N,кӏветӏ,baai
123,Bucht::N,кӏветӏ,inham
124,Insel::N,чӏинкӏиллъи,eiland
125,Blume::N,тӏегь,bloem
126,Gras::N,хер,gras
127,Wurzel::N,кьибил,wortel
128,Baum::N,гъветӏ,boom
129,Stamm::N,рохти,stam
130,Rinde::N,макъар,schors
131,Ast::N,ноцӏ,tak
132,Zweig::N,гӏаркьел,twijg
133,Blatt::N,тӏамах,blad
134,Birke::N,мах,berk
135,Birke::N,махигъветӏ,berk
136,Kiefer[Baum]::N,накӏкӏигъветӏ,den
137,Weide[Baum]::N,рицӏцӏ,wilg
138,Weide[Baum]::N,рицӏцӏигъветӏ,wilg
139,Tanne::N,ёлка,spar
140,Horn::N,лълъар,hoorn
141,Feder::N,хӏули,veer
142,Feder::N,хӏули,pluim
143,Fell::N,тӏом,vel
144,Fell::N,цӏоко,vel
145,Flügel::N,кваркьи,vleugel
146,Klaue::N,галъ,klauw
147,Kralle::N,квачӏ,klauw
148,Kralle::N,катиквачӏ,klauw
149,Schwanz::N,рачӏ,staart
150,Ei::N,хоно,ei
151,Nest::N,бусен,nest
152,Bau::N,каратӏ,hol
153,Tier::N,хӏайван,dier
154,Herde::N,рехъен,kudde
155,Herde::N,рехъед,kudde
156,Kuh::N,гӏака,koe
157,Bulle::N,оц,stier
158,Pferd::N,чу,paard
159,Schaf::N,чахъу,schaap
160,Schwein::N,болъон,varken
161,Hund::N,гьой,hond
162,Katze::N,кету,kat
163,Bär::N,ци,beer
164,Eichhörnchen::N,гвангва,eekhoorntje
165,Fuchs::N,цер,vos
166,Hase::N,гӏанкӏ,haas
167,Maus::N,гӏункӏкӏ,muis
168,Wolf::N,бацӏ,wolf
169,Vogel::N,хӏинчӏ,vogel
170,Schwarm::N,тӏел,zwerm
171,Huhn::N,гӏанкӏу,kip
172,Huhn::N,гӏанкӏу,hoen
173,Hahn::N,хӏелеко,haan
174,Gans::N,хъаз,gans
175,Adler::N,цӏум,arend
176,Ente::N,ордек,eend
177,Eule::N,беццаруз,uil
178,Kranich::N,къункъра,kraanvogel
179,Krähe::N,гъеду,kraai
180,Kuckuck::N,гагу,koekoek
181,Schwan::N,хӏанкъва,zwaan
182,Fisch::N,ччугӏа,vis
183,Barsch::N,окунь,baars
184,Hecht::N,щука,snoek
185,Schlange[Tier]::N,борохь,slang
186,Wurm::N,хӏапара,worm
187,Spinne::N,хъанхъра,spin
188,Ameise::N,цӏунцӏра,mier
189,Laus::N,нацӏ,luis
190,Mücke::N,кӏкӏара,mug
191,Fliege::N,тӏутӏ,vlieg
192,Schmetterling::N,кӏалкӏучӏ,vlinder
193,Apfel::N,гӏеч,appel
