,Concept_ID,cy,os
0,Auge::N,llygad,цӕст
1,Ohr::N,clust,хъус
2,Nase::N,trwyn,фындз
3,Mund::N,ceg,дзых
4,Zahn::N,dant,дӕндаг
5,Zunge::N,tafod,ӕвзаг
6,Lippe::N,gwefus,был
7,Wange::N,boch,рус
8,Wange::N,boch,уадул
9,Wange::N,boch,ӕхсӕрфарс
10,Gesicht::N,wyneb,цӕсгом
11,Stirn::N,talcen,ных
12,Haar::N,blew,хил
13,Schnurrbart::N,mwstas,рихи
14,Bart::N,barf,зачъе
15,Kinn::N,gên,роцъо
16,Kiefer[Anatomie]::N,gên,ӕфсӕр
17,Kehle::N,gwddf,хъуыр
18,Hals::N,gwddf,къубал
19,Genick::N,gwar,къӕбут
20,Genick::N,gwegil,къӕбут
21,Kopf::N,pen,сӕр
22,Rücken::N,cefn,фӕсонтӕ
23,Bauch::N,bol,гуыбын
24,Nabel::N,bogail,бикъ
25,Busen::N,bron,дзидзи
26,Brust::N,brest,риу
27,Schulter::N,ysgwydd,уӕхск
28,Arm::N,braich,цонг
29,Ellenbogen::N,penelin,рæмбын
30,Hand::N,llaw,къух
31,Handfläche::N,palf,армытъӕпӕн
32,Finger::N,bys,ӕнруылдз
33,Fingernagel::N,ewin,ных
34,Nagel[Anatomie]::N,ewin,ных
35,Zeh::N,bys troed,къух
36,Fuß::N,troed,фад
37,Ferse::N,sawdl,зӕвӕт
38,Knie::N,glin,уӕраг
39,Oberschenkel::N,clun,агъд
40,Bein::N,coes,зӕнг
41,Körper::N,corff,буар
42,Haut::N,croen,царм
43,Blut::N,gwaed,туг
44,Ader::N,gwythïen,дадзин
45,Ader::N,gwythïen,тугдадзин
46,Sehne::N,gewyn,хъиутæ
47,Sehne::N,gewyn,нуар
48,Knochen::N,asgwrn,стӕг
49,Gehirn::N,ymennydd,магъз
50,Herz::N,calon,зӕрдӕ
51,Magen::N,cylla,ахсӕн
52,Magen::N,stumog,ахсӕн
53,Leber::N,iau,игæр
54,Atem::N,anadl,улӕфт
55,Hunger::N,newyn,стонг
56,Träne::N,deigryn,цæссыг
57,Geschmack::N,cyflas,ад
58,Geruch::N,aroglau,смаг
