,Concept_ID,sl,eu
0,Auge::N,okó,begi
1,Ohr::N,uhó,belarri
2,Nase::N,nós,sudur
3,Mund::N,ústa,aho
4,Zahn::N,zób,hortz
5,Zunge::N,jêzik,mihi
6,Lippe::N,ústnica,ezpain
7,Wange::N,líce,masail
8,Gesicht::N,oblíčje,aurpegi
9,Stirn::N,čêlo,bekoki
10,Haar::N,lás,ile
11,Haar::N,lás,bilo
12,Schnurrbart::N,bŕki,bibote
13,Schnurrbart::N,bŕki,sudurpeko
14,Bart::N,bráda,bizar
15,Kinn::N,bráda,kokots
16,Kiefer[Anatomie]::N,čeljúst,masailezur
17,Kehle::N,gŕlo,eztarri
18,Hals::N,vrát,sama
19,Genick::N,zatílnik,garondo
20,Kopf::N,gláva,buru
21,Rücken::N,hrbèt,bizkar
22,Bauch::N,trébuh,sabel
23,Nabel::N,pópek,zilbor
24,Busen::N,nédrja,titi
25,Busen::N,nédrja,ugatz
26,Brust::N,pŕsi,bular
27,Schulter::N,ráma,besaburu
28,Schulter::N,plêče,besaburu
29,Arm::N,rôka,beso
30,Ellenbogen::N,komólec,ukondo
31,Hand::N,rôka,esku
32,Handfläche::N,dlán,ahur
33,Finger::N,pŕst,hatz
34,Fingernagel::N,nóht na rôki,azazkal
35,Nagel[Anatomie]::N,nóht,azazkal
36,Zeh::N,pŕst na nôgi,behatz
37,Fuß::N,nôga,oin
38,Ferse::N,pêta,orpo
39,Ferse::N,pêta,oinburu
40,Knie::N,koléno,belaun
41,Oberschenkel::N,stêgno,izter
42,Bein::N,nôga,zango
43,Körper::N,teló,soin
44,Haut::N,kóža,azal
45,Blut::N,krí,odol
46,Ader::N,žíla,zain
47,Sehne::N,kíta,gihar-zain
48,Knochen::N,kóst,hezur
49,Gehirn::N,možgáni,garun
50,Gehirn::N,možgáni,burmuin
51,Herz::N,srcé,bihotz
52,Magen::N,želódec,urdail
53,Leber::N,jétra,gibel
54,Atem::N,díh,hats
55,Atem::N,díh,arnasa
56,Hunger::N,glád,gose
57,Träne::N,sólza,malko
58,Geschmack::N,okús,dasta
59,Geruch::N,vónj,usain
60,Schlaf::N,sèn,lo
61,Schlaf::N,spánec,lo
62,Traum::N,sánje,amets
63,Himmel::N,nebó,zeru
64,Sonne::N,sónce,eguzki
65,Mond::N,lúna,ilargi
66,Mond::N,mésec,ilargi
67,Stern::N,zvézda,izar
68,Luft::N,zràk,aire
69,Wind::N,véter,haize
70,Welle::N,vál,uhin
71,Welle::N,vál,olatu
72,Wasser::N,vôda,ur
73,Stein::N,kámen,harri
74,Boden::N,tlà,lur
75,Boden::N,tlà,zoru
76,Erde::N,pŕst,lur
77,Erde::N,zêmlja,lur
78,Staub::N,práh,hauts
79,Rauch::N,dìm,ke
80,Funke::N,ískra,zirta
81,Funke::N,ískra,txinparta
82,Feuer::N,ôgenj,su
83,Licht::N,lúč,argi
84,Schatten::N,sénca,itzal
85,Schatten::N,sénca,geriza
86,Wetter::N,vrême,eguraldi
87,Nebel::N,meglà,laino
88,Wolke::N,oblák,hodei
89,Regen::N,dèž,euri
90,Schnee::N,snég,elur
91,Eis::N,léd,horma
92,Frost::N,zmrzál,izotzaldi
93,Kälte::N,mràz,hotz
94,Hitze::N,pripéka,bero
95,Raureif::N,ívje,antzigar
96,Raureif::N,slána,antzigar
97,Regenbogen::N,mávrica,ostadar
98,Regenbogen::N,mávrica,ortzadar
99,Donner::N,gròm,ostots
100,Donner::N,gròm,ihurtzuri
101,Strömung::N,strúja,laster
102,Tropfen::N,káplja,xorta
103,Schaum::N,péna,bits
104,Schmutz::N,nesnága,lohi
105,Schmutz::N,nesnága,zikin
106,See::N,jézero,laku
107,See::N,jézero,aintzira
108,Sumpf::N,močvírje,zingira
109,Moor::N,bárje,zohikaztegi
110,Wiese::N,trávnik,larre
111,Wiese::N,trávnik,belardi
112,Wald::N,lés,baso
113,Wald::N,lés,oihan
114,Wald::N,gòzd,baso
115,Wald::N,gòzd,oihan
116,Hügel::N,brég,muino
117,Hügel::N,brég,pentoka
118,Hügel::N,goríca,muino
119,Hügel::N,goríca,pentoka
120,Anhöhe::N,gríč,garai
121,Anhöhe::N,gríč,goragune
122,Anhöhe::N,višína,garai
123,Anhöhe::N,višína,goragune
124,Berg::N,gôra,mendi
125,Berg::N,planína,mendi
126,Gipfel::N,vŕh,gain
127,Gipfel::N,vŕh,tontor
128,Höhle::N,jáma,kobazulo
129,Höhle::N,votlína,kobazulo
130,Abhang::N,pobóčje,aldapa
131,Quelle::N,izvír,iturri
132,Quelle::N,izvír,iturbegi
133,Bach::N,pôtok,lats
134,Bach::N,pôtok,erreka
135,Fluss::N,réka,ibai
136,Fluss::N,réka,uhaitz
137,Ufer::N,brég,bazter
138,Küste::N,obála,itsasalde
139,Küste::N,obréžje,itsasalde
140,Festland::N,celína,lehor
141,Festland::N,kopnína,lehor
142,Meer::N,mórje,itsaso
143,Bucht::N,zalív,golko
144,Insel::N,ôtok,irla
145,Insel::N,ôtok,uharte
146,Blume::N,cvetlíca,lili
147,Gras::N,tráva,belar
148,Wurzel::N,korenína,zuztar
149,Wurzel::N,korenína,sustrai
150,Baum::N,drevó,zuhaitz
151,Stamm::N,dêblo,enbor
152,Rinde::N,lúbje,azal
153,Rinde::N,skórja,azal
154,Ast::N,véja,adar
155,Zweig::N,véja,abar
156,Blatt::N,líst,hosto
157,Birke::N,bréza,urki
