,Concept_ID,mhr,fi
0,Auge::N,шинча́,silmä
1,Ohr::N,пы́лыш,korva
2,Nase::N,нер,nenä
3,Mund::N,умша́,suu
4,Zahn::N,пӱй,hammas
5,Zunge::N,йы́лме,kieli
6,Lippe::N,тӱ́рвӧ,huuli
7,Wange::N,шӱ́ргӧ,poski
8,Gesicht::N,чури́й,naama
9,Gesicht::N,чури́й,kasvot
10,Stirn::N,саҥга́,otsa
11,Haar::N,ӱп,hius
12,Haar::N,ӱп,tukka
13,Schnurrbart::N,ӧ́рыш,viikset
14,Bart::N,понда́ш,parta
15,Kinn::N,оҥыла́ш,leuka
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,leukaluu
17,Kiefer[Anatomie]::N,пӱйората́,leukaluu
18,Kehle::N,лога́р,kurkku
19,Hals::N,шӱй,kaula
20,Genick::N,шӱйло́дыш,niska
21,Kopf::N,вуй,pää
22,Rücken::N,туп,selkä
23,Bauch::N,мӱ́шкыр,maha
24,Bauch::N,мӱ́шкыр,vatsa
25,Nabel::N,кы́лымде,napa
26,Busen::N,чы́зе,rinta
27,Brust::N,оҥ,rinta
28,Schulter::N,ва́че,olka
29,Schulter::N,ва́че,hartia
30,Schulter::N,ва́че,olkapää
31,Arm::N,кид,käsivarsi
32,Ellenbogen::N,кынерву́й,kyynärpää
33,Hand::N,кид,käsi
34,Hand::N,копа́,käsi
35,Handfläche::N,со́во,kämmen
36,Finger::N,парня́,sormi
37,Fingernagel::N,кидкӱ́ч,kynsi
38,Fingernagel::N,парнягӱ́ч,kynsi
39,Nagel[Anatomie]::N,кӱч,kynsi
40,Zeh::N,йолварня́,varvas
41,Fuß::N,йол,jalka
42,Fuß::N,йолкопа́,jalka
43,Ferse::N,тага́н,kantapää
44,Knie::N,пулву́й,polvi
45,Oberschenkel::N,э́рде,reisi
46,Bein::N,йол,jalka
47,Körper::N,кап,keho
48,Körper::N,кап,ruumis
49,Haut::N,кова́ште,iho
50,Blut::N,вӱр,veri
51,Ader::N,шӧн,suoni
52,Sehne::N,шӧн,jänne
53,Sehne::N,кӱсе́н,jänne
54,Knochen::N,лу,luu
55,Gehirn::N,вем,aivot
56,Gehirn::N,вуйве́м,aivot
57,Herz::N,шӱм,sydän
58,Magen::N,пага́р,maha
59,Magen::N,пага́р,vatsa
