,Concept_ID,ku,kn
0,Auge::N,çav,ಕಣ್ಣು
1,Ohr::N,guh,ಕಿವಿ
2,Nase::N,bêvil,ಮೂಗು
3,Mund::N,dev,ಬಾಯಿ
4,Zahn::N,didan,ಹಲ್ಲು
5,Zunge::N,ziman,ನಾಲಿಗೆ
6,Lippe::N,lêv,ತುಟಿ
7,Wange::N,dêm,ಗಲ್ಲ
8,Wange::N,hinarik,ಗಲ್ಲ
9,Gesicht::N,rû,ಮುಖ
10,Stirn::N,enî,ಹಣೆ
11,Haar::N,por,ಕೂದಲು
12,Schnurrbart::N,simbêl,ಮೀಸೆ
13,Bart::N,rih,ಗಡ್ಡ
14,Kinn::N,zenî,ಗದ್ದ
15,Kiefer[Anatomie]::N,arguşk,ದವಡೆ
16,Kehle::N,qirik,ಗಂಟಲು
17,Hals::N,stû,ಕೊರಳು
18,Hals::N,qirik,ಕೊರಳು
19,Genick::N,stû,ಹಿಂಗತ್ತು
20,Kopf::N,serî,ತಲೆ
21,Rücken::N,pişt,ಬೆನ್ನು
22,Bauch::N,ûr,ಹೊಟ್ಟೆ
23,Bauch::N,zik,ಹೊಟ್ಟೆ
24,Nabel::N,navik,ಹೊಕ್ಕುಳು
25,Busen::N,sîng,ಸ್ತನ
26,Brust::N,sîng,ಎದೆ
27,Schulter::N,mil,ಭುಜ
28,Arm::N,çepil,ತೋಳು
29,Ellenbogen::N,enîşk,ಮೊಣಕೈ
30,Hand::N,dest,ಕೈ
31,Handfläche::N,kefadest,ಅಂಗೈ
32,Finger::N,tilî,ಕೈಬೆರಳು
33,Fingernagel::N,neynuk,ಉಗುರು
34,Nagel[Anatomie]::N,bizmar,ಉಗುರು
35,Zeh::N,tilî linga,ಕಾಲ್ಬೆರಳು
36,Fuß::N,ling,ಪಾದ
37,Ferse::N,pahnî,ಹಿಮ್ಮಡಿ
38,Knie::N,kabok,ಮಂಡಿ
39,Oberschenkel::N,rahn,ತೊಡೆ
40,Bein::N,çip,ಕಾಲು
41,Körper::N,laş,ದೇಹ
42,Körper::N,gowde,ದೇಹ
43,Haut::N,çerm,ಚರ್ಮ
44,Blut::N,xwîn,ರಕ್ತ
45,Ader::N,reh,ನರ
46,Sehne::N,reh,ನರ
47,Knochen::N,hestî,ಮೂಳೆ
48,Gehirn::N,mêjî,ಮಿದುಳು
49,Herz::N,dil,ಹೃದಯ
50,Magen::N,navêş,ಉದರ
51,Leber::N,kezeb,ಯಕೃತ್ತು
52,Atem::N,hilm,ಉಸಿರು
53,Hunger::N,birçîtî,ಹಸಿವು
54,Träne::N,hêstir,ಕಣ್ಣೀರು
55,Geschmack::N,tam,ರುಚಿ
56,Geruch::N,bêhn,ವಾಸನೆ
57,Schlaf::N,xew,ನಿದ್ರೆ
58,Traum::N,xewn,ಕನಸು
59,Himmel::N,ezman,ಬಾನು
60,Sonne::N,roj,ಸೂರ್ಯ
61,Mond::N,heyv,ಚಂದ್ರ
62,Stern::N,stêrk,ಚುಕ್ಕಿ
63,Luft::N,ba,ವಾಯು
64,Wind::N,ba,ಗಾಳಿ
65,Welle::N,şewl,ಅಲೆ
66,Wasser::N,av,ನೀರು
67,Stein::N,kevir,ಕಲ್ಲು
68,Boden::N,herd,ನೆಲ
69,Erde::N,ax,ಭೂಮಿ
70,Staub::N,toz,ದೂಳು
71,Rauch::N,dû,ಹೊಗೆ
72,Funke::N,çirûşk,ಕಿಡಿ
73,Feuer::N,agir,ಬೆಂಕಿ
74,Licht::N,ronahî,ಬೆಳಕು
75,Schatten::N,sî,ನೆರಳು
76,Wetter::N,hewa,ಹವ
77,Nebel::N,mij,ಮಂಜು
78,Wolke::N,ewr,ಮೋಡ
79,Regen::N,baran,ಮಳೆ
80,Schnee::N,berf,ಹಿಮ
