,Concept_ID,ja,ca
0,Auge::N,目,ull
1,Ohr::N,耳,orella
2,Nase::N,鼻,nas
3,Mund::N,口,boca
4,Zahn::N,歯,dent
5,Zunge::N,舌,llēngua
6,Lippe::N,唇,llavi
7,Wange::N,頬,galta
8,Gesicht::N,顔,cara
9,Stirn::N,額,front
10,Haar::N,髪,cabēll
11,Schnurrbart::N,口髭,bigoti
12,Bart::N,髭,barba
13,Kinn::N,顎,mentó
14,Kinn::N,顎,barbeta
15,Kiefer[Anatomie]::N,顎,queix
16,Kiefer[Anatomie]::N,顎,mandíbula
17,Kehle::N,喉,gola
18,Kehle::N,喉,gorja
19,Hals::N,首,coll
20,Genick::N,首,nuca
21,Kopf::N,頭,cap
22,Rücken::N,背中,esquena
23,Bauch::N,腹,panxa
24,Bauch::N,お腹,panxa
25,Nabel::N,へそ,llombrígol
26,Busen::N,乳房,pit
27,Busen::N,乳房,mama
28,Brust::N,胸,pit
29,Schulter::N,肩,espatlla
30,Arm::N,腕,braç
31,Ellenbogen::N,肘,colze
32,Hand::N,手,mà
33,Handfläche::N,手のひら,palma
34,Finger::N,指,dit
35,Fingernagel::N,爪,ungla
36,Nagel[Anatomie]::N,爪,ungla
37,Zeh::N,足の指,dit del peu
38,Fuß::N,足,peu
39,Ferse::N,かかと,taló
40,Knie::N,膝,genoll
41,Oberschenkel::N,上腿,cuixa
42,Bein::N,足,cama
43,Körper::N,体,cos
44,Haut::N,皮膚,pell
45,Blut::N,血,sang
46,Ader::N,血管,vena
47,Sehne::N,腱,tendó
48,Knochen::N,骨,os
49,Gehirn::N,脳,cervell
50,Herz::N,心,cor
51,Herz::N,心臓,cor
52,Magen::N,胃,estómac
53,Leber::N,肝臓,fetge
54,Atem::N,息,alè
55,Atem::N,息,hàlit
56,Atem::N,呼吸,alè
57,Atem::N,呼吸,hàlit
58,Hunger::N,空腹,fam
59,Hunger::N,空腹,gana
60,Träne::N,涙,llàgrima
61,Geschmack::N,味,gust
62,Geschmack::N,味,sabor
