,Concept_ID,tr,ku
0,Auge::N,göz,çav
1,Ohr::N,kulak,guh
2,Nase::N,burun,bêvil
3,Mund::N,ağız,dev
4,Zahn::N,diş,didan
5,Zunge::N,dil,ziman
6,Lippe::N,dudak,lêv
7,Wange::N,yanak,dêm
8,Wange::N,yanak,hinarik
9,Gesicht::N,yüz,rû
10,Stirn::N,alın,enî
11,Haar::N,saç,por
12,Schnurrbart::N,bıyık,simbêl
13,Bart::N,sakal,rih
14,Kinn::N,çene,zenî
15,Kiefer[Anatomie]::N,çene,arguşk
16,Kehle::N,boğaz,qirik
17,Hals::N,boyun,stû
18,Hals::N,boyun,qirik
19,Hals::N,gerdan,stû
20,Hals::N,gerdan,qirik
21,Genick::N,ense,stû
22,Kopf::N,baş,serî
23,Kopf::N,kafa,serî
24,Rücken::N,arka,pişt
25,Bauch::N,karın,ûr
26,Bauch::N,karın,zik
27,Nabel::N,göbek,navik
28,Busen::N,koyun,sîng
29,Brust::N,göğüs,sîng
30,Schulter::N,omuz,mil
31,Arm::N,kol,çepil
32,Ellenbogen::N,dirsek,enîşk
33,Hand::N,el,dest
34,Handfläche::N,avuç,kefadest
35,Handfläche::N,el ayası,kefadest
36,Finger::N,parmak,tilî
37,Fingernagel::N,el tırnağı,neynuk
38,Nagel[Anatomie]::N,tırnak,bizmar
39,Zeh::N,ayak parmağı,tilî linga
40,Fuß::N,ayak,ling
41,Ferse::N,topuk,pahnî
42,Knie::N,diz,kabok
43,Oberschenkel::N,uyluk,rahn
44,Bein::N,bacak,çip
45,Körper::N,vücut,laş
46,Körper::N,vücut,gowde
47,Haut::N,cilt,çerm
48,Blut::N,kan,xwîn
49,Ader::N,damar,reh
50,Sehne::N,kiriş,reh
51,Knochen::N,kemik,hestî
52,Gehirn::N,beyin,mêjî
53,Herz::N,kalp,dil
54,Herz::N,yürek,dil
55,Magen::N,mide,navêş
56,Leber::N,karaciğer,kezeb
57,Atem::N,nefes,hilm
