,Concept_ID,av,uk
0,Ohr::N,гӏин,вухо
1,Nase::N,мегӏер,ніс
2,Mund::N,кӏал,рот
3,Zahn::N,гӏус,зуб
4,Zunge::N,мацӏ,язик
5,Lippe::N,кӏветӏ,губа
6,Wange::N,гӏоно,щока
7,Gesicht::N,гьумер,обличчя
8,Stirn::N,нодо,лоб
9,Haar::N,рас,волосся
10,Schnurrbart::N,михъ,вуса
11,Bart::N,мегеж,борода
12,Kinn::N,нилъу,підборіддя
13,Kiefer[Anatomie]::N,чанагъ,щелепа
14,Kehle::N,щекъер,горло
15,Hals::N,габур,шия
16,Genick::N,гъванща,потилиця
17,Kopf::N,бетӏер,голова
18,Rücken::N,мугъ,спина
19,Bauch::N,чехь,живіт
20,Nabel::N,цӏину,пупок
21,Busen::N,керен,груди
22,Brust::N,керен,груди
23,Schulter::N,гъажазубетӏер,плече
24,Arm::N,гъеж,рука
25,Ellenbogen::N,гӏункӏрукь,лікоть
26,Hand::N,квер,рука
27,Handfläche::N,огъохъат,долоня
28,Handfläche::N,жанисахъат,долоня
29,Finger::N,килищ,палець
30,Fingernagel::N,малъ,ніготь
31,Nagel[Anatomie]::N,малъ,ніготь
32,Zeh::N,килищ,палець на нозі
33,Fuß::N,хӏетӏ,нога
34,Fuß::N,хӏетӏе,нога
35,Ferse::N,эгъе,п’ятка
36,Knie::N,наку,коліно
37,Oberschenkel::N,мачӏ,стегно
38,Bein::N,бох,нога
39,Körper::N,къаркъала,тіло
40,Haut::N,тӏом,шкіра
41,Blut::N,би,кров
42,Ader::N,бидурихь,вена
43,Knochen::N,ракьа,кістка
44,Gehirn::N,гӏадалнах,мозок
45,Herz::N,ракӏ,серце
46,Magen::N,кванирукъ,шлунок
47,Leber::N,тӏул,печінка
48,Atem::N,хӏухь,дихання
49,Hunger::N,ракъи,голод
50,Träne::N,магӏу,сльоза
51,Geschmack::N,тату,смак
52,Geruch::N,махӏ,запах
53,Schlaf::N,макьу,сон
54,Schlaf::N,макьу,сплячка
55,Traum::N,макьу,сон
56,Himmel::N,зоб,небо
57,Sonne::N,бакъ,сонце
58,Mond::N,моцӏ,місяць
59,Stern::N,цӏва,зірка
60,Luft::N,гьава,повітря
61,Wind::N,гьури,вітер
62,Welle::N,карачел,хвиля
63,Wasser::N,лъим,вода
64,Stein::N,гьецӏо,камінь
65,Boden::N,ракь,ґрунт
66,Erde::N,ракь,земля
67,Erde::N,дуниял,земля
68,Staub::N,хӏур,пил
69,Rauch::N,кӏкӏуй,дим
70,Feuer::N,цӏа,вогонь
71,Licht::N,канлъи,світло
72,Schatten::N,рагӏад,тінь
73,Wetter::N,гьава-бакъ,погода
74,Nebel::N,гӏодобнакӏкӏ,туман
75,Wolke::N,накӏкӏ,хмара
76,Regen::N,цӏад,дощ
77,Schnee::N,гӏазу,сніг
78,Eis::N,цӏер,лід
79,Frost::N,замгьари,мороз
80,Kälte::N,квач,холод
81,Hitze::N,багӏари,жар
82,Raureif::N,мартӏ,іній
83,Regenbogen::N,нур,райдуга
84,Regenbogen::N,чамбара,райдуга
85,Donner::N,гъугъай,грім
86,Donner::N,гъугъади,грім
87,Strömung::N,чвахи,струмина
88,Tropfen::N,резел,крапля
89,Tropfen::N,тӏинкӏ,крапля
90,Tropfen::N,къатӏра,крапля
91,Tropfen::N,тӏенкӏел,крапля
92,Schaum::N,полоп,піна
93,Schmutz::N,чороклъи,бруд
94,See::N,хӏор,озеро
95,Sumpf::N,хьуцӏ,драговина
96,Wiese::N,мегъ,луг
97,Wiese::N,мегъ,лука
98,Wiese::N,гӏурдаллъи,луг
99,Wiese::N,гӏурдаллъи,лука
100,Wald::N,рохь,ліс
101,Hügel::N,гохӏ,горб
102,Anhöhe::N,сийитма,височина
103,Berg::N,мегӏер,гора
104,Gipfel::N,тӏогь,вершина
105,Höhle::N,нохъо,печера
106,Abhang::N,лабаллъи,схил
107,Quelle::N,ицц,джерело
108,Bach::N,лъар,струмок
109,Fluss::N,гӏор,річка
110,Ufer::N,рагӏал,берег
111,Küste::N,рагӏал,узбережжя
112,Festland::N,ракь,суша
113,Festland::N,ракъдаллъи,суша
114,Meer::N,ралъад,море
115,Bucht::N,кӏветӏ,бухта
116,Bucht::N,кӏветӏ,затока
117,Insel::N,чӏинкӏиллъи,острів
118,Blume::N,тӏегь,квітка
119,Gras::N,хер,трава
120,Wurzel::N,кьибил,корінь
121,Baum::N,гъветӏ,дерево
122,Stamm::N,рохти,стовбур
123,Rinde::N,макъар,кора
124,Ast::N,ноцӏ,гілка
125,Zweig::N,гӏаркьел,галузь
126,Blatt::N,тӏамах,лист
127,Birke::N,мах,береза
128,Birke::N,махигъветӏ,береза
129,Kiefer[Baum]::N,накӏкӏигъветӏ,сосна
130,Weide[Baum]::N,рицӏцӏ,верба
131,Weide[Baum]::N,рицӏцӏигъветӏ,верба
132,Tanne::N,ёлка,ялиця
133,Horn::N,лълъар,ріг
134,Feder::N,хӏули,перо
135,Fell::N,тӏом,хутро
136,Fell::N,цӏоко,хутро
137,Flügel::N,кваркьи,крило
138,Klaue::N,галъ,кіготь
139,Kralle::N,квачӏ,лапа
140,Kralle::N,катиквачӏ,лапа
141,Schwanz::N,рачӏ,хвіст
142,Ei::N,хоно,яйце
143,Nest::N,бусен,гніздо
144,Bau::N,каратӏ,лігво
145,Tier::N,хӏайван,тварина
146,Herde::N,рехъен,стадо
147,Herde::N,рехъед,стадо
148,Kuh::N,гӏака,корова
149,Bulle::N,оц,бик
150,Bulle::N,оц,бугай
151,Pferd::N,чу,кінь
