,Concept_ID,mdf,vep
0,Auge::N,сельме,sil'm
1,Ohr::N,пиле,korv
2,Nase::N,шалхка,nena
3,Mund::N,курга,su
4,Zahn::N,пей,pi
5,Zahn::N,пей,hambaz
6,Zunge::N,кяль,kel'
7,Lippe::N,търва́,hul'
8,Wange::N,щёка,modpolišk
9,Gesicht::N,шама,mod
10,Stirn::N,коня,oc
11,Haar::N,шя́ярь,tuk
12,Haar::N,шя́ярь,hibuz
13,Schnurrbart::N,уса́,habinod
14,Bart::N,сакал,bard
15,Kinn::N,ула,löug
16,Kiefer[Anatomie]::N,саласка,hambazlu
17,Kehle::N,кълдома,kurk
18,Kehle::N,кърга́парь,kurk
19,Hals::N,сялдаз,kagl
20,Genick::N,шовонь,tagarai
21,Kopf::N,пря,pä
22,Rücken::N,копорь,sel'g
23,Bauch::N,пеке,vac
24,Bauch::N,пеке,koht
25,Nabel::N,по́кон,naba
26,Busen::N,потя,niža
27,Brust::N,мяште,rind
28,Schulter::N,лафту,oug
29,Arm::N,кядь,käzi
30,Ellenbogen::N,кенерьба́карь,künambruz
31,Hand::N,кядь,käzi
32,Hand::N,кядь,käzitera
33,Handfläche::N,кядьлапш,kämen
34,Finger::N,сур,sor'm
35,Fingernagel::N,кенже,künz'
36,Nagel[Anatomie]::N,кенже,künz'
37,Zeh::N,пильгосу́р,barbaz
38,Fuß::N,пильге,jaug
39,Fuß::N,пильгелапа,jaug
40,Ferse::N,кочкяря,kand
41,Knie::N,эль,komb
42,Knie::N,эль,pol'v
43,Knie::N,пълма́нжа,komb
44,Knie::N,пълма́нжа,pol'v
45,Oberschenkel::N,пильгепукша,riiže
46,Bein::N,пильге,jaug
47,Körper::N,ро́нга,hibj
48,Körper::N,по́нда,hibj
49,Haut::N,киське,nahk
50,Blut::N,вер,čak
51,Blut::N,вер,veri
52,Ader::N,сан,son'
53,Ader::N,верза́н,son'
54,Sehne::N,коське сан,jände
55,Knochen::N,пакарь,lu
56,Gehirn::N,уй,aivod
57,Herz::N,седи,südäin
58,Magen::N,коткърдазь,südäikoht
59,Leber::N,макса,maks
60,Atem::N,лекома,hengaiduz
61,Atem::N,ваймонь тарксема,hengaiduz
62,Hunger::N,вачеши,näl'g
63,Träne::N,сельмове́дь,kündal'
64,Geschmack::N,таньф,magu
65,Geruch::N,шине,haju
66,Schlaf::N,удома́,uni
67,Traum::N,он,unikuva
68,Himmel::N,менель,taivaz
69,Sonne::N,ши,päiväine
70,Mond::N,ков,kudmaine
71,Stern::N,тяште,tähtaz
72,Luft::N,кожф,il'm
73,Wind::N,варма,döl
74,Wind::N,варма,tullei
75,Welle::N,тавла,ald
76,Welle::N,тавла,laineh
77,Wasser::N,ведь,vezi
78,Stein::N,кев,kivi
79,Boden::N,мода,ma
80,Boden::N,мода,pohj
81,Boden::N,потмакс,ma
82,Boden::N,потмакс,pohj
83,Erde::N,мода,ma
84,Erde::N,мастор,ma
85,Staub::N,пуль,pölü
86,Rauch::N,качам,savu
87,Funke::N,ця́тка,kibin
88,Feuer::N,тол,lämoi
89,Licht::N,ва́лда,vauktuz
90,Schatten::N,цильф,pil'vez
91,Schatten::N,цильф,kuvahaine
92,Wetter::N,уша,sä
93,Nebel::N,тума́н,sumeg
94,Wolke::N,ковол,pil'v
95,Regen::N,пизем,vihm
96,Schnee::N,лов,lumi
97,Eis::N,эй,jä
98,Frost::N,ке́льме,hala
99,Frost::N,ке́льме,pakaine
100,Kälte::N,якшама,vilu
101,Hitze::N,пси,räk
102,Raureif::N,леш,hüde
103,Regenbogen::N,а́тямъёнга,jumalanbembel'
104,Donner::N,атям,juru
105,Donner::N,атям,jumalanjuru
106,Strömung::N,шудема́,joksmuz
107,Tropfen::N,путькс,tilkuine
108,Tropfen::N,пътняфкс,tilkuine
109,Schaum::N,шов,vaht
110,Schmutz::N,ърда́з,redu
111,Schmutz::N,ърда́з,pačak
112,See::N,эрьхке,järv
113,Sumpf::N,шяй,so
114,Moor::N,шяй,so
115,Wiese::N,луга,nit
116,Wald::N,вирь,mec
117,Hügel::N,губо́р,kukaz
118,Hügel::N,пандоня,kukaz
119,Anhöhe::N,губо́р,kukaz
120,Berg::N,панда,mägi
121,Gipfel::N,пря,ladv
122,Höhle::N,у́нда,mägionduz
123,Abhang::N,па́нда ша́ма,paute
124,Quelle::N,эшиня,lähte
125,Bach::N,шудерькс,oja
126,Fluss::N,ляй,jogi
127,Ufer::N,търва́,rand
128,Küste::N,ляйтърва́,randišt
129,Festland::N,мода,kuivma
130,Meer::N,моря,meri
131,Bucht::N,ведьуське,laht
132,Insel::N,цёнга,sar'
133,Blume::N,панчф,änik
134,Gras::N,тише,hein
135,Wurzel::N,юр,jur'
136,Wurzel::N,ункс,jur'
137,Baum::N,шуфта,pu
138,Stamm::N,ро́нга,tüvi
139,Rinde::N,кер,kor'
