,Concept_ID,eu,el
0,Auge::N,begi,μάτι
1,Auge::N,begi,οφθαλμός
2,Ohr::N,belarri,αυτί
3,Nase::N,sudur,μύτη
4,Mund::N,aho,στόμα
5,Zahn::N,hortz,δόντι
6,Zunge::N,mihi,γλώσσα
7,Lippe::N,ezpain,χείλος
8,Wange::N,masail,παρειά
9,Wange::N,masail,μάγουλο
10,Gesicht::N,aurpegi,πρόσωπο
11,Stirn::N,bekoki,μέτωπο
12,Haar::N,ile,μαλλιά
13,Haar::N,bilo,μαλλιά
14,Schnurrbart::N,bibote,μουστάκι
15,Schnurrbart::N,sudurpeko,μουστάκι
16,Bart::N,bizar,γένια
17,Kinn::N,kokots,πιγούνι
18,Kiefer[Anatomie]::N,masailezur,σαγόνι
19,Kehle::N,eztarri,λαρύγγι
20,Hals::N,sama,λαιμός
21,Genick::N,garondo,σβέρκος
22,Kopf::N,buru,κεφάλι
23,Rücken::N,bizkar,ράχη
24,Bauch::N,sabel,κοιλιά
25,Nabel::N,zilbor,αφαλός
26,Busen::N,titi,στήθος
27,Busen::N,ugatz,στήθος
28,Brust::N,bular,στήθος
29,Schulter::N,besaburu,ώμος
30,Arm::N,beso,χέρι
31,Arm::N,beso,μπράτςο
32,Ellenbogen::N,ukondo,αγκώνας
33,Hand::N,esku,χέρι
34,Handfläche::N,ahur,παλάμη
35,Finger::N,hatz,δάχτυλο
36,Fingernagel::N,azazkal,νύχι
37,Nagel[Anatomie]::N,azazkal,νύχι
38,Zeh::N,behatz,δάχτυλο του ποδιού
39,Fuß::N,oin,πόδι
40,Ferse::N,orpo,φτέρνα
41,Ferse::N,oinburu,φτέρνα
42,Knie::N,belaun,γόνατο
43,Oberschenkel::N,izter,μηρός
44,Bein::N,zango,πόδι
45,Körper::N,soin,σώμα
46,Körper::N,soin,κορμί
47,Haut::N,azal,πετσί
48,Blut::N,odol,αίμα
49,Ader::N,zain,φλέβα
50,Sehne::N,gihar-zain,νεύρο
51,Sehne::N,gihar-zain,τένοντας
52,Knochen::N,hezur,οστό
53,Knochen::N,hezur,κόκκαλο
54,Gehirn::N,garun,μυαλό
55,Gehirn::N,garun,εγκέφαλος
56,Gehirn::N,burmuin,μυαλό
57,Gehirn::N,burmuin,εγκέφαλος
58,Herz::N,bihotz,καρδιά
59,Magen::N,urdail,στομάχι
60,Leber::N,gibel,ήπαρ
61,Leber::N,gibel,συκωτί
62,Atem::N,hats,αναπνοή
63,Atem::N,arnasa,αναπνοή
64,Hunger::N,gose,πείνα
65,Träne::N,malko,δάκρυ
66,Geschmack::N,dasta,γεύση
67,Geruch::N,usain,οσμή
68,Geruch::N,usain,μυρωδία
69,Schlaf::N,lo,ύπνος
70,Traum::N,amets,όνειρο
71,Himmel::N,zeru,ουρανός
72,Sonne::N,eguzki,ήλιος
73,Mond::N,ilargi,σελήνη
74,Mond::N,ilargi,φεγγάρι
75,Stern::N,izar,άστρο
76,Stern::N,izar,αστέρι
