,Concept_ID,es,uz
0,Auge::N,ojo,ko'z
1,Ohr::N,oreja,quloq
2,Nase::N,nariz,burun
3,Mund::N,boca,og'iz
4,Zahn::N,diente,tish
5,Zunge::N,lengua,til
6,Lippe::N,labio,dudoq
7,Wange::N,mejilla,bet
8,Gesicht::N,cara,yuz
9,Stirn::N,frente,manglay
10,Haar::N,cabello,soch
11,Schnurrbart::N,bigote,mo'ylov
12,Bart::N,barba,soqol
13,Kinn::N,barbilla,ängak
14,Kiefer[Anatomie]::N,mandíbula,iyak
15,Kehle::N,garganta,bo'g'iz
16,Hals::N,cuello,bo'yin
17,Genick::N,nuca,gardan
18,Genick::N,cerviz,gardan
19,Kopf::N,cabeza,bosh
20,Rücken::N,espalda,orqa
21,Bauch::N,vientre,qorin
22,Nabel::N,ombligo,kindik
23,Busen::N,pecho,ämchak
24,Brust::N,pecho,ko'krak
25,Schulter::N,hombro,elka
26,Arm::N,brazo,bilak
27,Ellenbogen::N,codo,tirsak
28,Hand::N,mano,qo'l
29,Handfläche::N,palma,kaft
30,Finger::N,dedo,barmoq
31,Fingernagel::N,uña,tirnoq
32,Nagel[Anatomie]::N,uña,tirnoq
33,Zeh::N,dedo del pie,oyoq barmog'i
34,Fuß::N,pie,oyoq
35,Ferse::N,talón,tovon
36,Knie::N,rodilla,tiz
37,Oberschenkel::N,muslo,son
38,Bein::N,pierna,oyoq
39,Körper::N,cuerpo,badna
40,Haut::N,piel,teri
41,Blut::N,sangre,qon
42,Ader::N,vena,qon tomir
43,Sehne::N,tendón,tomir
44,Knochen::N,hueso,suyak
45,Gehirn::N,cerebro,miya
46,Gehirn::N,encéfalo,miya
47,Herz::N,corazón,qalb
48,Magen::N,estómago,oshqozon
49,Leber::N,hígado,bag'ir
50,Atem::N,aliento,dam
51,Hunger::N,hambre,ochlik
52,Träne::N,lágrima,yosh
53,Geschmack::N,gusto,tam
54,Geruch::N,olor,jid
55,Schlaf::N,sueño,uyqu
56,Traum::N,sueño,tush
57,Traum::N,ensueño,tush
58,Himmel::N,cielo,osmon
