,Concept_ID,ba,kl
0,Auge::N,күҙ,isi
1,Ohr::N,ҡолаҡ,siut
2,Nase::N,танау,
3,Mund::N,ауыҙ,paaq
4,Mund::N,ауыҙ,qaneq
5,Zahn::N,теш,kigut
6,Zunge::N,тел,oqaq
7,Lippe::N,ирен,qarloq
8,Wange::N,яцаҡтар,ersaq
9,Gesicht::N,бит,kiinaq
10,Stirn::N,маңлай,qaaq
11,Haar::N,сәс,meqqoq
12,Schnurrbart::N,мылтыҡ,
13,Bart::N,һаҡал,umik
14,Kinn::N,эйэк,talloq
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,alleroq
16,Kehle::N,тамаҡ,malaq
17,Hals::N,муйын,qungaseq
18,Genick::N,соңҡа,pukusuk
19,Kopf::N,баш,niaqoq
20,Rücken::N,арҡа,qimerlut
21,Bauch::N,ҡорһаҡ,naaq
22,Nabel::N,кендек,qalaseq
23,Busen::N,күкрәк,iviangeq
24,Brust::N,түш,iviangeq
25,Schulter::N,яурын,ersik
26,Schulter::N,яурын,assaqqoq
27,Arm::N,ҡул,taleq
28,Ellenbogen::N,терһәк,ikusik
29,Hand::N,ҡул,assak
30,Hand::N,ҡул суғы,assak
31,Handfläche::N,ус төбө,itumak
32,Finger::N,бармаҡ,inuak
33,Fingernagel::N,тырнаҡ,kikiak
34,Nagel[Anatomie]::N,тырнаҡ,kukik
35,Zeh::N,бармаҡ,isigak
36,Fuß::N,табан,
37,Ferse::N,үксә,kimmik
38,Knie::N,тубыҡ,seeqqoq
39,Oberschenkel::N,сандыр,uppat
40,Oberschenkel::N,сандыр,quttoraq
41,Bein::N,аяҡ,isigak
42,Körper::N,тән,timi
43,Haut::N,тире,mattak
44,Blut::N,ҡан,aak
45,Ader::N,тамыр,taqaq
46,Sehne::N,һеңер,ujalu
47,Sehne::N,һеңер,ujaloq
48,Sehne::N,тарамыш,ujalu
49,Sehne::N,тарамыш,ujaloq
50,Knochen::N,һойәк,saanikut
51,Gehirn::N,мейе,qarasaq
52,Herz::N,йорәк,uummat
53,Magen::N,ашҡаҙан,aqajaroq
54,Leber::N,бауыр,tinguk
55,Atem::N,һулыш,anerneq
56,Hunger::N,аслыҡ,kaanneq
57,Träne::N,күҙ иәше,qia
58,Träne::N,күҙ иәше,qiak
59,Geschmack::N,тәм,qilanaartuut
60,Geruch::N,еҫ,tipi
61,Geruch::N,еҫ,tipik
62,Schlaf::N,йоҡлау,
63,Traum::N,төш,sinnattoq
64,Traum::N,төш,sinnattugaq
65,Himmel::N,күк,qilak
66,Sonne::N,ҡояш,seqineq
67,Mond::N,ай,qaammat
68,Stern::N,йондоҙ,ulloriaq
69,Luft::N,һауа,silaannaq
70,Wind::N,ел,anori
71,Wind::N,ел,anorsarik
72,Welle::N,тулҡын,aalappaa
73,Wasser::N,һыу,imeq
74,Stein::N,таш,ujarak
75,Boden::N,тупраҡ,nateq
76,Erde::N,балсҡ,issoq
77,Staub::N,туҙан,pujualanerit
78,Staub::N,туҙан,pujoralanerit
79,Rauch::N,төтөн,iseq
80,Rauch::N,төтөн,pujoq
81,Funke::N,осҡон,illoorneq
82,Feuer::N,ут,inneq
83,Licht::N,яҡтылыҡ,qaamaneq
84,Schatten::N,күләгә,tarraq
85,Wetter::N,һауа торошо,sila
86,Nebel::N,төман,pujoq
87,Wolke::N,болот,nuia
88,Regen::N,ямғыр,sialuk
89,Schnee::N,ҡар,aput
90,Eis::N,боҙ,siku
91,Frost::N,һалҡын,issi
92,Frost::N,һалҡын,issik
93,Kälte::N,һыуыҡ,issi
94,Hitze::N,томра,kianneq
95,Hitze::N,томра,kiassuseq
96,Hitze::N,эҫелек,kianneq
97,Hitze::N,эҫелек,kiassuseq
98,Raureif::N,ҡырау,kaneq
99,Regenbogen::N,йәйғор,neriusaaq
100,Donner::N,күк күкрәү,kalleq
101,Strömung::N,ағым,
102,Tropfen::N,тамсы,kuseriarneq
103,Schaum::N,күбек,qapuk
104,Schmutz::N,батҡаҡ,minguk
105,See::N,күл,taseq
106,Sumpf::N,һаҙлык,maqulluk
107,Moor::N,һаҙ,
108,Wiese::N,болон,masarsuk
109,Wald::N,урман,
110,Hügel::N,түбә,qattuneq
111,Hügel::N,түбә,majuariaq
112,Hügel::N,түбә,majorajaaq
113,Hügel::N,түбә,qaqqannguaq
114,Anhöhe::N,түбә,
115,Anhöhe::N,ҡалҡыулыҡ,
116,Berg::N,тау,qaqqaq
117,Gipfel::N,түбә,
118,Höhle::N,мәмерйә,qaarusuk
119,Abhang::N,ипкен,ippik
120,Abhang::N,ипкен,sivinganeq
121,Abhang::N,ипкен,sivingajaaq
122,Abhang::N,ипкен,kussangajaaq
123,Quelle::N,шишмә,
124,Bach::N,шишмә,kuunnguaq
125,Fluss::N,йылға,kuuk
126,Ufer::N,яр,sissap sinaa
127,Küste::N,яр буйы,sineriak
128,Festland::N,ҡоро ер,
129,Meer::N,диңгез,imaq
130,Bucht::N,бухта,ikeq
131,Bucht::N,бухта,kangerluk
132,Bucht::N,бухта,kangerliumaneq
133,Insel::N,үтрау,qeqertaq
134,Blume::N,сәскә,naasoq
135,Gras::N,үлән,ivigaq
136,Wurzel::N,тамыр,niulutaq
137,Baum::N,ағас,orpik
138,Stamm::N,олон,kanaartaq
139,Stamm::N,көбәк,kanaartaq
140,Rinde::N,ҡабыҡ,ameraq
141,Ast::N,ботаҡ,avalequt
142,Zweig::N,ботаҡ,avalequt
143,Zweig::N,тармаҡ,avalequt
144,Blatt::N,япраҡ,pilutaq
145,Birke::N,ҡайын,patitsit
146,Kiefer[Baum]::N,ҡарғай,
147,Weide[Baum]::N,тал,palleq
148,Tanne::N,шыршы,orsuerneq
149,Horn::N,мөғөҙ,nassuk
150,Feder::N,ҡауырһын,suluk
151,Fell::N,тире,ameq
152,Flügel::N,ҡанат,suluk
153,Flügel::N,ҡанат,isaroq
154,Klaue::N,тырнаҡ,kukik
155,Kralle::N,аяҡ,kukik
156,Schwanz::N,ҡойроҡ,pamioq
157,Schwanz::N,ҡойроҡ,paperuusaq
158,Ei::N,йомортҡа,mannik
159,Nest::N,оя,ullut
160,Bau::N,оң,ini
161,Tier::N,жайуан,uumasoq
162,Tier::N,йыртҡыс,uumasoq
163,Herde::N,көтөү,unguukkat
164,Kuh::N,һыйыр,ussik
165,Bulle::N,үгеҙ,angukulak
166,Bulle::N,үгеҙ,anguteralak
167,Bulle::N,үгеҙ,angutikulooq
168,Pferd::N,ат,
169,Schaf::N,һарыҡ,sava
170,Schwein::N,сусҡа,puuluki
171,Hund::N,эт,qimmeq
172,Katze::N,бесәй,puisaaq
173,Bär::N,айыу,allaq
174,Eichhörnchen::N,тейен,sissinnguaq
175,Elch::N,мышы,
176,Fuchs::N,төлкө,terianniaq
177,Hase::N,ҡуян,ukaleq
178,Maus::N,сысҡан,teriannguaq
179,Wolf::N,бүре,amaroq
180,Vogel::N,ҡош,timmiaq
181,Schwarm::N,көтөү,
182,Huhn::N,тауыҡ,kukkukooq
183,Huhn::N,тауыҡ,marloraaqaaq
184,Hahn::N,әтәс,kiasiusaq
185,Gans::N,ҡаҙ,nerleq
186,Adler::N,бөркөт,nattoralik
187,Ente::N,өйрәк,
188,Eule::N,өкө,uppik
189,Eule::N,ябалаҡ,uppik
190,Kranich::N,торна,qorlorfik
191,Krähe::N,ҡарға,tuluatsiaq
192,Kuckuck::N,кәкүк,kukkooq
193,Schwan::N,аҡҡош,qussuk
194,Fisch::N,балыҡ,aalisagaq
195,Barsch::N,алабуға,
196,Hecht::N,суртан,
197,Schlange[Tier]::N,йылан,pulateriarsuk
198,Schlange[Tier]::N,йылан,pulateriaarsuk
199,Wurm::N,селяүсен,
200,Spinne::N,үрмәксе,aasiaq
201,Spinne::N,үрмәксе,nissavaarsuk
202,Ameise::N,ҡырмыҫҡа,uniaaluk
203,Laus::N,бет,kumak
204,Mücke::N,серәкәй,ippernaq
205,Fliege::N,себен,ippernaq
206,Schmetterling::N,күбәләк,paluaq
207,Schmetterling::N,күбәләк,pakkaluaq
208,Schmetterling::N,күбәләк,utsuppaluaq
209,Schmetterling::N,күбәләк,taqaleqisaaq
210,Beere::N,еләк,paarmaq
211,Beere::N,еләк,paarngaq
212,Apfel::N,алма,iipili
213,Pilz::N,бәшмәк,anngiusaq
214,Zwiebel::N,һуган,uanitsoq
215,Saat::N,орлоҡ,naatsiiassaq
216,Korn::N,иген,maannineq
217,Heu::N,бесән,
218,Schale::N,ҡабыҡ,niutsivik
219,Schale::N,ҡабыҡ,ilulissaq qaartussaq
220,Grube::N,соҡор,itersaq
221,Falle::N,тоҙак,pualavoq
222,Falle::N,ҡапҡан,pualavoq
223,Schlinge::N,тоҙак,orseq
224,Schlinge::N,тоҙак,norloq
225,Spur::N,әҫер,tumaa
226,Asche::N,көл,arsat
227,Dreck::N,батҡаҡ,minguk
228,Eisen::N,тимер,savimineq
229,Eisen::N,тимер,saffiugassaq
230,Gold::N,алтын,kuulti
231,Silber::N,көмөш,siilviuvoq
232,Kohle::N,күмер,aamarsuit aamaruutissat
233,Glas::N,быяла,igalaaq
234,Glas::N,быяла,imertarfik
235,Glas::N,быяла,igalaamineq
236,Lehm::N,балсыҡ,marraq
237,Sand::N,ҡом,sioqqat
238,Mensch::N,кеше,inuk
239,Mensch::N,кеше,silamiu
240,Mann::N,ир,angut
241,Frau::N,ҡатын,arnaq
242,Kind::N,бала,meeraq
243,Junge::N,малай,nukappiaraq
244,Mädchen::N,ҡыҙ,arnannguaq
245,Mädchen::N,ҡыҙыҡай,arnannguaq
246,Familie::N,ғаилә,ilaqutakka
247,Familie::N,ғаилә,ilaqutariit
248,Großvater::N,олатай,aatak
249,Großmutter::N,әбәй,aanaq
250,Eltern::N,ата-әсә,angajoqqaat
251,Vater::N,атай,ataata
252,Vater::N,атай,ataataq
253,Mutter::N,әсә,anaana
254,Sohn::N,ул,erneq
255,Tochter::N,ҡыҙ,panik
256,Bruder::N,агай,ani
257,Bruder::N,агай,aqqaluk
258,Bruder::N,агай,qatanngut
259,Schwester::N,алай,naja
260,Schwester::N,алай,aleqa
261,Schwester::N,алай,qatanngut
262,Schwester::N,һеңле,naja
263,Schwester::N,һеңле,aleqa
264,Schwester::N,һеңле,qatanngut
265,Onkel::N,ағай,akkak
266,Tante::N,апай,aja
267,Tante::N,апай,ajak
268,Tante::N,апай,atsak
269,Ehemann::N,ир,ui
270,Ehefrau::N,ҡатын,nuliaq
271,Freude::N,шатлыҡ,tipaatsussuseq
272,Freude::N,ҡыуаныс,tipaatsussuseq
273,Gelächter::N,көлөү,illaq
274,Glück::N,бәхет,usornaat
275,Glück::N,бәхет,usornarsuseq
276,Kummer::N,ҡайғы,
277,Wunsch::N,теләк,kissaat
278,Lust::N,әүәҫлек,illigussuseq
279,Lust::N,әүәҫлек,piummaseq
280,Geist::N,аң,anerneq
281,Geist::N,аң,toornaq
282,Geist::N,рух,anerneq
283,Geist::N,рух,toornaq
284,Gedanke::N,уй,isumassaq
285,Gedanke::N,фекер,isumassaq
286,Gedächtnis::N,хәтер,eqqaamannissuseq
287,Verstand::N,аҡыл,isuma
288,Verstand::N,аҡыл,sianissut
289,Verstand::N,аҡыл,misigissut
290,Verstand::N,аҡыл,sianissuseq
291,Verstand::N,аҡыл,silaqassuseq
292,Sinn::N,мәғәня,isuma
293,Grund::N,сәбәп,patsit
294,Wahrheit::N,дөрөҫлөк,sallusuissut
295,Gespräch::N,әңгәмә,
296,Märchen::N,әкиәт,oqalualaarut
297,Märchen::N,әкиәт,oqaluasaaq
298,Erzählung::N,хикәйә,oqaluttuaq
299,Nachricht::N,хәбәр,oqaassut
300,Nachricht::N,хәбәр,oqqersuut
301,Neuigkeit::N,яңылыҡ,tusarnartaq
302,Name::N,исем,ateq
303,Rätsel::N,йомаҡ,nalorsitsaarut
304,Rede::N,телмәр,oqaluuseq
305,Sprache::N,тел,oqaatsit
306,Sprache::N,телмәр,oqaatsit
307,Stimme::N,тауыш,erinaq
308,Stimme::N,тауыш,qarluuseq
309,Wort::N,һүҙ,oqaasii
310,Zeichen::N,билдә,nalunaaqqut
311,Ruf::N,саҡырыу,qaaqqussut
312,Lärm::N,шаулау,perpaluk
313,Laut::N,тауыш,torsukattak
314,Ton::N,яңғырау,erinaq
315,Lied::N,йыр,taalliaq
316,Lied::N,йыр,erinarsuut
317,Ruhe::N,ял,qatsunganeq
318,Ruhe::N,тыныслыҡ,qatsunganeq
319,Leute::N,кешеләр,inuiak
320,Leute::N,кешеләр,inuiaqatigiit
321,Volk::N,халҡ,inuiaat
322,Arbeit::N,эш,suliaq
323,Gast::N,ҡунаҡ,qaaqqusaq
324,Geschenk::N,бүләк,pajugut
325,Spiel::N,уйын,
326,Gesellschaft::N,йәмғиәт,
327,Hilfe::N,ярҙам,annertoqqut
328,Freund::N,дуҫ,tiliaq
329,Freund::N,дуҫ,ikinngut
330,Kamerad::N,иптәш,tiliaq
331,Kamerad::N,иптәш,ikinngut
332,Angelegenheit::N,әш,
333,Anzahl::N,һан,
334,Art::N,төр,ileqquuseq
335,Stück::N,киҫәк,nakkaalaniku
336,Teil::N,өлөш,tassiaasat
337,Hälfte::N,ярты,affaq
338,Kreis::N,түңәрәк,kaajaluinneq or kaajaluitsoq
339,Kreuz::N,тәре,sanningasulik
340,Linie::N,һыҙыҡ,tittaq
341,Linie::N,һыҙыҡ,titarneq
342,Strich::N,һыҙат,
343,Abstand::N,ара,aku
344,Abstand::N,ара,ikiaq
345,Entfernung::N,алыҫлыҡ,asi
346,Gegend::N,урын,nuna
347,Platz::N,арауыҡ,ini
348,Platz::N,арауыҡ,inissaq
349,Ort::N,ерҙәр,sumiiffik
350,Ort::N,урындар,sumiiffik
351,Ort::N,эш урыны,sumiiffik
352,Seite::N,яҡ,saneraq
353,Mitte::N,урталыҡ,qiteq
354,Gegenstand::N,нәмә,
355,Sache::N,нәмә,pigisaq
356,Sache::N,әйбер,pigisaq
357,Rand::N,сит,sini
358,Rand::N,сит,akerfineq
359,Kante::N,ҡабырға,akerfineq
360,Kante::N,ян,akerfineq
361,Ecke::N,мөйөш,teqeqqoq
362,Ecke::N,мөйөш,tikeqqoq
363,Spitze::N,ос,inngik
364,Ende::N,аҙаҡ,isu
365,Loch::N,тишек,putu
366,Winkel::N,мөйөш,teqeqqorissaat
367,Muster::N,биҙәк,ilisserut
368,Größe::N,ҙурлыҡ,angissuseq
369,Länge::N,оҙонлоҡ,takissuseq
370,Höhe::N,бейеклек,
371,Gewicht::N,үлсәү,oqimaalutaq
372,Menge::N,һан,amerlassuseq
373,Haufen::N,өйөм,eqimattat
374,Reihe::N,рәт,allunaasaq
375,Boot::N,кәмә,qajaq
376,Boot::N,кәмә,angallat
377,Boot::N,кәмә,umiatsiaq
378,Ruder::N,ишкәк,iput
379,Schlitten::N,сана,qamutit
380,Schlitten::N,сана,qimusseq
381,Ski::N,саңгы,ataarut
382,Lagerfeuer::N,костер,
383,Last::N,ауырлыҡ,nammagaq
384,Gang::N,барыу,
385,Schritt::N,аҙым,allorneq
386,Norden::N,төньяҡ,avannaq
387,Süden::N,көньяҡ,qava
388,Süden::N,көньяҡ,kujat
389,Süden::N,көньяҡ,kujataa
390,Westen::N,көнбайыш,kitaa
391,Osten::N,көнсығыш,kangi
392,Holz::N,үағас,qisuk
393,Brett::N,таҡта,salliligaq
394,Platte::N,плита,qaateq
395,Stütze::N,терәк,ajagutaq
396,Stütze::N,терәк,ajaagutaq
397,Stange::N,кәртә,kaaviffik
398,Stock::N,таяҡ,ajaappissat
399,Stab::N,ҡолға,ajaappissat
400,Rohr::N,торба,sullulik
401,Haus::N,өй,illu
402,Haus::N,йорт,illu
403,Heim::N,өй,
404,Ofen::N,мейес,kissarsuut
405,Fußboden::N,енес,nateq
406,Tisch::N,өҫтәл,allattarfik
407,Stuhl::N,ултырғыс,issiavik
408,Stuhl::N,ултырғыс,issiaffik
409,Wiege::N,бишек,uaasoq
410,Bett::N,карауат,nallavik
411,Regal::N,кәштә,ilisivik
412,Kiste::N,йәшинк,sakissat
413,Kiste::N,йәшинк,illerfiusaq
414,Fenster::N,тәҙрә,aki
415,Fenster::N,тәҙрә,igalaaq
416,Tür::N,ишек,matu
417,Tor::N,ҡапҡа,isaaffik
418,Zaun::N,ҡойма,saputit
419,Dach::N,түбә,qaliaq
420,Dach::N,ҡыйыҡ,qaliaq
421,Leiter::N,баҫҡыс,tummeqqat
422,Leiter::N,баҫҡыс,majuartarfiit
423,Besen::N,һепертке,saligutit
424,Spaten::N,көрәк,nivaataq
425,Schaufel::N,көрәк,nivaataq
426,Gabel::N,сәнске,qilluaq
427,Gabel::N,сәнске,ajassaatit
428,Löffel::N,ҡалаҡ,alussaat
429,Messer::N,бысаҡ,savik
430,Nagel::N,сөй,kukik
431,Netz::N,ау,anguffaseq
432,Haken::N,ыргаҡ,nissik
433,Haken::N,ыргаҡ,qarsorsaq
434,Haken::N,ыргаҡ,qarsorsartoq
435,Griff::N,тотҡа,ipi
436,Schloss::N,йоҙаҡ,illussaarsuaq
437,Bild::N,картина,assiliaq
438,Figur::N,һын,kisitsit
439,Puppe::N,ҡурсаҡ,inuusaq
440,Beutel::N,тоҡ,
441,Bündel::N,төргәк,qilertaq
442,Tasche::N,сумка,pooqattaq
443,Eimer::N,биҙрә,
444,Deckel::N,ҡапҡас,matu
445,Geschirr::N,һауыт-һаба,anut
446,Sack::N,тоҡ,
447,Tasse::N,сынаяҡ,tiitorfik
448,Tasse::N,сынаяҡ,tiitorfiup ilorlia
449,Topf::N,кәстрүл,qoqqoq
450,Kessel::N,ҡаҙан,uunnaavik
451,Essen::N,ашау,igaaq
452,Nahrung::N,аҙыҡ,neqissaq
453,Speise::N,аш,nerisassat
454,Fleisch::N,ит,neqi
455,Getreide::N,иген,maannineq
456,Getreide::N,ашлыҡ,maannineq
457,Brei::N,бутҡа,
458,Brot::N,икмәк,iffit
459,Brot::N,икмәк,iffiaq
460,Scheibe::N,телем,igalaassiaq
461,Fett::N,май,tarnutissaq
462,Fett::N,май,tarnutissiaq
463,Butter::N,май,punneq
464,Öl::N,май буяуы,uulia
465,Salz::N,тоҙ,taratsut
466,Suppe::N,һурпа,qajoq
467,Honig::N,бал,tungusunnitsuut
468,Milch::N,һөт,immuk
469,Tee::N,сәй,tii
470,Tee::N,сәй,teeq
471,Leder::N,күн,
472,Wolle::N,йөн,nuersagassiaq
473,Stoff::N,туҡыма,milliaq
474,Stoff::N,туҡыма,qarlissiaq
475,Nadel::N,энә,meqqut
476,Faden::N,еп,ujalussiaq
477,Knopf::N,төймә,attat
478,Knoten::N,төйөн,akeroq
479,Knoten::N,төйөн,qilerneq
480,Farbe::N,буяу,qalipaat
481,Kleidung::N,кейем,atisat
482,Kleidung::N,кейем,annoraaq
483,Hemd::N,күлдәк,ilupaaq
484,Kragen::N,яға,qungasiinnaq
485,Ärmel::N,ең,aaq
486,Hose::N,салбар,qarliit
487,Gürtel::N,ҡайыш,qiterut
488,Gürtel::N,ҡайыш,unngersaq
489,Mütze::N,бүрк,nasaq
490,Schuh::N,туфли,skuu
491,Schuh::N,туфли,ikernuk
492,Schuh::N,туфли,ateraasaq
493,Stiefel::N,итек,kamik
494,Ring::N,йөҙөк,assammiu
495,Ring::N,балдаҡ,assammiu
496,Band::N,таҫма,qilerutissiaq
497,Kamm::N,тараҡ,illaagutit
498,Kamm::N,тараҡ,illaajaatit pl.
499,Spiegel::N,көзгө,tarrarsuut
500,Riemen::N,ҡайыш,allunaaq
501,Schnur::N,бау,kujaaq
502,Schnur::N,бау,allunaasaq
503,Leine::N,бау,aleq
504,Decke::N,одеяд,qipik
505,Kissen::N,мендәр,akit
506,Tuch::N,яулыҡ,qarlissiaq
507,Handtuch::N,таҫтамал,allarut
508,Handtuch::N,таҫтамал,allarterut
509,Kraft::N,көс,pissak
510,Stärke::N,көс,qerattarsaat
511,Gesundheit::N,һаулыҡ,peqqisusseq
512,Krankheit::N,сир,nappaat
513,Krankheit::N,ауырыу,nappaat
514,Schmerz::N,һыҙлау,anniaat
515,Schmerz::N,әрнеү,anniaat
516,Wunde::N,йәрәхәт,iki
517,Fieber::N,тапма,nappaat qanimanartoq
518,Fieber::N,биҙгәк,nappaat qanimanartoq
519,Arznei::N,дарыу,imigassaq
520,Brücke::N,күпер,ikaartarfik
521,Brunnen::N,ҡоҙоҡ,tissaluttuliaq
522,Weide::N,көтөүлек,masarsuk
523,Pfad::N,һуҡмаҡ,aqqut
524,Weg::N,юл,aggerfik
525,Straße::N,урам,aqqusineq
526,Dorf::N,ауыл,nunaqarfik
527,Stadt::N,ҡала,illorpaat
528,Stadt::N,ҡала,illorpalik
529,Brief::N,хат,allagarsiaq
530,Buch::N,китап,atuakkat
531,Buch::N,китап,mappersagaq
532,Buch::N,кенәгә,atuakkat
533,Buch::N,кенәгә,mappersagaq
534,Buchstabe::N,хәреф,naqinneq
535,Zeitung::N,гәзит,aviisi
536,Leben::N,йәшәү,inuussuseq
537,Tod::N,үлем,toqu
538,Tod::N,үлем,toquneq
539,Grab::N,ҡәбер,iliveq
540,Grab::N,ҡәбер,illissat
541,Kirche::N,сиркәү,oqaluffik
542,Sünde::N,гөнаһ,ajorti
543,Gott::N,алла,
544,Gott::N,хоҙай,
545,Arbeiter::N,эшсе,sulisoq
546,Chef::N,башлыҡ,ittoqut
547,Meister::N,оҫта,naalagaq
548,Arzt::N,врач,katsorsaasoq
549,Lehrer::N,уҡытыусы,ilinniartitsisoq
550,Geld::N,аҡса,aningaasat
551,Geschäft::N,эш,niuertarfik
552,Laden::N,магазин,niuertarfik
553,Preis::N,хаҡ,aki
554,Ware::N,тауар,qaliata pii
555,Ware::N,тауар,nioqqutissaq
556,Nutzen::N,файҙа,iluaqut
557,Reichtum::N,байлыҡ,
558,Welt::N,донъя,nunarsuaq
559,Land::N,ил,nuna
560,Staat::N,дәүләт,
561,König::N,король,kunngi
562,Macht::N,власть,pissaassuseq
563,Grenze::N,сик,killik
564,Krieg::N,һуғыш,sorsunneq
565,Feind::N,йылан,akeraq
566,Feind::N,йылан,akerartorti
567,Feind::N,йылан,qinngarsuisoq
568,Gewalt::N,көслөк,
569,Kampf::N,көрәш,sorsunneq
570,Bogen[Waffe]::N,йәйә,
571,Pfeil::N,уҡ,qalugiusaq
572,Gewehr::N,мылтыҡ,aallaat
573,Fehler::N,хата,kukkuneq
574,Fehler::N,хата,paarlaappaa
575,Lüge::N,ялған,
576,Schaden::N,зыян,
577,Schaden::N,зарар,
578,Unglück::N,ҡаза,perluut
579,Schuld::N,ғәйеп,akiitsugaq
580,Schuld::N,ғәйеп,akiligassaq
581,Alter::N,йәш,utoqqaq
582,Schluss::N,һуң,isu
