,Concept_ID,ro,it
0,Auge::N,ochi,occhio
1,Ohr::N,ureche,orecchio
2,Nase::N,nas,naso
3,Mund::N,gură,bocca
4,Zahn::N,dinte,dente
5,Zunge::N,limbă,lingua
6,Lippe::N,buză,labbro
7,Wange::N,bucă,guancia
8,Wange::N,obraz,guancia
9,Gesicht::N,față,viso
10,Gesicht::N,față,faccia
11,Gesicht::N,figură,viso
12,Gesicht::N,figură,faccia
13,Stirn::N,frunte,fronte
14,Haar::N,păr,capello
15,Schnurrbart::N,mustață,baffi
16,Schnurrbart::N,mustață,mustacchi
17,Bart::N,barbă,barba
18,Kinn::N,bărbie,mento
19,Kiefer[Anatomie]::N,falcă,mascella
20,Kehle::N,beregată,gola
21,Hals::N,gât,collo
22,Genick::N,ceafă,nuca
23,Kopf::N,cap,capo
24,Kopf::N,cap,testa
25,Rücken::N,dos,dorso
26,Rücken::N,dos,schiena
27,Rücken::N,spate,dorso
28,Rücken::N,spate,schiena
29,Rücken::N,spinare,dorso
30,Rücken::N,spinare,schiena
31,Bauch::N,burtă,ventre
32,Bauch::N,pântece,ventre
33,Nabel::N,buric,ombelico
34,Busen::N,sân,seno
35,Brust::N,piept,petto
36,Schulter::N,umăr,spalla
37,Schulter::N,spate,spalla
38,Arm::N,braț,braccio
39,Ellenbogen::N,cot,gomito
40,Hand::N,mână,mano
41,Handfläche::N,palmă,palma
42,Finger::N,deget,dito
43,Fingernagel::N,unghie,unghia
44,Nagel[Anatomie]::N,unghie,unghia
45,Zeh::N,deget de la picior,dito del piede
46,Fuß::N,picior,piede
47,Ferse::N,călcâi,tallone
48,Ferse::N,călcâi,calcagno
49,Knie::N,genunchi,ginocchio
50,Oberschenkel::N,coapsă,fèmore
51,Bein::N,picior,gamba
52,Körper::N,corp,corpo
53,Haut::N,piele,pelle
54,Blut::N,sânge,sangue
55,Ader::N,vână,vena
56,Ader::N,arteră,vena
57,Sehne::N,tendon,tèndine
58,Knochen::N,os,osso
59,Gehirn::N,creier,cervello
60,Herz::N,inimă,cuore
61,Magen::N,stomac,stòmaco
62,Leber::N,ficat,fegato
63,Atem::N,răsuflare,fiato
64,Atem::N,răsuflare,respiro
65,Atem::N,respirație,fiato
66,Atem::N,respirație,respiro
67,Hunger::N,foame,fame
68,Träne::N,lacrimă,làcrima
69,Geschmack::N,gust,gusto
70,Geschmack::N,gust,sapore
71,Geruch::N,miros,odore
72,Schlaf::N,somn,sonno
73,Traum::N,vis,sogno
74,Himmel::N,cer,cielo
75,Sonne::N,soare,sole
76,Mond::N,lună,luna
77,Stern::N,stea,stella
78,Luft::N,aer,aria
79,Wind::N,vânt,vento
80,Welle::N,val,onda
81,Welle::N,undă,onda
82,Wasser::N,apă,acqua
83,Stein::N,piatră,sasso
84,Stein::N,piatră,pietra
85,Boden::N,sol,suolo
86,Boden::N,sol,terreno
87,Boden::N,pământ,suolo
88,Boden::N,pământ,terreno
89,Erde::N,pământ,terra
90,Staub::N,praf,polvere
91,Rauch::N,fum,fumo
92,Funke::N,scânteie,scintilla
93,Feuer::N,foc,fuoco
94,Licht::N,lumină,luce
95,Schatten::N,umbră,ombra
96,Wetter::N,timp,tempo
97,Wetter::N,vreme,tempo
98,Nebel::N,ceață,nebbia
99,Nebel::N,negură,nebbia
100,Wolke::N,nor,nube
101,Wolke::N,nor,nùvola
102,Regen::N,ploaie,pioggia
103,Schnee::N,zăpadă,neve
104,Eis::N,gheață,ghiaccio
105,Frost::N,ger,gelo
106,Kälte::N,frig,freddo
107,Hitze::N,arșiță,caldo
108,Hitze::N,arșiță,calura
109,Hitze::N,căldură,caldo
110,Hitze::N,căldură,calura
111,Raureif::N,chiciură,brina
112,Regenbogen::N,curcubeu,arcobaleno
113,Donner::N,tunet,tuono
114,Strömung::N,curent,corrente
115,Tropfen::N,picătură,goccia
116,Schaum::N,spumă,spuma
117,Schaum::N,spumă,schiuma
118,Schmutz::N,murdărie,sudiciume
119,See::N,lac,lago
120,Sumpf::N,mlaștină,palude
121,Moor::N,bărăgan,torbiera
122,Wiese::N,fânaț,prato
123,Wiese::N,livadă,prato
124,Wald::N,codru,bosco
125,Wald::N,codru,foresta
126,Wald::N,pădure,bosco
127,Wald::N,pădure,foresta
128,Hügel::N,deal,colle
129,Hügel::N,deal,collina
130,Hügel::N,movilă,colle
131,Hügel::N,movilă,collina
132,Anhöhe::N,deal,altura
133,Anhöhe::N,ridicătură,altura
134,Berg::N,munte,monte
135,Berg::N,munte,montagna
136,Gipfel::N,pisc,cima
137,Höhle::N,peșteră,grotta
138,Höhle::N,peșteră,caverna
139,Abhang::N,pantă,pendìo
140,Abhang::N,versant,pendìo
141,Quelle::N,izvor,sorgente
142,Bach::N,gârlă,ruscello
143,Fluss::N,râu,fiume
144,Fluss::N,fluviu,fiume
145,Ufer::N,mal,riva
146,Ufer::N,țărm,riva
147,Küste::N,coastă,costa
148,Festland::N,uscat,terraferma
149,Meer::N,mare,mare
150,Bucht::N,golf,cala
151,Insel::N,insulă,ìsola
152,Blume::N,floare,fiore
153,Gras::N,iarbă,erba
154,Wurzel::N,rădăcină,radice
155,Baum::N,copac,àlbero
156,Baum::N,arbore,àlbero
157,Stamm::N,tulpină,tronco
158,Rinde::N,scoarță,corteccia
159,Ast::N,cracă,ramo
160,Ast::N,creangă,ramo
161,Zweig::N,ramură,ramo
162,Zweig::N,creangă,ramo
163,Blatt::N,frunză,foglia
164,Birke::N,mesteacăn,betulla
165,Kiefer[Baum]::N,pin,pino
166,Weide[Baum]::N,salcie,sàlice
167,Weide[Baum]::N,răchită,sàlice
168,Tanne::N,brad,abete
169,Horn::N,corn,corno
170,Feder::N,pană,penna
171,Fell::N,piele,manto
172,Fell::N,piele,pelame
173,Flügel::N,aripă,ala
174,Klaue::N,gheară,grinfia
175,Kralle::N,labă,unghia
176,Kralle::N,labă,artiglio
177,Kralle::N,gheară,unghia
178,Kralle::N,gheară,artiglio
179,Schwanz::N,coadă,coda
180,Ei::N,ou,uovo
181,Nest::N,cuib,nido
182,Bau::N,bârlog,covo
183,Bau::N,vizuină,covo
184,Tier::N,animal,bestia
185,Tier::N,animal,animale
186,Herde::N,turmă,gregge
187,Herde::N,cireadă,gregge
188,Kuh::N,vacă,vacca
189,Bulle::N,taur,toro
190,Pferd::N,cal,cavallo
191,Schaf::N,oaie,pècora
192,Schwein::N,porc,porco
193,Schwein::N,porc,maiale
194,Hund::N,câine,cane
195,Katze::N,pisică,gatta
196,Bär::N,urs,orso
197,Eichhörnchen::N,veveriță,scoiàttolo
198,Elch::N,elan,alce
199,Fuchs::N,vulpe,volpe
200,Hase::N,iepure,lepre
201,Maus::N,șoarece,topo
202,Maus::N,șoarece,sorcio
203,Wolf::N,lup,lupo
204,Vogel::N,pasăre,uccello
205,Schwarm::N,cârd,stormo
206,Huhn::N,găină,gallina
207,Hahn::N,cocoș,gallo
208,Gans::N,gâscă,oca
209,Adler::N,vultur,àquila
210,Ente::N,rață,ànatra
211,Eule::N,bufniță,gufo
212,Eule::N,bufniță,civetta
213,Kranich::N,cocor,gru
214,Krähe::N,cioară,cornacchia
215,Kuckuck::N,cuc,cuccù
216,Kuckuck::N,cuc,cùculo
217,Schwan::N,lebădă,cigno
218,Fisch::N,pește,pesce
219,Barsch::N,biban,pèrsico
220,Hecht::N,știucă,luccio
221,Schlange[Tier]::N,șarpe,serpente
222,Wurm::N,vierme,baco
223,Wurm::N,vierme,verme
224,Spinne::N,păianjen,ragno
225,Ameise::N,furnică,formica
226,Laus::N,păduche,pidocchio
227,Mücke::N,țânțar,zanzara
228,Fliege::N,muscă,mosca
229,Schmetterling::N,fluture,farfalla
230,Beere::N,boabă,bacca
231,Apfel::N,măr,mela
232,Pilz::N,burete,fungo
233,Pilz::N,ciupercă,fungo
234,Zwiebel::N,ceapă,cipolla
235,Saat::N,semănătură,semente
236,Korn::N,grâu,grano
237,Heu::N,fân,fieno
238,Schale::N,coajă,buccia
239,Grube::N,groapă,cava
240,Grube::N,groapă,fossa
241,Falle::N,cursă,tràppola
242,Falle::N,capcană,tràppola
243,Schlinge::N,laț,laccio
244,Spur::N,dâră,traccia
245,Asche::N,cenușă,cenere
246,Dreck::N,noroi,fango
247,Dreck::N,murdărie,fango
248,Eisen::N,fier,ferro
249,Gold::N,aur,oro
250,Silber::N,argint,argento
251,Kohle::N,cărbune,carbone
252,Glas::N,sticlă,vetro
253,Lehm::N,lut,argilla
254,Lehm::N,humă,argilla
255,Sand::N,nisip,arena
256,Sand::N,nisip,sabbia
257,Mensch::N,om,uomo
258,Mensch::N,om,èssere umano
259,Mensch::N,persoană,uomo
260,Mensch::N,persoană,èssere umano
261,Mann::N,om,uomo
262,Mann::N,bărbat,uomo
263,Frau::N,femeie,donna
264,Kind::N,copil,bambino
265,Junge::N,băiat,ragazzo
266,Junge::N,flăcău,ragazzo
267,Mädchen::N,fată,ragazza
268,Familie::N,familie,famiglia
269,Großvater::N,bunic,nonno
270,Großvater::N,tată mare,nonno
271,Großmutter::N,bunică,nonna
272,Großmutter::N,mamă mare,nonna
273,Eltern::N,părinți,genitori
274,Vater::N,tată,padre
275,Vater::N,părinte,padre
276,Mutter::N,mamă,madre
277,Sohn::N,fiu,figlio
278,Sohn::N,fecior,figlio
279,Tochter::N,fiică,figlia
280,Bruder::N,frate,fratello
281,Schwester::N,soră,sorella
282,Onkel::N,unchi,zio
283,Tante::N,mătușă,zia
284,Ehemann::N,soț,marito
