,Concept_ID,ku,sv
0,Auge::N,çav,öga
1,Ohr::N,guh,öra
2,Nase::N,bêvil,näsa
3,Mund::N,dev,mun
4,Zahn::N,didan,tand
5,Zunge::N,ziman,tunga
6,Lippe::N,lêv,läpp
7,Wange::N,dêm,kind
8,Wange::N,hinarik,kind
9,Gesicht::N,rû,syn
10,Gesicht::N,rû,ansikte
11,Stirn::N,enî,panna
12,Haar::N,por,hår
13,Schnurrbart::N,simbêl,mustasch
14,Bart::N,rih,skägg
15,Kinn::N,zenî,haka
16,Kiefer[Anatomie]::N,arguşk,käke
17,Kehle::N,qirik,strupe
18,Hals::N,stû,hals
19,Hals::N,qirik,hals
20,Genick::N,stû,nacke
21,Kopf::N,serî,huvud
22,Rücken::N,pişt,rygg
23,Bauch::N,ûr,buk
24,Bauch::N,ûr,mage
25,Bauch::N,zik,buk
26,Bauch::N,zik,mage
27,Nabel::N,navik,navel
28,Busen::N,sîng,barm
29,Brust::N,sîng,bröst
30,Schulter::N,mil,skuldra
31,Arm::N,çepil,arm
32,Ellenbogen::N,enîşk,armbåge
33,Hand::N,dest,hand
34,Handfläche::N,kefadest,handflata
35,Finger::N,tilî,finger
36,Fingernagel::N,neynuk,fingernagel
37,Nagel[Anatomie]::N,bizmar,nagel
38,Zeh::N,tilî linga,tå
39,Fuß::N,ling,fot
40,Ferse::N,pahnî,häl
41,Knie::N,kabok,knä
42,Oberschenkel::N,rahn,lår
43,Bein::N,çip,ben
44,Körper::N,laş,kropp
45,Körper::N,gowde,kropp
46,Haut::N,çerm,hud
47,Haut::N,çerm,skinn
48,Blut::N,xwîn,blod
49,Ader::N,reh,åder
50,Sehne::N,reh,sena
51,Knochen::N,hestî,ben
52,Gehirn::N,mêjî,hjärna
53,Herz::N,dil,hjärta
54,Magen::N,navêş,mage
55,Leber::N,kezeb,lever
56,Atem::N,hilm,anda
57,Atem::N,hilm,andedräkt
58,Hunger::N,birçîtî,svält
59,Hunger::N,birçîtî,hunger
60,Träne::N,hêstir,tår
61,Geschmack::N,tam,smak
62,Geruch::N,bêhn,lukt
63,Schlaf::N,xew,sömn
64,Traum::N,xewn,dröm
65,Himmel::N,ezman,himmel
66,Sonne::N,roj,sol
67,Mond::N,heyv,måne
68,Stern::N,stêrk,stjärna
69,Luft::N,ba,luft
70,Wind::N,ba,vind
71,Welle::N,şewl,våg
72,Welle::N,şewl,bölja
73,Wasser::N,av,vatten
74,Stein::N,kevir,sten
75,Boden::N,herd,mark
76,Erde::N,ax,jord
77,Staub::N,toz,damm
78,Rauch::N,dû,rök
79,Funke::N,çirûşk,gnista
80,Feuer::N,agir,eld
81,Licht::N,ronahî,ljus
82,Schatten::N,sî,skugga
