,Concept_ID,cs,ka
0,Auge::N,oko,თვალი
1,Ohr::N,ucho,ყური
2,Nase::N,nos,ცხვირი
3,Mund::N,pusa,პირი
4,Zahn::N,zub,კბილი
5,Zunge::N,jazyk,ენა
6,Lippe::N,ret,ბაგე
7,Wange::N,tvář,ლოყა
8,Gesicht::N,obličej,სახე
9,Stirn::N,čelo,შუბლი
10,Haar::N,vlas,თმა
11,Haar::N,vlasy,თმა
12,Schnurrbart::N,kníry,ულვაში
13,Bart::N,vousy,წვერი
14,Kinn::N,brada,ნიკაპი
15,Kiefer[Anatomie]::N,čelist,ყბა
16,Kehle::N,hrdlo,ყელი
17,Hals::N,krk,ყელი
18,Hals::N,krk,კისერი
19,Genick::N,týl,კეფა
20,Kopf::N,hlava,თავი
21,Rücken::N,záda,ზურგი
22,Rücken::N,hřbet,ზურგი
23,Bauch::N,břicho,მუცელი
24,Nabel::N,pupek,ჭიპი
25,Busen::N,ňadra,ძუძუ
26,Brust::N,prsa,მკერდი
27,Schulter::N,plece,მხარი
28,Schulter::N,plece,მკლავი
29,Schulter::N,rameno,მხარი
30,Schulter::N,rameno,მკლავი
31,Arm::N,ruka,ხელი
32,Ellenbogen::N,loket,იდაყვი
33,Hand::N,ruka,ხელი
34,Handfläche::N,dlaň,ნები
35,Handfläche::N,dlaň,ხელისგული
36,Finger::N,prst,თითი
37,Fingernagel::N,nehet,ფრჩხილი
38,Nagel[Anatomie]::N,nehet,ფრჩხილი
39,Zeh::N,prst u nohy,ფეხის თითი
40,Fuß::N,noha,ტერფი
41,Fuß::N,noha,ფეხისგული
42,Ferse::N,pata,ქუსლი
43,Knie::N,koleno,მუხლი
44,Oberschenkel::N,stehno,ბარძაყი
45,Bein::N,noha,ფეხი
46,Körper::N,tělo,ტანი
47,Körper::N,tělo,სხეული
48,Haut::N,kůže,კანი
49,Blut::N,krev,სისხლი
50,Ader::N,céva,ძარღვი
51,Sehne::N,šlacha,მყესი
52,Knochen::N,kost,ძვალი
53,Gehirn::N,mozek,ტვინი
54,Herz::N,srdce,გული
55,Magen::N,žaludek,კუჭი
56,Leber::N,játra,ღვიძლი
57,Atem::N,dech,სუნთქვა
58,Hunger::N,hlad,შიმშილი
59,Träne::N,slza,ცრემლი
60,Geschmack::N,vkus,გემო
61,Geruch::N,vůně,სუნი
62,Geruch::N,zápach,სუნი
63,Schlaf::N,spánek,ძილი
64,Traum::N,sen,სიზმარი
65,Himmel::N,nebe,ცა
66,Sonne::N,slunce,მზე
67,Mond::N,měsíc,მთვარე
68,Stern::N,hvězda,ვარსკვლავი
69,Luft::N,vzduch,ჰაერი
70,Wind::N,vítr,ქარი
71,Welle::N,vlna,ტალღა
72,Wasser::N,voda,წყალი
73,Stein::N,kámen,ქვა
74,Boden::N,půda,მიწა
75,Erde::N,země,ნიადაგი
76,Staub::N,prach,მტვერი
77,Rauch::N,dým,ბოლი
78,Rauch::N,dým,კვამლი
79,Rauch::N,kouř,ბოლი
80,Rauch::N,kouř,კვამლი
81,Funke::N,jiskra,ნაკვესი
82,Feuer::N,oheň,ცეცხლი
83,Licht::N,světlo,შუქი
84,Licht::N,světlo,სინათლე
85,Schatten::N,stín,ლანდი
86,Schatten::N,stín,ჩრდილი
87,Wetter::N,počasí,ამინდი
88,Nebel::N,mlha,ნისლი
89,Wolke::N,mrak,ღრუბელი
90,Wolke::N,oblak,ღრუბელი
91,Regen::N,déšť,წვიმა
92,Schnee::N,sníh,თოვლი
93,Eis::N,led,თოში
94,Eis::N,led,ყინული
95,Frost::N,mráz,ყინვა
96,Kälte::N,chlad,სიცივე
97,Hitze::N,horko,სიცხე
98,Raureif::N,jinovatka,ჭირხლი
99,Raureif::N,jinovatka,თრთვილი
100,Regenbogen::N,duha,ცისარტყელა
101,Donner::N,hrom,ქუხილი
102,Strömung::N,proudění,დინება
103,Tropfen::N,kapka,წვეთი
104,Schaum::N,pěna,ქაფი
105,Schaum::N,pěna,დორბლი
106,Schmutz::N,špína,ჭუჭყი
107,Schmutz::N,špína,ტალახი
108,See::N,jezero,ტბა
109,Sumpf::N,močál,ჭაობი
110,Sumpf::N,bažina,ჭაობი
111,Moor::N,bažina,ტორფნარი
112,Moor::N,slatina,ტორფნარი
113,Wiese::N,louka,ველი
114,Wiese::N,louka,მდელო
115,Wald::N,les,ტყე
116,Hügel::N,kopec,ბორცვი
117,Anhöhe::N,pahorek,მაღლობი
118,Berg::N,hora,მთა
119,Gipfel::N,vrchol,მწვერვალი
120,Höhle::N,jeskyně,მღვიმე
121,Höhle::N,jeskyně,გამოქვებული
122,Abhang::N,svah,ფერდობი
123,Abhang::N,stráň,ფერდობი
124,Quelle::N,pramen,წყარო
125,Quelle::N,pramen,სათავე
126,Bach::N,potok,რუ
127,Bach::N,potok,ნაკადული
128,Fluss::N,řeka,მდინარე
129,Ufer::N,břeh,კიდე
130,Ufer::N,břeh,ნაპირი
131,Küste::N,pobřeží,ნაპირი
132,Festland::N,souš,ხმელეთი
133,Festland::N,pevnina,ხმელეთი
134,Meer::N,moře,ზღვა
135,Bucht::N,záliv,ყურე
136,Bucht::N,zátoka,ყურე
137,Insel::N,ostrov,კუნძული
138,Blume::N,květina,ყვავილი
139,Gras::N,tráva,ბალახი
140,Wurzel::N,kořen,ძირი
141,Wurzel::N,kořen,ფესვი
142,Baum::N,strom,ხე
143,Stamm::N,kmen,ტანი
144,Rinde::N,kůra,ქერქი
145,Ast::N,větev,ტოტი
146,Zweig::N,větev,შტო
147,Blatt::N,lupen,ფოთოლი
148,Birke::N,bříza,არყი
149,Kiefer[Baum]::N,sosna,ფიჭვი
150,Kiefer[Baum]::N,borovice,ფიჭვი
151,Weide[Baum]::N,vrba,ტირიფი
152,Tanne::N,jedle,ნაძვი
153,Horn::N,roh,რქა
154,Feder::N,pero,ფრთა
155,Fell::N,srst,ტყავი
156,Flügel::N,křídlo,ფრთა
157,Klaue::N,dráp,კლანჭი
158,Klaue::N,pazneht,კლანჭი
159,Kralle::N,dráp,ტორი
160,Schwanz::N,ocas,კუდი
161,Ei::N,vejce,კვერცხი
162,Nest::N,hnízdo,ბუდე
163,Bau::N,nora,სორო
