,Concept_ID,udm,zh
0,Auge::N,син,眼睛
1,Ohr::N,пель,耳朵
2,Nase::N,ныр,鼻子
3,Mund::N,ым,嘴
4,Zahn::N,пинь,牙齿
5,Zunge::N,кыл,舌头
6,Lippe::N,ымдур,嘴唇
7,Wange::N,бам,面颊
8,Gesicht::N,ымныр,脸
9,Stirn::N,кымес,额
10,Haar::N,йырси,头发
11,Schnurrbart::N,мыйык,髭须
12,Bart::N,туш,胡子
13,Kinn::N,ангес,下巴
14,Kiefer[Anatomie]::N,ан,颌
15,Kiefer[Anatomie]::N,анлы,颌
16,Kehle::N,гульым,嗓子
17,Hals::N,чырты,颈
18,Genick::N,йырбер,后颈
19,Kopf::N,йыр,头
20,Rücken::N,мыш,背
21,Bauch::N,кӧт,肚子
22,Nabel::N,гогы,肚脐
23,Busen::N,ноны,胸脯
24,Brust::N,мӧля,胸
25,Schulter::N,пельпум,肩膀
26,Arm::N,суй,臂膀
27,Ellenbogen::N,гырпум,肘
28,Hand::N,ки,手
29,Handfläche::N,ки пыдэс,手掌
30,Handfläche::N,кырым пыдэс,手掌
31,Finger::N,чиньы,手指
32,Fingernagel::N,гижы,指甲
33,Fingernagel::N,гиждӥнь,指甲
34,Nagel[Anatomie]::N,гижы,指甲
35,Zeh::N,пыдчиньы,脚趾
36,Fuß::N,пыд,脚
37,Ferse::N,пыдбер,后跟
38,Knie::N,пыдес,膝
39,Oberschenkel::N,макес,大腿
40,Bein::N,пыд,腿
41,Körper::N,мугор,身体
42,Körper::N,вылтыр,身体
43,Haut::N,ку,皮肤
44,Blut::N,вир,血
45,Ader::N,вирсэр,血管
46,Sehne::N,вуж,腱
47,Knochen::N,лы,骨
48,Gehirn::N,вим,脑
49,Herz::N,сюлэм,心
50,Magen::N,ӝуш,胃
51,Leber::N,мус,肝
52,Atem::N,лул,呼吸
53,Atem::N,шокан,呼吸
54,Hunger::N,кӧтсюман,饿
55,Träne::N,синкыли,眼泪
56,Geschmack::N,шӧм,味道
57,Geruch::N,зын,气味
58,Schlaf::N,вӧт,睡眠
59,Traum::N,уйвӧт,梦
60,Himmel::N,ин,天空
61,Sonne::N,шунды,太阳
62,Mond::N,толэзь,月亮
63,Stern::N,кизили,星
64,Luft::N,омыр,空气
65,Wind::N,тӧл,风
66,Welle::N,тулкым,波
67,Wasser::N,ву,水
68,Stein::N,из,石头
69,Boden::N,музъем,地面
70,Erde::N,му,地
71,Staub::N,пыль,灰尘
72,Rauch::N,ӵын,烟
73,Funke::N,гизьы,火花
74,Feuer::N,тыл,火
75,Licht::N,тыл,光
76,Schatten::N,вужер,影子
77,Wetter::N,куазь,天气
78,Nebel::N,бус,雾
79,Wolke::N,пилем,云
80,Regen::N,зор,雨
81,Schnee::N,лымы,雪
82,Eis::N,йӧ,冰
83,Frost::N,кезьыт,霜冻
84,Kälte::N,кезьыт,寒冷
85,Hitze::N,пӧсь,炎热
86,Raureif::N,гӧр,霜
87,Regenbogen::N,вуюись,虹
88,Donner::N,гудыри,雷
89,Strömung::N,бызён,水流
90,Tropfen::N,шапык,滴
91,Schaum::N,шукы,泡沫
92,Schmutz::N,нӧд,赃物
93,Schmutz::N,дэри,赃物
94,See::N,ты,湖
95,Sumpf::N,нюр,沼泽
96,Moor::N,нюр,沼泽
97,Wiese::N,возь,草地
98,Wiese::N,возьвыл,草地
99,Wald::N,сик,森林
100,Wald::N,нюлэс,森林
101,Hügel::N,выр,丘陵
102,Hügel::N,вырйыл,丘陵
103,Anhöhe::N,выр,山丘
104,Anhöhe::N,вырйыл,山丘
105,Berg::N,гурезь,山
106,Gipfel::N,йыл,峰
107,Höhle::N,гу,洞穴
108,Abhang::N,бам,斜坡
109,Quelle::N,ошмес,泉
110,Bach::N,пичи шур,溪
111,Fluss::N,шур,河流
112,Ufer::N,ярдур,岸
113,Küste::N,вудур,海岸
114,Festland::N,мувыр,大陆
115,Meer::N,зарезь,海
116,Bucht::N,вукож,海湾
117,Insel::N,вумуӵ,岛
118,Insel::N,шормуӵ,岛
119,Blume::N,сяська,花
120,Gras::N,турын,草
121,Wurzel::N,выжы,根
122,Baum::N,пу,树
123,Stamm::N,модос,树干
124,Rinde::N,сул,树皮
125,Ast::N,ул,树枝
126,Zweig::N,вай,树枝
127,Blatt::N,куар,叶子
128,Birke::N,кызьпу,桦木
129,Kiefer[Baum]::N,пужым,松树
130,Weide[Baum]::N,бадьпу,柳树
131,Tanne::N,кыз,冷杉
132,Horn::N,сюр,角
133,Feder::N,тылы,羽毛
134,Fell::N,ку,皮毛
135,Flügel::N,бурд,翅膀
136,Klaue::N,гижы,爪子
137,Kralle::N,пыд,爪子
138,Schwanz::N,быж,尾巴
139,Ei::N,пуз,蛋
140,Ei::N,кукей,蛋
141,Nest::N,кар,巢
142,Nest::N,пузкар,巢
143,Bau::N,кар,穴
144,Bau::N,гу,穴
145,Tier::N,пӧйшур,动物
146,Herde::N,уллё,群
147,Kuh::N,скал,母牛
148,Bulle::N,ош,公牛
149,Bulle::N,пороз,公牛
150,Pferd::N,вал,马
151,Schaf::N,ыж,羊
152,Schwein::N,парсь,猪
153,Hund::N,пуны,狗
154,Katze::N,коӵыш,猫
155,Bär::N,гондыр,熊
156,Eichhörnchen::N,коньы,松鼠
157,Elch::N,койык,麋鹿
158,Fuchs::N,ӟичы,狐狸
159,Hase::N,кеч,兔子
160,Maus::N,шыр,老鼠
161,Wolf::N,кион,狼
162,Vogel::N,тылобурдо,鸟
163,Schwarm::N,уллё,群
164,Huhn::N,курег,鸡
165,Hahn::N,атас,公鸡
166,Gans::N,ӟазег,鹅
167,Adler::N,ӧрзи,鹰
168,Ente::N,ӵӧж,鸭
169,Eule::N,кучыран,猫头鹰
170,Kranich::N,тури,鹤
171,Krähe::N,куака,乌鸦
172,Kuckuck::N,кикы,布谷鸟
173,Schwan::N,юсь,天鹅
174,Fisch::N,чорыг,鱼
175,Barsch::N,юш,鲈鱼
176,Hecht::N,чипей,狗鱼
177,Schlange[Tier]::N,кый,蛇
178,Wurm::N,нумыр,蠕虫
179,Spinne::N,чонари,蜘蛛
180,Ameise::N,кузьыли,蚂蚁
181,Laus::N,тэй,虱子
182,Mücke::N,нымы,蚊子
183,Mücke::N,чибинь,蚊子
184,Fliege::N,кут,苍蝇
185,Schmetterling::N,бубыли,蝴蝶
186,Beere::N,узы-боры,将果
187,Apfel::N,яблок,苹果
188,Pilz::N,губи,蘑菇
189,Zwiebel::N,сугон,洋葱
190,Saat::N,кидыс,种子
191,Korn::N,тысь,谷粒
192,Heu::N,турын,干草
193,Schale::N,кыд,壳
194,Grube::N,гу,坑
195,Grube::N,гоп,坑
196,Falle::N,налик,圈套
197,Schlinge::N,гиӟ,活扣
198,Schlinge::N,герд,活扣
199,Spur::N,пытьы,踪迹
200,Spur::N,бервыл,踪迹
201,Asche::N,пень,灰烬
202,Dreck::N,дэри,污垢
203,Eisen::N,корт,铁
204,Gold::N,зарни,金子
205,Silber::N,азвесь,银
206,Kohle::N,эгыр,煤
207,Glas::N,стекло,玻璃
208,Glas::N,пияла,玻璃
209,Lehm::N,сюй,粘土
210,Sand::N,луо,沙
211,Mensch::N,мурт,人
