,Concept_ID,sk,ps
0,Auge::N,oko,سترګه
1,Ohr::N,ucho,غوږ
2,Nase::N,nos,پوزه
3,Mund::N,ústa,خوله
4,Zahn::N,zub,غاښ
5,Zunge::N,jazyk,جبه
6,Lippe::N,pera,شونډه
7,Wange::N,líce,باړخو
8,Gesicht::N,tvár,مخ
9,Gesicht::N,obličaj,مخ
10,Stirn::N,čelo,تندی
11,Stirn::N,čelo,وچولی
12,Haar::N,vlas,وېښته
13,Schnurrbart::N,fúzy,برېت
14,Bart::N,brada,ږیره
15,Kinn::N,brada,زنه
16,Kiefer[Anatomie]::N,čeľusť,جامه
17,Kehle::N,hrdlo,غاړه
18,Hals::N,krk,غاړه
19,Genick::N,väzy,ورمېږ
20,Kopf::N,hlava,سر
21,Rücken::N,chrbát,شا
22,Bauch::N,brucho,نس
23,Bauch::N,brucho,ګېډه
24,Nabel::N,pupok,نوم
25,Busen::N,prsia,تی
26,Brust::N,hruď,سینه
27,Schulter::N,plece,اوږه
28,Arm::N,rameno,لاس
29,Ellenbogen::N,lakeť,څنګل
30,Hand::N,ruka,لاس
31,Handfläche::N,dlaň,ورغوی
32,Finger::N,prst,ګوته
33,Fingernagel::N,necht,نوک
34,Nagel[Anatomie]::N,necht,نوک
35,Zeh::N,prst na nohe,ګوته
36,Fuß::N,noha,پښه
37,Ferse::N,päta,پونده
38,Knie::N,koleno,زنګون
39,Oberschenkel::N,stehno,پتون
40,Bein::N,noha,پښه
41,Körper::N,telo,ځان
42,Haut::N,koža,پوټکی
43,Blut::N,krv,وینه
44,Ader::N,žila,رګ
45,Sehne::N,šľacha,پله
46,Knochen::N,kosť,هډوکی
47,Gehirn::N,mozog,ماغزه
48,Herz::N,srdce,زړه
49,Magen::N,žalúdok,معده
50,Leber::N,pečeň,ينه
51,Leber::N,pečeň,ځیګر
52,Atem::N,dych,نفس
53,Hunger::N,hlad,ولږه
54,Träne::N,slza,اوښکه
55,Geschmack::N,chuť,مزه
56,Geschmack::N,chuť,خوند
57,Geruch::N,pach,بوی
58,Schlaf::N,spánok,خوب
59,Traum::N,sen,خوب
60,Himmel::N,nebo,اسمان
61,Sonne::N,slnko,لمر
62,Mond::N,mesiac,سپوږمۍ
63,Stern::N,hviezda,ستوری
64,Luft::N,vzduch,هوا
65,Wind::N,vietor,ورښ
66,Welle::N,vlna,موج
67,Wasser::N,voda,اوبه
68,Stein::N,kameň,ډبره
69,Boden::N,zem,مځکه
70,Boden::N,pôda,مځکه
71,Erde::N,zem,خاوره
72,Staub::N,prach,ګرد
73,Staub::N,prach,خاوره
74,Rauch::N,dym,دود
75,Rauch::N,dym,لوګی
76,Funke::N,iskra,سپرغۍ
77,Feuer::N,oheň,اور
78,Licht::N,svetlo,رڼا
79,Schatten::N,tieň,سیوری
80,Wetter::N,počasie,هوا
81,Nebel::N,hmla,لړه
82,Wolke::N,oblak,ورېځ
83,Wolke::N,mračno,ورېځ
84,Regen::N,dážď,وریا
85,Regen::N,dážď,باران
86,Schnee::N,sneh,واوره
87,Eis::N,ľad,یخ
88,Eis::N,ľad,کنګل
89,Frost::N,mráz,یخ
90,Kälte::N,zima,ساړه
91,Kälte::N,chlad,ساړه
92,Hitze::N,horúčava,تودوخي
93,Raureif::N,srieň,سپینه پرخه
94,Raureif::N,inovať,سپینه پرخه
95,Regenbogen::N,dúha,بوډۍ ټال
96,Regenbogen::N,dúha,سره زرغونه
97,Donner::N,hrom,تالنده
98,Strömung::N,prúdenie,بهېدنه
99,Tropfen::N,kvapka,قطره
100,Tropfen::N,kvapka,څاڅکی
101,Schaum::N,pena,ځګ
