,Concept_ID,ko,ka
0,Auge::N,눈,თვალი
1,Ohr::N,귀,ყური
2,Nase::N,코,ცხვირი
3,Mund::N,입,პირი
4,Zahn::N,이,კბილი
5,Zunge::N,혀,ენა
6,Lippe::N,입술,ბაგე
7,Wange::N,뺨,ლოყა
8,Gesicht::N,얼굴,სახე
9,Stirn::N,이마,შუბლი
10,Haar::N,털,თმა
11,Schnurrbart::N,윗수몀,ულვაში
12,Schnurrbart::N,코밑수염,ულვაში
13,Bart::N,수엄,წვერი
14,Kinn::N,아래턱,ნიკაპი
15,Kiefer[Anatomie]::N,턱,ყბა
16,Kehle::N,인후,ყელი
17,Hals::N,목,ყელი
18,Hals::N,목,კისერი
19,Genick::N,먹덜이,კეფა
20,Kopf::N,머리,თავი
21,Rücken::N,든,ზურგი
22,Bauch::N,배,მუცელი
23,Nabel::N,배꼽,ჭიპი
24,Busen::N,가슴속,ძუძუ
25,Brust::N,가슴,მკერდი
26,Schulter::N,어깨,მხარი
27,Schulter::N,어깨,მკლავი
28,Arm::N,팔,ხელი
29,Ellenbogen::N,팔쿰치,იდაყვი
30,Hand::N,손,ხელი
31,Handfläche::N,손바닥,ნები
32,Handfläche::N,손바닥,ხელისგული
33,Finger::N,속가락,თითი
34,Fingernagel::N,손톱,ფრჩხილი
35,Nagel[Anatomie]::N,손톱,ფრჩხილი
36,Zeh::N,발가락,ფეხის თითი
37,Fuß::N,발,ტერფი
38,Fuß::N,발,ფეხისგული
39,Ferse::N,발꿈치,ქუსლი
40,Knie::N,무릎,მუხლი
41,Oberschenkel::N,허벅다리,ბარძაყი
42,Bein::N,다리,ფეხი
43,Körper::N,구간,ტანი
44,Körper::N,구간,სხეული
45,Haut::N,살갗,კანი
46,Blut::N,피,სისხლი
47,Ader::N,정맥,ძარღვი
48,Sehne::N,현,მყესი
49,Knochen::N,뼈,ძვალი
50,Gehirn::N,뇌,ტვინი
51,Gehirn::N,뇌수,ტვინი
52,Herz::N,염통,გული
53,Magen::N,위,კუჭი
54,Leber::N,간,ღვიძლი
55,Atem::N,기식,სუნთქვა
56,Hunger::N,공복,შიმშილი
57,Träne::N,눈물,ცრემლი
58,Geschmack::N,기호,გემო
59,Geruch::N,냄새,სუნი
60,Schlaf::N,수면,ძილი
61,Traum::N,쿰,სიზმარი
62,Himmel::N,하늘,ცა
63,Sonne::N,해,მზე
64,Mond::N,달,მთვარე
65,Stern::N,별,ვარსკვლავი
66,Luft::N,동준,ჰაერი
67,Luft::N,가스채,ჰაერი
68,Wind::N,바람,ქარი
69,Welle::N,물결,ტალღა
70,Wasser::N,물,წყალი
71,Stein::N,돌,ქვა
72,Boden::N,바닥,მიწა
73,Erde::N,흙,ნიადაგი
74,Staub::N,먼지,მტვერი
75,Rauch::N,연기,ბოლი
76,Rauch::N,연기,კვამლი
77,Funke::N,불티,ნაკვესი
78,Feuer::N,불,ცეცხლი
79,Licht::N,불,შუქი
80,Licht::N,불,სინათლე
81,Schatten::N,어스레함,ლანდი
82,Schatten::N,어스레함,ჩრდილი
83,Wetter::N,기상,ამინდი
84,Nebel::N,안개,ნისლი
85,Wolke::N,구름,ღრუბელი
86,Regen::N,비,წვიმა
87,Schnee::N,눈,თოვლი
88,Eis::N,얼음,თოში
89,Eis::N,얼음,ყინული
