,Concept_ID,cs,lez
0,Auge::N,oko,вил
1,Ohr::N,ucho,яб
2,Nase::N,nos,нер
3,Mund::N,pusa,сив
4,Zahn::N,zub,сас
5,Zahn::N,zub,свах
6,Zunge::N,jazyk,мез
7,Lippe::N,ret,пӏуз
8,Wange::N,tvář,хъвехъ
9,Gesicht::N,obličej,ччин
10,Stirn::N,čelo,пел
11,Haar::N,vlas,чӏар
12,Haar::N,vlasy,чӏар
13,Schnurrbart::N,kníry,спел
14,Schnurrbart::N,kníry,спелар
15,Bart::N,vousy,ччуру
16,Kinn::N,brada,чене
17,Kiefer[Anatomie]::N,čelist,чене
18,Kehle::N,hrdlo,туьд
19,Hals::N,krk,гардан
20,Genick::N,týl,кьам
21,Kopf::N,hlava,кьил
22,Rücken::N,záda,далу
23,Rücken::N,hřbet,далу
24,Bauch::N,břicho,руфун
25,Nabel::N,pupek,пицӏ
26,Busen::N,ňadra,мам
27,Brust::N,prsa,хур
28,Schulter::N,plece,къуьн
29,Schulter::N,rameno,къуьн
30,Arm::N,ruka,гъил
31,Ellenbogen::N,loket,кьуьнт
32,Hand::N,ruka,капаш
33,Handfläche::N,dlaň,капан юкь
34,Finger::N,prst,тӏуб
35,Fingernagel::N,nehet,кек
36,Nagel[Anatomie]::N,nehet,кек
37,Zeh::N,prst u nohy,кул
38,Fuß::N,noha,кӏвач
39,Ferse::N,pata,дабан
40,Knie::N,koleno,мет
41,Oberschenkel::N,stehno,
42,Bein::N,noha,кӏвач
43,Körper::N,tělo,беден
44,Haut::N,kůže,хам
45,Blut::N,krev,иви
46,Ader::N,céva,дамар
47,Sehne::N,šlacha,кьуру дамар
48,Knochen::N,kost,кӏараб
49,Gehirn::N,mozek,мефт
50,Herz::N,srdce,рикӏ
51,Magen::N,žaludek,хук
52,Leber::N,játra,лекь
53,Atem::N,dech,ял
54,Atem::N,dech,нефес
55,Hunger::N,hlad,каш
56,Träne::N,slza,вилин нагъв
57,Geschmack::N,vkus,дад
58,Geschmack::N,vkus,тӏям
59,Geruch::N,vůně,ни
60,Geruch::N,zápach,ни
61,Schlaf::N,spánek,ахвар
62,Traum::N,sen,ахвар
63,Himmel::N,nebe,цав
64,Sonne::N,slunce,рагъ
65,Mond::N,měsíc,варз
66,Stern::N,hvězda,гъед
67,Luft::N,vzduch,гьава
68,Wind::N,vítr,гар
69,Welle::N,vlna,лепе
70,Wasser::N,voda,яд
71,Stein::N,kámen,къван
72,Boden::N,půda,накьв
73,Erde::N,země,ччил
74,Staub::N,prach,руг
75,Rauch::N,dým,гум
76,Rauch::N,kouř,гум
77,Funke::N,jiskra,цӏелхем
78,Feuer::N,oheň,цӏай
79,Licht::N,světlo,экв
80,Schatten::N,stín,серин
81,Wetter::N,počasí,гьава
82,Nebel::N,mlha,ччилин циф
83,Wolke::N,mrak,циф
84,Wolke::N,oblak,циф
85,Regen::N,déšť,марф
86,Schnee::N,sníh,жив
87,Eis::N,led,мурк
88,Frost::N,mráz,аяз
89,Kälte::N,chlad,мекь
90,Kälte::N,chlad,мекьивал
91,Hitze::N,horko,зегьем
92,Raureif::N,jinovatka,къирав
93,Regenbogen::N,duha,яргъируш
94,Donner::N,hrom,цавун ван
95,Strömung::N,proudění,
96,Tropfen::N,kapka,стӏал
97,Schaum::N,pěna,каф
98,Schmutz::N,špína,чирк
99,Schmutz::N,špína,кьуруш
100,See::N,jezero,вир
101,Sumpf::N,močál,уьлен
102,Sumpf::N,bažina,уьлен
103,Moor::N,bažina,
104,Moor::N,slatina,
105,Wiese::N,louka,векь
106,Wald::N,les,там
107,Hügel::N,kopec,кӏунтӏ
108,Anhöhe::N,pahorek,тепе
109,Anhöhe::N,pahorek,гьуьндуьрвал
110,Berg::N,hora,дагъ
111,Gipfel::N,vrchol,кӏукӏ
112,Höhle::N,jeskyně,кьветӏ
113,Abhang::N,svah,гуьне
114,Abhang::N,stráň,гуьне
115,Quelle::N,pramen,чешме
116,Bach::N,potok,булах
117,Fluss::N,řeka,вацӏ
118,Ufer::N,břeh,къерех
119,Küste::N,pobřeží,къерех
120,Festland::N,souš,кьурамат
121,Festland::N,pevnina,кьурамат
122,Meer::N,moře,гьуьл
123,Bucht::N,záliv,бухта
124,Bucht::N,zátoka,бухта
125,Insel::N,ostrov,остров
126,Blume::N,květina,цуьк
127,Gras::N,tráva,хъач
128,Wurzel::N,kořen,дувул
129,Baum::N,strom,ттар
130,Stamm::N,kmen,тан
131,Rinde::N,kůra,чкал
132,Ast::N,větev,тӏур
133,Zweig::N,větev,хел
134,Blatt::N,lupen,пеш
135,Birke::N,bříza,верх
136,Kiefer[Baum]::N,sosna,шамагъаж
137,Kiefer[Baum]::N,borovice,шамагъаж
138,Weide[Baum]::N,vrba,цӏвелин ттар
139,Tanne::N,jedle,ель
140,Horn::N,roh,карч
141,Feder::N,pero,цӏакул
142,Fell::N,srst,хам
143,Flügel::N,křídlo,лув
144,Klaue::N,dráp,къармах
145,Klaue::N,pazneht,къармах
146,Kralle::N,dráp,пац
147,Kralle::N,dráp,тапас
