,Concept_ID,hi,bn
0,Auge::N,आँख,চক্ষু
1,Auge::N,चक्षु,চক্ষু
2,Ohr::N,कान,কর্ণ
3,Ohr::N,कर्ण,কর্ণ
4,Nase::N,नाक,নাক
5,Nase::N,नासा,নাক
6,Mund::N,मुख,মুখ
7,Mund::N,मुँह,মুখ
8,Zahn::N,दंत,দাঁত
9,Zahn::N,दाँत,দাঁত
10,Zunge::N,जीभ,জিহবা
11,Zunge::N,ज़बान,জিহবা
12,Zunge::N,जिह्वा,জিহবা
13,Lippe::N,ओंठ,অধর
14,Lippe::N,होंठ,অধর
15,Wange::N,गाल,গণ্ড
16,Wange::N,कपोल,গণ্ড
17,Gesicht::N,मुँह,মুখমণ্ডল
18,Gesicht::N,चेहरा,মুখমণ্ডল
19,Stirn::N,माथा,কপাল
20,Stirn::N,मस्तक,কপাল
21,Haar::N,बाल,চুল
22,Schnurrbart::N,मूँछें,গোঁফ
23,Bart::N,दाढ़ी,শ্মশ্রু
24,Kinn::N,चिबुक,চিবুক
25,Kiefer[Anatomie]::N,जबड़ा,চোয়াল
26,Kehle::N,गला,কণ্ঠ
27,Hals::N,गला,গল
28,Hals::N,गरदन,গল
29,Genick::N,गरदन,ঘাড়
30,Genick::N,ग्रीवा,ঘাড়
31,Kopf::N,सिर,মাথা
32,Kopf::N,शीर्ष,মাথা
33,Rücken::N,पीठ,পৃষ্ঠ
34,Bauch::N,उदर,উদর
35,Nabel::N,नाभि,নাভি
36,Nabel::N,ढोंढी,নাভি
37,Busen::N,कुच,স্তন
38,Busen::N,स्तन,স্তন
39,Brust::N,वक्ष,বুক
40,Schulter::N,कंधा,স্কন্ধ
41,Schulter::N,स्कंध,স্কন্ধ
42,Arm::N,बाँह,বাহু
43,Arm::N,बाज़ू,বাহু
44,Ellenbogen::N,कुहनी,কনুই
45,Hand::N,हाथ,হাত
46,Hand::N,हस्त,হাত
47,Handfläche::N,हथेली,করতল
48,Finger::N,उँगली,আঙ্গুল
49,Finger::N,अँगुली,আঙ্গুল
50,Fingernagel::N,नख,হাতের নখ
51,Fingernagel::N,नाख़ून,হাতের নখ
52,Nagel[Anatomie]::N,नख,নখ
53,Nagel[Anatomie]::N,नाख़ून,নখ
54,Zeh::N,उँगली,আঙ্গুল
55,Zeh::N,पाँव की उँगली,আঙ্গুল
56,Fuß::N,चरण,পা
57,Fuß::N,पाँव,পা
58,Ferse::N,एड़ी,গোড়ালি
59,Knie::N,जानु,হাঁটু
60,Knie::N,घुटना,হাঁটু
61,Oberschenkel::N,उरु,ঊরু
62,Bein::N,टाँग,পা
63,Körper::N,तन,দেহ
64,Körper::N,देह,দেহ
65,Körper::N,शरीर,দেহ
66,Haut::N,चर्म,ত্বক
67,Haut::N,त्वचा,ত্বক
68,Blut::N,लहू,রক্ত
69,Blut::N,ख़ून,রক্ত
70,Ader::N,रग,শিরা
71,Ader::N,शिरा,শিরা
72,Sehne::N,कंडरा,কণ্ডরা
73,Sehne::N,स्नायु,কণ্ডরা
74,Knochen::N,अस्थि,অস্থি
75,Gehirn::N,दिमाग़,মস্তিষ্ক
76,Gehirn::N,मस्तिष्क,মস্তিষ্ক
77,Herz::N,दिल,হৃৎপিণ্ড
78,Herz::N,हृदय,হৃৎপিণ্ড
79,Magen::N,मेदा,পাকস্থলী
80,Magen::N,अमाशय,পাকস্থলী
81,Leber::N,जिगर,যকৃৎ
82,Leber::N,यकृत्,যকৃৎ
83,Atem::N,दम,শ্বাস
84,Atem::N,साँस,শ্বাস
85,Atem::N,श्वास,শ্বাস
86,Hunger::N,भूख,ক্ষুধা
87,Hunger::N,क्षुधा,ক্ষুধা
88,Träne::N,आँसू,অশ্রু
89,Träne::N,अश्रु,অশ্রু
90,Geschmack::N,स्वाद,স্বাদ
91,Geschmack::N,ज़ायक़ा,স্বাদ
92,Geruch::N,बू,গন্ধ
93,Geruch::N,गंध,গন্ধ
94,Schlaf::N,नींद,ঘুম
95,Schlaf::N,निद्रा,ঘুম
96,Traum::N,सपना,স্বপ্ন
97,Traum::N,स्वप्न,স্বপ্ন
98,Himmel::N,आकाश,আকাশ
99,Himmel::N,आसमान,আকাশ
100,Sonne::N,रवि,সূর্য
101,Sonne::N,सूरज,সূর্য
102,Sonne::N,सूर्य,সূর্য
103,Mond::N,चाँद,চন্দ্র
104,Mond::N,चंद्र,চন্দ্র
105,Stern::N,तारा,নক্ষত্র
106,Stern::N,सितारा,নক্ষত্র
107,Luft::N,हवा,বায়ু
108,Luft::N,वायु,বায়ু
109,Wind::N,पाद,বাতাস
110,Welle::N,लहर,ঢেউ
111,Welle::N,लहर,তরঙ্গ
112,Welle::N,तरंग,ঢেউ
113,Welle::N,तरंग,তরঙ্গ
114,Wasser::N,जल,জল
115,Wasser::N,पानी,জল
116,Stein::N,पत्थर,ঢিল
117,Stein::N,पत्थर,প্রস্তর
118,Boden::N,मिट्टी,ভূতল
119,Erde::N,भूमि,ভূমি
120,Erde::N,ज़मीन,ভূমি
121,Staub::N,धूल,ধুলা
122,Rauch::N,धूआँ,ধোঁয়া
123,Rauch::N,धुम्र,ধোঁয়া
124,Funke::N,चिनगारी,স্ফুলিঙ্গ
125,Funke::N,स्फुलिंग,স্ফুলিঙ্গ
126,Feuer::N,आग,অগ্নি
127,Feuer::N,आतिश,অগ্নি
128,Feuer::N,अग्नि,অগ্নি
129,Licht::N,रोशनी,আলো
130,Licht::N,प्रकाश,আলো
131,Schatten::N,छाया,ছায়া
132,Schatten::N,परछाई,ছায়া
133,Wetter::N,ऋतु,আবহাওয়া
134,Wetter::N,मौसम,আবহাওয়া
135,Nebel::N,धुँध,কুহেলিকা
136,Nebel::N,कुहरा,কুহেলিকা
137,Wolke::N,मेघ,মেঘ
138,Wolke::N,अभ्र,মেঘ
139,Regen::N,मेंह,বৃষ্টি
140,Regen::N,बारिश,বৃষ্টি
141,Schnee::N,हिम,তুষার
142,Schnee::N,बर्फ़,তুষার
143,Eis::N,हिम,বরফ
144,Eis::N,बर्फ़,বরফ
145,Frost::N,ठंड,তুষার
146,Kälte::N,सर्दी,শৈত্য
147,Kälte::N,शीतलता,শৈত্য
148,Hitze::N,ताप,তাপ
149,Hitze::N,गरमी,তাপ
150,Raureif::N,पाला,তুহিন
151,Regenbogen::N,इंद्र-धनुष,রামধনু
152,Donner::N,गरज,বজ্রধ্বনি
153,Donner::N,मेघ-गर्जन,বজ্রধ্বনি
154,Strömung::N,बहाव,স্রোত
155,Strömung::N,प्रवाह,স্রোত
156,Tropfen::N,बूँद,ফোঁটা
157,Schaum::N,झाग,ফেনা
158,Schmutz::N,गंद,ধুলা
159,Schmutz::N,कीचड़,ধুলা
160,See::N,झील,হ্রদ
161,See::N,सरोवर,হ্রদ
162,Sumpf::N,दलदल,জলা
163,Sumpf::N,धँसान,জলা
164,Moor::N,झाबर,মাঠ
165,Moor::N,धँसान,মাঠ
166,Wiese::N,घास-स्थल,তৃণভূমি
167,Wald::N,जंगल,বন
168,Hügel::N,टीला,পাহাড়
169,Hügel::N,पहाड़,পাহাড়
170,Anhöhe::N,टीला,টিলা
171,Anhöhe::N,पहाड़ी,টিলা
172,Berg::N,पहाड़,পর্বত
173,Gipfel::N,शिखर,শীর্ষ
