,Concept_ID,be,ca
193,Schlange[Tier]::N,змяя,serp
194,Wurm::N,чарвяк,cuc
195,Spinne::N,павук,aranya
196,Ameise::N,мурашка,formiga
197,Laus::N,вош,poll
198,Mücke::N,камар,mosquit
199,Fliege::N,муха,mosca
200,Schmetterling::N,матыль,papallona
201,Beere::N,ягада,baia
202,Apfel::N,яблык,poma
203,Pilz::N,грыб,bolet
204,Zwiebel::N,цыбуля,ceba
205,Saat::N,семя,sembra
206,Korn::N,зерне,gra
207,Heu::N,сена,fenc
208,Schale::N,шалупінне,closca
209,Grube::N,яма,sot
210,Grube::N,яма,clot
211,Falle::N,пастка,trampa
212,Schlinge::N,сіло,baga
213,Spur::N,след,traça
214,Asche::N,попел,cendra
215,Dreck::N,бруд,llot
216,Eisen::N,жалеза,ferro
217,Gold::N,золата,or
218,Silber::N,сребра,plata
219,Kohle::N,вугаль,carbó
220,Glas::N,шкло,vidre
221,Lehm::N,гліна,fang
222,Lehm::N,гліна,argila
223,Sand::N,пясок,arena
224,Mensch::N,чалавек,humà
225,Mensch::N,чалавек,persona
226,Mann::N,мужчына,home
227,Frau::N,жанчына,dona
228,Kind::N,дзіця,nen
229,Junge::N,хлопчык,noi
230,Mädchen::N,дзяўчынка,noia
231,Familie::N,сямʼя,família
232,Großvater::N,дзядуля,avi
233,Großmutter::N,бабуля,àvia
234,Eltern::N,бацькі,pares
235,Vater::N,бацька,pare
236,Mutter::N,маці,mare
237,Sohn::N,сын,fill
238,Tochter::N,дачка,filla
239,Bruder::N,брат,germà
240,Schwester::N,сястра,germana
241,Onkel::N,дзядзька,oncle
242,Tante::N,цётка,tia
243,Ehemann::N,муж,espòs
244,Ehefrau::N,жонка,muller
245,Freude::N,радасць,goig
246,Freude::N,радасць,alegria
247,Gelächter::N,смех,riallada
248,Glück::N,шчасце,felicitat
249,Kummer::N,гора,pena
250,Wunsch::N,жаданне,desig
251,Lust::N,цяга,ganes
252,Geist::N,дух,ment
253,Geist::N,дух,esperit
254,Gedanke::N,думка,pensament
255,Gedächtnis::N,памяць,memòria
256,Verstand::N,розум,raó
257,Verstand::N,розум,seny
258,Sinn::N,сэнс,solta
259,Sinn::N,сэнс,sentit
260,Grund::N,зачэпка,raó
261,Grund::N,зачэпка,causa
262,Wahrheit::N,праўда,veritāt
263,Gespräch::N,размова,conversa
264,Märchen::N,казка,conte
265,Erzählung::N,расказ,narració
266,Erzählung::N,апавяданне,narració
267,Nachricht::N,вестка,missatge
268,Nachricht::N,паведамленне,missatge
269,Neuigkeit::N,навіна,novetat
270,Name::N,імя,nom
271,Rätsel::N,загадка,endevinalla
272,Rede::N,прамова,discurs
273,Sprache::N,мова,llēngua
274,Stimme::N,голас,veu
275,Wort::N,слова,mot
276,Wort::N,слова,paraula
277,Zeichen::N,знак,signe
278,Zeichen::N,знак,senyal
279,Ruf::N,кліч,crida
280,Lärm::N,шум,sorōll
281,Laut::N,гук,so
282,Ton::N,гучанне,to
283,Lied::N,песня,cançó
284,Ruhe::N,спакой,calma
285,Ruhe::N,спакой,silenci
286,Leute::N,людзі,gent
287,Volk::N,народ,poble
288,Arbeit::N,праца,labor
289,Arbeit::N,праца,treball
290,Arbeit::N,работа,labor
