,Concept_ID,et,zh
0,Auge::N,silm,眼睛
1,Ohr::N,kõrv,耳朵
2,Nase::N,nina,鼻子
3,Mund::N,suu,嘴
4,Zahn::N,hammas,牙齿
5,Zunge::N,keel,舌头
6,Lippe::N,huul,嘴唇
7,Wange::N,põsk,面颊
8,Gesicht::N,nägu,脸
9,Stirn::N,otsmik,额
10,Haar::N,juus,头发
11,Schnurrbart::N,vurrud,髭须
12,Schnurrbart::N,vuntsid,髭须
13,Bart::N,habe,胡子
14,Kinn::N,lõug,下巴
15,Kiefer[Anatomie]::N,lõualuu,颌
16,Kehle::N,kõri,嗓子
17,Hals::N,kael,颈
18,Genick::N,kukal,后颈
19,Kopf::N,pea,头
20,Rücken::N,selg,背
21,Bauch::N,kõht,肚子
22,Nabel::N,naba,肚脐
23,Busen::N,rind,胸脯
24,Brust::N,rind,胸
25,Schulter::N,õlg,肩膀
26,Arm::N,käsivars,臂膀
27,Ellenbogen::N,küünarnukk,肘
28,Hand::N,käsi,手
29,Handfläche::N,pihk,手掌
30,Finger::N,sõrm,手指
31,Fingernagel::N,küüs,指甲
32,Nagel[Anatomie]::N,küüs,指甲
33,Zeh::N,varvas,脚趾
34,Fuß::N,jalg,脚
35,Ferse::N,kand,后跟
36,Knie::N,põlv,膝
37,Oberschenkel::N,reis,大腿
38,Bein::N,jalg,腿
39,Körper::N,ihu,身体
40,Körper::N,keha,身体
41,Haut::N,nahk,皮肤
42,Blut::N,veri,血
43,Ader::N,veen,血管
44,Sehne::N,kõõlus,腱
45,Knochen::N,luu,骨
46,Gehirn::N,aju,脑
47,Herz::N,süda,心
48,Magen::N,magu,胃
49,Leber::N,maks,肝
50,Atem::N,hingeõhk,呼吸
51,Atem::N,hingamine,呼吸
52,Hunger::N,nälg,饿
53,Träne::N,pisar,眼泪
54,Geschmack::N,maitse,味道
55,Geruch::N,lõhn,气味
56,Schlaf::N,uni,睡眠
57,Traum::N,unenägu,梦
58,Himmel::N,taevas,天空
59,Sonne::N,päike,太阳
60,Mond::N,kuu,月亮
61,Stern::N,täht,星
62,Luft::N,õhk,空气
63,Wind::N,tuul,风
64,Welle::N,laine,波
65,Wasser::N,vesi,水
66,Stein::N,kivi,石头
67,Boden::N,maa,地面
68,Boden::N,pinnas,地面
69,Erde::N,maa,地
70,Staub::N,põrm,灰尘
71,Rauch::N,suits,烟
72,Funke::N,säde,火花
73,Feuer::N,tuli,火
74,Licht::N,valgus,光
75,Schatten::N,vari,影子
76,Wetter::N,ilm,天气
77,Nebel::N,udu,雾
78,Wolke::N,pilv,云
79,Regen::N,sadu,雨
80,Schnee::N,lumi,雪
81,Eis::N,jää,冰
82,Frost::N,pakane,霜冻
83,Kälte::N,külm,寒冷
84,Kälte::N,külmus,寒冷
85,Hitze::N,kuumus,炎热
86,Hitze::N,palavus,炎热
87,Raureif::N,härmatis,霜
88,Regenbogen::N,vikerkaar,虹
89,Donner::N,kõu,雷
90,Donner::N,müristamine,雷
91,Strömung::N,voolus,水流
92,Strömung::N,jõevool,水流
93,Tropfen::N,tilk,滴
94,Schaum::N,vaht,泡沫
95,Schmutz::N,pori,赃物
96,Schmutz::N,mustus,赃物
97,See::N,järv,湖
98,Sumpf::N,soo,沼泽
99,Moor::N,raba,沼泽
100,Wiese::N,aas,草地
101,Wiese::N,nurm,草地
102,Wald::N,mets,森林
103,Hügel::N,küngas,丘陵
104,Anhöhe::N,küngas,山丘
105,Berg::N,mägi,山
106,Gipfel::N,mäetipp,峰
107,Höhle::N,koobas,洞穴
108,Abhang::N,nõlvak,斜坡
109,Quelle::N,allikas,泉
110,Bach::N,oja,溪
111,Fluss::N,jõgi,河流
112,Ufer::N,kallas,岸
113,Küste::N,rannik,海岸
114,Festland::N,mander,大陆
115,Festland::N,maismaa,大陆
116,Meer::N,meri,海
117,Bucht::N,laht,海湾
118,Insel::N,saar,岛
119,Blume::N,lill,花
120,Gras::N,rohi,草
121,Wurzel::N,juur,根
122,Baum::N,puu,树
123,Stamm::N,tüvi,树干
124,Rinde::N,koor,树皮
125,Ast::N,oks,树枝
126,Zweig::N,oks,树枝
127,Blatt::N,leht,叶子
128,Birke::N,kask,桦木
129,Kiefer[Baum]::N,mänd,松树
130,Weide[Baum]::N,paju,柳树
131,Tanne::N,nulg,冷杉
132,Horn::N,sarv,角
133,Feder::N,sulg,羽毛
134,Fell::N,karvkate,皮毛
135,Fell::N,karusnahk,皮毛
136,Flügel::N,tiib,翅膀
137,Flügel::N,tiivik,翅膀
138,Klaue::N,küüs,爪子
139,Kralle::N,küünis,爪子
140,Schwanz::N,saba,尾巴
141,Ei::N,muna,蛋
142,Nest::N,pesa,巢
143,Bau::N,urg,穴
144,Tier::N,loom,动物
145,Herde::N,kari,群
146,Kuh::N,lehm,母牛
147,Bulle::N,pull,公牛
148,Pferd::N,hobune,马
149,Schaf::N,lammas,羊
150,Schwein::N,siga,猪
151,Hund::N,koer,狗
152,Katze::N,kass,猫
153,Bär::N,karu,熊
154,Eichhörnchen::N,orav,松鼠
155,Elch::N,põder,麋鹿
156,Fuchs::N,rebane,狐狸
157,Hase::N,jänes,兔子
158,Maus::N,hiir,老鼠
159,Wolf::N,hunt,狼
160,Vogel::N,lind,鸟
161,Schwarm::N,parv,群
162,Huhn::N,kana,鸡
163,Hahn::N,kukk,公鸡
164,Gans::N,hani,鹅
165,Adler::N,kotkas,鹰
166,Ente::N,part,鸭
167,Eule::N,kakk,猫头鹰
168,Eule::N,öökull,猫头鹰
169,Kranich::N,kurg,鹤
170,Krähe::N,vares,乌鸦
171,Kuckuck::N,kägu,布谷鸟
172,Schwan::N,luik,天鹅
173,Fisch::N,kala,鱼
174,Barsch::N,ahven,鲈鱼
175,Hecht::N,haug,狗鱼
176,Schlange[Tier]::N,uss,蛇
177,Wurm::N,uss,蠕虫
178,Wurm::N,vagel,蠕虫
179,Spinne::N,ämblik,蜘蛛
180,Ameise::N,sipelgas,蚂蚁
181,Laus::N,täi,虱子
182,Mücke::N,sääsk,蚊子
183,Fliege::N,kärbes,苍蝇
184,Schmetterling::N,liblikas,蝴蝶
185,Beere::N,mari,将果
186,Apfel::N,õun,苹果
187,Pilz::N,seen,蘑菇
188,Zwiebel::N,sibul,洋葱
189,Saat::N,seeme,种子
190,Korn::N,iva,谷粒
191,Korn::N,tera,谷粒
192,Heu::N,hein,干草
193,Schale::N,koor,壳
194,Grube::N,kaevand,坑
195,Falle::N,lõks,圈套
196,Falle::N,püünis,圈套
197,Schlinge::N,aas,活扣
198,Spur::N,jälg,踪迹
199,Asche::N,tuhk,灰烬
200,Dreck::N,saast,污垢
201,Dreck::N,mustus,污垢
202,Eisen::N,raud,铁
203,Gold::N,kuld,金子
204,Silber::N,hõbe,银
205,Kohle::N,süsi,煤
206,Glas::N,klaas,玻璃
207,Lehm::N,savi,粘土
208,Sand::N,liiv,沙
209,Mensch::N,inimene,人
210,Mann::N,mees,男子
211,Frau::N,naine,妇女
212,Kind::N,laps,小孩
213,Junge::N,poiss,男孩
214,Mädchen::N,tüdruk,女孩
215,Familie::N,perekond,家庭
216,Großvater::N,vanaisa,祖父
217,Großmutter::N,vanaema,祖母
218,Eltern::N,vanemad,父母
219,Vater::N,isa,父亲
220,Mutter::N,ema,母亲
221,Sohn::N,poeg,儿子
222,Tochter::N,tütar,女儿
223,Bruder::N,vend,兄弟
224,Schwester::N,õde,姐妹
225,Onkel::N,onu,伯父
226,Tante::N,tädi,阿姨
227,Ehemann::N,mees,丈夫
228,Ehemann::N,abikaasa,丈夫
229,Ehefrau::N,naine,妻子
230,Ehefrau::N,abikaasa,妻子
231,Freude::N,rõõm,愉快
232,Gelächter::N,naer,大笑
233,Glück::N,õnn,运气
234,Kummer::N,mure,苦恼
235,Kummer::N,kurbus,苦恼
236,Wunsch::N,soov,愿望
237,Lust::N,himu,乐趣
238,Geist::N,vaim,精神
239,Gedanke::N,mõte,思想
240,Gedächtnis::N,mälu,记性
241,Verstand::N,aru,理智
242,Verstand::N,mõistus,理智
243,Sinn::N,tähendus,感觉
244,Grund::N,põhjus,理由
245,Wahrheit::N,tõde,真理
246,Gespräch::N,kõne,谈话
247,Gespräch::N,vestlus,谈话
248,Märchen::N,muinasjutt,童话
249,Erzählung::N,jutustus,故事
250,Nachricht::N,teade,消息
251,Neuigkeit::N,uudis,新闻
252,Name::N,nimi,名字
253,Rätsel::N,mõistatus,谜语
254,Rede::N,kõne,讲话
255,Sprache::N,keel,语言
256,Stimme::N,hääl,声音
257,Wort::N,sõna,词
258,Zeichen::N,märk,标记
259,Ruf::N,hüüe,呼喊
260,Lärm::N,müra,噪音
261,Laut::N,hääl,响声
262,Ton::N,toon,声音
263,Lied::N,laul,歌曲
264,Ruhe::N,rahu,安静
265,Ruhe::N,vaikus,安静
266,Leute::N,inimesed,人们
267,Volk::N,rahvas,人民
268,Arbeit::N,töö,劳动
269,Gast::N,külaline,客人
270,Geschenk::N,kingitus,礼物
271,Spiel::N,mäng,游戏
272,Gesellschaft::N,selts,陪同
273,Hilfe::N,abi,帮助
274,Freund::N,sõber,朋友
275,Kamerad::N,sõber,同志
276,Angelegenheit::N,asi,事情
277,Anzahl::N,arv,数目
278,Anzahl::N,hulk,数目
279,Art::N,liik,种类
280,Stück::N,tükk,块
281,Teil::N,osa,部分
282,Hälfte::N,pool,一半
283,Kreis::N,ring,圆
284,Kreuz::N,rist,十字架
285,Linie::N,joon,线条
286,Strich::N,joon,划
287,Abstand::N,vahe,距离
288,Entfernung::N,kaugus,距离
289,Entfernung::N,vahemaa,距离
290,Gegend::N,ümbrus,地区
291,Platz::N,ruum,场所
292,Ort::N,paik,地点
293,Seite::N,pool,面
294,Mitte::N,keskpaik,中间
295,Gegenstand::N,ese,物品
296,Sache::N,ese,物
297,Rand::N,äär,边
298,Rand::N,serv,边
299,Kante::N,kant,棱
300,Ecke::N,nurk,角
301,Spitze::N,teravik,尖
302,Ende::N,ots,结尾
303,Ende::N,jupp,结尾
304,Loch::N,auk,洞
305,Winkel::N,nurk,角度
306,Muster::N,muster,模型
307,Größe::N,suurus,大小
308,Länge::N,pikkus,长度
309,Höhe::N,kõrgus,高度
310,Gewicht::N,kaal,重量
311,Gewicht::N,raskus,重量
312,Menge::N,arv,数量
313,Menge::N,hulk,数量
