,Concept_ID,se,nl
0,Auge::N,tjelmie,oog
1,Auge::N,tjalmme,oog
2,Auge::N,čalbmi,oog
3,Auge::N,čalme,oog
4,Auge::N,čâ´lmm,oog
5,Auge::N,ча̄лльм,oog
6,Ohr::N,bieljie,oor
7,Ohr::N,biellje,oor
8,Ohr::N,beallji,oor
9,Ohr::N,pelji,oor
10,Ohr::N,pe´llj,oor
11,Ohr::N,пе̄лльй,oor
12,Nase::N,njuenie,neus
13,Nase::N,njunnje,neus
14,Nase::N,njunni,neus
15,Nase::N,njuṇe,neus
16,Nase::N,njuu´nn,neus
17,Nase::N,нюннҍ,neus
18,Mund::N,njaelmie,mond
19,Mund::N,njálmme,mond
20,Mund::N,njálbmi,mond
21,Mund::N,njälmi,mond
22,Mund::N,njä´lmm,mond
23,Mund::N,ня̄лльм,mond
24,Zahn::N,baenie,tand
25,Zahn::N,bádne,tand
26,Zahn::N,bátni,tand
27,Zahn::N,pääṇi,tand
28,Zahn::N,pää´nn,tand
29,Zahn::N,па̄ннҍ,tand
30,Zunge::N,njoektjeme,tong
31,Zunge::N,njuovtjav,tong
32,Zunge::N,njuovčča,tong
33,Zunge::N,njuovčâ,tong
34,Zunge::N,njuhččâm,tong
35,Zunge::N,нюхчем,tong
36,Lippe::N,bangseme,lip
37,Lippe::N,njálmmerabdda,lip
38,Lippe::N,bavssa,lip
39,Lippe::N,poovsâ,lip
40,Lippe::N,põõus,lip
41,Lippe::N,пэ̄кс,lip
42,Wange::N,skiehrie,wang
43,Wange::N,nierra,wang
44,Wange::N,muohtu,wang
45,Wange::N,nieṛâ,wang
46,Wange::N,njiõrr,wang
47,Wange::N,нӣрр,wang
48,Gesicht::N,ååredæjja,gelaat
49,Gesicht::N,ååredæjja,gezicht
50,Gesicht::N,muohto,gelaat
51,Gesicht::N,muohto,gezicht
52,Gesicht::N,muođut,gelaat
53,Gesicht::N,muođut,gezicht
54,Gesicht::N,ámadadju,gelaat
55,Gesicht::N,ámadadju,gezicht
56,Gesicht::N,muáđuh,gelaat
57,Gesicht::N,muáđuh,gezicht
58,Gesicht::N,muâđ,gelaat
59,Gesicht::N,muâđ,gezicht
60,Gesicht::N,ка̄ссв,gelaat
61,Gesicht::N,ка̄ссв,gezicht
62,Stirn::N,gaalloe,voorhoofd
63,Stirn::N,gállo,voorhoofd
64,Stirn::N,gállu,voorhoofd
65,Stirn::N,kállu,voorhoofd
66,Stirn::N,käll,voorhoofd
67,Stirn::N,вуэххьц,voorhoofd
68,Haar::N,voepte,haar
69,Haar::N,vuoppta,haar
70,Haar::N,vuokta,haar
71,Haar::N,vuop'tâ,haar
72,Haar::N,vuõpt,haar
73,Haar::N,вӯппт,haar
74,Schnurrbart::N,bijjie-skaavtjoe,snor
75,Schnurrbart::N,njunjevuolskávttjá,snor
76,Schnurrbart::N,seamu,snor
77,Schnurrbart::N,siämu,snor
78,Schnurrbart::N,ää´bben,snor
79,Schnurrbart::N,о̄а̄бпан,snor
80,Bart::N,skaavtja,baard
81,Bart::N,skaavtjoe,baard
82,Bart::N,skávttjá,baard
83,Bart::N,seamu,baard
84,Bart::N,siämu,baard
85,Bart::N,seäm,baard
86,Bart::N,ся̄м,baard
87,Kinn::N,gaejpie,kin
88,Kinn::N,gájbbe,kin
89,Kinn::N,gáibi,kin
90,Kinn::N,käibi,kin
91,Kinn::N,käi´bb,kin
92,Kinn::N,ка̄ййп,kin
93,Kiefer[Anatomie]::N,gaejpie,kaak
94,Kiefer[Anatomie]::N,oalol,kaak
95,Kiefer[Anatomie]::N,oaloldákte,kaak
96,Kiefer[Anatomie]::N,gáibi,kaak
97,Kiefer[Anatomie]::N,uá'lultähti,kaak
98,Kiefer[Anatomie]::N,vuâl'lõš,kaak
99,Kiefer[Anatomie]::N,вуаллнешш,kaak
100,Kehle::N,gealoe,keel
101,Kehle::N,gealoe,strot
102,Kehle::N,tjåttå,keel
103,Kehle::N,tjåttå,strot
104,Kehle::N,njiello,keel
105,Kehle::N,njiello,strot
