,Concept_ID,uz,cs
0,Auge::N,ko'z,oko
1,Ohr::N,quloq,ucho
2,Nase::N,burun,nos
3,Mund::N,og'iz,pusa
4,Zahn::N,tish,zub
5,Zunge::N,til,jazyk
6,Lippe::N,dudoq,ret
7,Wange::N,bet,tvář
8,Gesicht::N,yuz,obličej
9,Stirn::N,manglay,čelo
10,Haar::N,soch,vlas
11,Haar::N,soch,vlasy
12,Schnurrbart::N,mo'ylov,kníry
13,Bart::N,soqol,vousy
14,Kinn::N,ängak,brada
15,Kiefer[Anatomie]::N,iyak,čelist
16,Kehle::N,bo'g'iz,hrdlo
17,Hals::N,bo'yin,krk
18,Genick::N,gardan,týl
19,Kopf::N,bosh,hlava
20,Rücken::N,orqa,záda
21,Rücken::N,orqa,hřbet
22,Bauch::N,qorin,břicho
23,Nabel::N,kindik,pupek
24,Busen::N,ämchak,ňadra
25,Brust::N,ko'krak,prsa
26,Schulter::N,elka,plece
27,Schulter::N,elka,rameno
28,Arm::N,bilak,ruka
29,Ellenbogen::N,tirsak,loket
30,Hand::N,qo'l,ruka
31,Handfläche::N,kaft,dlaň
32,Finger::N,barmoq,prst
33,Fingernagel::N,tirnoq,nehet
34,Nagel[Anatomie]::N,tirnoq,nehet
35,Zeh::N,oyoq barmog'i,prst u nohy
36,Fuß::N,oyoq,noha
37,Ferse::N,tovon,pata
38,Knie::N,tiz,koleno
39,Oberschenkel::N,son,stehno
40,Bein::N,oyoq,noha
41,Körper::N,badna,tělo
42,Haut::N,teri,kůže
43,Blut::N,qon,krev
44,Ader::N,qon tomir,céva
45,Sehne::N,tomir,šlacha
46,Knochen::N,suyak,kost
47,Gehirn::N,miya,mozek
48,Herz::N,qalb,srdce
49,Magen::N,oshqozon,žaludek
50,Leber::N,bag'ir,játra
51,Atem::N,dam,dech
52,Hunger::N,ochlik,hlad
53,Träne::N,yosh,slza
54,Geschmack::N,tam,vkus
55,Geruch::N,jid,vůně
56,Geruch::N,jid,zápach
57,Schlaf::N,uyqu,spánek
58,Traum::N,tush,sen
59,Himmel::N,osmon,nebe
60,Sonne::N,quyosh,slunce
61,Mond::N,oy,měsíc
62,Stern::N,yulduz,hvězda
63,Luft::N,havo,vzduch
64,Wind::N,el,vítr
65,Welle::N,to'lqin,vlna
66,Wasser::N,suv,voda
67,Stein::N,tosh,kámen
68,Boden::N,tuproq,půda
69,Erde::N,er,země
70,Staub::N,chang,prach
71,Rauch::N,tutun,dým
72,Rauch::N,tutun,kouř
73,Funke::N,yalt,jiskra
74,Feuer::N,o't,oheň
75,Licht::N,yorug',světlo
76,Schatten::N,soya,stín
77,Wetter::N,havo,počasí
78,Nebel::N,tuman,mlha
79,Wolke::N,bulut,mrak
80,Wolke::N,bulut,oblak
81,Regen::N,yomg'ir,déšť
82,Schnee::N,qor,sníh
83,Eis::N,muz,led
84,Frost::N,ajoz,mráz
85,Kälte::N,ajoz,chlad
86,Hitze::N,issiq,horko
87,Raureif::N,qirov,jinovatka
88,Regenbogen::N,kamalak,duha
89,Donner::N,guldur,hrom
90,Strömung::N,oqim,proudění
91,Tropfen::N,tomchi,kapka
92,Schaum::N,ko'pik,pěna
93,Schmutz::N,gard,špína
94,See::N,ko'l,jezero
95,Sumpf::N,botqoq,močál
96,Sumpf::N,botqoq,bažina
97,Moor::N,qir-adir,bažina
98,Moor::N,qir-adir,slatina
99,Wiese::N,o'tzor,louka
100,Wald::N,o'rmon,les
101,Hügel::N,tepa,kopec
102,Anhöhe::N,adir,pahorek
103,Berg::N,tog',hora
104,Gipfel::N,cho'qqi,vrchol
105,Höhle::N,kavak,jeskyně
106,Abhang::N,to'sh,svah
107,Abhang::N,to'sh,stráň
108,Quelle::N,buloq,pramen
109,Bach::N,o'zan,potok
110,Fluss::N,daryo,řeka
111,Ufer::N,sohil,břeh
112,Küste::N,qirg'oq,pobřeží
113,Festland::N,materik,souš
114,Festland::N,materik,pevnina
115,Meer::N,dengiz,moře
116,Bucht::N,qo'ltiq,záliv
117,Bucht::N,qo'ltiq,zátoka
118,Insel::N,orol,ostrov
119,Blume::N,gul,květina
120,Gras::N,sabza,tráva
121,Wurzel::N,tub,kořen
122,Wurzel::N,tomir,kořen
123,Baum::N,daraxt,strom
124,Stamm::N,o'simta,kmen
125,Rinde::N,qobiq,kůra
126,Ast::N,shox,větev
127,Zweig::N,butoq,větev
128,Blatt::N,barg,lupen
129,Birke::N,qayin,bříza
130,Kiefer[Baum]::N,qarag'ay,sosna
131,Kiefer[Baum]::N,qarag'ay,borovice
132,Weide[Baum]::N,shum,vrba
133,Tanne::N,archa,jedle
134,Horn::N,mugiz,roh
135,Feder::N,par,pero
136,Fell::N,mo'yna,srst
137,Flügel::N,qanot,křídlo
138,Klaue::N,tirnoq,dráp
139,Klaue::N,tirnoq,pazneht
140,Kralle::N,tirnoq,dráp
141,Schwanz::N,quyruq,ocas
142,Ei::N,tuxum,vejce
143,Nest::N,oshyon,hnízdo
144,Bau::N,o'pqon,nora
145,Tier::N,hayvon,zvíře
146,Herde::N,gala,stádo
147,Kuh::N,inak,kráva
148,Bulle::N,ho'kiz,býk
149,Pferd::N,ot,kůň
150,Schaf::N,qo'y,ovce
151,Schwein::N,cho'chqa,vepř
152,Schwein::N,cho'chqa,prase
153,Hund::N,it,pes
154,Katze::N,mushuk,kočka
155,Bär::N,ayiq,medvěd
156,Eichhörnchen::N,tiyin,veverka
157,Elch::N,los,los
158,Fuchs::N,tulki,liška
159,Hase::N,kuyon,zajíc
160,Maus::N,sichqon,myš
161,Wolf::N,bo'ri,vlk
162,Vogel::N,qush,pták
163,Schwarm::N,to'da,roj
164,Schwarm::N,to'da,hejno
165,Huhn::N,tovuq,kuře
166,Huhn::N,tovuq,slepice
167,Hahn::N,xo'roz,kohout
168,Gans::N,g'oz,husa
169,Adler::N,burgut,orel
170,Ente::N,o'rdak,kachna
171,Eule::N,boyo'g'li,sova
172,Kranich::N,turna,jeřáb
173,Krähe::N,qarg'a,vrána
174,Kuckuck::N,kakku,kukačka
175,Schwan::N,oqkush,labuť
176,Fisch::N,baliq,ryba
177,Barsch::N,olabug'a,okoun
178,Hecht::N,cho'rtan,štika
179,Schlange[Tier]::N,ilon,had
180,Wurm::N,qurt,červ
181,Spinne::N,o'rgimchak,pavouk
182,Ameise::N,chumoli,mravenec
183,Laus::N,bit,veš
184,Mücke::N,chivin,komár
185,Fliege::N,pashsha,moucha
186,Schmetterling::N,kapalak,motýl
187,Beere::N,meva,bobule
188,Apfel::N,olma,jablko
189,Pilz::N,qo'ziqorin,houba
190,Zwiebel::N,piyoz,cibule
191,Saat::N,äkin,osivo
192,Korn::N,zarra,zrno
193,Heu::N,xashak,seno
194,Schale::N,po'choq,slupka
195,Schale::N,po'choq,skořápka
196,Grube::N,co'ra,jáma
197,Falle::N,qopqon,past
198,Falle::N,qopqon,léčka
199,Schlinge::N,sirtmoq,smyčka
200,Spur::N,iz,stopa
201,Asche::N,kul,popel
202,Dreck::N,kir,špína
203,Eisen::N,temir,železo
204,Gold::N,tilla,zlato
205,Silber::N,kumush,stříbro
206,Kohle::N,ko'mir,uhlí
207,Glas::N,oyna,sklo
208,Lehm::N,loy,jíl
209,Lehm::N,loy,hlína
210,Sand::N,qum,písek
211,Mensch::N,odam,člověk
212,Mann::N,ärkak,muž
213,Frau::N,ayol,žena
214,Kind::N,bola,dítě
215,Kind::N,kichkintoy,dítě
216,Junge::N,bola,hoch
217,Junge::N,bola,chlapec
218,Mädchen::N,qiz,děvče
219,Familie::N,oila,rodina
220,Großvater::N,buva,děd
221,Großvater::N,buva,dědeček
222,Großvater::N,katta ota,děd
223,Großvater::N,katta ota,dědeček
224,Großmutter::N,buvi,babička
225,Großmutter::N,katta oyi,babička
226,Eltern::N,ota-ona,rodiče
227,Vater::N,ota,otec
228,Mutter::N,ona,matka
229,Sohn::N,o'g'il,syn
230,Tochter::N,qiz,dcera
231,Bruder::N,og'a,bratr
232,Bruder::N,uka,bratr
233,Schwester::N,opa,sestra
234,Schwester::N,singil,sestra
235,Onkel::N,amaki,strýc
236,Tante::N,amma,teta
237,Tante::N,xola,teta
238,Ehemann::N,är,choť
239,Ehemann::N,är,manžel
240,Ehefrau::N,rafiqa,choť
241,Ehefrau::N,rafiqa,manželka
242,Freude::N,ayish,radost
243,Gelächter::N,kulgi,smích
244,Glück::N,saodat,štěstí
245,Kummer::N,g'am,žal
246,Kummer::N,g'am,trápení
247,Wunsch::N,orzu,přání
248,Lust::N,rag'bat,chuť
249,Geist::N,ruh,duch
250,Gedanke::N,fikr,myšlenka
251,Gedächtnis::N,äs,paměť
252,Verstand::N,aql,rozum
253,Sinn::N,ma'ni,smysl
254,Grund::N,sabab,důvod
255,Wahrheit::N,haq,pravda
256,Gespräch::N,gap,rozhovor
257,Märchen::N,ärtak,pohádka
258,Erzählung::N,rivoyat,povídka
259,Nachricht::N,xabar,zpráva
260,Neuigkeit::N,yangilik,novina
261,Neuigkeit::N,yangilik,novinka
262,Name::N,ot,jméno
263,Rätsel::N,topishmoq,hádanka
264,Rede::N,nutq,řeč
265,Rede::N,nutq,proslov
266,Sprache::N,til,řeč
267,Sprache::N,til,jazyk
268,Stimme::N,ovoz,hlas
269,Wort::N,so'z,slovo
270,Zeichen::N,alomat,znamení
271,Ruf::N,chaqiriq,zavolání
272,Lärm::N,taraq,hluk
273,Laut::N,tovush,zvuk
274,Ton::N,un,tón
275,Lied::N,ashula,píseň
276,Ruhe::N,tinchlik,klid
277,Ruhe::N,tinchlik,pokoj
278,Leute::N,xaloyiq,lidé
279,Volk::N,xalq,národ
280,Arbeit::N,ish,práce
281,Gast::N,mehmon,host
282,Geschenk::N,hadya,dar
283,Spiel::N,o'yin,hra
284,Gesellschaft::N,jamiyat,společnost
285,Hilfe::N,yordam,pomoc
286,Freund::N,do'st,přítel
287,Kamerad::N,yo'ldosh,kamarád
288,Angelegenheit::N,daxl,záležitost
289,Anzahl::N,son,počet
290,Art::N,tur,druh
291,Stück::N,parcha,kus
292,Stück::N,parcha,kousek
293,Teil::N,bo'lak,díl
294,Teil::N,bo'lak,část
295,Hälfte::N,yarim,půl
296,Kreis::N,aylana,kruh
297,Kreuz::N,xoch,kříž
298,Linie::N,liniya,linka
299,Strich::N,chiziq,čára
300,Strich::N,chiziq,čárka
301,Abstand::N,oralik,vzdálenost
302,Entfernung::N,uzoqlik,vzdálenost
303,Gegend::N,yer,krajina
304,Platz::N,oralig,prostor
305,Ort::N,joy,místo
306,Seite::N,yon,strana
307,Mitte::N,o'rta,střed
308,Mitte::N,o'rta,prostředek
309,Gegenstand::N,ashyo,předmět
310,Sache::N,buyum,věc
311,Rand::N,chek,kraj
312,Rand::N,chek,okraj
313,Kante::N,tig',hrana
314,Ecke::N,burchak,roh
315,Spitze::N,uch,hrot
316,Spitze::N,uch,špička
317,Ende::N,oxir,konec
318,Loch::N,teshik,díra
319,Winkel::N,go'sha,kout
320,Muster::N,nusha,vzor
321,Größe::N,kattalik,velikost
322,Länge::N,uzunlik,délka
323,Höhe::N,yuksaklik,výška
324,Gewicht::N,solmoq,váha
325,Menge::N,miqdor,množství
326,Haufen::N,uyum,kupa
327,Haufen::N,uyum,hromada
328,Reihe::N,saf,řada
329,Reihe::N,saf,řádek
330,Boot::N,qayiq,člun
331,Ruder::N,äshkak,veslo
332,Schlitten::N,chana,sáně
333,Ski::N,chang'i,lyže
334,Lagerfeuer::N,gulxan,táborák
335,Last::N,yuk,náklad
336,Last::N,yuk,břemeno
337,Gang::N,yurish,chůze
338,Gang::N,yurish,chodba
339,Schritt::N,qadam,krok
340,Norden::N,shimol,sever
341,Süden::N,janub,jih
342,Westen::N,g'arb,západ
343,Osten::N,sharq,východ
344,Holz::N,yog'och,dřevo
345,Brett::N,taxta,prkno
346,Platte::N,tabaqa,deska
347,Stütze::N,tayanchi,opěra
348,Stange::N,qo'noq,tyč
349,Stange::N,qo'noq,tyčka
350,Stock::N,tayoq,hůlka
351,Stab::N,gavron,hůl
352,Rohr::N,tarnov,trubka
353,Haus::N,uy,dům
354,Heim::N,makon,domov
355,Ofen::N,pechka,kamna
356,Fußboden::N,pol,podlaha
357,Tisch::N,mosa,stůl
358,Stuhl::N,o'rindiq,židle
359,Wiege::N,beshik,kolébka
360,Bett::N,yotoq,postel
361,Regal::N,tokcha,regál
362,Regal::N,tokcha,police
363,Kiste::N,sandiq,bedna
364,Fenster::N,deraza,okno
365,Tür::N,äshik,dveře
366,Tor::N,darvoza,vrata
367,Zaun::N,panjara,plot
368,Dach::N,tom,střecha
369,Leiter::N,narvon,žebřík
370,Besen::N,supurgi,koště
371,Besen::N,supurgi,smeták
372,Spaten::N,bel,rýč
373,Schaufel::N,kurak,lopata
374,Gabel::N,bilka,vidlička
375,Löffel::N,qoshiq,lžíce
376,Messer::N,pichoq,nůž
377,Nagel::N,mix,hřebík
378,Netz::N,to'r,síť
379,Haken::N,ilgak,hák
380,Griff::N,sop,držadlo
381,Griff::N,tutqich,držadlo
382,Schloss::N,qulf,zámek
383,Bild::N,rasm,obraz
384,Figur::N,shakl,figura
385,Puppe::N,ko'g'irchoq,panenka
386,Beutel::N,to'rva,pytlík
387,Bündel::N,bog'lam,svazek
388,Tasche::N,kissa,taška
389,Tasche::N,kissa,brašna
390,Eimer::N,chelak,kýbl
391,Eimer::N,chelak,vědro
392,Deckel::N,qopqoq,víko
393,Deckel::N,qopqoq,příklop
394,Geschirr::N,idish,nádobí
395,Sack::N,qop,pytel
396,Tasse::N,piyola,šálek
397,Topf::N,tuvak,hrnec
398,Kessel::N,qozon,kotel
399,Essen::N,tomoq,jídlo
400,Nahrung::N,emak,strava
401,Nahrung::N,emak,potrava
402,Speise::N,taom,jídlo
403,Fleisch::N,go'sht,maso
404,Getreide::N,g'alla,obilí
405,Brei::N,bo'tqa,kaše
406,Brot::N,non,chléb
407,Scheibe::N,disk,krajíc
408,Fett::N,moy,tuk
409,Fett::N,moy,omastek
410,Butter::N,yog',máslo
411,Öl::N,moy,olej
412,Salz::N,tuz,sůl
413,Suppe::N,sho'rva,polévka
414,Honig::N,asal,med
415,Milch::N,sut,mléko
416,Tee::N,choy,čaj
417,Leder::N,charm,kůže
418,Wolle::N,jun,vlna
419,Stoff::N,mato,látka
420,Nadel::N,igna,jehla
421,Faden::N,ip,nit
422,Knopf::N,tugma,knoflík
423,Knoten::N,tugun,uzel
424,Farbe::N,bo'yok,barva
425,Kleidung::N,kiyim,šaty
426,Kleidung::N,kiyim,šatstvo
427,Hemd::N,ko'ylak,košile
428,Kragen::N,yoqa,límec
429,Ärmel::N,yeng,rukáv
