,Concept_ID,br,fr
0,Auge::N,lagad,œil
1,Ohr::N,skouarn,oreille
2,Nase::N,fri,nez
3,Mund::N,genoù,bouche
4,Zahn::N,dant,dent
5,Zunge::N,teod,langue
6,Lippe::N,muzell,lèvre
7,Wange::N,chot,joue
8,Gesicht::N,dremm,face
9,Gesicht::N,dremm,visage
10,Stirn::N,tal,front
11,Haar::N,blev,cheveu
12,Schnurrbart::N,mourenn,moustache
13,Bart::N,barv,barbe
14,Kinn::N,groñj,menton
15,Kiefer[Anatomie]::N,javed,mâchoire
16,Kehle::N,gouzoug,gorge
17,Hals::N,gouzoug,cou
18,Genick::N,choug,nuque
19,Kopf::N,penn,tête
20,Rücken::N,kein,dos
21,Bauch::N,kof,ventre
22,Nabel::N,begel,nombril
23,Busen::N,bronn,sein
24,Brust::N,bruched,poitrine
25,Schulter::N,skoaz,épaule
26,Arm::N,brec'h,bras
27,Ellenbogen::N,ilin,coude
28,Hand::N,dorn,main
29,Handfläche::N,palv,paume
30,Finger::N,biz,doigt
31,Fingernagel::N,ivin,ongle
32,Nagel[Anatomie]::N,ivin,ongle
33,Zeh::N,biz-troad,orteil
34,Zeh::N,biz-troad,doigt de pied
35,Fuß::N,troad,pied
36,Ferse::N,seul,talon
37,Knie::N,glin,genou
38,Oberschenkel::N,morzhed,cuisse
39,Bein::N,gar,jambe
40,Körper::N,korf,corps
41,Haut::N,kroc'hen,peau
42,Blut::N,gwad,sang
43,Ader::N,gwazhi,veine
44,Sehne::N,stir,tendon
45,Knochen::N,askorn,os
46,Gehirn::N,empenn,cerveau
47,Herz::N,kalon,cœur
48,Magen::N,stomog,estomac
49,Leber::N,avu,foie
50,Atem::N,anal,haleine
51,Hunger::N,naon,faim
52,Träne::N,daer,larme
53,Geschmack::N,blaz,goût
54,Geschmack::N,blaz,saveur
55,Geruch::N,c'hwezh,odeur
56,Schlaf::N,kousked,sommeil
57,Traum::N,hune,songe
58,Himmel::N,oabl,ciel
59,Sonne::N,heol,soleil
60,Mond::N,loar,lune
61,Stern::N,steredenn,étoile
62,Luft::N,aer,air
63,Wind::N,avel,vent
64,Welle::N,houlenn,vague
65,Wasser::N,dour,eau
66,Stein::N,maen,pierre
67,Boden::N,tachenn,sol
68,Boden::N,tachenn,terrain
69,Erde::N,douar,terre
70,Staub::N,poultr,poussière
71,Rauch::N,moged,fumée
72,Funke::N,ful,étincelle
73,Feuer::N,tan,feu
74,Licht::N,gouloù,lumière
75,Schatten::N,disheol,ombre
76,Wetter::N,amzer,temps
77,Nebel::N,brumenn,brume
78,Nebel::N,brumenn,brouillard
79,Wolke::N,koumoulenn,nuage
80,Regen::N,glav,pluie
81,Schnee::N,erc'h,neige
82,Eis::N,skorn,glace
83,Frost::N,rev,gel
84,Frost::N,rev,gelée
85,Kälte::N,yen,froid
86,Hitze::N,tommder,chaleur
87,Raureif::N,frim,givre
88,Regenbogen::N,gwareg-ar-glav,arc-en-ciel
89,Donner::N,kurun,tonnerre
90,Strömung::N,red,courant
91,Tropfen::N,bannac'h,goutte
92,Tropfen::N,takenn,goutte
93,Schaum::N,spoum,écume
94,Schaum::N,spoum,mousse
95,Schmutz::N,fank,boue
96,Schmutz::N,fank,saleté
97,See::N,lenn,lac
98,Sumpf::N,gwern,marais
99,Sumpf::N,gwern,marécage
100,Moor::N,taouarc'heg,tourbière
101,Wiese::N,prad,pré
102,Wald::N,koad,bois
103,Wald::N,koad,forêt
104,Hügel::N,torgenn,coteau
105,Hügel::N,torgenn,colline
106,Anhöhe::N,run,éminence
107,Anhöhe::N,run,élévation
108,Berg::N,menez,mont
109,Berg::N,menez,montagne
110,Gipfel::N,barr,cime
111,Gipfel::N,barr,sommet
112,Höhle::N,kav,caverne
113,Abhang::N,naou,pente
114,Abhang::N,naou,versant
115,Quelle::N,feunteun,source
116,Quelle::N,feunteun,fontaine
117,Bach::N,gwazh,ruisseau
118,Fluss::N,stêr,fleuve
119,Fluss::N,stêr,rivière
120,Ufer::N,ribl,bord
121,Ufer::N,ribl,rivage
122,Küste::N,aod,côte
123,Festland::N,douar,terre ferme
124,Meer::N,mor,mer
125,Bucht::N,mor-bihan,baie
126,Insel::N,enez,île
127,Blume::N,bleunienn,fleur
128,Gras::N,geot,herbe
129,Wurzel::N,gwrizienn,racine
130,Baum::N,gwezenn,arbre
131,Stamm::N,kef,tronc
132,Rinde::N,rusk,écorce
133,Ast::N,barr,branche
134,Zweig::N,bod,rameau
135,Blatt::N,delienn,feuille
136,Birke::N,bezvenn,bouleau
137,Kiefer[Baum]::N,pinenn,pin
138,Weide[Baum]::N,halegenn,saule
139,Tanne::N,sapenn,sapin
140,Horn::N,korn,corne
141,Feder::N,pluñv,plume
142,Fell::N,kreoñ,peau
143,Flügel::N,askell,aile
144,Klaue::N,skilf,serre
145,Kralle::N,skilf,ongle
146,Kralle::N,skilf,griffe
147,Schwanz::N,lost,queue
148,Ei::N,vi,œuf
149,Nest::N,neizh,nid
150,Bau::N,douarenn,terrier
151,Tier::N,loen,animal
152,Herde::N,tropell,troupeau
153,Kuh::N,buoc'h,vache
154,Bulle::N,tarv,taureau
155,Pferd::N,marc'h,cheval
156,Schaf::N,dañvad,mouton
157,Schwein::N,pemoc'h,porc
158,Schwein::N,pemoc'h,cochon
159,Hund::N,ki,chien
160,Katze::N,kazh,chat
161,Bär::N,arzh,ours
162,Eichhörnchen::N,gwiñver,écureuil
163,Elch::N,karv-dour,élan
164,Fuchs::N,louarn,renard
165,Hase::N,gad,lièvre
166,Maus::N,logodenn,souris
167,Wolf::N,bleiz,loup
168,Vogel::N,labous,oiseau
169,Schwarm::N,nijad,nuée
170,Schwarm::N,nijad,volée
171,Huhn::N,yar,poule
172,Hahn::N,kilhog,coq
173,Gans::N,gwazenn,oie
174,Adler::N,erer,aigle
175,Ente::N,houad,canard
176,Eule::N,toud,hibou
177,Kranich::N,garan,grue
178,Krähe::N,bran,corneille
