,Concept_ID,az,sv
0,Auge::N,göz,öga
1,Ohr::N,qulaq,öra
2,Nase::N,burun,näsa
3,Mund::N,ağız,mun
4,Zahn::N,diş,tand
5,Zunge::N,dil,tunga
6,Lippe::N,dodaq,läpp
7,Wange::N,yanaq,kind
8,Gesicht::N,üz,syn
9,Gesicht::N,üz,ansikte
10,Stirn::N,alın,panna
11,Haar::N,saç,hår
12,Schnurrbart::N,bığ,mustasch
13,Bart::N,saqqal,skägg
14,Kinn::N,çənə,haka
15,Kiefer[Anatomie]::N,çənə,käke
16,Kehle::N,boğaz,strupe
17,Hals::N,boyun,hals
18,Genick::N,ənsə,nacke
19,Kopf::N,baş,huvud
20,Rücken::N,bel,rygg
21,Bauch::N,qarın,buk
22,Bauch::N,qarın,mage
23,Nabel::N,göbək,navel
24,Busen::N,məmə,barm
25,Brust::N,döş,bröst
26,Schulter::N,çiyin,skuldra
27,Arm::N,qol,arm
28,Ellenbogen::N,dirsək,armbåge
29,Hand::N,əl,hand
30,Handfläche::N,ovuc,handflata
31,Finger::N,barmaq,finger
32,Fingernagel::N,barmaq dırnağı,fingernagel
33,Nagel[Anatomie]::N,dırnak,nagel
34,Zeh::N,ayaq barmağı,tå
35,Fuß::N,ayaq,fot
36,Ferse::N,daban,häl
37,Knie::N,diz,knä
38,Oberschenkel::N,bud,lår
39,Bein::N,qıç,ben
40,Körper::N,əndam,kropp
41,Haut::N,dəri,hud
42,Haut::N,dəri,skinn
43,Blut::N,qan,blod
44,Ader::N,damar,åder
45,Sehne::N,vətər,sena
46,Knochen::N,sümük,ben
47,Gehirn::N,beyin,hjärna
48,Herz::N,ürək,hjärta
49,Magen::N,mədə,mage
50,Leber::N,qara ciyər,lever
51,Atem::N,nəfəs,anda
52,Atem::N,nəfəs,andedräkt
53,Hunger::N,aclıq,svält
54,Hunger::N,aclıq,hunger
55,Träne::N,göz yaşı,tår
56,Geschmack::N,tam,smak
57,Geschmack::N,ləzzət,smak
58,Geruch::N,qoxu,lukt
59,Schlaf::N,yuxu,sömn
60,Traum::N,röya,dröm
61,Himmel::N,göy,himmel
62,Himmel::N,səma,himmel
63,Sonne::N,günəş,sol
64,Mond::N,ay,måne
65,Stern::N,ulduz,stjärna
66,Luft::N,hava,luft
67,Wind::N,yel,vind
68,Wind::N,külək,vind
69,Welle::N,dalğa,våg
70,Welle::N,dalğa,bölja
71,Wasser::N,su,vatten
72,Stein::N,daş,sten
73,Boden::N,yer,mark
74,Boden::N,zəmin,mark
75,Erde::N,yer torpaq,jord
76,Staub::N,toz,damm
77,Rauch::N,tüstü,rök
78,Funke::N,qığılcım,gnista
79,Feuer::N,od,eld
80,Licht::N,işıq,ljus
81,Schatten::N,kölgə,skugga
82,Wetter::N,hava,väder
83,Nebel::N,duman,dimma
84,Nebel::N,duman,töcken
85,Wolke::N,bulud,sky
86,Wolke::N,bulud,moln
87,Regen::N,yağış,regn
88,Regen::N,yağmur,regn
89,Schnee::N,qar,snö
90,Eis::N,buz,is
91,Frost::N,ayaz,frost
92,Kälte::N,soyuq,köld
93,Hitze::N,coşğunluq,hetta
94,Raureif::N,qırov,rimfrost
95,Regenbogen::N,göy qurşağı,regnbåge
96,Donner::N,göy gurultusu,åska
97,Donner::N,göy gurultusu,dunder
98,Strömung::N,axın,strömning
99,Tropfen::N,damcı,dropper
100,Schaum::N,köpük,skum
101,Schmutz::N,çamır,lort
102,Schmutz::N,çamır,smuts
103,See::N,göl,sjö
104,Sumpf::N,bataqlıq,träsk
105,Moor::N,bataqlıq,myr
106,Moor::N,bataqlıq,mosse
107,Wiese::N,çəmən,äng
108,Wald::N,meşə,skog
109,Hügel::N,təpə,höjd
110,Hügel::N,təpə,kulle
111,Anhöhe::N,təpə,höjd
112,Anhöhe::N,təpə,backe
113,Berg::N,dağ,berg
114,Berg::N,dağ,fjäll
115,Gipfel::N,zirvə,topp
116,Höhle::N,mağara,håla
117,Höhle::N,mağara,grotta
118,Abhang::N,yamac,slänt
119,Abhang::N,yamac,sluttning
120,Quelle::N,bulaq,källa
121,Bach::N,kiçik çay,bäck
122,Fluss::N,çay,älv
123,Fluss::N,çay,flod
124,Ufer::N,kənar,strand
125,Küste::N,sahil,kust
126,Festland::N,materik,fastland
127,Meer::N,dəniz,hav
128,Bucht::N,körfəz,vik
129,Bucht::N,körfəz,bukt
130,Insel::N,ada,ö
131,Blume::N,çiçək,blomma
132,Blume::N,çiçək,blomster
133,Gras::N,ot,gräs
134,Wurzel::N,kök,rot
135,Baum::N,ağac,träd
136,Stamm::N,gövdə,stam
137,Rinde::N,qabıq,bark
138,Ast::N,şax,gren
139,Zweig::N,budaq,kvist
140,Blatt::N,yarpaq,löv
141,Blatt::N,yarpaq,blad
142,Birke::N,tozağacı,björk
143,Kiefer[Baum]::N,şam,tall
144,Weide[Baum]::N,söyüd,pil
145,Weide[Baum]::N,söyüd,vide
146,Tanne::N,küknar,gran
147,Horn::N,buynuz,horn
148,Feder::N,tük,fjäder
149,Feder::N,lələk,fjäder
150,Fell::N,xəz,fäll
151,Fell::N,xəz,skinn
152,Flügel::N,qanad,vinge
153,Klaue::N,pəncə,klöv
154,Kralle::N,dırnaq,klo
155,Schwanz::N,quyruq,svans
156,Schwanz::N,quyruq,stjärt
157,Ei::N,yumurta,ägg
158,Nest::N,yuva,rede
159,Nest::N,yuva,näste
160,Bau::N,yuva,bo
161,Tier::N,heyvan,djur
162,Herde::N,sürü,flock
163,Kuh::N,inək,ko
164,Bulle::N,öküz,tjur
165,Pferd::N,at,häst
166,Schaf::N,qoyun,får
167,Schwein::N,donuz,svin
168,Hund::N,it,hund
169,Hund::N,köpək,hund
170,Katze::N,pişik,katt
171,Bär::N,ayı,björn
172,Eichhörnchen::N,dələ,ekorre
173,Elch::N,sığın,älg
174,Fuchs::N,tülkü,räv
175,Hase::N,dovşan,hare
176,Maus::N,siçan,mus
177,Wolf::N,qurd,varg
178,Vogel::N,quş,fågel
179,Schwarm::N,sürü,svärm
180,Huhn::N,toyuq,höns
181,Hahn::N,xoruz,tupp
182,Gans::N,qaz,gås
183,Adler::N,qartal,örn
184,Adler::N,qaraquş,örn
185,Ente::N,ördək,anka
186,Eule::N,bayquş,uggla
187,Kranich::N,durna,trana
188,Krähe::N,qarğa,kråka
189,Kuckuck::N,ququ,gök
190,Schwan::N,qu quşu,svan
191,Fisch::N,balıq,fisk
192,Barsch::N,tar,abborre
193,Hecht::N,durnabalığı,gädda
194,Schlange[Tier]::N,ilan,orm
195,Wurm::N,qurd,mask
196,Spinne::N,hörümçək,spindel
