,Concept_ID,lbe,el
0,Auge::N,я,μάτι
1,Auge::N,я,οφθαλμός
2,Ohr::N,вичӏи,αυτί
3,Nase::N,май,μύτη
4,Mund::N,кьацӏ,στόμα
5,Zahn::N,ккарччи,δόντι
6,Zunge::N,маз,γλώσσα
7,Lippe::N,мурччи,χείλος
8,Wange::N,чӏав,παρειά
9,Wange::N,чӏав,μάγουλο
10,Gesicht::N,лажин,πρόσωπο
11,Stirn::N,ненттабакӏ,μέτωπο
12,Haar::N,чӏара,μαλλιά
13,Schnurrbart::N,ссирссилтту,μουστάκι
14,Bart::N,чӏири,γένια
15,Kinn::N,лунттубакӏ,πιγούνι
16,Kiefer[Anatomie]::N,ххинчулул,σαγόνι
17,Kehle::N,кьакьари,λαρύγγι
18,Hals::N,ссурссу,λαιμός
19,Genick::N,махъабакӏ,σβέρκος
20,Kopf::N,бакӏ,κεφάλι
21,Rücken::N,ттиликӏ,ράχη
22,Bauch::N,лякьа,κοιλιά
23,Nabel::N,цӏумуккутӏ,αφαλός
24,Busen::N,ккукку,στήθος
25,Brust::N,хъазам,στήθος
26,Schulter::N,хъачӏ,ώμος
27,Arm::N,ка,χέρι
28,Arm::N,ка,μπράτςο
29,Ellenbogen::N,ссюрхъ,αγκώνας
30,Hand::N,бартка,χέρι
31,Handfläche::N,хъат,παλάμη
32,Handfläche::N,битӏянхъ,παλάμη
33,Finger::N,кӏисса,δάχτυλο
34,Fingernagel::N,михь,νύχι
35,Nagel[Anatomie]::N,михь,νύχι
36,Zeh::N,кӏисса,δάχτυλο του ποδιού
37,Fuß::N,чӏанччан,πόδι
38,Ferse::N,никъа,φτέρνα
39,Knie::N,ник,γόνατο
40,Oberschenkel::N,жира,μηρός
41,Bein::N,ччан,πόδι
42,Körper::N,чурх,σώμα
43,Körper::N,чурх,κορμί
44,Haut::N,бурчу,πετσί
45,Blut::N,оь,αίμα
46,Ader::N,тунну,φλέβα
47,Sehne::N,хьхьа,νεύρο
48,Sehne::N,хьхьа,τένοντας
49,Knochen::N,ттаркӏ,οστό
50,Knochen::N,ттаркӏ,κόκκαλο
51,Gehirn::N,ня,μυαλό
52,Gehirn::N,ня,εγκέφαλος
53,Herz::N,дакӏ,καρδιά
54,Herz::N,къюкӏ,καρδιά
55,Magen::N,лякьа,στομάχι
56,Atem::N,ссихӏ ласаву,αναπνοή
57,Atem::N,ссихӏ бигьаву,αναπνοή
58,Hunger::N,ккаши,πείνα
59,Träne::N,макь,δάκρυ
60,Geschmack::N,тӏин,γεύση
61,Geschmack::N,тӏааьн,γεύση
62,Geruch::N,кьанкь,οσμή
63,Geruch::N,кьанкь,μυρωδία
64,Schlaf::N,шану,ύπνος
65,Traum::N,макӏру,όνειρο
66,Himmel::N,ссав,ουρανός
67,Sonne::N,баргъ,ήλιος
68,Mond::N,барз,σελήνη
69,Mond::N,барз,φεγγάρι
70,Stern::N,цӏуку,άστρο
