,Concept_ID,hy,lbe
0,Auge::N,աչք,я
1,Ohr::N,ականջ,вичӏи
2,Nase::N,քիթ,май
3,Mund::N,բերան,кьацӏ
4,Zahn::N,ատամ,ккарччи
5,Zunge::N,լեզու,маз
6,Lippe::N,շրթունք,мурччи
7,Wange::N,այտ,чӏав
8,Wange::N,թուշ,чӏав
9,Gesicht::N,դեմք,лажин
10,Stirn::N,ճակատ,ненттабакӏ
11,Haar::N,մազ,чӏара
12,Schnurrbart::N,բեղ,ссирссилтту
13,Bart::N,մորուք,чӏири
14,Kinn::N,կզակ,лунттубакӏ
15,Kiefer[Anatomie]::N,ծնոտ,ххинчулул
16,Kehle::N,կոկորդ,кьакьари
17,Hals::N,վիզ,ссурссу
18,Hals::N,պարանոց,ссурссу
19,Genick::N,ծոծրակ,махъабакӏ
20,Kopf::N,գլուխ,бакӏ
21,Rücken::N,մեջք,ттиликӏ
22,Bauch::N,փոր,лякьа
23,Bauch::N,որովայն,лякьа
24,Nabel::N,պորտ,цӏумуккутӏ
25,Busen::N,ծոց,ккукку
26,Brust::N,կուրծք,хъазам
27,Schulter::N,ուս,хъачӏ
28,Arm::N,թեւ,ка
29,Arm::N,բազուկ,ка
30,Ellenbogen::N,արմունկ,ссюрхъ
31,Hand::N,ձեռք,бартка
32,Handfläche::N,ափ,хъат
33,Handfläche::N,ափ,битӏянхъ
34,Finger::N,մատ,кӏисса
35,Fingernagel::N,եղունգ,михь
36,Nagel[Anatomie]::N,եղունգ,михь
37,Zeh::N,ոտքի մատ,кӏисса
38,Fuß::N,ոտք,чӏанччан
39,Ferse::N,գարշապար,никъа
40,Knie::N,ծունկ,ник
41,Oberschenkel::N,ազդր,жира
42,Bein::N,ոտք,ччан
43,Körper::N,մարմին,чурх
44,Haut::N,մաշկ,бурчу
45,Blut::N,արյուն,оь
46,Ader::N,երակ,тунну
47,Sehne::N,ջիղ,хьхьа
48,Sehne::N,ձգտան,хьхьа
49,Knochen::N,ոսկոր,ттаркӏ
50,Gehirn::N,խելք,ня
51,Herz::N,սիրտ,дакӏ
52,Herz::N,սիրտ,къюкӏ
53,Magen::N,ստամոքս,лякьа
54,Leber::N,լյարդ,
55,Atem::N,շունչ,ссихӏ ласаву
