,Concept_ID,ga,ab
0,Auge::N,súil,ала
1,Ohr::N,cluas,алымҳа
2,Nase::N,soc,аҧынҵа
3,Mund::N,béal,аҧышə
4,Zahn::N,fiacail,ахаҧыц
5,Zunge::N,teanga,абз
6,Lippe::N,liopa,ақьышə
7,Wange::N,grua,аӡамҩа
8,Wange::N,leiceann,аӡамҩа
9,Gesicht::N,éadan,аҿы
10,Gesicht::N,aghaidh,аҿы
11,Stirn::N,baithis,алахь
12,Stirn::N,clár éadain,алахь
13,Haar::N,gruaig,ахəыц
14,Schnurrbart::N,croiméal,аҧаҵа
15,Bart::N,féasóg,ажакьа
16,Kinn::N,smig,ацламкəыгə
17,Kiefer[Anatomie]::N,giall,ацламҳəа
18,Kehle::N,scornach,ахəда
19,Hals::N,muinéal,ахəда
20,Genick::N,baic,ахəдаџьал
21,Kopf::N,ceann,ахы
22,Rücken::N,droim,азқəа
23,Bauch::N,bolg,амгəа
24,Nabel::N,imleacán,аҷапан
25,Busen::N,cíoch,агəыҧҳəы
26,Brust::N,brollach,агəышҧы
27,Schulter::N,gualainn,ажəҩахыр
28,Arm::N,lámh,амахəар
29,Ellenbogen::N,uillinn,амашьхəылҵ
30,Hand::N,lámh,анапы
31,Handfläche::N,bos,анапсаргəыҵа
32,Finger::N,méar,анацəа
33,Fingernagel::N,ionga,анапхыц
34,Nagel[Anatomie]::N,ionga,ашьапхыц
35,Zeh::N,ladhar,ашьацəа
36,Fuß::N,cos,ашьапсыргəыҵа
37,Fuß::N,troigh,ашьапсыргəыҵа
38,Ferse::N,sáil,ашьхəа
39,Knie::N,glúin,ашьамхы
40,Oberschenkel::N,ceathrú,ауаҭəа
41,Bein::N,cos,ашьапы
42,Körper::N,corp,ацəеижь
43,Körper::N,colainn,ацəеижь
44,Haut::N,cneas,ацəа
45,Haut::N,craiceann,ацəа
46,Blut::N,fuil,ашьа
47,Sehne::N,teannán,адаш
48,Sehne::N,féitheog,адаш
49,Knochen::N,cnámh,абаҩ
50,Gehirn::N,inchinn,ахшлыбаҩ
51,Gehirn::N,inchinn,ахшыбаҩ
52,Herz::N,croí,агəы
53,Magen::N,bolg,аца
54,Magen::N,bolg,ацар
55,Magen::N,goile,аца
56,Magen::N,goile,ацар
57,Leber::N,ae,агəаҵəа
58,Atem::N,anáil,аҧсыҧлагаҩгара
59,Hunger::N,ocras,амла
60,Träne::N,deoir,алабжыш
61,Geschmack::N,blas,агьама
62,Geruch::N,boladh,афҩы
63,Schlaf::N,suan,ацəа
64,Schlaf::N,codladh,ацəа
65,Traum::N,taibhreamh,аҧхыӡ
66,Himmel::N,spéir,ажəҩан
67,Sonne::N,grian,амра
68,Mond::N,ré,амза
69,Mond::N,gealach,амза
70,Stern::N,rinn,аеҵəа
71,Stern::N,réalta,аеҵəа
72,Luft::N,aer,аҳаир
73,Wind::N,gaoth,аҧша
74,Welle::N,tonn,ацəқəырҧа
75,Wasser::N,uisce,аӡы
76,Stein::N,cloch,ахаҳə
77,Boden::N,talamh,адгьыл
78,Erde::N,cré,адгьыл
79,Erde::N,ithir,адгьыл
80,Staub::N,dusta,асаба
81,Staub::N,deannach,асаба
82,Rauch::N,toit,алҩа
83,Rauch::N,deatach,алҩа
84,Funke::N,drithle,акəиц
85,Funke::N,drithle,ацҧхь
86,Feuer::N,tine,амца
87,Licht::N,solas,алашара
88,Schatten::N,scáth,ашəшьыра
89,Wetter::N,aimsir,амш
90,Nebel::N,ceo,анаҟəа
91,Wolke::N,néal,аҧсҭҳəа
92,Wolke::N,scamall,аҧсҭҳəа
93,Regen::N,báisteach,ақəа
94,Regen::N,fearthainn,ақəа
95,Schnee::N,sneachta,асы
96,Eis::N,oighear,аҵаа
97,Frost::N,sioc,аҵаа
98,Kälte::N,fuacht,ахьҭа
99,Hitze::N,teas,ашоура
100,Hitze::N,teocht,ашоура
101,Raureif::N,sioc bán,аҵааҧшқа
102,Regenbogen::N,stua ceatha,ацəаҟəа
103,Regenbogen::N,bogha báistí,ацəаҟəа
104,Donner::N,toirneach,адыд
105,Strömung::N,sruth,аиасра
106,Strömung::N,sruth,амҩасра
107,Tropfen::N,deoir,ацəыкəбар
108,Schaum::N,cúr,ашəах
109,Schmutz::N,salachar,алымт
110,See::N,loch,аӡиа
