,Concept_ID,ar,en
0,Auge::N,عين,eye
1,Ohr::N,أذن,ear
2,Nase::N,أنف,nose
3,Mund::N,فم,mouth
4,Zahn::N,سن,tooth
5,Zunge::N,لسان,tongue
6,Lippe::N,شفة,lip
7,Wange::N,خد,cheek
8,Wange::N,وجنة,cheek
9,Gesicht::N,وجه,face
10,Stirn::N,جبين,forehead
11,Haar::N,شعر,hair
12,Schnurrbart::N,شارب,moustache
13,Bart::N,لحية,beard
14,Kinn::N,ذقن,chin
15,Kiefer[Anatomie]::N,فك,jaw
16,Kehle::N,حلق,throat
17,Hals::N,عنق,neck
18,Hals::N,رقبة,neck
19,Genick::N,قفا,nape
20,Kopf::N,رأس,head
21,Rücken::N,ظهر,back
22,Rücken::N,ظهر,spine
23,Bauch::N,بطن,belly
24,Nabel::N,سرة,navel
25,Busen::N,ثدي,bosom
26,Brust::N,صدر,chest
27,Brust::N,صدر,breast
28,Schulter::N,كتف,shoulder
29,Arm::N,ذراع,arm
30,Ellenbogen::N,كوع,elbow
31,Hand::N,يد,hand
32,Handfläche::N,كف,palm
33,Finger::N,إصبع,finger
34,Fingernagel::N,ظفر,fingernail
35,Nagel[Anatomie]::N,ظفر,nail
36,Zeh::N,إصبع القدم,toe
37,Fuß::N,قدم,foot
38,Ferse::N,كعب,heel
39,Knie::N,ركبة,knee
40,Oberschenkel::N,فخذ,thigh
41,Bein::N,ساق,leg
42,Körper::N,جسم,body
43,Haut::N,بشرة,skin
44,Blut::N,دم,blood
45,Ader::N,عرق,vein
46,Sehne::N,طنب,sinew
47,Knochen::N,عظم,bone
48,Gehirn::N,دماغ,brain
49,Herz::N,قلب,heart
50,Magen::N,معدة,stomach
51,Leber::N,كبد,liver
52,Atem::N,نفس,breath
53,Hunger::N,جوع,hunger
54,Träne::N,دمعة,tear
55,Geschmack::N,طعم,flavour
56,Geschmack::N,طعم,flavor
57,Geschmack::N,مذاق,flavour
58,Geschmack::N,مذاق,flavor
59,Geruch::N,رائحة,odour
60,Geruch::N,رائحة,odor
61,Schlaf::N,نوم,sleep
62,Schlaf::N,منام,sleep
63,Traum::N,حلم,dream
64,Himmel::N,سماء,sky
65,Sonne::N,شمس,sun
66,Mond::N,قمر,moon
67,Stern::N,نجم,star
68,Stern::N,كوكب,star
69,Luft::N,هواء,air
70,Wind::N,ريح,wind
71,Welle::N,موجة,wave
72,Wasser::N,ماء,water
73,Stein::N,حجر,stone
74,Boden::N,تراب,soil
75,Boden::N,تراب,ground
76,Erde::N,أرض,earth
77,Staub::N,غبار,dust
78,Rauch::N,دخان,smoke
79,Funke::N,شرارة,spark
80,Feuer::N,نار,fire
81,Licht::N,نور,light
82,Licht::N,ضوء,light
83,Schatten::N,ظل,shadow
84,Schatten::N,فيء,shadow
85,Wetter::N,جو,weather
86,Wetter::N,طقس,weather
87,Nebel::N,ضباب,fog
88,Wolke::N,غيمة,cloud
89,Wolke::N,سحابة,cloud
90,Regen::N,مطر,rain
91,Schnee::N,ثلج,snow
92,Eis::N,جليد,ice
93,Frost::N,صقيع,frost
94,Kälte::N,برد,chill
95,Hitze::N,حر,heat
96,Hitze::N,حرارة,heat
97,Raureif::N,صقيع,hoarfrost
98,Regenbogen::N,قوس قزح,rainbow
99,Donner::N,رعد,thunder
100,Strömung::N,تيار,current
101,Tropfen::N,قطرة,drop
102,Schaum::N,زبد,foam
103,Schaum::N,رغوة,foam
104,Schmutz::N,وسخ,dirt
105,See::N,بحيرة,lake
106,Sumpf::N,مستنقع,swamp
107,Moor::N,مستنقع,moor
108,Wiese::N,مرج,meadow
109,Wald::N,غابة,forest
110,Hügel::N,تل,hill
111,Anhöhe::N,تل,elevation
112,Berg::N,جبل,mountain
113,Gipfel::N,قمة,summit
114,Höhle::N,كهف,cave
115,Abhang::N,منحدر,slope
116,Quelle::N,منبع,source
117,Bach::N,مجرى,brook
118,Fluss::N,نهر,river
119,Ufer::N,ضفة,shore
120,Küste::N,ساحل,coast
121,Festland::N,بر,land
122,Meer::N,بحر,sea
123,Bucht::N,خليج,cove
124,Insel::N,جزيرة,island
125,Blume::N,زهرة,flower
126,Gras::N,حشيش,grass
127,Wurzel::N,أصل,root
128,Baum::N,شجرة,tree
129,Stamm::N,جذع,trunk
130,Rinde::N,قشرة,bark
131,Ast::N,فرع,limb
132,Zweig::N,غصن,branch
133,Blatt::N,ورقة,leaf
134,Birke::N,قضبان,birch
135,Kiefer[Baum]::N,صنوبرة,pine
136,Weide[Baum]::N,صفصاف,willow
137,Tanne::N,شوح,fir
138,Tanne::N,تبوب,fir
139,Horn::N,قرن,horn
140,Feder::N,ريشة,feather
141,Fell::N,فرو,fur
142,Flügel::N,جناح,wing
143,Klaue::N,مخلب,claw
144,Kralle::N,مخلب,claw
145,Schwanz::N,ذيل,tail
146,Ei::N,بيض,egg
147,Nest::N,عش,nest
148,Bau::N,جحر,lair
149,Tier::N,حيوان,animal
150,Herde::N,قطيع,flock
151,Kuh::N,بقرة,cow
152,Bulle::N,ثور,bull
153,Pferd::N,خيل,horse
154,Schaf::N,شاة,sheep
155,Schwein::N,خنزير,pig
156,Hund::N,كلب,dog
157,Katze::N,قطة,cat
158,Bär::N,دب,bear
159,Eichhörnchen::N,سنجاب,squirrel
160,Elch::N,موظ,elk
161,Fuchs::N,ثعلب,fox
162,Hase::N,أرنب,hare
163,Maus::N,فأرة,mouse
164,Wolf::N,ذئب,wolf
165,Vogel::N,طير,bird
166,Schwarm::N,سرب,swarm
167,Huhn::N,دجاجة,chicken
168,Hahn::N,ديك,cock
169,Gans::N,وزة,goose
170,Adler::N,نسر,eagle
171,Ente::N,بطة,duck
172,Eule::N,بوم,owl
173,Kranich::N,كركي,crane
174,Krähe::N,غراب,crow
175,Kuckuck::N,وقواق,cuckoo
176,Schwan::N,إوز عراقي,swan
177,Fisch::N,سمك,fish
178,Barsch::N,فرخ أوربي,perch
179,Hecht::N,سمك الكراكي,pike
180,Schlange[Tier]::N,حية,snake
181,Schlange[Tier]::N,ثعبان,snake
182,Wurm::N,دودة,worm
183,Spinne::N,عنكبوت,spider
184,Ameise::N,نملة,ant
185,Laus::N,قملة,louse
186,Mücke::N,ناموسة,midge
187,Fliege::N,ذبابة,fly
188,Schmetterling::N,فراشة,butterfly
189,Beere::N,حبة,berry
190,Apfel::N,تفاح,apple
191,Pilz::N,فطر,mushroom
192,Zwiebel::N,بصل,onion
193,Saat::N,زرع,seed
194,Korn::N,حبة,grain
195,Heu::N,دريس,hay
196,Schale::N,قشرة,husk
197,Grube::N,نقرة,pit
198,Falle::N,فخ,trap
199,Falle::N,مصيدة,trap
200,Schlinge::N,عروة,noose
201,Spur::N,أثر,track
202,Asche::N,رماد,ashes
203,Dreck::N,قذر,filth
204,Eisen::N,حديد,iron
205,Gold::N,ذهب,gold
206,Silber::N,فضة,silver
207,Kohle::N,فحم,coal
208,Glas::N,زجاج,glass
209,Lehm::N,طين,clay
210,Sand::N,رمل,sand
211,Mensch::N,إنسان,human
212,Mann::N,رجل,man
213,Frau::N,امرأة,woman
214,Kind::N,طفل,child
215,Junge::N,ولد,boy
216,Mädchen::N,بنت,girl
217,Familie::N,عائلة,family
218,Großvater::N,جد,grandfather
219,Großmutter::N,جدة,grandmother
220,Eltern::N,أبوان,parents
221,Eltern::N,والدان,parents
222,Vater::N,أب,father
223,Mutter::N,أم,mother
224,Sohn::N,إبن,son
225,Tochter::N,بنت,daughter
226,Tochter::N,إبنة,daughter
227,Bruder::N,أخ,brother
228,Bruder::N,شقيق,brother
229,Schwester::N,أخت,sister
230,Onkel::N,عم,uncle
231,Tante::N,عمة,aunt
232,Ehemann::N,زوج,husband
233,Ehefrau::N,زوجة,wife
234,Freude::N,فرح,joy
235,Freude::N,سرور,joy
236,Gelächter::N,قهقهة,laughter
237,Glück::N,سعادة,happiness
238,Kummer::N,غم,grief
239,Wunsch::N,منية,wish
240,Lust::N,شهوة,desire
241,Geist::N,روح,spirit
242,Gedanke::N,فكرة,thought
243,Gedächtnis::N,ذاكرة,memory
244,Verstand::N,عقل,mind
245,Sinn::N,معنى,meaning
246,Grund::N,سبب,reason
247,Wahrheit::N,حقيقة,truth
248,Gespräch::N,محادثة,talk
249,Märchen::N,خرافة,fairy tale
250,Erzählung::N,قصة,story
251,Erzählung::N,حكاية,story
252,Nachricht::N,خبر,message
253,Neuigkeit::N,خبر جديد,news
254,Name::N,اسم,name
255,Rätsel::N,لغز,puzzle
256,Rede::N,خطبة,speech
257,Sprache::N,لغة,language
258,Stimme::N,صوت,voice
259,Wort::N,كلمة,word
260,Zeichen::N,رمز,sign
261,Zeichen::N,إشارة,sign
262,Ruf::N,نداء,call
263,Lärm::N,صخب,noise
264,Lärm::N,ضجة,noise
265,Laut::N,صوت,sound
266,Ton::N,نغمة,tone
267,Lied::N,أغنية,song
268,Ruhe::N,هدوء,calm
269,Leute::N,ناس,people
270,Volk::N,شعب,nation
271,Arbeit::N,عمل,work
272,Gast::N,ضيف,guest
273,Geschenk::N,هدية,gift
274,Spiel::N,لعب,game
275,Gesellschaft::N,صحبة,company
276,Hilfe::N,عون,help
277,Hilfe::N,مساعدة,help
278,Freund::N,صديق,friend
279,Kamerad::N,زميل,companion
280,Angelegenheit::N,أمر,matter
281,Angelegenheit::N,شأن,matter
282,Anzahl::N,عدد,count
283,Art::N,نوع,sort
284,Stück::N,قطعة,piece
285,Teil::N,قسم,part
286,Hälfte::N,نصف,half
287,Kreis::N,دائرة,circle
288,Kreuz::N,صليب,cross
289,Linie::N,خط,line
290,Strich::N,شرطة,stroke
291,Abstand::N,مسافة,gap
292,Entfernung::N,بعد,distance
293,Gegend::N,ناحية,area
294,Platz::N,فراغ,space
295,Ort::N,مكان,place
296,Seite::N,جانب,side
297,Mitte::N,وسط,middle
298,Gegenstand::N,موضوع,item
299,Sache::N,شيء,thing
300,Rand::N,حافة,fringe
301,Kante::N,حافة,edge
302,Ecke::N,ركن,corner
303,Spitze::N,سن,tip
304,Ende::N,طرف,end
305,Loch::N,ثقب,hole
306,Winkel::N,زاوية,angle
307,Muster::N,عينة,pattern
308,Größe::N,حجم,size
309,Länge::N,طول,length
310,Höhe::N,علو,height
311,Höhe::N,ارتفاع,height
312,Gewicht::N,وزن,weight
313,Menge::N,كمية,amount
314,Haufen::N,كوم,heap
315,Reihe::N,صف,row
316,Boot::N,قارب,boat
317,Boot::N,زورق,boat
318,Ruder::N,مجذاف,oar
319,Schlitten::N,مزلقة,sleigh
320,Ski::N,زلاجة,ski
321,Lagerfeuer::N,نار المخيم,campfire
322,Last::N,حمل,load
323,Gang::N,مشية,walk
324,Schritt::N,خطوة,step
325,Norden::N,شمال,north
326,Süden::N,جنوب,south
327,Westen::N,غرب,west
328,Osten::N,شرق,east
329,Holz::N,خشب,wood
330,Brett::N,لوح,board
331,Platte::N,صفيحة,slab
332,Stütze::N,سند,bracket
333,Stütze::N,دعامة,bracket
334,Stange::N,عود,pole
335,Stock::N,عصا,stick
336,Stab::N,قضيب,staff
337,Rohr::N,أنبوبة,pipe
338,Haus::N,دار,house
339,Haus::N,بيت,house
340,Heim::N,بيت,home
341,Heim::N,مسكن,home
342,Ofen::N,مدفأة,stove
343,Fußboden::N,أرضية,floor
344,Tisch::N,مائدة,table
345,Stuhl::N,كرسي,chair
346,Wiege::N,مهد,cradle
347,Bett::N,سرير,bed
348,Regal::N,رف,shelf
349,Kiste::N,صندوق,box
350,Fenster::N,شباك,window
351,Fenster::N,نافذة,window
352,Tür::N,باب,door
353,Tor::N,بوابة,gate
354,Zaun::N,سياج,fence
355,Dach::N,سطح,roof
356,Leiter::N,سلم,ladder
357,Besen::N,مكنسة,broom
358,Spaten::N,مسحاة,spade
359,Schaufel::N,مجرفة,shovel
360,Gabel::N,شوكة,fork
361,Löffel::N,ملعقة,spoon
362,Messer::N,سكين,knife
363,Nagel::N,مسمار,nail
364,Netz::N,شبكة,net
365,Haken::N,خطاف,hook
366,Haken::N,صنارة,hook
367,Griff::N,قبضة,handle
368,Schloss::N,قفل,lock
369,Bild::N,صورة,picture
370,Figur::N,تمثال,figure
371,Puppe::N,دمية,doll
372,Beutel::N,كيس,pouch
373,Bündel::N,ربطة,bundle
374,Tasche::N,شنطة,bag
375,Tasche::N,محفظة,bag
376,Eimer::N,سطل,bucket
377,Eimer::N,جردل,bucket
378,Deckel::N,سداد,cover
379,Geschirr::N,أوان,dishes
380,Sack::N,زكيبة,sack
381,Tasse::N,فنجان,cup
382,Topf::N,قدر,pot
383,Topf::N,طنجرة,pot
384,Kessel::N,قدر,kettle
385,Kessel::N,غلاية,kettle
386,Essen::N,طعام,meal
387,Nahrung::N,غذاء,food
388,Speise::N,أكل,dish
389,Fleisch::N,لحم,meat
390,Getreide::N,حبوب,corn
391,Brei::N,عصيدة,mush
392,Brot::N,خبز,bread
393,Scheibe::N,شريحة,slice
394,Fett::N,سمن,fat
395,Butter::N,زبدة,butter
396,Öl::N,زيت,oil
397,Salz::N,ملح,salt
398,Suppe::N,حساء,soup
399,Suppe::N,شربة,soup
400,Honig::N,عسل,honey
401,Milch::N,حليب,milk
402,Tee::N,شاي,tea
403,Leder::N,جلد,leather
404,Wolle::N,صوف,wool
405,Stoff::N,قماش,cloth
406,Nadel::N,إبرة,needle
407,Faden::N,خيط,thread
408,Knopf::N,زر,button
409,Knoten::N,عقدة,knot
410,Farbe::N,صبغة,paint
411,Kleidung::N,ملابس,clothes
412,Hemd::N,قميص,shirt
413,Kragen::N,ياقة,collar
414,Ärmel::N,كم,sleeve
415,Hose::N,سروال,trousers
416,Hose::N,بنطلون,trousers
417,Gürtel::N,حزام,belt
418,Mütze::N,طاقية,cap
419,Schuh::N,حذاء,shoe
420,Stiefel::N,جزمة,boot
