,Concept_ID,mn,ps
0,Auge::N,нүд,سترګه
1,Ohr::N,чих,غوږ
2,Nase::N,хамар,پوزه
3,Mund::N,ам,خوله
4,Zahn::N,шүд,غاښ
5,Zunge::N,хэл,جبه
6,Lippe::N,уруул,شونډه
7,Wange::N,хацар,باړخو
8,Gesicht::N,царай,مخ
9,Gesicht::N,нүүр,مخ
10,Stirn::N,дух,تندی
11,Stirn::N,дух,وچولی
12,Haar::N,үс,وېښته
13,Schnurrbart::N,дээд сахал,برېت
14,Schnurrbart::N,живэр сахал,برېت
15,Bart::N,сахал,ږیره
16,Kinn::N,эрүү,زنه
17,Kiefer[Anatomie]::N,эрүү,جامه
18,Kehle::N,хоолой,غاړه
19,Hals::N,хүзүү,غاړه
20,Genick::N,шил,ورمېږ
21,Genick::N,хүзүү,ورمېږ
22,Kopf::N,толгой,سر
23,Rücken::N,ар,شا
24,Rücken::N,нуруу,شا
25,Bauch::N,хэвлий,نس
26,Bauch::N,хэвлий,ګېډه
27,Bauch::N,гэдэс,نس
28,Bauch::N,гэдэс,ګېډه
29,Nabel::N,хүйс,نوم
30,Busen::N,хөх,تی
31,Brust::N,цээж,سینه
32,Schulter::N,мөр,اوږه
33,Schulter::N,бугалга,اوږه
34,Arm::N,гар,لاس
35,Ellenbogen::N,тохой,څنګل
36,Hand::N,гар,لاس
37,Hand::N,алга,لاس
38,Handfläche::N,алга,ورغوی
39,Finger::N,хуруу,ګوته
40,Fingernagel::N,хурууны хумс,نوک
41,Nagel[Anatomie]::N,хумс,نوک
42,Zeh::N,хуруу,ګوته
43,Fuß::N,хөл,پښه
44,Ferse::N,өсгий,پونده
45,Knie::N,өвдөг,زنګون
46,Oberschenkel::N,гуя,پتون
47,Bein::N,хөл,پښه
48,Körper::N,бие,ځان
49,Haut::N,арьс,پوټکی
50,Blut::N,цус,وینه
51,Ader::N,судас,رګ
52,Sehne::N,бүлх,پله
53,Sehne::N,шандас,پله
54,Knochen::N,яс,هډوکی
55,Gehirn::N,тархи,ماغزه
56,Herz::N,зүрх,زړه
57,Magen::N,ходоод,معده
58,Leber::N,элэг,ينه
59,Leber::N,элэг,ځیګر
60,Atem::N,амьсгаа,نفس
61,Hunger::N,өлсгөлөн,ولږه
62,Träne::N,нулимс,اوښکه
63,Geschmack::N,амт,مزه
64,Geschmack::N,амт,خوند
65,Geruch::N,үнэр,بوی
66,Schlaf::N,нойр,خوب
67,Traum::N,зүүд,خوب
68,Himmel::N,тэнгэр,اسمان
69,Himmel::N,огторгуй,اسمان
70,Sonne::N,нар,لمر
71,Mond::N,сар,سپوږمۍ
72,Stern::N,од,ستوری
73,Luft::N,агаар,هوا
74,Wind::N,салхи,ورښ
75,Welle::N,долгио,موج
76,Welle::N,давалгаа,موج
77,Wasser::N,ус,اوبه
78,Stein::N,чулуу,ډبره
79,Boden::N,хөрс,مځکه
80,Erde::N,газар,خاوره
81,Erde::N,шороо,خاوره
82,Staub::N,тоос,ګرد
83,Staub::N,тоос,خاوره
84,Rauch::N,утаа,دود
85,Rauch::N,утаа,لوګی
86,Funke::N,оч,سپرغۍ
87,Feuer::N,гал,اور
88,Licht::N,гэрэл,رڼا
89,Licht::N,гэгээ,رڼا
90,Schatten::N,сүүдэр,سیوری
91,Wetter::N,тэнгэр,هوا
92,Wetter::N,цаг уур,هوا
93,Nebel::N,будан,لړه
94,Wolke::N,үүл,ورېځ
95,Regen::N,бороо,وریا
96,Regen::N,бороо,باران
97,Schnee::N,цас,واوره
98,Eis::N,мөс,یخ
99,Eis::N,мөс,کنګل
100,Frost::N,хүйт,یخ
