,Concept_ID,lez,ru
0,Auge::N,вил,глаз
1,Ohr::N,яб,ухо
2,Nase::N,нер,нос
3,Mund::N,сив,рот
4,Zahn::N,сас,зуб
5,Zahn::N,свах,зуб
6,Zunge::N,мез,язык
7,Lippe::N,пӏуз,губа
8,Wange::N,хъвехъ,щека
9,Gesicht::N,ччин,лицо
10,Stirn::N,пел,лоб
11,Haar::N,чӏар,волос
12,Haar::N,чӏар,волосы
13,Schnurrbart::N,спел,ус
14,Schnurrbart::N,спел,усы
15,Schnurrbart::N,спелар,ус
16,Schnurrbart::N,спелар,усы
17,Bart::N,ччуру,борода
18,Kinn::N,чене,подбородок
19,Kiefer[Anatomie]::N,чене,челюсть
20,Kehle::N,туьд,горло
21,Hals::N,гардан,шея
22,Genick::N,кьам,затылок
23,Kopf::N,кьил,голова
24,Rücken::N,далу,спина
25,Bauch::N,руфун,живот
26,Nabel::N,пицӏ,пупок
27,Busen::N,мам,женская грудь
28,Brust::N,хур,грудь
29,Schulter::N,къуьн,плечо
30,Arm::N,гъил,рука
31,Ellenbogen::N,кьуьнт,локоть
32,Hand::N,капаш,кисть
33,Handfläche::N,капан юкь,ладонь
34,Finger::N,тӏуб,палец
35,Fingernagel::N,кек,ноготь
36,Nagel[Anatomie]::N,кек,ноготь
37,Zeh::N,кул,палец
38,Fuß::N,кӏвач,ступня
39,Ferse::N,дабан,пята
40,Ferse::N,дабан,пятка
41,Knie::N,мет,колено
42,Bein::N,кӏвач,нога
43,Körper::N,беден,тело
44,Haut::N,хам,кожа
45,Blut::N,иви,кровь
46,Ader::N,дамар,вена
47,Ader::N,дамар,сосуд
48,Sehne::N,кьуру дамар,жила
49,Sehne::N,кьуру дамар,тетива
50,Sehne::N,кьуру дамар,сухожилие
51,Knochen::N,кӏараб,кость
52,Gehirn::N,мефт,мозг
53,Herz::N,рикӏ,сердце
54,Magen::N,хук,желудок
55,Leber::N,лекь,печень
56,Atem::N,ял,дух
57,Atem::N,ял,дыхание
58,Atem::N,нефес,дух
59,Atem::N,нефес,дыхание
60,Hunger::N,каш,голод
61,Träne::N,вилин нагъв,слеза
62,Geschmack::N,дад,вкус
63,Geschmack::N,тӏям,вкус
64,Geruch::N,ни,запах
65,Schlaf::N,ахвар,сон
66,Traum::N,ахвар,сновидение
67,Himmel::N,цав,небо
68,Sonne::N,рагъ,солнце
69,Mond::N,варз,луна
70,Stern::N,гъед,звезда
71,Luft::N,гьава,воздух
72,Wind::N,гар,ветер
73,Welle::N,лепе,волна
74,Wasser::N,яд,вода
75,Stein::N,къван,камень
76,Boden::N,накьв,почва
77,Erde::N,ччил,земля
78,Staub::N,руг,пыль
79,Rauch::N,гум,дым
80,Funke::N,цӏелхем,искра
81,Feuer::N,цӏай,огонь
82,Licht::N,экв,свет
83,Schatten::N,серин,тень
84,Wetter::N,гьава,погода
85,Nebel::N,ччилин циф,туман
86,Wolke::N,циф,облако
87,Regen::N,марф,дождь
88,Schnee::N,жив,снег
89,Eis::N,мурк,лед
90,Frost::N,аяз,мороз
91,Kälte::N,мекь,холод
92,Kälte::N,мекьивал,холод
93,Hitze::N,зегьем,жара
94,Raureif::N,къирав,иней
95,Regenbogen::N,яргъируш,радуга
96,Donner::N,цавун ван,гром
97,Tropfen::N,стӏал,капля
98,Schaum::N,каф,пена
99,Schmutz::N,чирк,грязь
100,Schmutz::N,кьуруш,грязь
101,See::N,вир,озеро
102,Sumpf::N,уьлен,топь
103,Wiese::N,векь,луг
