,Concept_ID,kv,zh
0,Auge::N,син,眼睛
1,Ohr::N,пель,耳朵
2,Nase::N,ныр,鼻子
3,Mund::N,ӧм,嘴
4,Zahn::N,пинь,牙齿
5,Zunge::N,кыв,舌头
6,Lippe::N,тырп,嘴唇
7,Wange::N,рожабан,面颊
8,Gesicht::N,бан,脸
9,Stirn::N,кымӧс,额
10,Haar::N,юрси,头发
11,Schnurrbart::N,уссэз,髭须
12,Bart::N,тош,胡子
13,Kinn::N,тшӧка,下巴
14,Kiefer[Anatomie]::N,ан,颌
15,Kehle::N,юан,嗓子
16,Hals::N,юан,颈
17,Genick::N,юр бӧр,后颈
18,Kopf::N,юр,头
19,Rücken::N,мышк,背
20,Bauch::N,кынӧм,肚子
21,Nabel::N,гӧг,肚脐
22,Busen::N,морос,胸脯
23,Brust::N,морос,胸
24,Schulter::N,пельпон,肩膀
25,Arm::N,ки,臂膀
26,Ellenbogen::N,гырдзза,肘
27,Hand::N,кикар,手
28,Handfläche::N,ки пыдӧс,手掌
29,Finger::N,чунь,手指
30,Fingernagel::N,гыж,指甲
31,Nagel[Anatomie]::N,гыж,指甲
32,Zeh::N,чунь,脚趾
33,Fuß::N,кокпыдӧс,脚
34,Ferse::N,кокдзир,后跟
35,Knie::N,пидзӧс,膝
36,Oberschenkel::N,лядьбей,大腿
37,Bein::N,кок,腿
38,Körper::N,вывтыр,身体
39,Haut::N,кучик,皮肤
40,Blut::N,вир,血
41,Ader::N,сӧн,血管
42,Sehne::N,жила,腱
43,Knochen::N,коска,骨
44,Gehirn::N,вем,脑
45,Herz::N,сьӧлӧм,心
46,Magen::N,жӧвдӧк,胃
47,Leber::N,мус,肝
48,Atem::N,лолалӧм,呼吸
49,Hunger::N,тшыг,饿
50,Träne::N,синва,眼泪
51,Geschmack::N,кӧр,味道
52,Geruch::N,дук,气味
53,Schlaf::N,он,睡眠
54,Traum::N,вӧт,梦
55,Himmel::N,небо,天空
56,Sonne::N,шондi,太阳
57,Mond::N,тӧлiсь,月亮
58,Stern::N,кӧдзыв,星
59,Luft::N,ру,空气
60,Wind::N,тӧв,风
61,Welle::N,гы,波
62,Wasser::N,ва,水
63,Stein::N,из,石头
64,Boden::N,му,地面
65,Erde::N,му,地
66,Staub::N,бус,灰尘
67,Rauch::N,тшын,烟
68,Funke::N,бичир,火花
69,Feuer::N,би,火
70,Licht::N,би,光
71,Schatten::N,вуджӧр,影子
72,Wetter::N,погоддя,天气
73,Nebel::N,туман,雾
74,Wolke::N,кымӧр,云
75,Regen::N,зэр,雨
76,Schnee::N,лым,雪
77,Eis::N,йы,冰
78,Frost::N,мороз,霜冻
79,Kälte::N,кӧдзыт,寒冷
80,Hitze::N,ӧд,炎热
81,Raureif::N,кижа,霜
82,Regenbogen::N,енӧшка,虹
83,Donner::N,гым,雷
84,Strömung::N,визывтӧм,水流
85,Tropfen::N,тёп,滴
86,Schaum::N,быг,泡沫
87,Schmutz::N,нять,赃物
88,See::N,ты,湖
89,Sumpf::N,арай,沼泽
90,Moor::N,нюр,沼泽
91,Wiese::N,видз,草地
92,Wald::N,вӧр,森林
93,Hügel::N,мыльк,丘陵
94,Anhöhe::N,вывтас,山丘
95,Anhöhe::N,вылынін,山丘
96,Berg::N,керӧс,山
97,Gipfel::N,йыв,峰
98,Höhle::N,нора,洞穴
99,Abhang::N,покат,斜坡
100,Quelle::N,больган,泉
101,Bach::N,шор,溪
102,Fluss::N,ю,河流
103,Ufer::N,берег,岸
104,Küste::N,берег,海岸
105,Festland::N,му,大陆
106,Meer::N,море,海
107,Bucht::N,курья,海湾
108,Blume::N,цветок,花
109,Gras::N,турун,草
110,Wurzel::N,вуж,根
111,Baum::N,пу,树
112,Stamm::N,мыр,树干
113,Stamm::N,кер,树干
114,Rinde::N,кач,树皮
115,Ast::N,ув,树枝
116,Zweig::N,ув,树枝
117,Blatt::N,лист,叶子
118,Birke::N,кыдз,桦木
119,Kiefer[Baum]::N,пожум,松树
120,Weide[Baum]::N,бадь,柳树
121,Tanne::N,кӧз,冷杉
122,Horn::N,сюр,角
123,Feder::N,гӧн,羽毛
124,Fell::N,кучик,皮毛
125,Flügel::N,борд,翅膀
126,Klaue::N,гыж,爪子
127,Kralle::N,кабыр,爪子
128,Schwanz::N,бӧж,尾巴
129,Ei::N,кольть,蛋
130,Nest::N,поз,巢
131,Bau::N,осьта,穴
132,Bau::N,нора,穴
133,Tier::N,зверь,动物
134,Herde::N,гурт,群
135,Kuh::N,мӧс,母牛
136,Bulle::N,ӧшка,公牛
137,Pferd::N,вӧв,马
138,Schaf::N,баля,羊
139,Schwein::N,порсь,猪
140,Hund::N,пон,狗
141,Katze::N,кань,猫
142,Bär::N,ош,熊
143,Eichhörnchen::N,ур,松鼠
144,Elch::N,вӧр мӧс,麋鹿
145,Fuchs::N,руч,狐狸
146,Hase::N,кӧч,兔子
147,Maus::N,шыр,老鼠
148,Wolf::N,кӧин,狼
149,Vogel::N,кай,鸟
150,Schwarm::N,стая,群
151,Schwarm::N,чукӧр,群
152,Huhn::N,курӧг,鸡
153,Hahn::N,петух,公鸡
154,Hahn::N,ай курӧг,公鸡
155,Gans::N,дзодзог,鹅
156,Adler::N,куч,鹰
157,Adler::N,кутш,鹰
158,Ente::N,утка,鸭
159,Eule::N,тупка,猫头鹰
160,Kranich::N,тури,鹤
161,Krähe::N,рака,乌鸦
162,Kuckuck::N,кӧк,布谷鸟
163,Schwan::N,юсь,天鹅
164,Fisch::N,чери,鱼
165,Barsch::N,ёкыш,鲈鱼
166,Hecht::N,сирпинь,狗鱼
167,Schlange[Tier]::N,змей,蛇
168,Wurm::N,номыр,蠕虫
169,Spinne::N,черань,蜘蛛
170,Ameise::N,кӧдзывкар,蚂蚁
171,Laus::N,ляпа той,虱子
172,Mücke::N,ном,蚊子
173,Fliege::N,гут,苍蝇
174,Schmetterling::N,бабыв,蝴蝶
175,Beere::N,ягӧд,将果
176,Apfel::N,яблоко,苹果
177,Pilz::N,тшак,蘑菇
178,Zwiebel::N,грез,洋葱
179,Saat::N,кӧдзыс,种子
180,Korn::N,сю,谷粒
181,Heu::N,турун,干草
182,Schale::N,кыш,壳
183,Schale::N,киль,壳
184,Grube::N,яма,坑
185,Falle::N,нальк,圈套
186,Falle::N,кляпча,圈套
187,Schlinge::N,лӧч,活扣
188,Spur::N,туй,踪迹
189,Asche::N,пӧим,灰烬
190,Dreck::N,нять,污垢
191,Eisen::N,кӧрт,铁
192,Gold::N,зарни,金子
193,Silber::N,язісь,银
194,Kohle::N,шом,煤
195,Kohle::N,уголь,煤
196,Glas::N,стекло,玻璃
197,Lehm::N,сёй,粘土
198,Sand::N,лыа,沙
199,Mensch::N,морт,人
200,Mann::N,мужик,男子
201,Frau::N,инька,妇女
202,Kind::N,кага,小孩
203,Junge::N,зонка,男孩
204,Mädchen::N,нывкаок,女孩
205,Familie::N,семья,家庭
206,Großvater::N,дед,祖父
207,Großmutter::N,баб,祖母
208,Eltern::N,ай-мам,父母
209,Vater::N,ай,父亲
210,Mutter::N,мам,母亲
211,Sohn::N,зон,儿子
212,Tochter::N,ныв,女儿
213,Bruder::N,вон,兄弟
