,Concept_ID,it,la
0,Auge::N,occhio,oculus
1,Ohr::N,orecchio,auris
2,Nase::N,naso,nasus
3,Mund::N,bocca,os
4,Zahn::N,dente,dens
5,Zunge::N,lingua,lingua
6,Lippe::N,labbro,labrum
7,Wange::N,guancia,gena
8,Gesicht::N,viso,vultus
9,Gesicht::N,faccia,vultus
10,Stirn::N,fronte,frons
11,Haar::N,capello,capillus
12,Schnurrbart::N,baffi,barba labri superioris
13,Schnurrbart::N,mustacchi,barba labri superioris
14,Bart::N,barba,barba
15,Kinn::N,mento,mentum
16,Kiefer[Anatomie]::N,mascella,mala
17,Kehle::N,gola,iugulums
18,Hals::N,collo,collum
19,Genick::N,nuca,cervices
20,Kopf::N,capo,caput
21,Kopf::N,testa,caput
22,Rücken::N,dorso,tergum
23,Rücken::N,schiena,tergum
24,Bauch::N,ventre,venter
25,Nabel::N,ombelico,umbilicus
26,Busen::N,seno,sinus
27,Brust::N,petto,pectus
28,Schulter::N,spalla,umerus
29,Arm::N,braccio,bracchium
30,Ellenbogen::N,gomito,cubitum
31,Hand::N,mano,manus
32,Handfläche::N,palma,palma
33,Finger::N,dito,digitus
34,Fingernagel::N,unghia,unguiculus
35,Nagel[Anatomie]::N,unghia,unguis
36,Zeh::N,dito del piede,digitus
37,Fuß::N,piede,pes
38,Ferse::N,tallone,calx
39,Ferse::N,calcagno,calx
40,Knie::N,ginocchio,genu
41,Oberschenkel::N,fèmore,femur
42,Bein::N,gamba,crus
43,Körper::N,corpo,corpus
44,Haut::N,pelle,cutis
45,Haut::N,pelle,pellis
46,Blut::N,sangue,sanguis
47,Ader::N,vena,vena
48,Sehne::N,tèndine,nervus
49,Knochen::N,osso,os
50,Gehirn::N,cervello,cerebrum
51,Herz::N,cuore,cor
52,Herz::N,cuore,animus
53,Magen::N,stòmaco,stomachus
54,Leber::N,fegato,iecur
55,Atem::N,fiato,spiritus
56,Atem::N,respiro,spiritus
57,Hunger::N,fame,fames
58,Träne::N,làcrima,lacrima
59,Geschmack::N,gusto,sapor
60,Geschmack::N,gusto,gustus
61,Geschmack::N,sapore,sapor
62,Geschmack::N,sapore,gustus
63,Geruch::N,odore,odor
64,Schlaf::N,sonno,somnus
65,Traum::N,sogno,somnium
66,Himmel::N,cielo,caelum
67,Sonne::N,sole,sol
68,Mond::N,luna,luna
69,Stern::N,stella,sidus
70,Stern::N,stella,stella
71,Luft::N,aria,aer
72,Wind::N,vento,ventus
73,Welle::N,onda,unda
74,Wasser::N,acqua,aqua
75,Stein::N,sasso,lapis
76,Stein::N,pietra,lapis
77,Boden::N,suolo,solum
78,Boden::N,terreno,solum
79,Erde::N,terra,terra
80,Staub::N,polvere,pulvis
81,Rauch::N,fumo,fumus
82,Funke::N,scintilla,scintilla
83,Feuer::N,fuoco,ignis
84,Licht::N,luce,lux
85,Licht::N,luce,lumen
86,Schatten::N,ombra,umbra
87,Wetter::N,tempo,caelum
88,Wetter::N,tempo,tempestas
89,Nebel::N,nebbia,nebula
90,Wolke::N,nube,nubes
91,Wolke::N,nùvola,nubes
92,Regen::N,pioggia,imber
93,Regen::N,pioggia,pluvia
94,Schnee::N,neve,nix
95,Eis::N,ghiaccio,glacies
96,Frost::N,gelo,gelu
97,Kälte::N,freddo,frigus
98,Hitze::N,caldo,calor
99,Hitze::N,caldo,aestus
100,Hitze::N,calura,calor
101,Hitze::N,calura,aestus
102,Raureif::N,brina,pruina
103,Regenbogen::N,arcobaleno,arcus
104,Donner::N,tuono,tonitrus
105,Strömung::N,corrente,fluctus
106,Tropfen::N,goccia,gutta
107,Schaum::N,spuma,spuma
108,Schaum::N,schiuma,spuma
109,Schmutz::N,sudiciume,sordes
110,Schmutz::N,sudiciume,squalor
111,See::N,lago,lacus
112,Sumpf::N,palude,palus
113,Moor::N,torbiera,palus
114,Wiese::N,prato,pratum
115,Wald::N,bosco,silva
116,Wald::N,foresta,silva
117,Hügel::N,colle,collis
118,Hügel::N,collina,collis
119,Anhöhe::N,altura,specula
120,Berg::N,monte,mons
121,Berg::N,montagna,mons
122,Gipfel::N,cima,vertex
123,Höhle::N,grotta,caverna
124,Höhle::N,grotta,spelunca
125,Höhle::N,caverna,caverna
126,Höhle::N,caverna,spelunca
127,Abhang::N,pendìo,declivum
128,Quelle::N,sorgente,fons
129,Bach::N,ruscello,rivus
130,Fluss::N,fiume,flumen
131,Ufer::N,riva,ripa
132,Küste::N,costa,litus
133,Festland::N,terraferma,continens
134,Meer::N,mare,mare
135,Bucht::N,cala,sinus
136,Insel::N,ìsola,insula
137,Blume::N,fiore,flos
138,Gras::N,erba,herba
139,Gras::N,erba,gramen
140,Wurzel::N,radice,radix
141,Baum::N,àlbero,arbor
142,Stamm::N,tronco,truncus
143,Rinde::N,corteccia,cortex
144,Ast::N,ramo,ramus
145,Zweig::N,ramo,ramus
146,Blatt::N,foglia,folium
147,Birke::N,betulla,betulla
148,Kiefer[Baum]::N,pino,pinus
149,Weide[Baum]::N,sàlice,salix
150,Tanne::N,abete,abies
151,Horn::N,corno,cornu
152,Feder::N,penna,penna
153,Fell::N,manto,pellis
154,Fell::N,pelame,pellis
155,Flügel::N,ala,ala
156,Klaue::N,grinfia,unguis
157,Kralle::N,unghia,unguis
158,Kralle::N,artiglio,unguis
159,Schwanz::N,coda,cauda
160,Ei::N,uovo,ovum
161,Nest::N,nido,nidus
162,Bau::N,covo,cavum
163,Bau::N,covo,latibulum
164,Tier::N,bestia,bestia
165,Tier::N,animale,bestia
166,Herde::N,gregge,grex
167,Kuh::N,vacca,vacca
168,Bulle::N,toro,taurus
169,Pferd::N,cavallo,equus
170,Schaf::N,pècora,ovis
171,Schwein::N,porco,sus
172,Schwein::N,porco,porcus
173,Schwein::N,maiale,sus
174,Schwein::N,maiale,porcus
175,Hund::N,cane,canis
176,Katze::N,gatta,felis
177,Bär::N,orso,ursus
178,Eichhörnchen::N,scoiàttolo,sciurus
179,Elch::N,alce,alces
180,Fuchs::N,volpe,vulpes
181,Hase::N,lepre,lepus
182,Maus::N,topo,mus
183,Maus::N,sorcio,mus
184,Wolf::N,lupo,lupus
185,Vogel::N,uccello,avis
186,Schwarm::N,stormo,examen
187,Huhn::N,gallina,gallina
188,Hahn::N,gallo,gallus
189,Gans::N,oca,anser
190,Adler::N,àquila,aquila
191,Ente::N,ànatra,anas
192,Eule::N,gufo,ulula
193,Eule::N,gufo,noctua
194,Eule::N,civetta,ulula
195,Eule::N,civetta,noctua
196,Kranich::N,gru,grus
197,Krähe::N,cornacchia,cornix
198,Kuckuck::N,cuccù,cuculus
199,Kuckuck::N,cùculo,cuculus
200,Schwan::N,cigno,olor
201,Schwan::N,cigno,cycnus
202,Fisch::N,pesce,piscis
203,Barsch::N,pèrsico,perca
204,Hecht::N,luccio,esox
205,Schlange[Tier]::N,serpente,serpens
206,Wurm::N,baco,vermis
207,Wurm::N,verme,vermis
208,Spinne::N,ragno,aranea
209,Ameise::N,formica,formica
210,Laus::N,pidocchio,pediculus
211,Mücke::N,zanzara,culex
212,Fliege::N,mosca,musca
213,Schmetterling::N,farfalla,papilio
214,Beere::N,bacca,baca
