,Concept_ID,av,mdf
0,Ohr::N,гӏин,пиле
1,Nase::N,мегӏер,шалхка
2,Mund::N,кӏал,курга
3,Zahn::N,гӏус,пей
4,Zunge::N,мацӏ,кяль
5,Lippe::N,кӏветӏ,търва́
6,Wange::N,гӏоно,щёка
7,Gesicht::N,гьумер,шама
8,Stirn::N,нодо,коня
9,Haar::N,рас,шя́ярь
10,Schnurrbart::N,михъ,уса́
11,Bart::N,мегеж,сакал
12,Kinn::N,нилъу,ула
13,Kiefer[Anatomie]::N,чанагъ,саласка
14,Kehle::N,щекъер,кълдома
15,Kehle::N,щекъер,кърга́парь
16,Hals::N,габур,сялдаз
17,Genick::N,гъванща,шовонь
18,Kopf::N,бетӏер,пря
19,Rücken::N,мугъ,копорь
20,Bauch::N,чехь,пеке
21,Nabel::N,цӏину,по́кон
22,Busen::N,керен,потя
23,Brust::N,керен,мяште
24,Schulter::N,гъажазубетӏер,лафту
25,Arm::N,гъеж,кядь
26,Ellenbogen::N,гӏункӏрукь,кенерьба́карь
27,Hand::N,квер,кядь
28,Handfläche::N,огъохъат,кядьлапш
29,Handfläche::N,жанисахъат,кядьлапш
30,Finger::N,килищ,сур
31,Fingernagel::N,малъ,кенже
32,Nagel[Anatomie]::N,малъ,кенже
33,Zeh::N,килищ,пильгосу́р
34,Fuß::N,хӏетӏ,пильге
35,Fuß::N,хӏетӏ,пильгелапа
36,Fuß::N,хӏетӏе,пильге
37,Fuß::N,хӏетӏе,пильгелапа
38,Ferse::N,эгъе,кочкяря
39,Knie::N,наку,эль
40,Knie::N,наку,пълма́нжа
41,Oberschenkel::N,мачӏ,пильгепукша
42,Bein::N,бох,пильге
43,Körper::N,къаркъала,ро́нга
44,Körper::N,къаркъала,по́нда
45,Haut::N,тӏом,киське
46,Blut::N,би,вер
47,Ader::N,бидурихь,сан
48,Ader::N,бидурихь,верза́н
49,Knochen::N,ракьа,пакарь
50,Gehirn::N,гӏадалнах,уй
51,Herz::N,ракӏ,седи
52,Magen::N,кванирукъ,коткърдазь
53,Leber::N,тӏул,макса
54,Atem::N,хӏухь,лекома
55,Atem::N,хӏухь,ваймонь тарксема
56,Hunger::N,ракъи,вачеши
57,Träne::N,магӏу,сельмове́дь
58,Geschmack::N,тату,таньф
59,Geruch::N,махӏ,шине
60,Schlaf::N,макьу,удома́
61,Traum::N,макьу,он
62,Himmel::N,зоб,менель
63,Sonne::N,бакъ,ши
64,Mond::N,моцӏ,ков
65,Stern::N,цӏва,тяште
66,Luft::N,гьава,кожф
67,Wind::N,гьури,варма
68,Welle::N,карачел,тавла
69,Wasser::N,лъим,ведь
70,Stein::N,гьецӏо,кев
71,Boden::N,ракь,мода
72,Boden::N,ракь,потмакс
73,Erde::N,ракь,мода
74,Erde::N,ракь,мастор
75,Erde::N,дуниял,мода
76,Erde::N,дуниял,мастор
77,Staub::N,хӏур,пуль
78,Rauch::N,кӏкӏуй,качам
79,Feuer::N,цӏа,тол
80,Licht::N,канлъи,ва́лда
81,Schatten::N,рагӏад,цильф
82,Wetter::N,гьава-бакъ,уша
